zone_id,AGREMPN,OTHEMPN,MWTEMPN,FPSEMPN,RETEMPN,HEREMPN
9,0.005,0,0.095,0.095,0.095,0.095
10,0.005,0,0.095,0.095,0.095,0.095
19,0.005,0,0.095,0.095,0.095,0.095
53,0,0,0,0,0,0
69,0.005,0.095,0.095,0.095,0.095,0.025
76,0.005,0,0.095,0.095,0.095,0.095
86,0.005,0.095,0.095,0.095,0.095,0.025
90,0.005,0.095,0.095,0.095,0.095,0
91,0.005,0.095,0.095,0.095,0.095,0
188,0.005,0.095,0.095,0.095,0.095,0
200,0,0,0,0,0,0
201,0,0,0,0,0,0
220,0,0,0,0,0,0
221,0,0,0,0,0,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,0,0,0,0,0,0
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,0,0,0,0,0,0
229,0.005,0.095,0.095,0.095,0.095,0
234,0.005,0.095,0.095,0.095,0.025,0.095
239,0,0,0,0,0,0
240,0,0,0,0,0,0
241,0,0,0,0,0,0
242,0,0,0,0,0,0
243,0,0,0,0,0,0
244,0,0,0,0,0,0
245,0,0,0,0,0,0
252,0,0,0,0,0,0
254,0,0,0,0,0,0
287,0.005,0.095,0.095,0.095,0.025,0.095
294,0,0,0,0,0,0
295,0,0,0,0,0,0
296,0,0,0,0,0,0
298,0,0,0,0,0,0
299,0,0,0,0,0,0
300,0,0,0,0,0,0
303,0.005,0.095,0.095,0.095,0.095,0
339,0,0,0,0,0,0
342,0,0,0,0,0,0
352,0.005,0.095,0.095,0.095,0.095,0
353,0.005,0.095,0.095,0.095,0.095,0
354,0.005,0.095,0.095,0.095,0.095,0
355,0.005,0.095,0.095,0.095,0.025,0
368,0,0,0,0,0,0
384,0.005,0.095,0.095,0.095,0.095,0
434,0.005,0,0.095,0.095,0.095,0.095
435,0.005,0,0.095,0.095,0.095,0.095
466,0.005,0.095,0.095,0.095,0.025,0.095
467,0.005,0.095,0.095,0.095,0.025,0.095
490,0.005,0.095,0.095,0.095,0.095,0
510,0,0,0,0,0,0
511,0,0,0,0,0,0
533,0.005,0.095,0.095,0.095,0.095,0
546,0.005,0,0.095,0.095,0.095,0.095
556,0.005,0.095,0.095,0.095,0.095,0
557,0.005,0.095,0.095,0.095,0.095,0
583,0.005,0.095,0.095,0.095,0.025,0.095
595,0.005,0.095,0.095,0.095,0.095,0
607,0.005,0.095,0.095,0.095,0.025,0.095
608,0.005,0.095,0.095,0.095,0.095,0
653,0.005,0.095,0.095,0.095,0.095,0
677,0.005,0.095,0.095,0.095,0.025,0.095
736,0.005,0.095,0.095,0.095,0,0.095
821,0.005,0.095,0.095,0.095,0.095,0
861,0.005,0.095,0.095,0.095,0.095,0
863,0.005,0.095,0.095,0.095,0.025,0.095
874,0,0,0,0,0,0
885,0.005,0.095,0.095,0.095,0.095,0
902,0.005,0.095,0.095,0.095,0.095,0
946,0.005,0.095,0.095,0.095,0.095,0
979,0.005,0.095,0.095,0.095,0.095,0
988,0.005,0.095,0,0.095,0.095,0.095
1017,0.005,0,0.095,0.095,0.095,0.095
1019,0,0,0,0,0,0
1100,0,0,0,0,0,0
1101,0,0,0,0,0,0
1127,0.005,0.095,0.095,0.095,0.095,0
1146,0.005,0.095,0.095,0.095,0.095,0
1150,0,0,0,0,0,0
1152,0,0,0,0,0,0
1153,0,0,0,0,0,0
1154,0,0,0,0,0,0
1155,0,0,0,0,0,0
1156,0,0,0,0,0,0
1157,0,0,0,0,0,0
1158,0,0,0,0,0,0
1161,0,0,0,0,0,0
1166,0,0,0,0,0,0
1167,0,0,0,0,0,0
1169,0,0,0,0,0,0
1170,0,0,0,0,0,0
1171,0,0,0,0,0,0
1172,0,0,0,0,0,0
1173,0,0,0,0,0,0
1174,0,0,0,0,0,0
1175,0,0,0,0,0,0
1176,0,0,0,0,0,0
1242,0.005,0.095,0.095,0.095,0.095,0
1290,0,0,0,0,0,0
1294,0.005,0,0.095,0.095,0.095,0
1310,0,0,0,0,0,0
1314,0,0,0,0,0,0
1316,0,0,0,0,0,0
1317,0,0,0,0,0,0
1337,0,0,0,0,0,0
1338,0,0,0,0,0,0
1339,0,0,0,0,0,0
1342,0.005,0.095,0.095,0.095,0.095,0
1344,0,0,0,0,0,0
1345,0,0,0,0,0,0
1346,0,0,0,0,0,0
1359,0.005,0.095,0.095,0.095,0.095,0
1368,0,0,0,0,0,0
1384,0,0,0,0,0,0
1385,0,0,0,0,0,0
1386,0,0,0,0,0,0
1394,0,0,0,0,0,0
1395,0,0,0,0,0,0
1396,0,0,0,0,0,0
1397,0,0,0,0,0,0
1398,0,0,0,0,0,0
1399,0,0,0,0,0,0
1402,0,0,0,0,0,0
1439,0.005,0,0.095,0.095,0.095,0.095
1447,0,0,0,0,0,0
