zone_id,AGREMPN,OTHEMPN,MWTEMPN,FPSEMPN,RETEMPN,HEREMPN
1,0.005,0.095,0.095,0.095,0.095,0.095
2,0.005,0.095,0.095,0.095,0.095,0.095
3,0.005,0.095,0.095,0.095,0.095,0.095
4,0.005,0.095,0.095,0.095,0.095,0.095
5,0.005,0.095,0.095,0.095,0.095,0.095
6,0.005,0.095,0.095,0.095,0.095,0.095
7,0.005,0.095,0.095,0.095,0.095,0.095
8,0.005,0.095,0.095,0.095,0.095,0.095
9,0.005,0.095,0.095,0.095,0.095,0.095
10,0.005,0.095,0.095,0.095,0.095,0.095
11,0.005,0.095,0.095,0.095,0.095,0.095
12,0.005,0.095,0.095,0.095,0.095,0.095
13,0.005,0.095,0.095,0.095,0.095,0.095
14,0.005,0.095,0.095,0.095,0.095,0.095
15,0.005,0.095,0.095,0.095,0.095,0.095
16,0.005,0.095,0.095,0.095,0.095,0.095
17,0.005,0.095,0.095,0.095,0.095,0.095
18,0.005,0.095,0.095,0.095,0.095,0.095
19,0.005,0.095,0.095,0.095,0.095,0.095
20,0.005,0.095,0.095,0.095,0.095,0.095
21,0.005,0.095,0.095,0.095,0.095,0.095
22,0.005,0.095,0.095,0.095,0.095,0.095
23,0.005,0.095,0.095,0.095,0.095,0.095
24,0.005,0.095,0.095,0.095,0.095,0.095
25,0.005,0.095,0.095,0.095,0.095,0.095
26,0.005,0.095,0.095,0.095,0.095,0.095
27,0.005,0.095,0.095,0.095,0.095,0.095
28,0.005,0.095,0.095,0.095,0.095,0.095
29,0.005,0.095,0.095,0.095,0.095,0.095
30,0.005,0.095,0.095,0.095,0.095,0.095
31,0.005,0.095,0.095,0.095,0.095,0.095
32,0.005,0.095,0.095,0.095,0.095,0.095
33,0.005,0.095,0.095,0.095,0.095,0.095
34,0.005,0.095,0.095,0.095,0.095,0.095
35,0.005,0.095,0.095,0.095,0.095,0.095
36,0.005,0.095,0.095,0.095,0.095,0.095
37,0.005,0.095,0.095,0.095,0.095,0.095
38,0.005,0.095,0.095,0.095,0.095,0.095
39,0.005,0.095,0.095,0.095,0.095,0.095
40,0.005,0.095,0.095,0.095,0.095,0.095
41,0.005,0.095,0.095,0.095,0.095,0.095
42,0.005,0.095,0.095,0.095,0.095,0.095
43,0.005,0.095,0.095,0.095,0.095,0.095
44,0.005,0.095,0.095,0.095,0.095,0.095
45,0.005,0.095,0.095,0.095,0.095,0.095
46,0.005,0.095,0.095,0.095,0.095,0.095
47,0.005,0.095,0.095,0.095,0.095,0.095
48,0.005,0.095,0.095,0.095,0.095,0.095
49,0.005,0.095,0.095,0.095,0.095,0.095
50,0.005,0.095,0.095,0.095,0.095,0.095
51,0.005,0.095,0.095,0.095,0.095,0.095
52,0.005,0.095,0.095,0.095,0.095,0.095
53,0.005,0.095,0.095,0.095,0.095,0.095
54,0.005,0.095,0.095,0.095,0.095,0.095
55,0.005,0.095,0.095,0.095,0.095,0.095
56,0.005,0.095,0.095,0.095,0.095,0.095
57,0.005,0.095,0.095,0.095,0.095,0.095
58,0.005,0.095,0.095,0.095,0.095,0.095
59,0.005,0.095,0.095,0.095,0.095,0.095
60,0.005,0.095,0.095,0.095,0.095,0.095
61,0.005,0.095,0.095,0.095,0.095,0.095
62,0.005,0.095,0.095,0.095,0.095,0.095
63,0.005,0.095,0.095,0.095,0.095,0.095
64,0.005,0.095,0.095,0.095,0.095,0.095
65,0.005,0.095,0.095,0.095,0.095,0.095
66,0.005,0.095,0.095,0.095,0.095,0.095
67,0.005,0.095,0.095,0.095,0.095,0.095
68,0.005,0.095,0.095,0.095,0.095,0.095
69,0.005,0.095,0.095,0.095,0.095,0.095
70,0.005,0.095,0.095,0.095,0.095,0.095
71,0.005,0.095,0.095,0.095,0.095,0.095
72,0.005,0.095,0.095,0.095,0.095,0.095
73,0.005,0.095,0.095,0.095,0.095,0.095
74,0.005,0.095,0.095,0.095,0.095,0.095
75,0.005,0.095,0.095,0.095,0.095,0.095
76,0.005,0.095,0.095,0.095,0.095,0.095
77,0.005,0.095,0.095,0.095,0.095,0.095
78,0.005,0.095,0.095,0.095,0.095,0.095
79,0.005,0.095,0.095,0.095,0.095,0.095
80,0.005,0.095,0.095,0.095,0.095,0.095
81,0.005,0.095,0.095,0.095,0.095,0.095
82,0.005,0.095,0.095,0.095,0.095,0.095
83,0.005,0.095,0.095,0.095,0.095,0.095
84,0.005,0.095,0.095,0.095,0.095,0.095
85,0.005,0.095,0.095,0.095,0.095,0.095
86,0.005,0.095,0.095,0.095,0.095,0.095
87,0.005,0.095,0.095,0.095,0.095,0.095
88,0.005,0.095,0.095,0.095,0.095,0.095
89,0.005,0.095,0.095,0.095,0.095,0.095
90,0.005,0.095,0.095,0.095,0.095,0.095
91,0.005,0.095,0.095,0.095,0.095,0.095
