taz,autoPeakRetail,autoPeakTotal,autoOffPeakRetail,autoOffPeakTotal,transitPeakRetail,transitPeakTotal,transitOffPeakRetail,transitOffPeakTotal,nonMotorizedRetail,nonMotorizedTotal
       1,        10.3676,        13.2131,        10.3770,        13.2218,         8.1648,        11.3581,         8.0574,        11.2401,         8.2007,        11.7571
       2,        10.3805,        13.2189,        10.3872,        13.2251,         7.9333,        11.1613,         7.8366,        10.9882,         8.2690,        11.7840
       3,        10.3696,        13.1971,        10.3834,        13.2094,         7.7767,        11.0039,         7.6749,        10.8064,         8.2261,        11.5728
       4,        10.4158,        13.2437,        10.4246,        13.2525,         8.2665,        11.4330,         8.1905,        11.3383,         8.4517,        11.8233
       5,        10.4179,        13.2216,        10.4265,        13.2290,         8.0505,        11.3044,         7.9861,        11.2380,         8.4032,        11.4994
       6,        10.3839,        13.1787,        10.4032,        13.1959,         7.7305,        10.7573,         7.4770,        10.5008,         8.0398,        11.1749
       7,        10.4061,        13.1926,        10.4269,        13.2097,         8.0467,        11.0532,         7.9982,        10.9953,         8.1539,        11.2219
       8,        10.4072,        13.1841,        10.4283,        13.2022,         7.9783,        11.0742,         7.9155,        11.0107,         8.1174,        11.1694
       9,        10.4206,        13.1705,        10.4431,        13.1892,         7.7596,        10.6650,         7.6912,        10.6062,         7.7995,        11.0062
      10,        10.4462,        13.1816,        10.4696,        13.2038,         7.8848,        10.8551,         7.8058,        10.7959,         7.9014,        10.9231
      11,        10.4582,        13.2219,        10.4803,        13.2416,         7.8785,        11.0860,         7.7689,        10.9721,         8.3269,        11.2622
      12,        10.4195,        13.2317,        10.4275,        13.2393,         8.2466,        11.3754,         8.1455,        11.2475,         8.4674,        11.6576
      13,        10.4047,        13.2294,        10.4126,        13.2372,         8.0810,        11.2813,         7.9934,        11.1713,         8.4632,        11.7680
      14,        10.3816,        13.2202,        10.3944,        13.2316,         8.2634,        11.3715,         8.1796,        11.2594,         8.3330,        11.7597
      15,        10.3474,        13.1890,        10.3674,        13.2049,         7.9558,        11.1612,         7.8603,        11.0697,         8.0369,        11.5602
      16,        10.3816,        13.1953,        10.4046,        13.2167,         7.3412,        10.6837,         7.2475,        10.5843,         8.2705,        11.3935
      17,        10.3993,        13.1802,        10.4248,        13.2039,         6.9744,        10.0590,         6.8694,         9.9447,         7.7079,        10.8361
      18,        10.4316,        13.1823,        10.4565,        13.2079,         7.4895,        10.5245,         7.3896,        10.4048,         7.7280,        10.5651
      19,        10.4151,        13.1499,        10.4431,        13.1788,         6.7359,         9.7065,         6.6007,         9.5497,         7.4769,        10.2510
      20,        10.4452,        13.1851,        10.4688,        13.2082,         7.1467,        10.1177,         7.0863,        10.0602,         7.7773,        10.6031
      21,        10.4534,        13.2194,        10.4800,        13.2460,         7.7761,        10.8021,         7.6803,        10.6770,         8.1813,        11.0869
      22,        10.2971,        13.1435,        10.3070,        13.1523,         7.6111,        10.9247,         7.4072,        10.6874,         7.7685,        11.3718
      23,        10.2283,        13.0572,        10.2486,        13.0725,         6.6501,         9.9679,         6.5493,         9.8773,         7.2778,        10.7861
      24,        10.3190,        13.1580,        10.3250,        13.1637,         7.7523,        11.0431,         7.5302,        10.7696,         7.9648,        11.4443
      25,        10.3006,        13.1227,        10.3153,        13.1359,         7.8126,        10.9832,         7.7011,        10.8163,         7.9580,        11.1884
      26,        10.3462,        13.1730,        10.3609,        13.1862,         7.8992,        11.0709,         7.8273,        10.9368,         8.1255,        11.4443
      27,        10.3038,        13.1185,        10.3234,        13.1351,         7.7845,        10.9576,         7.7110,        10.8322,         7.9957,        11.1324
      28,        10.3427,        13.1454,        10.3625,        13.1622,         7.8276,        11.0446,         7.6709,        10.8367,         7.9611,        11.1194
      29,        10.3794,        13.1807,        10.3987,        13.1979,         7.5363,        10.7075,         7.4829,        10.5792,         8.0745,        11.2594
      30,        10.3997,        13.1611,        10.4235,        13.1808,         7.6922,        10.6953,         7.6253,        10.6362,         7.7891,        10.9076
      31,        10.3642,        13.1375,        10.3874,        13.1567,         7.6912,        10.6585,         7.4487,        10.3897,         7.6146,        10.7877
      32,        10.3357,        13.1116,        10.3593,        13.1307,         7.5303,        10.6921,         7.3591,        10.4843,         7.6159,        10.7225
      33,        10.2690,        13.0367,        10.2955,        13.0595,         7.4561,        10.5049,         7.3916,        10.4219,         7.4049,        10.3662
      34,        10.2023,        12.9542,        10.2325,        12.9789,         7.3729,        10.3520,         7.1030,         9.9581,         7.4091,        10.0795
      35,        10.2847,        13.0747,        10.3071,        13.0935,         7.2926,        10.4076,         7.1961,        10.3010,         7.6886,        10.7204
      36,        10.2291,        13.0404,        10.2509,        13.0571,         7.5917,        10.6792,         7.4809,        10.5158,         7.8976,        11.0138
