"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
1,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,11,3,5
1,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,20,5,8
1,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,3,2,2
1,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,9,7,7
1,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,1,1,1
1,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,7,6,6
1,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,4,4,4
1,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,11,7,8
2,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,73,24,31
2,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,8,4,6
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,76,20,30
2,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,18,15,15
2,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,4,2,4
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,42,20,27
2,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,21,18,19
2,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,8,7,7
2,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,21,13,16
2,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,17,16,16
2,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,8,8,8
2,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,30,22,23
3,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,200,65,90
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,45,15,18
3,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,75,51,58
3,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,12,8,10
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,12,6,7
3,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,52,39,45
3,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,23,17,19
3,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,10,6,6
3,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,61,51,53
3,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,15,14,15
3,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,8,5,5
4,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,17,3,8
4,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,11,2,2
4,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,13,10,12
4,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,18,18,18
4,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,2,1,2
4,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,9,9,9
4,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,1,1,1
4,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,2,2,2
4,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,8,4,5
5,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,187,65,91
5,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,3,1,2
5,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,80,19,30
5,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,172,155,160
5,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,56,52,55
5,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,64,54,54
5,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,52,44,51
5,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,26,23,25
5,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,24,21,24
5,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,57,37,42
