"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
1,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,58,13,16
1,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,5,2,2
1,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,18,8,9
1,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,15,8,8
1,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",1,2,2,2
1,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,3,2,2
1,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,2,2,2
1,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,5,4,5
1,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,2,1,1
1,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,3,2,2
1,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,14,13,14
2,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,355,60,132
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,8,1,4
2,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,89,11,52
2,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,79,24,42
2,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",1,5,4,4
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,2,2,2
2,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,76,22,67
2,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,79,44,59
2,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,38,19,38
2,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,51,33,35
2,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,47,27,28
2,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,58,44,48
2,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,131,56,70
3,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,286,46,69
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,2,1,1
3,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,16,6,12
3,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,111,52,63
3,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",1,3,2,3
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,3,1,3
3,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,17,7,9
3,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,82,57,63
3,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,4,2,4
3,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,27,17,24
3,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,24,15,15
3,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,79,52,57
3,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,52,45,48
3,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,42,27,29
4,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,175,20,36
4,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,3,1,1
4,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,28,2,6
4,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,44,13,15
4,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,4,1,1
4,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,24,9,14
4,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,49,30,33
4,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,6,6,6
4,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,2,0,0
4,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,50,36,39
4,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,92,56,61
4,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",1,74,69,71
4,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",1,112,73,76
5,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,678,137,222
5,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",1,2,2,2
5,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,13,2,4
5,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",1,94,24,38
5,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,170,81,87
5,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",1,19,10,10
5,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,1,1,1
5,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",1,61,37,40
5,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,130,101,106
5,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,4,2,3
5,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",1,16,10,14
5,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,2,1,1
5,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",1,80,63,65
5,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,107,83,86
