county,juris,joinkey,description,subarea,households,jobs
Alameda,Alameda,ALA1,Naval Air Station,Other Area-Alameda,3901,8840
Alameda,Alameda,ALA2,Northern Waterfront,Other Area-Alameda,1971,5953
Alameda,Alameda,Non-PDA,Non-PDA,Other Area-Alameda,30248,23645
Alameda,Albany,ALB1,San Pablo & Solano Mixed Use Neighborhood,East Bay Corridor,530,2557
Alameda,Albany,Non-PDA,Non-PDA,East Bay Corridor,7536,3046
Alameda,Berkeley,BER1,Adeline Street,East Bay Corridor,1203,1776
Alameda,Berkeley,BER2,Downtown,East Bay Corridor,6281,20275
Alameda,Berkeley,BER3,San Pablo Avenue,East Bay Corridor,1758,3965
Alameda,Berkeley,BER4,South Shattuck,East Bay Corridor,321,1118
Alameda,Berkeley,BER5,Southside/Telegraph Avenue,East Bay Corridor,3895,9421
Alameda,Berkeley,BER6,University Avenue,East Bay Corridor,997,2451
Alameda,Berkeley,Non-PDA,Non-PDA,East Bay Corridor,42826,78050
Alameda,Dublin,DUB1,Downtown Specific Plan Area,Dublin-Pleasanton-Livermore,964,6482
Alameda,Dublin,DUB2,Transit Center/Dublin Crossings,Dublin-Pleasanton-Livermore,1054,7707
Alameda,Dublin,DUB3,Town Center,Dublin-Pleasanton-Livermore,9559,2475
Alameda,Dublin,Non-PDA,Non-PDA,Dublin-Pleasanton-Livermore,16173,17299
Alameda,Emeryville,EME1,Mixed-Use Core,East Bay Corridor,8245,21518
Alameda,Emeryville,Non-PDA,Non-PDA,East Bay Corridor,3799,3370
Alameda,Fremont,FRE1,Centerville,East Bay Corridor,11593,6122
Alameda,Fremont,FRE2,City Center,East Bay Corridor,15080.76683,21126
Alameda,Fremont,FRE3,Irvington District,East Bay Corridor,11016,6249
Alameda,Fremont,FRE4,Warm Springs,East Bay Corridor,5229,33267
Alameda,Fremont,Non-PDA,Non-PDA,East Bay Corridor,49405.40798,56562
Alameda,Hayward,HAY1,The Cannery,East Bay Corridor,1167,1813
Alameda,Hayward,HAY2,Downtown,East Bay Corridor,5776,7105
Alameda,Hayward,HAY3_a,South Hayward Bay Area Rapid Transit (a),East Bay Corridor,1162,823
Alameda,Hayward,HAY3_b,South Hayward Bay Area Rapid Transit (b),East Bay Corridor,3088,1611
Alameda,Hayward,HAY4,Mission Boulevard Corridor,East Bay Corridor,2912,3204
Alameda,Hayward,Non-PDA,Non-PDA,East Bay Corridor,43961,74003
Alameda,Livermore,LIV1,Downtown,Dublin-Pleasanton-Livermore,4174,5240
Alameda,Livermore,LIV2,East Side,Dublin-Pleasanton-Livermore,1725,19695
Alameda,Livermore,LIV3,Isabel Avenue/BART Station Planning Area,Dublin-Pleasanton-Livermore,2721,10115
Alameda,Livermore,Non-PDA,Non-PDA,Dublin-Pleasanton-Livermore,28972,19510
Alameda,Newark,NEW1,Dumbarton TOD,East Bay Corridor,1408,1100
Alameda,Newark,NEW2,Old Town Mixed Use Area,East Bay Corridor,399,412
Alameda,Newark,Non-PDA,Non-PDA,East Bay Corridor,13196,21725
Alameda,Oakland,OKD1,TOD Corridors,3 Cities,50847,20067
Alameda,Oakland,OKD1_a,TOD Corridors San Antonio/Central Estuary,3 Cities,12692,12082
Alameda,Oakland,OKD1_b,TOD Corridors International Boulevard,3 Cities,9567,3483
