lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
12.65273,13.10477,12.67732,12.76254,13.26891,12.91451,12.80919,13.33669,13.00785,12.8636,13.41454,13.11231,0,1,0
14.21602,13.1134,12.73592,14.33266,13.27716,12.96671,14.37692,13.34475,13.05758,14.42534,13.42235,13.15932,1,1,1
13.56244,13.10817,12.70077,13.67742,13.27216,12.93535,13.72225,13.33987,13.02769,13.77214,13.41762,13.13106,2,1,2
12.76714,13.19273,12.72379,12.86517,13.34338,12.95032,12.90713,13.40615,13.04007,12.95633,13.47861,13.14088,3,2,0
14.16058,13.19985,12.77432,14.28435,13.35037,12.9964,14.33096,13.41303,13.08431,14.38177,13.48535,13.18302,4,2,1
13.55125,13.19553,12.74396,13.66795,13.34613,12.96869,13.7133,13.40886,13.05769,13.76367,13.48126,13.15766,5,2,2
12.77076,13.19338,12.71998,12.86728,13.34217,12.94477,12.90867,13.40426,13.03397,12.95722,13.476,13.13423,6,3,0
14.14367,13.20033,12.76953,14.26847,13.34902,12.99013,14.31529,13.41101,13.07755,14.36625,13.48262,13.17579,7,3,1
13.54006,13.19611,12.73975,13.65699,13.34486,12.96285,13.70232,13.40692,13.05133,13.75262,13.47861,13.15077,8,3,2
12.84784,13.26138,12.77267,12.9397,13.40445,12.99202,12.97917,13.46432,13.07927,13.02553,13.53362,13.17747,9,4,0
14.27565,13.26892,12.82714,14.38252,13.41176,13.04106,14.42312,13.47149,13.12614,14.4676,13.54061,13.22192,10,4,1
13.65691,13.26435,12.79444,13.75974,13.40733,13.01159,13.80004,13.46715,13.09795,13.84503,13.53637,13.19518,11,4,2
12.79423,13.21936,12.74977,12.88966,13.36641,12.97106,12.93059,13.42783,13.05903,12.97863,13.49884,13.15803,12,5,0
13.98008,13.22471,12.78798,14.12509,13.37187,13.00724,14.17899,13.43327,13.09421,14.23737,13.50424,13.19197,13,5,1
13.43271,13.22147,12.76497,13.5621,13.36856,12.98544,13.612,13.42997,13.073,13.66721,13.50097,13.17151,14,5,2
12.78422,13.20868,12.73832,12.87919,13.35508,12.95889,12.91996,13.41629,13.04668,12.96784,13.4871,13.14552,15,6,0
13.87326,13.21332,12.77158,14.03484,13.35995,12.99129,14.09508,13.4212,13.07848,14.1604,13.49202,13.17652,16,6,1
13.35795,13.2105,12.75152,13.49725,13.357,12.97175,13.55116,13.41823,13.0593,13.61088,13.48904,13.15782,17,6,2
12.7583,13.19008,12.73111,12.85631,13.34009,12.95455,12.89837,13.40275,13.04346,12.94773,13.47519,13.14353,18,7,0
13.92772,13.19527,12.76781,14.07806,13.3454,12.98948,14.1339,13.40806,13.07746,14.19437,13.48046,13.17638,19,7,1
13.38565,13.19212,12.7457,13.51932,13.34218,12.96843,13.57088,13.40484,13.05696,13.62791,13.47726,13.15657,20,7,2
12.7839,13.21268,12.74904,12.87933,13.35928,12.96851,12.92032,13.42063,13.05601,12.96848,13.49162,13.15461,21,8,0
13.98497,13.21813,12.78771,14.13216,13.36485,13.0053,14.18684,13.42619,13.09182,14.24604,13.49714,13.1892,22,8,1
13.43275,13.21483,12.76442,13.56381,13.36147,12.98313,13.61432,13.42282,13.07024,13.67018,13.49379,13.16835,23,8,2
12.70976,13.16291,12.73798,12.81188,13.31618,12.95926,12.85563,13.38013,13.04751,12.90692,13.45399,13.14696,24,9,0
14.1923,13.17069,12.79079,14.30591,13.32369,13.00696,14.34947,13.38749,13.09317,14.39737,13.46115,13.19033,25,9,1
13.55906,13.16598,12.75907,13.6697,13.31914,12.97828,13.71331,13.38303,13.06571,13.76208,13.45681,13.16423,26,9,2
12.59604,13.08387,12.70811,12.71114,13.25089,12.93803,12.75997,13.31987,13.02915,12.8169,13.3991,13.13147,27,10,0
14.01759,13.09082,12.75312,14.14606,13.2576,12.97896,14.19455,13.32645,13.0684,14.24749,13.40549,13.16882,28,10,1
13.40055,13.08661,12.72604,13.5254,13.25353,12.95432,13.57399,13.32246,13.04476,13.628,13.40162,13.14632,29,10,2
12.76137,13.2039,12.76126,12.86158,13.35592,12.98414,12.90444,13.41922,13.07268,12.95464,13.49226,13.17226,30,11,0
13.91012,13.20888,12.79596,14.062,13.36102,13.01723,14.11874,13.42432,13.10495,14.18035,13.49732,13.20349,31,11,1
13.3748,13.20586,12.77504,13.50999,13.35793,12.99728,13.56234,13.42123,13.08549,13.62038,13.49425,13.18465,32,11,2
12.80311,13.22826,12.7587,12.89883,13.37567,12.98057,12.93983,13.43716,13.06865,12.98792,13.5082,13.1677,33,12,0
14.08535,13.23439,12.80235,14.21279,13.38175,13.02083,14.26036,13.44317,13.10743,14.31203,13.5141,13.20477,34,12,1
13.50809,13.23068,12.77609,13.62611,13.37806,12.99658,13.67177,13.43953,13.08407,13.72239,13.51053,13.18243,35,12,2
12.75274,13.18969,12.73862,12.8544,13.34425,12.96707,12.89775,13.40838,13.05734,12.94845,13.48225,13.15859,36,13,0
14.16019,13.19686,12.78862,14.28322,13.35124,13.01249,14.32935,13.41526,13.10087,14.37953,13.48897,13.2,37,13,1
13.547,13.19251,12.75857,13.66421,13.347,12.98517,13.70959,13.41109,13.07468,13.75991,13.4849,13.17507,38,13,2
12.67599,13.12794,12.70011,12.78499,13.291,12.9358,12.83126,13.35831,13.02853,12.88523,13.4356,13.13232,39,14,0
14.11829,13.13534,12.75049,14.24899,13.29821,12.98156,14.29773,13.36539,13.0724,14.3506,13.44251,13.17404,40,14,1
13.49566,13.13085,12.72021,13.6206,13.29384,12.95404,13.66869,13.3611,13.04601,13.72185,13.43832,13.14893,41,14,2
12.54545,13.02314,12.63287,12.66784,13.20142,12.88127,12.71945,13.27444,12.97844,12.77938,13.35791,13.08684,42,15,0
14.08762,13.03134,12.68657,14.22665,13.20933,12.92975,14.27819,13.28218,13.0248,14.33392,13.36543,13.13083,43,15,1
