juris,2010,2015,2020,2025,2030,2035,2040
Alameda,0,0,0,0,0,0,0
Alameda County,0,0,0,0,0,0,0
Albany,0,0,0,0,0,0,0
American Canyon,0,0,0,0,0,0,0
Antioch,0,0,0,0,0,0,0
Atherton,0,0,0,0,0,0,0
Belmont,0,0,0,0,0,0,0
Belvedere,0,0,0,0,0,0,0
Benicia,0,0,0,0,0,0,0
Berkeley,0,0,0,0,0,0,0
Brentwood,0,0,0,0,0,0,0
Brisbane,0,0,0,0,0,0,0
Burlingame,0,0,0,0,0,0,0
Calistoga,0,0,0,0,0,0,0
Campbell,0,0,0,0,0,0,0
Clayton,0,0,0,0,0,0,0
Cloverdale,0,0,0,0,0,0,0
Colma,0,0,0,0,0,0,0
Concord,0,0,0,0,0,0,0
Contra Costa County,0,0,0,0,0,0,0
Corte Madera,0,0,0,0,0,0,0
Cotati,0,0,0,0,0,0,0
Cupertino,0,0,0,0,0,0,0
Daly City,0,0,0,0,0,0,0
Danville,0,0,0,0,0,0,0
Dixon,0,0,0,0,0,0,0
Dublin,0,0,0,0,0,0,0
East Palo Alto,0,0,0,0,0,0,0
El Cerrito,0,0,0,0,0,0,0
Emeryville,0,0,0,0,0,0,0
Fairfax,0,0,0,0,0,0,0
Fairfield,0,0,0,0,0,0,0
Foster City,0,0,0,0,0,0,0
Fremont,0,0,0,0,0,0,0
Gilroy,0,0,0,0,0,0,0
Half Moon Bay,0,0,0,0,0,0,0
Hayward,0,0,0,0,0,0,0
Healdsburg,0,0,0,0,0,0,0
Hercules,0,0,0,0,0,0,0
Hillsborough,0,0,0,0,0,0,0
Lafayette,0,0,0,0,0,0,0
Larkspur,0,0,0,0,0,0,0
Livermore,0,0,0,0,0,0,0
Los Altos,0,0,0,0,0,0,0
Los Altos Hills,0,0,0,0,0,0,0
Los Gatos,0,0,0,0,0,0,0
Marin County,0,0,0,0,0,0,0
Martinez,0,0,0,0,0,0,0
Menlo Park,0,0,0,0,0,0,0
Mill Valley,0,0,0,0,0,0,0
Millbrae,0,0,0,0,0,0,0
Milpitas,0,0,0,0,0,0,0
Monte Sereno,0,0,0,0,0,0,0
Moraga,0,0,0,0,0,0,0
Morgan Hill,0,0,0,0,0,0,0
Mountain View,0,0,0,0,0,0,0
Napa,0,0,0,0,0,0,0
Napa County,0,0,0,0,0,0,0
Newark,0,0,0,0,0,0,0
Novato,0,0,0,0,0,0,0
Oakland,0,0,0,0,0,0,0
Oakley,0,0,0,0,0,0,0
Orinda,0,0,0,0,0,0,0
Pacifica,0,0,0,0,0,0,0
Palo Alto,0,0,0,0,0,0,0
Petaluma,0,0,0,0,0,0,0
Piedmont,0,0,0,0,0,0,0
Pinole,0,0,0,0,0,0,0
Pittsburg,0,0,0,0,0,0,0
Pleasant Hill,0,0,0,0,0,0,0
Pleasanton,0,0,0,0,0,0,0
Portola Valley,0,0,0,0,0,0,0
Redwood City,0,0,0,0,0,0,0
Richmond,0,0,0,0,0,0,0
Rio Vista,0,0,0,0,0,0,0
Rohnert Park,0,0,0,0,0,0,0
Ross,0,0,0,0,0,0,0
San Anselmo,0,0,0,0,0,0,0
San Bruno,0,0,0,0,0,0,0
San Carlos,0,0,0,0,0,0,0
San Francisco,0,0,0,0,0,0,0
San Jose,0,0,0,0,0,0,0
San Leandro,0,0,0,0,0,0,0
San Mateo,0,0,0,0,0,0,0
San Mateo County,0,0,0,0,0,0,0
San Pablo,0,0,0,0,0,0,0
San Rafael,0,0,0,0,0,0,0
San Ramon,0,0,0,0,0,0,0
Santa Clara,0,0,0,0,0,0,0
Santa Clara County,0,0,0,0,0,0,0
Santa Rosa,0,0,0,0,0,0,0
Saratoga,0,0,0,0,0,0,0
Sausalito,0,0,0,0,0,0,0
Sebastopol,0,0,0,0,0,0,0
Solano County,0,0,0,0,0,0,0
Sonoma,0,0,0,0,0,0,0
Sonoma County,0,0,0,0,0,0,0
South San Francisco,0,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0,0
Suisun City,0,0,0,0,0,0,0
Sunnyvale,0,0,0,0,0,0,0
Tiburon,0,0,0,0,0,0,0
Union City,0,0,0,0,0,0,0
Vacaville,0,0,0,0,0,0,0
Vallejo,0,0,0,0,0,0,0
Walnut Creek,0,0,0,0,0,0,0
Windsor,0,0,0,0,0,0,0
Woodside,0,0,0,0,0,0,0
Yountville,0,0,0,0,0,0,0
