juris,2010,2015,2020,2025,2030,2035,2040
Alameda,151,151,151,151,151,151,151
Alameda County,243,243,243,243,243,243,243
Albany,37,37,37,37,37,37,37
American Canyon,28,28,28,28,28,28,28
Antioch,161,161,161,161,161,161,161
Atherton,16,16,16,16,16,16,16
Belmont,53,53,53,53,53,53,53
Belvedere,3,3,3,3,3,3,3
Benicia,53,53,53,53,53,53,53
Berkeley,230,230,230,230,230,230,230
Brentwood,82,82,82,82,82,82,82
Brisbane,9,9,9,9,9,9,9
Burlingame,62,62,62,62,62,62,62
Calistoga,5,5,5,5,5,5,5
Campbell,81,81,81,81,81,81,81
Clayton,24,24,24,24,24,24,24
Cloverdale,16,16,16,16,16,16,16
Colma,2,2,2,2,2,2,2
Concord,221,221,221,221,221,221,221
Contra Costa County,228,228,228,228,228,228,228
Corte Madera,12,12,12,12,12,12,12
Cotati,15,15,15,15,15,15,15
Cupertino,101,101,101,101,101,101,101
Daly City,155,155,155,155,155,155,155
Danville,77,77,77,77,77,77,77
Dixon,29,29,29,29,29,29,29
Dublin,75,75,75,75,75,75,75
East Palo Alto,35,35,35,35,35,35,35
El Cerrito,51,51,51,51,51,51,51
Emeryville,28,28,28,28,28,28,28
Fairfax,11,11,11,11,11,11,11
Fairfield,172,172,172,172,172,172,172
Foster City,60,60,60,60,60,60,60
Fremont,355,355,355,355,355,355,355
Gilroy,71,71,71,71,71,71,71
Half Moon Bay,21,21,21,21,21,21,21
Hayward,227,227,227,227,227,227,227
Healdsburg,27,27,27,27,27,27,27
Hercules,41,41,41,41,41,41,41
Hillsborough,16,16,16,16,16,16,16
Lafayette,48,48,48,48,48,48,48
Larkspur,22,22,22,22,22,22,22
Livermore,146,146,146,146,146,146,146
Los Altos,54,54,54,54,54,54,54
Los Altos Hills,21,21,21,21,21,21,21
Los Gatos,64,64,64,64,64,64,64
Marin County,31,31,31,31,31,31,31
Martinez,71,71,71,71,71,71,71
Menlo Park,62,62,62,62,62,62,62
Mill Valley,22,22,22,22,22,22,22
Millbrae,40,40,40,40,40,40,40
Milpitas,96,96,96,96,96,96,96
Monte Sereno,6,6,6,6,6,6,6
Moraga,28,28,28,28,28,28,28
Morgan Hill,62,62,62,62,62,62,62
Mountain View,160,160,160,160,160,160,160
Napa,140,140,140,140,140,140,140
Napa County,30,30,30,30,30,30,30
Newark,65,65,65,65,65,65,65
Novato,70,70,70,70,70,70,70
Oakland,769,769,769,769,769,769,769
Oakley,195,195,195,195,195,195,195
Orinda,33,33,33,33,33,33,33
Pacifica,71,71,71,71,71,71,71
Palo Alto,132,132,132,132,132,132,132
Petaluma,109,109,109,109,109,109,109
Piedmont,10,10,10,10,10,10,10
Pinole,34,34,34,34,34,34,34
Pittsburg,98,98,98,98,98,98,98
Pleasant Hill,75,75,75,75,75,75,75
Pleasanton,126,126,126,126,126,126,126
Portola Valley,11,11,11,11,11,11,11
Redwood City,140,140,140,140,140,140,140
Richmond,180,180,180,180,180,180,180
Rio Vista,17,17,17,17,17,17,17
Rohnert Park,79,79,79,79,79,79,79
Ross,3,3,3,3,3,3,3
San Anselmo,18,18,18,18,18,18,18
San Bruno,74,74,74,74,74,74,74
San Carlos,58,58,58,58,58,58,58
San Francisco,1729,1729,1729,1729,1729,1729,1729
San Jose,1507,1507,1507,1507,1507,1507,1507
San Leandro,154,154,154,154,154,154,154
San Mateo,191,191,191,191,191,191,191
San Mateo County,105,105,105,105,105,105,105
San Pablo,44,44,44,44,44,44,44
San Rafael,114,114,114,114,114,114,114
San Ramon,126,126,126,126,126,126,126
Santa Clara,215,215,215,215,215,215,215
Santa Clara County,47,47,47,47,47,47,47
Santa Rosa,318,318,318,318,318,318,318
Saratoga,74,74,74,74,74,74,74
Sausalito,14,14,14,14,14,14,14
Sebastopol,16,16,16,16,16,16,16
Solano County,18,18,18,18,18,18,18
Sonoma,23,23,23,23,23,23,23
Sonoma County,156,156,156,156,156,156,156
South San Francisco,105,105,105,105,105,105,105
St. Helena,6,6,6,6,6,6,6
Suisun City,48,48,48,48,48,48,48
Sunnyvale,267,267,267,267,267,267,267
Tiburon,13,13,13,13,13,13,13
Union City,102,102,102,102,102,102,102
Vacaville,155,155,155,155,155,155,155
Vallejo,203,203,203,203,203,203,203
Walnut Creek,152,152,152,152,152,152,152
Windsor,48,48,48,48,48,48,48
Woodside,11,11,11,11,11,11,11
Yountville,3,3,3,3,3,3,3
