CO,STATION,lng,lat
ALA,NORTH BERKELEY,-122.283347881,37.8740611952
ALA,DOWNTOWN BERKELEY,-122.268249538,37.8696894387
ALA,ASHBY,-122.270118961,37.8532073793
ALA,ROCKRIDGE,-122.251777383,37.8445096878
ALA,MACARTHUR,-122.267120442,37.8287050487
ALA,19TH STREET/OAKLAND,-122.268386555,37.8080754158
ALA,WEST OAKLAND,-122.294898767,37.8045800581
ALA,12TH ST/OAKLAND CITY CENTER,-122.271957752,37.8025928422
ALA,LAKE MERRITT,-122.265540864,37.797679219
ALA,FRUITVALE,-122.224197061,37.7745594454
ALA,COLISEUM/OAKLAND AIRPORT (OAK),-122.197180108,37.7538611228
ALA,SAN LEANDRO,-122.161033534,37.722191245
ALA,DUBLIN/PLEASANTON,-121.898490496,37.7024730394
ALA,BAY FAIR,-122.127059861,37.6975664393
ALA,CASTRO VALLEY,-122.076415724,37.6907159992
ALA,HAYWARD,-122.087204123,37.6701239578
ALA,SOUTH HAYWARD,-122.057037122,37.6344830819
ALA,UNION CITY,-122.01715103,37.590865111
ALA,FREMONT,-121.977653481,37.5584336412
CC,PITTSBURG/BAY POINT,-121.945739498,38.0189141611
CC,NORTH CONCORD/MARTINEZ,-122.024619817,38.0031470647
CC,CONCORD,-122.029426325,37.9724133042
CC,RICHMOND,-122.352621813,37.9368089392
CC,EL CERRITO DEL NORTE,-122.316894574,37.9251834817
CC,PLEASANT HILL/CONTRA COSTA CEN,-122.056015203,37.9280980684
CC,EL CERRITO PLAZA,-122.298911709,37.9026086454
CC,WALNUT CREEK,-122.067482029,37.9050448016
CC,LAFAYETTE,-122.125775421,37.892884466
CC,ORINDA,-122.183555927,37.8790827823
SF,EMBARCADERO,-122.396033221,37.7932222028
SF,MONTGOMERY STREET,-122.401539836,37.7888864228
SF,POWELL STREET,-122.406823589,37.7847696617
SF,CIVIC CENTER/ UN PLAZA,-122.41418453,37.778964961
SF,16TH STREET & MISSION,-122.419456642,37.7646872113
SF,24TH STREET & MISSION,-122.418304518,37.7527841674
SF,GLEN PARK,-122.433959954,37.7331305377
SF,BALBOA PARK,-122.447128587,37.7216065522
SM,DALY CITY,-122.468666388,37.7067368516
SM,COLMA,-122.466201588,37.6846094131
SM,SAN BRUNO,-122.415628725,37.6373310318
SM,SFO INTERNATIONAL AIRPORT,-122.391078805,37.6162864989
SM,MILLBRAE,-122.386793925,37.6003358671
SM,SOUTH SAN FRANCISCO,-122.444049427,37.6643060662
ALA,WEST DUBLIN/PLEASANTON,-121.927650259,37.6998759328
