taz1454,target_units,target_vacancy,target_sf,target_mf,emp_sec11,emp_sec10,emp_sec22,emp_sec23,emp_sec3133,emp_sec42,emp_sec4445,emp_sec4849,emp_sec51,emp_sec52,emp_sec53,emp_sec54,emp_sec55,emp_sec56,emp_sec61,emp_sec62,emp_sec71,emp_sec72,emp_sec81,emp_sec91,emp_tot,target_nonres_sqft

1,61,0.164,1,60,4,5,225,267,249,323,267,8,1520,6096,941,3623,7,4821,105,298,53,444,359,64,19679,8100540

2,152,0.039,5,147,20,29,76,888,284,175,535,275,901,13926,1020,6764,7,2124,167,545,218,1216,652,130,29952,12469852

3,294,0.034,9,285,0,0,0,28,0,34,118,0,18,159,63,372,1,62,94,128,22,724,66,41,1930,823147

4,216,0.208,6,210,116,0,59,66,151,1347,497,27,862,4160,341,4360,16,862,322,299,130,1391,366,483,15855,6825682

5,693,0.022,22,671,2,0,0,53,131,155,2625,122,194,205,148,2086,475,549,245,1306,188,3673,544,84,12785,5612460

6,2406,0.013,0,2406,0,1,0,9,14,9,163,3,58,41,59,159,0,201,45,596,83,1452,530,0,3423,1439602

7,4174,0.009,0,4174,1,0,0,9,16,53,262,26,22,12,154,390,0,5228,20,83,353,4690,342,43,11704,4701375

8,4827,0.005,19,4808,6,0,0,27,7,38,406,2,101,91,448,503,0,238,71,627,205,940,244,191,4145,1732710

9,5451,0.003,35,5416,0,0,43,64,24,25,124,39,99,2029,173,504,2,298,338,7432,302,434,378,11063,23371,10223430

10,2506,0.005,13,2493,0,0,0,45,37,86,138,18,156,27,153,462,0,574,257,1208,56,1060,313,3544,8134,3644340

11,2790,0.004,14,2776,0,0,15,313,83,78,2741,0,1157,57,99,464,0,240,244,384,60,1578,212,561,8286,3787140

12,984,0.117,0,984,12,0,16,44,112,75,642,98,2358,281,137,1573,1,1002,639,470,707,3055,301,1157,12680,5635822

13,8,0.125,0,8,0,0,0,12,3,156,974,7,281,3677,70,5228,44,270,997,82,52,355,278,450,12936,5596185

14,422,0.064,0,422,0,9,2737,365,74,159,271,7,613,3525,247,6647,0,2698,1056,92,23,171,210,2732,21636,9642097

15,319,0.06,0,319,1,3,0,95,60,129,179,399,1684,2093,89,2577,3,1855,73,164,155,1195,462,123,11339,5109667

16,2392,0.069,15,2377,58,8,0,397,242,70,3829,62,1374,573,300,3949,41,490,181,3578,227,568,391,1476,17814,7829377

17,4130,0.065,25,4105,5,0,0,275,73,94,335,7,668,122,107,1771,2,444,116,581,137,231,201,2776,7945,3511672

18,1124,0.018,58,1066,22,0,0,559,119,267,356,45,795,134,114,1054,0,250,67,50,197,489,271,658,5447,2479050

19,471,0.011,24,447,0,0,0,137,321,532,1090,51,366,70,913,575,0,93,62,184,31,100,82,3168,7775,3697995

20,1761,0.009,122,1639,0,0,0,209,205,113,276,105,90,8,45,490,4,35,175,312,11,452,301,141,2972,1517670

21,3143,0.015,218,2925,0,0,0,67,37,8,426,111,1237,53,183,1053,5,255,337,396,283,517,523,96,5587,2588407

22,1389,0.082,98,1291,2,0,7,189,135,236,381,53,147,2801,712,4555,80,1714,87,279,124,3067,61,514,15144,6235110

23,596,0.116,43,553,0,0,79,163,1336,109,267,7,1177,152,275,2871,1,371,172,44,269,591,70,90,8044,3889252

24,668,0.04,0,668,11,0,0,161,491,149,221,5,750,2381,283,3829,44,562,249,363,64,758,484,1562,12367,5396002

25,1683,0.014,130,1553,0,0,0,6,61,31,359,2,1,110,26,70,0,44,0,175,20,507,185,0,1597,709485

26,800,0.024,8,792,1,0,0,3,71,25,162,5,30,672,168,926,6,89,239,112,7,202,154,0,2872,1276747

27,1675,0.024,70,1605,0,0,0,1,11,17,148,4,4,32,22,18,0,12,137,693,3,47,302,0,1451,670582

28,2331,0.097,0,2331,0,0,0,6,1,11,13,0,12,3,133,59,0,60,53,27,2,103,114,0,597,268380

29,3692,0.069,0,3692,1,0,0,5,1,2,23,0,3,12,86,44,0,34,0,499,0,2203,91,0,3004,1215217

30,4539,0.003,27,4512,0,0,0,13,23,19,116,10,98,6,69,79,0,34,0,113,90,640,135,554,1999,875490

31,2796,0.013,10,2786,0,0,0,1,11,17,67,4,1,555,205,84,0,44,56,455,125,498,63,0,2186,895755

32,3388,0.022,137,3251,0,0,1,24,22,25,201,15,28,73,99,146,0,91,41,1397,31,235,165,0,2594,1107907

33,2695,0.007,130,2565,0,0,2,34,129,17,218,0,10,60,24,133,0,31,50,210,39,345,158,554,2014,938542

34,2910,0.026,0,2910,0,0,0,6,18,10,201,0,27,5,33,56,0,29,0,0,19,264,33,0,701,308332

35,2719,0.054,113,2606,0,0,0,1,17,14,23,0,3,8,29,50,0,46,2,54,36,14,30,0,327,142222

36,3025,0.012,65,2960,0,0,0,26,9,59,288,37,9,168,28,40,1,44,73,211,122,600,113,765,2593,1179465

37,2286,0.026,57,2229,0,0,0,25,60,74,162,81,187,263,110,536,0,139,30,56,69,747,57,0,2596,1184242

38,2884,0.051,47,2837,0,0,0,10,35,17,293,3,50,20,396,379,0,61,112,81,10,54,37,554,2112,961432

39,2341,0.04,151,2190,0,0,0,14,1,3,52,0,14,3,35,31,0,24,0,30,2,37,32,11,289,127417

40,2969,0.059,0,2969,2,0,13,38,17,71,1076,1395,39,33,53,145,0,103,537,53,44,1090,180,46,4935,3687495

41,2267,0.02,116,2151,0,0,0,129,575,265,816,165,212,138,167,950,0,1547,196,838,330,4560,358,51,11297,5075700

42,786,0,144,642,0,0,0,27,8,7,6,2,4,1,25,22,0,24,75,75,14,0,34,908,1232,589260

43,3564,0.029,408,3156,2,0,0,31,4,34,290,19,21,54,77,90,8,49,32,130,481,202,77,663,2264,961485

44,3911,0.013,203,3708,0,0,0,11,5,19,83,15,11,58,231,152,1,86,249,243,20,371,66,8,1629,764085

45,2678,0.027,130,2548,1,0,0,76,79,37,485,30,69,235,242,205,0,134,58,560,65,424,228,1053,3981,1798965

46,4391,0.033,79,4312,0,0,0,18,26,13,80,1,22,36,90,172,0,87,28,577,19,107,77,164,1517,653520

47,1857,0.047,19,1838,0,0,0,3,31,23,265,1,46,57,46,135,0,74,661,2948,20,121,195,602,5228,2399565

48,2180,0.021,186,1994,5,0,0,6,11,4,97,0,14,12,18,65,0,81,268,203,5,45,57,0,891,462997

49,2590,0.05,429,2161,12,0,0,19,3,3,28,0,17,46,58,79,3,105,298,33,0,39,57,0,800,428347

50,2629,0.029,332,2297,1,0,0,30,56,14,278,0,141,83,70,138,0,82,61,175,22,1044,119,556,2870,1266982

51,2278,0.019,243,2035,2,0,0,15,3,5,25,1,42,74,18,68,0,18,45,16,11,27,12,0,382,179025

52,1160,0.012,318,842,7,0,19,21,79,15,15,207,240,153,178,254,0,232,143,194,147,32,540,347,2823,1479817

53,50,0.02,0,50,25,0,0,0,0,1,13,0,2,0,0,3,0,0,6,0,1145,5,39,2016,3255,1304887

54,2893,0.013,1267,1626,0,0,0,27,1,7,268,12,17,31,29,55,0,62,47,118,20,286,25,0,1005,457222

55,1631,0.009,821,810,3,0,0,20,0,2,52,1,4,0,1,40,0,35,11,7,5,24,5,554,764,355582

56,68,0.015,15,53,0,0,0,1,0,0,3,0,0,1,1,3,0,0,41,90,75,0,240,67,522,235620

57,1008,0.02,739,269,4,0,1,6,2,5,5,0,7,27,23,42,0,33,91,26,0,32,7,0,311,160282

58,2576,0.009,346,2230,0,0,0,28,6,7,245,1,1,23,20,21,0,29,209,122,10,96,76,0,894,459007

59,3387,0.012,1481,1906,0,0,0,74,1,21,37,0,37,14,13,58,0,75,296,194,16,84,138,0,1058,542377

60,1667,0.01,722,945,1,2,0,18,8,7,10,1,5,0,8,15,0,14,22,62,0,5,8,0,186,93345

