development_projects_id,raw_id,name,site_name,action,scen0,scen3,scen1,scen2,address,city,zip,county,x,y,geom_id,year_built,duration,building_type_id,building_type,building_sqft,non_residential_sqft,residential_units,unit_ave_sqft,tenure,rent_type,stories,parking_spaces,Average Weighted Rent,rent_ave_sqft,rent_ave_unit,last_sale_year,last_sale_price
1756,,Sun Garden Retail Center,,,1,1,1,1," E/s Monterey, 300' sly E. Alma",San Jose,,Santa Clara,-121.8712172,37.31569602,5.57E+11,2013,,,,,206000,,,,,,,,,,,
1757,,Race Street Terrace,,,1,1,1,1,"Bet. Race & Grand, 300' sly Park",San Jose,,Santa Clara,-121.9122138,37.32518016,9.97E+12,2013,,,,,,80,,,,,,,,,,
1758,,Villa Sport,,,1,1,1,1,"Betwn N Capitol & Hwy 680, 300' nly Berryesa",San Jose,,Santa Clara,-121.8628883,37.38688164,8.41E+11,2014,,,,,88000,,,,,,,,,,,
1759,,Berryessa Crossing (Phase 1),,,1,1,1,1,"Both sides Berryessa, wly UP railroad",San Jose,,Santa Clara,-121.8800891,37.37133823,1.23E+13,2010,,,,,,242,,,,,,,,,,
1760,,2890 North 1st Street Office,,,1,1,1,1,"Bound N 1st, Daggett, Zanker & Plumeria",San Jose,,Santa Clara,-121.930469,37.39356279,1.08E+13,2014,,,,,42000,,,,,,,,,,,
1761,,Metropolitan Apts,,,1,1,1,1,"E/s Monterey, 700' nly Tully",San Jose,,Santa Clara,-121.8623954,37.30571293,1.10E+13,2011,,,,,,102,,,,,,,,,,
1762,,Senter Road Family Apts,,,1,1,1,1,"E/s Senter, 600' sly Tully",San Jose,,Santa Clara,-121.8456956,37.30708364,2.65E+12,2010,,,,,,102,,,,,,,,,,
1763,,Valley Christian Schools,,,1,1,1,1,Ely term. Skyway,San Jose,,Santa Clara,-121.8247035,37.27447486,4.79E+12,2010,,,,,50000,,,,,,,,,,,
1764,,Communication Hill,,,1,1,1,1,"Hill bet Hwy 87 & Monterey, nly Hillsdale",San Jose,,Santa Clara,-121.857788,37.28508576,2.09E+12,2014,,,,,,2200,,,,,,,,,,
1765,,San Jose Airport Terminals,,,1,1,1,1,Mineta Airport,San Jose,,Santa Clara,-121.9389179,37.36661268,1.51E+13,2014,,,,,278500,,,,,,,,,,,
