year,county,county_name,shr_occ_management,shr_occ_professional,shr_occ_services,shr_occ_retail,shr_occ_manual,shr_occ_military
2010,4,Alameda,0.11837,0.29437,0.24021,0.14702,0.19910,0.00092
2010,5,Contra Costa,0.12830,0.26657,0.23801,0.15961,0.20750,0.00000
2010,9,Marin,0.15958,0.29934,0.21133,0.17409,0.15565,0.00000
2010,7,Napa,0.12589,0.19143,0.22238,0.16466,0.29564,0.00000
2010,1,San Francisco,0.13285,0.32426,0.22968,0.18356,0.12965,0.00000
2010,2,San Mateo,0.13184,0.27749,0.23278,0.15898,0.19891,0.00000
2010,3,Santa Clara,0.13006,0.33996,0.19963,0.14310,0.18725,0.00000
2010,6,Solano,0.09372,0.20816,0.27835,0.15793,0.25683,0.00502
2010,8,Sonoma,0.10897,0.20683,0.24642,0.18561,0.25047,0.00170
2015,4,Alameda,0.11837,0.29437,0.24130,0.14588,0.19910,0.00092
2015,5,Contra Costa,0.12830,0.26657,0.23910,0.15847,0.20750,0.00000
2015,9,Marin,0.15958,0.29934,0.21242,0.17295,0.15565,0.00000
2015,7,Napa,0.12589,0.19143,0.22347,0.16352,0.29564,0.00000
2015,1,San Francisco,0.13285,0.32426,0.23077,0.18242,0.12965,0.00000
2015,2,San Mateo,0.13184,0.27749,0.23387,0.15784,0.19891,0.00000
2015,3,Santa Clara,0.13006,0.33996,0.20072,0.14195,0.18725,0.00000
2015,6,Solano,0.09372,0.20816,0.27944,0.15678,0.25683,0.00502
2015,8,Sonoma,0.10897,0.20683,0.24752,0.18447,0.25047,0.00170
2020,4,Alameda,0.11837,0.29437,0.24240,0.14474,0.19910,0.00092
2020,5,Contra Costa,0.12830,0.26657,0.24020,0.15733,0.20750,0.00000
2020,9,Marin,0.15958,0.29934,0.21352,0.17182,0.15565,0.00000
2020,7,Napa,0.12589,0.19143,0.22456,0.16238,0.29564,0.00000
2020,1,San Francisco,0.13285,0.32426,0.23187,0.18129,0.12965,0.00000
2020,2,San Mateo,0.13184,0.27749,0.23496,0.15670,0.19891,0.00000
2020,3,Santa Clara,0.13006,0.33996,0.20181,0.14081,0.18725,0.00000
2020,6,Solano,0.09372,0.20816,0.28054,0.15565,0.25683,0.00502
2020,8,Sonoma,0.10897,0.20683,0.24861,0.18334,0.25047,0.00170
2025,4,Alameda,0.11837,0.29437,0.24350,0.14361,0.19910,0.00092
2025,5,Contra Costa,0.12830,0.26657,0.24130,0.15620,0.20750,0.00000
2025,9,Marin,0.15958,0.29934,0.21462,0.17069,0.15565,0.00000
2025,7,Napa,0.12589,0.19143,0.22566,0.16126,0.29564,0.00000
2025,1,San Francisco,0.13285,0.32426,0.23297,0.18016,0.12965,0.00000
2025,2,San Mateo,0.13184,0.27749,0.23606,0.15557,0.19891,0.00000
2025,3,Santa Clara,0.13006,0.33996,0.20291,0.13969,0.18725,0.00000
