county,county_name,year,shr_occ_management,shr_occ_manual,shr_occ_professional,shr_occ_retail,shr_occ_services,shr_occ_military
1,San Francisco,2010,0.1466,0.24286,0.19496,0.16839,0.24485,0.00235
1,San Francisco,2015,0.15053,0.23959,0.20409,0.16799,0.23603,0.00178
1,San Francisco,2020,0.15753,0.23979,0.21846,0.1507,0.23162,0.0019
1,San Francisco,2025,0.15496,0.24506,0.21406,0.16496,0.21927,0.00169
1,San Francisco,2030,0.15751,0.24236,0.21639,0.16512,0.21712,0.0015
1,San Francisco,2035,0.1588,0.24124,0.21895,0.1653,0.21427,0.00144
1,San Francisco,2040,0.16045,0.24048,0.22079,0.16532,0.2116,0.00136
1,San Francisco,2045,0.16246,0.23971,0.223,0.16436,0.20916,0.0013
1,San Francisco,2050,0.16422,0.2396,0.22494,0.16358,0.20642,0.00124
2,San Mateo,2010,0.13288,0.30205,0.16306,0.17643,0.22259,0.00298
2,San Mateo,2015,0.13092,0.31017,0.16891,0.16642,0.22121,0.00237
2,San Mateo,2020,0.13921,0.29704,0.18906,0.15083,0.22121,0.00265
2,San Mateo,2025,0.13659,0.30689,0.18419,0.16028,0.20973,0.00233
2,San Mateo,2030,0.13947,0.30137,0.1891,0.16043,0.20757,0.00206
2,San Mateo,2035,0.14103,0.29904,0.19248,0.16082,0.20468,0.00195
2,San Mateo,2040,0.1425,0.29743,0.1952,0.16133,0.20171,0.00183
2,San Mateo,2045,0.14435,0.29523,0.1988,0.16092,0.19898,0.00173
2,San Mateo,2050,0.14617,0.29321,0.20253,0.16033,0.19614,0.00163
3,Santa Clara,2010,0.13368,0.28038,0.20653,0.16023,0.21624,0.00294
3,Santa Clara,2015,0.13584,0.27923,0.21253,0.15838,0.21148,0.00253
3,Santa Clara,2020,0.14104,0.27669,0.2261,0.14379,0.2098,0.00259
3,Santa Clara,2025,0.14019,0.27476,0.22493,0.15606,0.20167,0.00239
3,Santa Clara,2030,0.14281,0.27077,0.22677,0.1569,0.20064,0.00211
3,Santa Clara,2035,0.14436,0.26853,0.22947,0.15742,0.19821,0.002
3,Santa Clara,2040,0.14589,0.26662,0.2319,0.15819,0.19553,0.00186
3,Santa Clara,2045,0.14798,0.26369,0.23565,0.15783,0.1931,0.00175
