county,county_name,year,shr_occ_management,shr_occ_manual,shr_occ_professional,shr_occ_retail,shr_occ_services,shr_occ_military
1,San Francisco,2010,0.1466,0.24286,0.19496,0.16839,0.24485,0.00235
1,San Francisco,2015,0.15053,0.23959,0.20409,0.16799,0.23603,0.00178
1,San Francisco,2020,0.15753,0.23979,0.21846,0.1507,0.23162,0.0019
1,San Francisco,2025,0.15512,0.24446,0.21432,0.16503,0.21938,0.00169
1,San Francisco,2030,0.15764,0.24189,0.2166,0.16516,0.21721,0.0015
1,San Francisco,2035,0.15893,0.2408,0.21915,0.16533,0.21435,0.00144
1,San Francisco,2040,0.16056,0.24007,0.22097,0.16536,0.21167,0.00136
1,San Francisco,2045,0.16257,0.23934,0.22318,0.16439,0.20922,0.0013
1,San Francisco,2050,0.16431,0.23926,0.2251,0.16362,0.20648,0.00124
2,San Mateo,2010,0.13288,0.30205,0.16306,0.17643,0.22259,0.00298
2,San Mateo,2015,0.13092,0.31017,0.16891,0.16642,0.22121,0.00237
2,San Mateo,2020,0.13921,0.29704,0.18906,0.15083,0.22121,0.00265
2,San Mateo,2025,0.13685,0.30554,0.18455,0.16075,0.20998,0.00233
2,San Mateo,2030,0.13971,0.30011,0.18945,0.16086,0.20782,0.00206
2,San Mateo,2035,0.14124,0.29787,0.19281,0.16122,0.20491,0.00195
2,San Mateo,2040,0.14269,0.29637,0.1955,0.16169,0.20192,0.00183
2,San Mateo,2045,0.14453,0.29426,0.19907,0.16124,0.19917,0.00173
2,San Mateo,2050,0.14633,0.29233,0.20278,0.16062,0.19631,0.00163
3,Santa Clara,2010,0.13368,0.28038,0.20653,0.16023,0.21624,0.00294
3,Santa Clara,2015,0.13584,0.27923,0.21253,0.15838,0.21148,0.00253
3,Santa Clara,2020,0.14104,0.27669,0.2261,0.14379,0.2098,0.00259
3,Santa Clara,2025,0.14029,0.27417,0.22505,0.15633,0.20177,0.00239
3,Santa Clara,2030,0.1429,0.27015,0.22692,0.15716,0.20075,0.00211
3,Santa Clara,2035,0.14446,0.26794,0.22962,0.15767,0.19832,0.002
3,Santa Clara,2040,0.14598,0.26608,0.23203,0.15842,0.19563,0.00186
3,Santa Clara,2045,0.14806,0.26319,0.23578,0.15803,0.1932,0.00175
