taz_key,units,facility_records
5,0,1
7,497,9
8,2411,31
9,683,10
10,557,7
11,901,13
17,560,7
20,366,6
21,1669,11
23,81,1
24,105,1
26,0,1
27,283,3
29,0,1
30,219,5
31,64,1
32,135,2
33,0,1
34,226,2
35,70,1
36,656,4
37,0,2
41,718,6
43,0,3
47,0,1
48,0,1
50,55,1
51,0,1
54,99,2
58,0,1
61,0,1
62,0,1
66,0,1
67,0,1
68,150,1
69,0,2
71,152,1
73,767,5
74,503,5
75,67,1
76,322,4
77,711,6
78,2329,19
79,202,2
80,491,8
81,248,7
82,0,1
84,15,1
86,310,4
87,194,4
88,39,3
89,0,1
92,585,1
94,20,1
97,0,1
100,54,4
101,263,4
102,88,2
103,0,2
104,18,2
105,574,6
106,589,10
107,0,1
109,476,3
111,36,1
113,627,2
115,63,1
116,117,2
118,331,3
119,0,2
120,95,3
122,55,1
123,49,1
124,895,2
125,46,1
126,0,1
129,21,1
130,437,3
141,45,1
142,10,1
143,79,2
144,642,5
145,1587,7
146,314,2
148,54,2
150,0,1
154,0,1
155,240,2
157,0,1
158,91,1
159,101,2
162,36,1
165,0,1
167,0,1
175,30,2
194,49,1
201,398,6
203,24,1
204,39,1
207,0,1
211,124,2
212,188,3
213,255,2
214,34,1
215,83,2
222,0,1
223,51,2
226,100,1
227,205,2
234,599,3
241,0,1
246,0,1
248,0,1
256,200,1
257,73,2
258,44,2
260,11,1
265,92,1
266,60,1
267,159,1
270,280,1
275,24,1
278,68,1
281,203,3
286,0,1
287,0,1
288,164,1
296,338,7
303,8,1
309,0,2
310,16,1
311,104,1
314,163,3
315,198,3
323,72,1
325,36,1
331,136,3
332,38,1
333,297,5
334,112,4
335,23,1
340,0,1
341,123,2
345,0,1
351,124,3
355,89,1
356,595,6
361,60,1
362,56,1
363,120,2
365,120,1
366,35,4
367,191,3
372,181,3
373,156,3
375,411,4
376,119,1
377,32,1
379,0,1
380,0,1
389,150,1
395,0,1
400,56,2
412,897,3
413,215,4
416,219,2
422,255,2
424,35,2
426,22,1
433,28,1
435,177,3
436,0,1
438,72,1
444,0,1
445,90,4
446,95,1
447,15,1
448,332,2
449,48,3
450,222,3
456,499,3
463,0,1
464,0,1
467,72,1
468,242,2
469,375,3
471,117,2
473,254,4
475,98,1
478,176,1
479,40,3
483,80,1
488,100,1
490,27,1
497,150,1
498,20,1
499,98,1
500,100,1
503,458,4
505,24,1
506,171,2
511,0,2
512,0,1
517,15,1
519,153,1
520,0,1
521,215,2
530,0,1
