development_projects_id,raw_id,building_name,site_name,action,scen0,scen1,scen2,scen3,scen4,scen5,scen6,scen7,scen10,scen11,scen12,scen15,address,city,zip,county,x,y,geom_id,year_built,duration,building_type_id,building_type,building_sqft,non_residential_sqft,residential_units,unit_ave_sqft,tenure,rent_type,stories,parking_spaces,Average Weighted Rent,rent_ave_sqft,rent_ave_unit,last_sale_year,last_sale_price,source
1,8860720,Maple Street Correctional Center,,build,1,1,1,1,1,1,1,1,1,1,1,1,Blomquist @ Maple St,Redwood City,94063,San Mateo,-122.21815,37.49426,15245388248920,2015,,,GV,260000,260000,0,,rent,,4,,,,,,,
2,8852564,SFMOMA Expansion,,build,1,1,1,1,1,1,1,1,1,1,1,1,670 Howard St,San Francisco,94105,San Francisco,-122.40005,37.78574,13598260132470,2016,,,GV,253000,253000,0,,rent,,10,,,,,,,
3,9122058,The Gilroy Library,,build,1,1,1,1,1,1,1,1,1,1,1,1,350 W 6th St,Gilroy,950206106,Santa Clara,-121.57259,37.00479,2093612470939,2015,,,GV,54000,54000,0,,rent,,2,,,,,,,
4,9645882,Willow Housing Veterans Apartments,,build,1,1,1,1,1,1,1,1,1,1,1,1,605 Willow Rd,Menlo Park,940252618,San Mateo,-122.16019,37.4663,9668283250207,2016,,,GV,43000,43000,0,,rent,,2,,,,,,,
5,8976159,,,build,1,1,1,1,1,1,1,1,1,1,1,1,1701 Martin Luther King Jr Blvd,Oakland,946121330,Alameda,-122.27487,37.80845,15481373205929,2015,,,GV,24600,24600,0,,rent,,4,,,,,,,
6,9018223,Lands End Lookout,,build,1,1,1,1,1,1,1,1,1,1,1,1,680 Point Lobos Ave,San Francisco,94121,San Francisco,-122.50554,37.78495,9941852999732,2015,,,GV,4150,4150,0,,rent,,1,,,,,,,
7,8272995,Rising Oaks,,build,1,1,1,1,1,1,1,1,1,1,1,1,3800 Coolidge Ave,Oakland,946023399,Alameda,-122.20567,37.80036,11264911797210,2015,,,GV,20730,20730,0,,rent,,2,,,,,,,
8,1418210,Siena Court Senior Housing,,build,1,1,1,1,1,1,1,1,1,1,1,1,700 Railroad Ave,Pittsburg,94565,Contra Costa,-121.88494,38.03014,3375048112296,2015,,,MR,120000,55398,111,582,rent,Affordable,3,500,9,2.21,1287,,,
9,9598357,Ashland Family Housing Project,,build,1,1,1,1,1,1,1,1,1,1,1,1,16395 E 14th St,San Leandro,945783109,Alameda,-122.11479,37.69486,1159192520604,2015,,,HM,74391,0,80,925,rent,Affordable,4,,22.8,,,,,
10,8831653,Avalon Berkeley,,build,1,1,1,1,1,1,1,1,1,1,1,1,651 Addison St,Berkeley,94710,Alameda,-122.3011,37.86639,3738312208433,2015,,,MR,136916,53726,94,885,rent,Market,5,,25.2,3.63,3426,2013,6082209574,
11,8007681,The Delaware Apartments,,build,1,1,1,1,1,1,1,1,1,1,1,1,1800 San Pablo Ave,Berkeley,94702,Alameda,-122.29326,37.87131,12373029556117,2015,,,MR,34955,8588,51,517,rent,Market,4,67,27,4.27,2206,2012,11925000,
12,9473583,The Aquatic,,build,1,1,1,1,1,1,1,1,1,1,1,1,800 University Ave,Berkeley,947102021,Alameda,-122.29842,37.86749,11764068625830,2016,,,HM,54302,0,70,775,rent,Market,5,60,27.6,,,,,
13,9401639,,,build,1,1,1,1,1,1,1,1,1,1,1,1,1935 Addison St,Berkeley,947041187,Alameda,-122.27136,37.87103,11802512544999,2016,,,HM,43356,0,46,925,rent,,6,,28.1,,,,,
14,7878783,B3 Bakery Apartments,,build,1,1,1,1,1,1,1,1,1,1,1,1,4600 Adeline St,Oakland,946083303,Alameda,-122.27601,37.83605,1355205321346,2015,,,HM,61000,0,79,835,rent,Market,2,,30,2.53,2111,,,
15,5051083,,,build,1,1,1,1,1,1,1,1,1,1,1,1,2489 Martin Luther King Jr Way,Berkeley,94704,Alameda,-122.27182,37.86362,6380443223169,2015,,,HM,8700,0,9,925,rent,Market,4,21,30,,,,,
16,7820208,Vara Apartments,,build,1,1,1,1,1,1,1,1,1,1,1,1,1880 Mission St,San Francisco,941033502,San Francisco,-122.42032,37.7669,332841524255,2015,,,MR,230000,62744,202,828,rent,Market/Affordable,6,355,32.5,5.5,4352,2013,108500000,
17,9037964,1100 Ocean Avenue,,build,1,1,1,1,1,1,1,1,1,1,1,1,1100-1140 Ocean Ave,San Francisco,941121843,San Francisco,-122.45499,37.72397,7522067872889,2015,,,MR,86500,20825,71,925,rent,Affordable,5,,33,,1289,,,
18,7090379,Phase I,Town Centrale,build,1,1,1,1,1,1,1,1,1,1,1,1,1375-1411 Sycamore Ave,Hercules,94547,Contra Costa,-122.27661,38.01438,7291019156087,2016,,,HM,75090,0,67,1113,rent,Market,4,,33.4,,,,,
19,7373004,Higby,,build,1,1,1,1,1,1,1,1,1,1,1,1,3015 San Pablo Ave,Berkeley,94702,Alameda,-122.28614,37.85189,15124692227158,2015,,,HM,103545,0,111,925,rent,Market,5,,34.35,,,,,
20,8375158,Venue,,build,1,1,1,1,1,1,1,1,1,1,1,1,1155 4TH St,San Francisco,94158,San Francisco,-122.39094,37.77326,15036958671009,2015,,,MR,227392,102883,147,925,rent,Market,6,,38,4.92,4252,,,
21,8116474,Madrone,,build,1,1,1,1,1,1,1,1,1,1,1,1,425-435 China Basin St,San Francisco,94158,San Francisco,-122.38854,37.77159,11202506426812,2015,,,HM,300000,0,329,925,rent,Market,16,200,38,,,,,
