development_projects_id,raw_id,building_name,site_name,action,scen0,scen3,scen1,scen2,scen4,scen5,address,city,zip,county,x,y,geom_id,year_built,duration,building_type_id,building_type,building_sqft,non_residential_sqft,residential_units,unit_ave_sqft,tenure,rent_type,stories,parking_spaces,Average Weighted Rent,rent_ave_sqft,rent_ave_unit,last_sale_year,last_sale_price,source,apn
1,8860720,Maple Street Correctional Center,,build,1,1,1,1,1,1,Blomquist @ Maple St,Redwood City,94063,San Mateo,-122.2181519,37.49425639,15245388248920,2015,,,GV,260000.0,260000.0,0.0,,rent,,4.0,,,,,,,,Redwood City-52392170-2
2,8852564,SFMOMA Expansion,,build,1,1,1,1,1,1,670 Howard St,San Francisco,94105,San Francisco,-122.4000496,37.78574189,13598260132470,2016,,,GV,253000.0,253000.0,0.0,,rent,,10.0,,,,,,,,San Francisco-3722027
3,9122058,The Gilroy Library,,build,1,1,1,1,1,1,350 W 6th St,Gilroy,950206106,Santa Clara,-121.5725859,37.00479006,2093612470939,2012,,,GV,54000.0,54000.0,0.0,,rent,,2.0,,,,,,,,Gilroy-79917066
4,9645882,Willow Housing Veterans Apartments,,build,1,1,1,1,1,1,605 Willow Rd,Menlo Park,940252618,San Mateo,-122.1601886,37.46629823,9668283250207,2016,,,GV,43000.0,43000.0,0.0,,rent,,2.0,,,,,,,,Menlo Park-62470050-1
5,8976159,,,build,1,1,1,1,1,1,1701 Martin Luther King Jr Blvd,Oakland,946121330,Alameda,-122.2748682,37.80844724,15481373205929,2015,,,GV,24600.0,24600.0,0.0,,rent,,4.0,,,,,,,,Oakland-003 005900600
6,9018223,Lands End Lookout,,build,1,1,1,1,1,1,680 Point Lobos Ave,San Francisco,94121,San Francisco,-122.5055396,37.78495267,9941852999732,2012,,,GV,4150.0,4150.0,0.0,,rent,,1.0,,,,,,,,San Francisco-1313030-1
7,8272995,Rising Oaks,,build,1,1,1,1,1,1,3800 Coolidge Ave,Oakland,946023399,Alameda,-122.2056669,37.8003629,11264911797210,2013,,,GV,20730.0,20730.0,0.0,,rent,,2.0,,,,,,,,Oakland-029 098100506
8,1418210,Siena Court Senior Housing,,build,1,1,1,1,1,1,700 Railroad Ave,Pittsburg,94565,Contra Costa,-121.8849423,38.03014136,3375048112296,2012,,,MR,120000.0,55398.0,111.0,582.0,rent,Affordable,3.0,500.0,9.0,2.21,1287.0,,,,Pittsburg-328396
9,9598357,Ashland Family Housing Project,,build,1,1,1,1,1,1,16395 E 14th St,San Leandro,945783109,Alameda,-122.114787,37.69486056,1159192520604,2015,,,HM,74391.0,0.0,80.0,925.0,rent,Affordable,4.0,,22.8,,,,,,Unincorporated Alameda-080C047902302
10,8831653,Avalon Berkeley,,build,1,1,1,1,1,1,651 Addison St,Berkeley,94710,Alameda,-122.3010965,37.86639132,3738312208433,2014,,,MR,136916.0,53726.0,94.0,885.0,rent,Market,5.0,,25.2,3.63,3426.0,2013.0,6082209574.0,,Berkeley-056 195400900
11,8007681,The Delaware Apartments,,build,1,1,1,1,1,1,1800 San Pablo Ave,Berkeley,94702,Alameda,-122.2932608,37.87130689,12373029556117,2011,,,MR,34955.0,8588.0,51.0,517.0,rent,Market,4.0,67.0,27.0,4.27,2206.0,2012.0,11925000.0,,Berkeley-057 208700204
12,9473583,The Aquatic,,build,1,1,1,1,1,1,800 University Ave,Berkeley,947102021,Alameda,-122.2984158,37.86748709,11764068625830,2016,,,HM,54302.0,0.0,70.0,775.0,rent,Market,5.0,60.0,27.6,,,,,,Berkeley-056 196100208
13,9401639,,,build,1,1,1,1,1,1,1935 Addison St,Berkeley,947041187,Alameda,-122.2713636,37.87103444,11802512544999,2016,,,HM,43356.0,0.0,46.0,925.0,rent,,6.0,,28.1,,,,,,Berkeley-057 202400501
14,7878783,B3 Bakery Apartments,,build,1,1,1,1,1,1,4600 Adeline St,Oakland,946083303,Alameda,-122.2760136,37.8360542,1355205321346,2013,,,HM,61000.0,0.0,79.0,835.0,rent,Market,2.0,,30.0,2.53,2111.0,,,,Emeryville-049 117300400
15,5051083,,,build,1,1,1,1,1,1,2489 Martin Luther King Jr Way,Berkeley,94704,Alameda,-122.271819,37.86362014,6380443223169,2015,,,HM,8700.0,0.0,9.0,925.0,rent,Market,4.0,21.0,30.0,,,,,,Berkeley-055 189801601
16,7820208,Vara Apartments,,build,1,1,1,1,1,1,1880 Mission St,San Francisco,941033502,San Francisco,-122.4203225,37.76689762,332841524255,2013,,,MR,230000.0,62744.0,202.0,828.0,rent,Market/Affordable,6.0,355.0,32.5,5.5,4352.0,2013.0,108500000.0,,San Francisco-3547003
17,9037964,1100 Ocean Avenue,,build,1,1,1,1,1,1,1100-1140 Ocean Ave,San Francisco,941121843,San Francisco,-122.4549941,37.72397281,7522067872889,2015,,,MR,86500.0,20825.0,71.0,925.0,rent,Affordable,5.0,,33.0,,1289.0,,,,San Francisco-6944044
18,7090379,Phase I,Town Centrale,build,1,1,1,1,1,1,1375-1411 Sycamore Ave,Hercules,94547,Contra Costa,-122.2766093,38.0143767,7291019156087,2016,,,HM,75090.0,0.0,67.0,1113.0,rent,Market,4.0,,33.4,,,,,,Hercules-333505
19,7373004,Higby,,build,1,1,1,1,1,1,3015 San Pablo Ave,Berkeley,94702,Alameda,-122.2861367,37.85189001,15124692227158,2015,,,HM,103545.0,0.0,111.0,925.0,rent,Market,5.0,,34.35,,,,,,Berkeley-053 162703700
20,8375158,Venue,,build,1,1,1,1,1,1,1155 4TH St,San Francisco,94158,San Francisco,-122.3909385,37.77325794,15036958671009,2013,,,MR,227392.0,102883.0,147.0,925.0,rent,Market,6.0,,38.0,4.92,4252.0,,,,San Francisco-8711025
21,8116474,Madrone,,build,1,1,1,1,1,1,425-435 China Basin St,San Francisco,94158,San Francisco,-122.3885362,37.7715877,11202506426812,2012,,,HM,300000.0,0.0,329.0,925.0,rent,Market,16.0,200.0,38.0,,,,,,San Francisco-8720016
