year,AGREMPN,MWTEMPN,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,
2010,25116,525629,324848,820089,979231,735940,
2011,25091,525398,330893,865757,1004430,752333,
2012,25066,525167,337051,913968,1030278,769092,
2013,25041,524936,343323,964863,1056791,786224,
2014,25016,524705,349712,1018593,1083986,803738,
2015,24991,524474,356219,1075314,1111882,821641,
2016,24966,524243,357809,1084430,1124656,826415,
2017,24941,524013,359406,1093623,1137577,831216,
2018,24916,523783,361010,1102894,1150647,836045,
2019,24891,523553,362621,1112244,1163867,840902,
2020,24866,523323,364240,1121673,1177239,845787,
2021,24841,523093,365866,1131182,1190764,850701,
2022,24816,522863,367499,1140772,1204445,855643,
2023,24791,522633,369139,1150443,1218283,860614,
2024,24766,522403,370787,1160196,1232280,865614,
2025,24741,522173,372442,1170032,1246438,870643,
2026,24716,521943,374104,1179951,1260759,875701,
2027,24692,521714,375774,1189954,1275244,880789,
2028,24668,521485,377451,1200042,1289895,885906,
2029,24644,521256,379136,1210216,1304715,891053,
2030,24620,521027,380828,1220476,1319705,896230,
2031,24596,520798,382528,1230823,1334867,901437,
2032,24572,520569,384235,1241258,1350204,906674,
2033,24548,520340,385950,1251781,1365717,911942,
2034,24524,520111,387673,1262393,1381408,917240,
2035,24500,519882,389403,1273095,1397279,922569,
2036,24476,519653,391141,1283888,1413333,927929,
2037,24452,519425,392887,1294772,1429571,933320,
2038,24428,519197,394641,1305749,1445996,938742,
2039,24404,518969,396402,1316819,1462609,944196,
2040,24379,518741,398173,1327984,1479413,949684,
