Industries,Units,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
All Industries,Thousands (Jobs),5107417,5245992,5356396,5496868,5604022,5184751,5205769,5277577,5269932,5274881,5299422,5405998,5510253,5643844,5787056,5942172,6000432,6042356,6087536,6137203,6190404,6245680,6301321,6358425,6416091,6474269,6518150,6562478,6607334,6653026,6699410,6746063,6793296,6840915,6889001,6933518
"Forestry, fishing, and hunting",Thousands (Jobs),10205,10954,10840,11178,11410,10627,10649,10683,10757,10864,11023,11308,11587,11889,12207,12525,12667,12789,12913,13030,13150,13265,13393,13516,13646,13771,13898,14023,14147,14273,14400,14522,14645,14767,14892,14998
Mining,Thousands (Jobs),10199,9945,8739,8927,8998,8062,8070,8206,8189,8211,8301,8480,8661,8877,9104,9343,9607,9731,9863,10000,10149,10307,10463,10630,10791,10959,11127,11301,11473,11649,11829,12012,12194,12381,12570,12755
Utilities,Thousands (Jobs),15237,16344,17706,18363,18591,17356,17365,17483,17469,17508,17604,17787,17954,18184,18430,18691,18846,18888,18933,18989,19051,19113,19177,19245,19318,19391,19469,19551,19637,19726,19824,19927,20035,20145,20262,20368
Construction,Thousands (Jobs),244277,255041,263329,269012,270213,249804,260240,303662,299548,295339,293508,293339,291911,295722,300018,307096,306982,308393,310596,313577,317156,321021,324825,328605,332225,335656,336936,338312,339816,341415,343075,344796,346573,348422,350351,352131
Manufacturing,Thousands (Jobs),356984,364871,378070,382830,386756,361849,349789,340310,329830,321235,315326,315094,314778,315917,317968,320829,321365,318947,316953,315398,314500,313939,313456,313018,312600,312181,311789,311406,311023,310708,310441,310190,309977,309755,309532,309140
Wholesale trade,Thousands (Jobs),165195,157972,155785,160452,163576,152644,150448,149604,146948,144677,143018,145813,148560,151848,155365,159137,160907,161302,161776,162342,162977,163701,164443,165185,165922,166649,167364,168069,168771,169476,170178,170863,171539,172206,172865,173414
Retail trade,Thousands (Jobs),418874,417551,418616,432873,444082,421677,414488,411386,402588,395043,388717,397486,406247,417770,430326,444222,446744,449123,452149,455996,460575,465676,470707,475923,481208,486577,489561,492524,495516,498527,501545,504532,507520,510500,513478,516162
Transportation and warehousing,Thousands (Jobs),171172,196279,204922,211449,215097,178869,191727,195777,198907,203006,208677,213212,216526,221524,226265,231362,232745,234272,235930,237801,239802,241946,244147,246444,248752,251084,253134,255218,257315,259460,261651,263877,266140,268416,270711,272903
Information,Thousands (Jobs),187626,200837,218673,225915,233552,224481,223367,222505,221515,220569,219678,226984,235550,245251,256008,267638,270999,275476,280221,285249,290561,296178,301936,307853,313923,320151,326553,333114,339852,346758,353845,361107,368557,376193,384014,391965
Finance and insurance,Thousands (Jobs),252242,268437,275273,275003,277859,258294,257540,257771,256352,255564,255602,259734,263889,269217,274879,280820,282201,283805,285491,287330,289260,291196,293127,295148,297168,299198,300359,301494,302625,303758,304882,305973,307060,308132,309195,310061
Real estate and rental and leasing,Thousands (Jobs),237135,240987,248073,252021,255012,237243,236700,238773,238387,239016,240414,245053,249694,255638,261984,268865,272680,274769,277009,279501,282178,284959,287803,290799,293870,297031,298665,300306,301970,303654,305358,307055,308767,310489,312220,313773
"Professional, scientific, and technical services",Thousands (Jobs),668179,681536,691409,714846,739881,709570,709002,712901,711944,712045,713881,735153,756763,780427,805584,831602,842386,853149,863989,874903,885856,896957,908258,919663,931118,942627,954198,965797,977457,989200,1001017,1012841,1024719,1036649,1048634,1060017
Management of companies and enterprises,Thousands (Jobs),76077,79066,80912,83393,85008,77766,77637,77672,77754,78042,78646,80440,82217,84168,86253,88401,88696,89227,89766,90311,90858,91425,92046,92680,93308,93928,94541,95145,95743,96338,96930,97507,98080,98647,99206,99694
"Administrative, support, waste management, and remediation services",Thousands (Jobs),307572,319899,324167,334195,342620,322796,323944,327141,327717,329089,331802,339710,347560,356410,365691,375347,382465,385896,389359,392846,396338,399925,403653,407431,411228,415041,418895,422743,426616,430508,434431,438352,442294,446248,450218,453930
Educational services; private,Thousands (Jobs),160838,163015,165441,170309,172490,158733,160147,162867,164095,165566,167417,171996,176583,181934,187603,193511,194878,195924,196974,198035,199072,200019,200819,201539,202182,202752,203303,203850,204410,205120,205958,206908,207973,209127,210363,211591
Health care and social assistance,Thousands (Jobs),536664,551969,564676,575127,587934,570466,571963,576108,576197,577327,579656,596980,614583,635332,657359,680569,689613,697203,704977,713263,721869,730440,738824,747383,756044,764760,771257,777889,784548,791230,797911,804551,811194,817826,824457,830586
