empsh,empsix,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
ag,AGREMPN,0.914,0.765,0.677,0.641,0.61,0.577,0.547,0.52,0.496,0.472,0.45
art_rec,HEREMPN,0.071,0.083,0.077,0.075,0.074,0.073,0.073,0.072,0.071,0.07,0.068
constr,OTHEMPN,0.314,0.33,0.338,0.351,0.371,0.4,0.429,0.455,0.478,0.499,0.516
eat,RETEMPN,0.411,0.392,0.399,0.396,0.39,0.389,0.39,0.391,0.392,0.394,0.396
ed_high,HEREMPN,0.197,0.127,0.127,0.124,0.121,0.116,0.109,0.104,0.099,0.095,0.09
ed_k12,HEREMPN,0.181,0.171,0.171,0.167,0.163,0.155,0.147,0.14,0.134,0.127,0.121
ed_oth,HEREMPN,0.033,0.027,0.027,0.026,0.026,0.025,0.023,0.022,0.021,0.02,0.019
fire,FPSEMPN,0.226,0.198,0.198,0.189,0.179,0.17,0.161,0.154,0.147,0.14,0.134
gov,OTHEMPN,0.464,0.404,0.406,0.406,0.399,0.38,0.362,0.347,0.335,0.325,0.317
health,HEREMPN,0.299,0.292,0.301,0.313,0.323,0.336,0.35,0.362,0.373,0.385,0.396
hotel,RETEMPN,0.081,0.083,0.086,0.088,0.089,0.089,0.089,0.089,0.089,0.088,0.088
info,OTHEMPN,0.222,0.266,0.256,0.243,0.23,0.22,0.209,0.198,0.187,0.177,0.167
lease,FPSEMPN,0.016,0.008,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
logis,MWTEMPN,0.251,0.273,0.298,0.308,0.318,0.325,0.33,0.335,0.34,0.344,0.347
man_bio,MWTEMPN,0.03,0.033,0.033,0.032,0.031,0.029,0.027,0.026,0.025,0.024,0.023
man_hvy,MWTEMPN,0.19,0.222,0.209,0.202,0.198,0.195,0.193,0.191,0.188,0.184,0.179
man_lgt,MWTEMPN,0.101,0.102,0.104,0.101,0.099,0.097,0.095,0.094,0.093,0.093,0.092
man_tech,MWTEMPN,0.238,0.17,0.154,0.157,0.152,0.145,0.137,0.128,0.119,0.11,0.101
natres,AGREMPN,0.086,0.235,0.323,0.359,0.39,0.423,0.453,0.48,0.504,0.528,0.55
prof,FPSEMPN,0.455,0.504,0.503,0.515,0.528,0.54,0.552,0.563,0.574,0.584,0.594
ret_loc,RETEMPN,0.322,0.353,0.346,0.347,0.351,0.351,0.35,0.35,0.349,0.349,0.348
ret_reg,RETEMPN,0.186,0.172,0.168,0.169,0.17,0.171,0.17,0.17,0.17,0.169,0.169
serv_bus,FPSEMPN,0.303,0.289,0.29,0.288,0.285,0.282,0.279,0.275,0.271,0.268,0.264
serv_per,HEREMPN,0.166,0.125,0.114,0.107,0.101,0.096,0.092,0.087,0.082,0.077,0.072
serv_soc,HEREMPN,0.054,0.175,0.184,0.188,0.192,0.198,0.206,0.213,0.22,0.226,0.232
transp,MWTEMPN,0.13,0.157,0.157,0.157,0.16,0.167,0.175,0.183,0.193,0.203,0.214
util,MWTEMPN,0.06,0.042,0.044,0.044,0.043,0.043,0.043,0.043,0.043,0.043,0.043
