household_id,building_id
557731,458086
2434208,264701
1496252,672515
69407,137582
2434651,749349
1276881,773346
1523036,1739770
1338525,1060671
2378634,1025152
2255416,1198739
36660,1281471
1962856,1019471
1962464,1449805
2555233,201337
1854161,323524
1286157,374478
1146658,1826120
2434623,1539744
1286480,252507
2158750,172921
1338824,740096
1826966,933507
1286145,1065789
2046036,1117071
2588803,654504
1213444,1427666
1172096,436356
1989805,789546
915394,1572422
413186,337866
1900494,313878
2554889,719307
2157564,1539224
2207126,1279244
2181928,785121
1121604,168907
1156877,1583901
1989972,653406
2207146,336937
1989939,310114
1523072,304641
1172116,735542
1496296,1341835
1962533,1072494
647442,1074140
69378,1004979
106850,1396560
1146584,1443365
1267619,202002
2533546,1646893
2046515,55795
413013,829044
1172130,1539748
1286164,1628850
2158715,180997
647336,665012
2555219,1219886
1286256,1302554
2590500,1472381
36653,1163010
2330983,1527978
1962512,1564427
2434459,1466398
1919729,75522
1701156,199455
2233238,734385
1229516,801933
2307562,1362916
1989844,423019
1538391,903596
106835,725748
1652777,1342582
413155,511120
413200,981212
1365053,817178
2233135,828657
725788,205337
2140999,1218804
1929626,603292
1989892,125280
726011,1110034
1432474,1591623
2434603,671053
2434627,246316
660730,795590
2046418,699174
1523027,1759694
1213445,736105
1990574,1277441
726338,1699902
1538377,220981
557595,1840659
1962490,1284526
1990571,73509
1039832,1799105
1520653,778915
2046590,361717
949316,1038865
413110,38603
1990161,1414838
2233237,1212953
1338785,1544134
1121708,1284674
2555229,81481
2255250,702159
2378938,1013547
2046697,529962
1078771,477544
2141066,1657454
2181973,765753
793300,717235
1989770,270508
1823775,1507390
2182241,1802099
660646,1580571
1923015,55770
2046661,279280
2537737,1822305
2536988,1680655
2046218,976438
1859111,1685291
1652712,49253
296111,1766289
413159,257636
485515,280493
1432422,586704
1923053,582314
1962498,1821841
2577988,1686615
2378335,132138
1962543,51723
907861,1630575
1172115,642142
2376480,906764
1990109,323475
175058,1557099
1064550,428974
2046447,1561590
557638,1285704
2046355,770421
2182197,969100
726894,1285488
1701166,367165
1121638,22788
726541,796019
3421,685624
2537768,798634
413107,1539009
1338709,673633
2181854,562778
819872,404338
1379912,1773408
2181948,1539312
927842,598380
312351,1609795
2433054,227179
1701055,690465
1962552,794452
1496311,1114579
2378982,461378
1929600,494716
2376483,901549
2577971,188731
2331055,613639
1923032,1629628
725860,1499525
1962415,92798
647324,1837912
2536958,1411647
775843,372041
374442,695617
2046315,1150336
2307464,13263
2043682,129805
1432532,7383
820042,974812
1205022,369539
2362189,1675795
2233202,11678
2182248,335848
786117,206472
2331118,784530
2434527,562928
296134,609986
726465,1366758
2255480,796194
1989879,1777822
725765,796133
2181966,1787223
898854,373473
1121671,239474
2164604,1635791
357526,1479357
2554871,1720707
413047,1695700
2233123,575813
1962878,1291478
2027632,1691429
2181916,807692
2434361,1070206
1243853,1539734
338301,383248
1989900,975907
946144,288803
1339197,1587074
3463,1481532
1413212,743847
1982216,48175
36649,1117524
69381,1258155
149931,396502
2378681,38311
726440,282017
2378535,424488
660635,711345
1929595,1828813
413292,128576
2043613,774078
1834864,625512
2141015,358541
2046626,1006383
2378670,774006
1672653,1617248
1989738,29075
2046401,792232
2555228,1692135
1834898,1637403
36652,1646613
2255508,1129090
1146573,648722
