serialno,puma1,asian,black,hisp,white
10822,40,0,0,0,1
13555,40,0,0,0,1
14212,40,0,0,0,1
14779,40,0,0,0,1
16723,40,0,0,0,1
21653,40,0,0,0,1
22685,40,0,0,0,1
27809,40,0,0,0,1
27825,40,0,0,0,1
31448,40,0,0,0,1
34409,40,0,0,0,1
36129,40,0,0,0,1
41552,40,0,0,0,1
47637,40,0,0,0,1
49025,40,0,0,0,1
49362,40,0,0,0,1
67776,40,0,0,0,1
68089,40,0,0,0,1
69039,40,0,0,0,1
70646,40,0,0,0,1
77364,40,0,0,0,1
78105,40,0,0,0,1
79014,40,0,0,0,1
81783,40,0,0,0,1
83725,40,1,0,0,0
83783,40,0,0,1,0
83962,40,0,0,0,1
85111,40,0,0,0,1
87816,40,0,0,0,1
90051,40,0,0,0,1
94010,40,0,0,0,1
98383,40,0,0,0,1
99573,40,0,0,0,1
100244,40,0,0,0,1
103853,40,0,0,0,1
104794,40,0,0,0,1
112747,40,0,0,1,0
116890,40,0,0,0,1
119358,40,0,0,0,1
119508,40,0,0,0,1
127509,40,0,0,0,1
127745,40,0,0,0,1
128190,40,0,0,0,1
130563,40,0,0,0,1
132831,40,0,0,0,1
133898,40,0,0,0,1
134394,40,0,0,0,1
138983,40,0,0,0,1
141116,40,0,0,1,1
141889,40,0,0,0,1
141977,40,0,0,0,1
144377,40,0,0,0,1
145704,40,0,0,0,1
148390,40,0,0,0,1
149148,40,0,0,0,1
149757,40,0,0,0,1
154842,40,1,0,0,0
155734,40,0,0,0,1
156759,40,0,0,1,0
156776,40,0,0,0,1
163859,40,0,0,0,1
164139,40,0,0,0,1
166823,40,0,0,0,1
169510,40,0,0,0,1
172594,40,0,0,0,1
176644,40,0,0,0,1
177313,40,0,0,0,1
181987,40,0,0,0,1
186887,40,0,0,0,1
188018,40,0,1,1,0
192694,40,0,0,0,1
193249,40,0,0,0,1
196983,40,0,0,0,1
199319,40,0,0,0,1
204930,40,0,0,0,1
205408,40,0,1,1,0
207795,40,0,0,0,1
210095,40,0,0,0,1
210212,40,0,0,1,0
210903,40,0,0,0,1
213728,40,0,0,0,1
218000,40,0,0,0,1
222385,40,0,0,0,1
222894,40,0,0,0,1
227905,40,0,0,0,1
230202,40,0,0,0,1
233476,40,0,0,0,1
235723,40,0,0,0,1
236965,40,0,0,0,1
245553,40,0,0,0,1
245903,40,0,0,0,1
253431,40,0,0,0,1
254586,40,0,0,0,1
259954,40,0,0,0,1
260463,40,0,0,0,1
262202,40,0,0,0,1
262442,40,1,0,0,0
266250,40,0,0,0,1
268882,40,0,0,0,1
272814,40,0,0,0,1
277657,40,0,0,0,1
278671,40,0,0,1,0
279909,40,0,0,0,1
283579,40,0,0,0,1
284045,40,0,0,0,0
284638,40,0,1,0,0
285702,40,0,0,0,1
286889,40,0,0,0,1
289273,40,0,0,0,0
292384,40,0,0,0,1
294092,40,0,0,1,1
296042,40,0,0,0,1
296286,40,0,1,0,0
296519,40,0,0,0,1
302031,40,0,0,0,1
304437,40,0,0,0,1
304770,40,0,0,0,1
311261,40,0,0,0,1
311695,40,0,0,0,1
312779,40,0,0,0,1
316857,40,0,0,0,1
317879,40,0,0,0,1
320687,40,0,0,0,1
320757,40,0,0,0,1
323697,40,0,0,0,1
329639,40,0,0,0,1
330051,40,0,0,0,1
331798,40,0,0,0,1
336157,40,0,0,0,1
338647,40,0,0,0,1
342051,40,0,0,0,1
344710,40,0,0,1,0
345014,40,0,0,0,1
349513,40,0,0,0,1
351639,40,0,0,0,1
352376,40,0,0,1,1
366307,40,0,0,0,1
370578,40,0,0,0,1
