zone_id,base_income_quartile,tenure,rate
1,1,own,0.75
1,2,own,0.75
1,3,own,0.75
1,4,own,0.75
1,1,rent,1.0
1,2,rent,1.0
1,3,rent,1.0
1,4,rent,1.0
2,1,own,0.75
2,2,own,0.75
2,3,own,0.75
2,4,own,0.75
2,1,rent,1.0
2,2,rent,1.0
2,3,rent,1.0
2,4,rent,1.0
3,1,own,0.75
3,2,own,0.75
3,3,own,0.75
3,4,own,0.75
3,1,rent,1.0
3,2,rent,1.0
3,3,rent,1.0
3,4,rent,1.0
4,1,own,0.75
4,2,own,0.75
4,3,own,0.75
4,4,own,0.75
4,1,rent,1.0
4,2,rent,1.0
4,3,rent,1.0
4,4,rent,1.0
5,1,own,0.75
5,2,own,0.75
5,3,own,0.75
5,4,own,0.75
5,1,rent,1.0
5,2,rent,1.0
5,3,rent,1.0
5,4,rent,1.0
6,1,own,0.75
6,2,own,0.75
6,3,own,0.75
6,4,own,0.75
6,1,rent,1.0
6,2,rent,1.0
6,3,rent,1.0
6,4,rent,1.0
7,1,own,0.75
7,2,own,0.75
7,3,own,0.75
7,4,own,0.75
7,1,rent,1.0
7,2,rent,1.0
7,3,rent,1.0
7,4,rent,1.0
8,1,own,0.75
8,2,own,0.75
8,3,own,0.75
8,4,own,0.75
8,1,rent,1.0
8,2,rent,1.0
8,3,rent,1.0
8,4,rent,1.0
9,1,own,0.75
9,2,own,0.75
9,3,own,0.75
9,4,own,0.75
9,1,rent,1.0
9,2,rent,1.0
9,3,rent,1.0
9,4,rent,1.0
10,1,own,0.75
10,2,own,0.75
10,3,own,0.75
10,4,own,0.75
10,1,rent,1.0
10,2,rent,1.0
10,3,rent,1.0
10,4,rent,1.0
11,1,own,0.75
11,2,own,0.75
11,3,own,0.75
11,4,own,0.75
11,1,rent,1.0
11,2,rent,1.0
11,3,rent,1.0
11,4,rent,1.0
12,1,own,0.75
12,2,own,0.75
12,3,own,0.75
12,4,own,0.75
12,1,rent,1.0
12,2,rent,1.0
12,3,rent,1.0
12,4,rent,1.0
13,1,own,0.75
13,2,own,0.75
13,3,own,0.75
13,4,own,0.75
13,1,rent,1.0
13,2,rent,1.0
13,3,rent,1.0
13,4,rent,1.0
14,1,own,0.75
14,2,own,0.75
14,3,own,0.75
14,4,own,0.75
14,1,rent,1.0
14,2,rent,1.0
14,3,rent,1.0
14,4,rent,1.0
15,1,own,0.75
15,2,own,0.75
15,3,own,0.75
15,4,own,0.75
15,1,rent,1.0
15,2,rent,1.0
15,3,rent,1.0
15,4,rent,1.0
16,1,own,0.75
16,2,own,0.75
16,3,own,0.75
16,4,own,0.75
16,1,rent,1.0
16,2,rent,1.0
16,3,rent,1.0
16,4,rent,1.0
17,1,own,0.75
17,2,own,0.75
17,3,own,0.75
17,4,own,0.75
17,1,rent,1.0
17,2,rent,1.0
17,3,rent,1.0
17,4,rent,1.0
18,1,own,0.75
18,2,own,0.75
18,3,own,0.75
18,4,own,0.75
18,1,rent,1.0
18,2,rent,1.0
18,3,rent,1.0
18,4,rent,1.0
19,1,own,0.75
19,2,own,0.75
19,3,own,0.75
19,4,own,0.75
19,1,rent,1.0
19,2,rent,1.0
19,3,rent,1.0
19,4,rent,1.0
20,1,own,0.75
20,2,own,0.75
20,3,own,0.75
20,4,own,0.75
20,1,rent,1.0
20,2,rent,1.0
20,3,rent,1.0
20,4,rent,1.0
21,1,own,0.75
21,2,own,0.75
21,3,own,0.75
21,4,own,0.75
21,1,rent,1.0
21,2,rent,1.0
21,3,rent,1.0
21,4,rent,1.0
22,1,own,0.75
22,2,own,0.75
22,3,own,0.75
22,4,own,0.75
22,1,rent,1.0
22,2,rent,1.0
22,3,rent,1.0
22,4,rent,1.0
23,1,own,0.75
23,2,own,0.75
23,3,own,0.75
23,4,own,0.75
23,1,rent,1.0
23,2,rent,1.0
23,3,rent,1.0
23,4,rent,1.0
24,1,own,0.75
24,2,own,0.75
24,3,own,0.75
24,4,own,0.75
24,1,rent,1.0
24,2,rent,1.0
24,3,rent,1.0
24,4,rent,1.0
25,1,own,0.75
25,2,own,0.75
25,3,own,0.75
25,4,own,0.75
25,1,rent,1.0
25,2,rent,1.0
25,3,rent,1.0
25,4,rent,1.0
26,1,own,0.75
26,2,own,0.75
26,3,own,0.75
26,4,own,0.75
26,1,rent,1.0
26,2,rent,1.0
26,3,rent,1.0
26,4,rent,1.0
27,1,own,0.75
27,2,own,0.75
27,3,own,0.75
27,4,own,0.75
27,1,rent,1.0
27,2,rent,1.0
27,3,rent,1.0
27,4,rent,1.0
28,1,own,0.75
28,2,own,0.75
28,3,own,0.75
28,4,own,0.75
28,1,rent,1.0
28,2,rent,1.0
28,3,rent,1.0
28,4,rent,1.0
29,1,own,0.75
29,2,own,0.75
29,3,own,0.75
29,4,own,0.75
29,1,rent,1.0
29,2,rent,1.0
29,3,rent,1.0
29,4,rent,1.0
30,1,own,0.75
30,2,own,0.75
30,3,own,0.75
30,4,own,0.75
30,1,rent,1.0
30,2,rent,1.0
30,3,rent,1.0
30,4,rent,1.0
31,1,own,0.75
31,2,own,0.75
31,3,own,0.75
31,4,own,0.75
31,1,rent,1.0
31,2,rent,1.0
31,3,rent,1.0
31,4,rent,1.0
32,1,own,0.75
32,2,own,0.75
32,3,own,0.75
32,4,own,0.75
32,1,rent,1.0
32,2,rent,1.0
32,3,rent,1.0
32,4,rent,1.0
33,1,own,0.75
33,2,own,0.75
33,3,own,0.75
33,4,own,0.75
33,1,rent,1.0
33,2,rent,1.0
33,3,rent,1.0
33,4,rent,1.0
34,1,own,0.75
34,2,own,0.75
34,3,own,0.75
34,4,own,0.75
34,1,rent,1.0
34,2,rent,1.0
34,3,rent,1.0
34,4,rent,1.0
35,1,own,0.75
35,2,own,0.75
35,3,own,0.75
35,4,own,0.75
35,1,rent,1.0
35,2,rent,1.0
35,3,rent,1.0
35,4,rent,1.0
36,1,own,0.75
36,2,own,0.75
36,3,own,0.75
36,4,own,0.75
36,1,rent,1.0
36,2,rent,1.0
36,3,rent,1.0
36,4,rent,1.0
37,1,own,0.75
37,2,own,0.75
37,3,own,0.75
37,4,own,0.75
37,1,rent,1.0
37,2,rent,1.0
37,3,rent,1.0
37,4,rent,1.0
38,1,own,0.75
38,2,own,0.75
38,3,own,0.75
38,4,own,0.75
38,1,rent,1.0
38,2,rent,1.0
38,3,rent,1.0
38,4,rent,1.0
39,1,own,0.75
39,2,own,0.75
39,3,own,0.75
39,4,own,0.75
39,1,rent,1.0
39,2,rent,1.0
39,3,rent,1.0
39,4,rent,1.0
40,1,own,0.75
40,2,own,0.75
40,3,own,0.75
40,4,own,0.75
40,1,rent,1.0
40,2,rent,1.0
40,3,rent,1.0
40,4,rent,1.0
41,1,own,0.75
41,2,own,0.75
41,3,own,0.75
41,4,own,0.75
41,1,rent,1.0
41,2,rent,1.0
41,3,rent,1.0
41,4,rent,1.0
42,1,own,0.75
42,2,own,0.75
42,3,own,0.75
42,4,own,0.75
42,1,rent,1.0
42,2,rent,1.0
42,3,rent,1.0
42,4,rent,1.0
43,1,own,0.75
43,2,own,0.75
43,3,own,0.75
43,4,own,0.75
43,1,rent,1.0
43,2,rent,1.0
43,3,rent,1.0
43,4,rent,1.0
44,1,own,0.75
44,2,own,0.75
44,3,own,0.75
44,4,own,0.75
44,1,rent,1.0
44,2,rent,1.0
44,3,rent,1.0
44,4,rent,1.0
45,1,own,0.75
45,2,own,0.75
45,3,own,0.75
45,4,own,0.75
45,1,rent,1.0
45,2,rent,1.0
45,3,rent,1.0
45,4,rent,1.0
46,1,own,0.75
46,2,own,0.75
46,3,own,0.75
46,4,own,0.75
46,1,rent,1.0
46,2,rent,1.0
46,3,rent,1.0
46,4,rent,1.0
47,1,own,0.75
47,2,own,0.75
47,3,own,0.75
47,4,own,0.75
47,1,rent,1.0
47,2,rent,1.0
47,3,rent,1.0
47,4,rent,1.0
48,1,own,0.75
48,2,own,0.75
48,3,own,0.75
48,4,own,0.75
48,1,rent,1.0
48,2,rent,1.0
48,3,rent,1.0
48,4,rent,1.0
49,1,own,0.75
49,2,own,0.75
49,3,own,0.75
49,4,own,0.75
49,1,rent,1.0
49,2,rent,1.0
49,3,rent,1.0
49,4,rent,1.0
50,1,own,0.75
50,2,own,0.75
50,3,own,0.75
50,4,own,0.75
50,1,rent,1.0
50,2,rent,1.0
50,3,rent,1.0
50,4,rent,1.0
51,1,own,0.75
51,2,own,0.75
51,3,own,0.75
51,4,own,0.75
51,1,rent,1.0
51,2,rent,1.0
51,3,rent,1.0
51,4,rent,1.0
52,1,own,0.75
52,2,own,0.75
52,3,own,0.75
52,4,own,0.75
52,1,rent,1.0
52,2,rent,1.0
52,3,rent,1.0
52,4,rent,1.0
53,1,own,0.75
53,2,own,0.75
53,3,own,0.75
53,4,own,0.75
53,1,rent,1.0
53,2,rent,1.0
53,3,rent,1.0
53,4,rent,1.0
54,1,own,0.75
54,2,own,0.75
54,3,own,0.75
54,4,own,0.75
54,1,rent,1.0
54,2,rent,1.0
54,3,rent,1.0
54,4,rent,1.0
55,1,own,0.75
55,2,own,0.75
55,3,own,0.75
55,4,own,0.75
