County,Jurisdiction,Households
Alameda,Alameda,30123
Alameda,Albany,7401
Alameda,Berkeley,46029
Alameda,Dublin,14913
Alameda,Emeryville,5694
Alameda,Fremont,71004
Alameda,Hayward,45365
Alameda,Livermore,29134
Alameda,Newark,12972
Alameda,Oakland,153791
Alameda,Piedmont,3801
Alameda,Pleasanton,25245
Alameda,San Leandro,30717
Alameda,Union City,20433
Alameda,Alameda County,48516
Contra Costa,Antioch,32252
Contra Costa,Brentwood,16494
Contra Costa,Clayton,4006
Contra Costa,Concord,44278
Contra Costa,Danville,15420
Contra Costa,El Cerrito,10142
Contra Costa,Hercules,8115
Contra Costa,Lafayette,9223
Contra Costa,Martinez,14287
Contra Costa,Moraga,5570
Contra Costa,Oakley,10727
Contra Costa,Orinda,6553
Contra Costa,Pinole,6775
Contra Costa,Pittsburg,19527
Contra Costa,Pleasant Hill,13708
Contra Costa,Richmond,36093
Contra Costa,San Pablo,8761
Contra Costa,San Ramon,25284
Contra Costa,Walnut Creek,30443
Contra Costa,Contra Costa County,57706
Marin,Belvedere,928
Marin,Corte Madera,3793
Marin,Fairfax,3379
Marin,Larkspur,5908
Marin,Mill Valley,6084
Marin,Novato,20279
Marin,Ross,798
Marin,San Anselmo,5243
Marin,San Rafael,22764
Marin,Sausalito,4112
Marin,Tiburon,3729
Marin,Marin County,26193
Napa,American Canyon,5657
Napa,Calistoga,2019
Napa,Napa,28166
Napa,St. Helena,2401
Napa,Yountville,1050
Napa,Napa County,9583
San Francisco,San Francisco,345811
San Mateo,Atherton,2330
San Mateo,Belmont,10575
San Mateo,Brisbane,1821
San Mateo,Burlingame,12361
San Mateo,Colma,412
San Mateo,Daly City,31090
San Mateo,East Palo Alto,6940
San Mateo,Foster City,12016
San Mateo,Half Moon Bay,4149
San Mateo,Hillsborough,3693
San Mateo,Menlo Park,12347
San Mateo,Millbrae,7994
San Mateo,Pacifica,13967
San Mateo,Portola Valley,1746
San Mateo,Redwood City,27957
San Mateo,San Bruno,14701
San Mateo,San Carlos,11524
San Mateo,San Mateo,38233
San Mateo,South San Francisco,20938
San Mateo,Woodside,1977
San Mateo,San Mateo County,21066
Santa Clara,Campbell,16163
Santa Clara,Cupertino,20181
Santa Clara,Gilroy,14175
Santa Clara,Los Altos,10745
Santa Clara,Los Altos Hills,2829
Santa Clara,Los Gatos,12355
Santa Clara,Milpitas,19184
Santa Clara,Monte Sereno,1211
Santa Clara,Morgan Hill,12326
Santa Clara,Mountain View,31957
Santa Clara,Palo Alto,26493
Santa Clara,San Jose,301366
Santa Clara,Santa Clara,43021
Santa Clara,Saratoga,10734
Santa Clara,Sunnyvale,53384
Santa Clara,Santa Clara County,28080
Solano,Benicia,10686
Solano,Dixon,5856
Solano,Fairfield,34484
Solano,Rio Vista,3454
Solano,Suisun City,8918
Solano,Vacaville,31092
Solano,Vallejo,40559
Solano,Solano County,6709
Sonoma,Cloverdale,3182
Sonoma,Cotati,2978
Sonoma,Healdsburg,4385
Sonoma,Petaluma,21737
Sonoma,Rohnert Park,15808
Sonoma,Santa Rosa,63591
Sonoma,Sebastopol,3276
Sonoma,Sonoma,4955
Sonoma,Windsor,8962
Sonoma,Sonoma County,56951
