taz,autoPeakRetail,autoPeakTotal,autoOffPeakRetail,autoOffPeakTotal,transitPeakRetail,transitPeakTotal,transitOffPeakRetail,transitOffPeakTotal,nonMotorizedRetail,nonMotorizedTotal
       1,        10.5416,        13.0616,        10.5312,        13.0511,         8.3954,        11.1182,         8.3003,        11.0119,         8.6157,        11.3610
       2,        10.5336,        13.0557,        10.5185,        13.0410,         8.0848,        10.8372,         7.9369,        10.6877,         8.6104,        11.3717
       3,        10.5082,        13.0308,        10.4998,        13.0225,         8.0456,        10.7516,         7.8563,        10.5597,         8.4067,        11.1668
       4,        10.5609,        13.0801,        10.5458,        13.0651,         8.4306,        11.1391,         8.3426,        11.0507,         8.7110,        11.4524
       5,        10.5458,        13.0613,        10.5325,        13.0484,         8.3395,        11.0483,         8.2755,        10.9790,         8.4145,        11.1588
       6,        10.4873,        13.0073,        10.4840,        13.0034,         7.7215,        10.4249,         7.5223,        10.2314,         7.9552,        10.7590
       7,        10.5177,        13.0342,        10.5140,        13.0294,         8.0321,        10.7320,         7.9914,        10.6884,         8.0709,        10.8420
       8,        10.5131,        13.0260,        10.5110,        13.0232,         8.1086,        10.7942,         8.0267,        10.7168,         7.9991,        10.7982
       9,        10.4967,        13.0042,        10.5003,        13.0062,         7.8656,        10.5002,         7.7957,        10.4272,         7.7238,        10.5995
      10,        10.5353,        13.0315,        10.5394,        13.0341,         8.0515,        10.7399,         7.9994,        10.6814,         7.9399,        10.6600
      11,        10.5709,        13.0727,        10.5710,        13.0713,         7.9996,        10.7248,         7.8796,        10.5991,         8.2979,        11.0033
      12,        10.5635,        13.0756,        10.5512,        13.0631,         8.3881,        11.0836,         8.2826,        10.9698,         8.6091,        11.3376
      13,        10.5706,        13.0828,        10.5519,        13.0639,         8.3096,        11.0103,         8.2499,        10.9449,         8.7189,        11.4389
      14,        10.5638,        13.0771,        10.5493,        13.0624,         8.5149,        11.1847,         8.4034,        11.0642,         8.7070,        11.4183
      15,        10.5285,        13.0449,        10.5196,        13.0353,         8.2531,        10.9612,         8.1820,        10.8888,         8.4450,        11.1958
      16,        10.5702,        13.0670,        10.5565,        13.0523,         7.5277,        10.3488,         7.4146,        10.2150,         8.7431,        11.2531
      17,        10.5619,        13.0430,        10.5588,        13.0383,         7.1474,         9.7683,         7.0653,         9.6824,         8.4238,        10.8314
      18,        10.5665,        13.0448,        10.5677,        13.0446,         7.6912,        10.3695,         7.5911,        10.2468,         8.2669,        10.6345
      19,        10.5297,        13.0053,        10.5334,        13.0074,         6.8117,         9.4286,         6.6647,         9.2469,         7.9758,        10.3228
      20,        10.5458,        13.0330,        10.5474,        13.0329,         7.1760,         9.8062,         7.1329,         9.7548,         8.0362,        10.5802
      21,        10.5848,        13.0776,        10.5861,        13.0778,         7.8962,        10.5820,         7.7262,        10.3850,         8.3761,        10.9536
