lowInc_0_autos_noAV,lowInc_autos_lt_workers_noAV,lowInc_autos_lt_workers_AV,lowInc_autos_ge_workers_noAV,lowInc_autos_ge_workers_AV,medInc_0_autos_noAV,medInc_autos_lt_workers_noAV,medInc_autos_lt_workers_AV,medInc_autos_ge_workers_noAV,medInc_autos_ge_workers_AV,highInc_0_autos_noAV,highInc_autos_lt_workers_noAV,highInc_autos_lt_workers_AV,highInc_autos_ge_workers_noAV,highInc_autos_ge_workers_AV,veryHighInc_0_autos_noAV,veryHighInc_autos_lt_workers_noAV,veryHighInc_autos_lt_workers_AV,veryHighInc_autos_ge_workers_noAV,veryHighInc_autos_ge_workers_AV,destChoiceAlt,taz,subzone
13.37729112,11.4689708,11.46895096,10.21806624,10.21814808,16.132028,14.20282112,14.20504072,12.92171264,12.9216432,16.12639096,14.28710392,14.28768672,13.09790672,13.09805056,16.88243136,14.96174328,14.96232608,13.72676032,13.72711,0,1,0
14.5598444,11.84274648,11.84262992,10.28869416,10.2887512,17.54276112,14.69755384,14.69762328,13.02900488,13.02900736,17.68027712,14.82432896,14.82381808,13.21102944,13.21108648,18.38047288,15.5022072,15.50292144,13.84636328,13.84660136,1,1,1
14.20763976,11.67755616,11.67723128,10.25205464,10.2519232,17.14714408,14.48559072,14.48598256,12.97364384,12.9734256,17.26320312,14.5974164,14.59837368,13.15307184,13.15316856,17.96804144,15.273018,15.27153248,13.78505272,13.78487416,2,1,2
13.38055728,11.4675448,11.46782752,10.20595392,10.20605064,16.12836752,14.19732792,14.19657152,12.90381696,12.9037872,16.1002964,14.26484592,14.26502944,13.06890312,13.06905688,16.83802944,14.91443728,14.91349984,13.6734304,13.6735792,3,2,0
14.55666256,11.83454512,11.83465176,10.27560472,10.27555512,17.50043,14.67270672,14.6724984,13.00670224,13.0066948,17.61723552,14.78142,14.78080992,13.17638632,13.17638632,18.2910416,15.43438168,15.4346768,13.78708632,13.78721528,4,2,1
14.20210192,11.67020544,11.67003184,10.23930496,10.23927272,17.11403112,14.46609792,14.46620952,12.95351616,12.9535732,17.2116588,14.56070496,14.56130016,13.12101536,13.1210972,17.89172936,15.212258,15.21133792,13.72856576,13.72881872,5,2,2
13.05549624,11.1655056,11.16545104,9.9395796,9.93951264,15.78541824,13.8696108,13.87114344,12.6127344,12.61268976,15.79292768,13.98893848,13.98783488,12.83241528,12.8323012,16.482452,14.58082024,14.58100128,13.38446328,13.38423016,6,3,0
14.35191872,11.57107984,11.57112944,10.01591896,10.01586936,17.31809296,14.40956136,14.40938528,12.72935144,12.72938864,17.46739392,14.56385704,14.56352968,12.95185704,12.95166856,18.110324,15.1741528,15.17452728,13.51354232,13.51345056,7,3,1
13.96639528,11.38952152,11.38961824,9.97604552,9.97605296,16.89218272,14.17706632,14.17697208,12.66897336,12.66916432,17.02652928,14.31906368,14.31915048,12.89027368,12.8900976,17.6694916,14.92174584,14.92212032,13.44735608,13.44721224,8,3,2
13.65390288,11.7313672,11.73140688,10.45903792,10.45903544,16.39719704,14.4529068,14.4531176,13.1498528,13.1497784,16.3470068,14.48627272,14.48438544,13.27403384,13.27400656,17.05622976,15.12071376,15.12208272,13.86929088,13.86903792,9,4,0
14.86062624,12.1090464,12.1091952,10.5334528,10.53350984,17.80970832,14.94778584,14.94778832,13.26061208,13.26040624,17.87863,15.01515504,15.0152096,13.38817088,13.38806176,18.55027848,15.66107352,15.6604064,13.9910564,13.99126968,10,4,1
14.49113352,11.93906968,11.93877456,10.49481688,10.49482184,17.40767056,14.73238296,14.73244744,13.20338112,13.20340096,17.46247856,14.78847808,14.78842848,13.32947424,13.32948912,18.13398072,15.42759888,15.42961264,13.92853064,13.9285356,11,4,2
13.01462832,11.13195368,11.13180984,9.92559984,9.92555272,15.71807632,13.81297008,13.81246168,12.57567824,12.57565096,15.74258616,13.94878976,13.948016,12.81223552,12.8122876,16.37306664,14.47787296,14.47790768,13.3082256,13.30818096,12,5,0
14.30334048,11.53639952,11.53640944,9.99962288,9.99953856,17.20637888,14.33410984,14.33379488,12.68451552,12.68437168,17.37266288,14.50096176,14.50134864,12.92302704,12.92302456,17.9577172,15.05254104,15.05267744,13.42889744,13.42871392,13,5,1
13.9255844,11.35563976,11.35566952,9.96094232,9.9608952,16.79724088,14.10891592,14.10916888,12.62835592,12.62819224,16.946522,14.26650752,14.26598176,12.8658556,12.86585312,17.53163584,14.80934232,14.80750712,13.36663704,13.36672136,14,5,2
12.64969136,10.78855552,10.78873904,9.62931176,9.62929192,15.32349096,13.44185296,13.4415008,12.25210768,12.25195888,15.38454856,13.62286072,13.62312608,12.54091856,12.54089624,15.94189632,14.0871812,14.08664056,12.97815248,12.9780632,15,6,0
13.8698092,11.15597992,11.15596256,9.69123984,9.69125224,16.81520104,13.9480284,13.94803832,12.35071744,12.3507596,17.0425476,14.17301152,14.17240144,12.64428496,12.64422048,17.58250808,14.66718624,14.66734744,13.09196712,13.09175632,16,6,1
