lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
21.85022,15.17739,12.04969,21.82828,15.17361,12.26327,21.83349,15.18547,12.34512,21.96543,15.31778,12.48416,0,1,0
21.8737,15.38815,12.81165,21.85383,15.39763,12.9483,21.85946,15.41148,13.00081,21.9901,15.53344,13.11192,1,1,1
21.8667,15.32933,12.63696,21.84622,15.3354,12.78688,21.85172,15.34875,12.84467,21.98275,15.47336,12.96094,2,1,2
21.94461,15.26663,12.07055,21.9184,15.25732,12.27869,21.91943,15.26477,12.35858,22.03918,15.38575,12.49542,3,2,0
21.96485,15.4515,12.79267,21.94064,15.45579,12.93152,21.94216,15.46612,12.9847,22.06108,15.58015,13.09654,4,2,1
21.95881,15.39943,12.62474,21.93401,15.40016,12.77591,21.93538,15.40974,12.83403,22.05455,15.52559,12.95058,5,2,2
21.87943,15.2044,12.0483,21.84846,15.19153,12.2577,21.84496,15.19515,12.33756,21.95407,15.30645,12.4731,6,3,0
21.90097,15.39961,12.78064,21.87235,15.40268,12.92197,21.86955,15.41059,12.97602,21.97823,15.51797,13.09074,7,3,1
21.89454,15.34483,12.61095,21.86523,15.34376,12.76427,21.86222,15.35056,12.82305,21.97103,15.45895,12.94166,8,3,2
22.01955,15.33872,12.10273,21.99231,15.32745,12.30616,21.9921,15.33337,12.38445,22.10658,15.44936,12.51958,9,4,0
22.03971,15.52336,12.84485,22.01428,15.52442,12.97557,22.01453,15.53295,13.02605,22.12831,15.643,13.13671,10,4,1
22.03369,15.47135,12.6735,22.00773,15.46918,12.81695,22.00784,15.47703,12.8725,22.12183,15.58863,12.98772,11,4,2
21.84781,15.1761,12.06396,21.81414,15.16153,12.27246,21.80775,15.16283,12.35172,21.90593,15.26419,12.48495,12,5,0
21.86726,15.35327,12.72112,21.83623,15.35727,12.87642,21.83071,15.36427,12.93493,21.92899,15.4658,13.05462,13,5,1
21.86145,15.30323,12.56471,21.82964,15.30236,12.72992,21.82386,15.30787,12.79241,21.92211,15.40935,12.91474,14,5,2
21.7533,15.0862,12.03145,21.71231,15.06633,12.24219,21.69898,15.06192,12.32155,21.78073,15.14868,12.45312,15,6,0
