lowInc_0_autos_noAV,lowInc_autos_lt_workers_noAV,lowInc_autos_lt_workers_AV,lowInc_autos_ge_workers_noAV,lowInc_autos_ge_workers_AV,medInc_0_autos_noAV,medInc_autos_lt_workers_noAV,medInc_autos_lt_workers_AV,medInc_autos_ge_workers_noAV,medInc_autos_ge_workers_AV,highInc_0_autos_noAV,highInc_autos_lt_workers_noAV,highInc_autos_lt_workers_AV,highInc_autos_ge_workers_noAV,highInc_autos_ge_workers_AV,veryHighInc_0_autos_noAV,veryHighInc_autos_lt_workers_noAV,veryHighInc_autos_lt_workers_AV,veryHighInc_autos_ge_workers_noAV,veryHighInc_autos_ge_workers_AV,destChoiceAlt,taz,subzone
16.94597392,15.009456,15.01757304,13.66999312,13.69807664,18.58483232,16.66068712,16.66984328,15.32374392,15.35160672,19.94726496,18.0818412,18.09387168,16.80447752,16.83947528,20.08995424,18.19353792,18.20669184,16.89854144,16.936478,0,1,0
18.26762544,15.47538848,15.47900432,13.77691088,13.80065936,20.1404272,17.23817496,17.24158,15.46456576,15.46457072,21.68559368,18.73538072,18.73988936,16.96175416,16.96180624,21.79355304,18.83943656,18.84592672,17.05860312,17.05878664,1,1,1
17.8964612,15.28103832,15.28578256,13.72288656,13.7228444,19.72930024,17.00028096,17.00509464,15.39340712,15.4185196,21.2534388,18.47201712,18.47946208,16.88281824,16.91439112,21.3615668,18.57715672,18.58398664,16.978204,17.01228416,2,1,2
16.92551144,14.98530328,14.99351704,13.63783248,13.6659408,18.56166416,16.63563664,16.64301464,15.2890388,15.31688176,19.92773248,18.06160192,18.07337448,16.77671144,16.81168192,20.06086136,18.15990168,18.1718404,16.85744784,16.89532488,3,2,0
18.25009432,15.45269648,15.45631976,13.74490896,13.76859296,20.08764288,17.19972256,17.2029664,15.42570416,15.42570416,21.63044592,18.69765992,18.70215864,16.92788976,16.92789472,21.71155928,18.78155832,18.78783024,17.0092784,17.00938008,4,2,1
17.87821584,15.25723776,15.26198448,13.69075816,13.69074824,19.68479664,16.96570976,16.97036968,15.35652456,15.38179328,21.20835488,18.43955392,18.4467484,16.85167192,16.88327456,21.29337176,18.52764848,18.53490496,16.93259184,16.96733664,5,2,2
16.56283624,14.63969544,14.64880696,13.3242092,13.354366,18.18971624,16.28238048,16.29211944,14.9693048,14.96928248,19.613328,17.77533552,17.78737096,16.52379856,16.52370184,19.72657224,17.8485228,17.8628324,16.58257208,16.58242328,6,3,0
18.05268136,15.17610952,15.17987664,13.4471676,13.44715272,19.90511736,16.93236864,16.93576376,15.12725848,15.15140376,21.49751792,18.4923928,18.49725112,16.69504504,16.72498608,21.56679672,18.55892128,18.56555032,16.7565168,16.7898728,7,3,1
17.64439896,14.95422392,14.9593848,13.38512792,13.41254184,19.46385592,16.66706568,16.67189176,15.0475364,15.07448408,21.04219488,18.20532784,18.21243304,16.6089816,16.64226816,21.11122816,18.27228536,18.28127536,16.669258,16.70603888,8,3,2
17.23385728,15.2841904,15.29181888,13.924394,13.92439152,18.85879296,16.91988184,16.92729456,15.56255056,15.56250344,20.2062712,18.31578208,18.32522344,17.01436984,17.0143624,20.3300728,18.41208792,18.4251352,17.09581056,17.09563696,9,4,0
18.58215144,15.75926912,15.76270144,14.03572616,14.03573856,20.41864352,17.50175432,17.50488904,15.70743216,15.72948184,21.91431664,18.96116984,18.96576032,17.17236816,17.19965064,22.00418192,19.049748,19.05488656,17.25593424,17.28617536,10,4,1
18.19726288,15.5588752,15.5633268,13.97938056,14.00433432,20.00224656,17.25970136,17.26411576,15.63417048,15.6586828,21.48366216,18.6985304,18.70465104,17.09283952,17.09289408,21.57303888,18.78697712,18.79607376,17.17539376,17.20830832,11,4,2
16.5679252,14.64461328,14.65378928,13.33416144,13.33415152,18.15968592,16.25807152,16.26683832,14.95625008,14.95623272,19.606508,17.77017464,17.78253248,16.52695064,16.52695808,19.70228808,17.82826864,17.8428436,16.57347296,16.61522624,12,5,0
18.04471064,15.17906816,15.18293944,13.45570872,13.4814288,19.84881888,16.89912672,16.90256896,15.11008696,15.13506304,21.45101048,18.46903368,18.47462112,16.69158296,16.6915904,21.5047124,18.52114592,18.52788656,16.74091264,16.77534248,13,5,1
17.64375664,14.9575744,14.96286424,13.39425928,13.39424688,19.41909192,16.637328,16.642536,15.0325448,15.032458,21.00682016,18.18908632,18.19614688,16.60872368,16.60871376,21.06093376,18.24213352,18.24968016,16.65655792,16.65661496,14,5,2
16.098982,14.19644752,14.20709168,12.94112112,12.94111616,17.67934216,15.80694712,15.81704072,14.55934592,14.59230016,19.20611448,17.40376456,17.41832464,16.21434912,16.25486736,19.25359656,17.4231284,17.43939224,16.225276,16.27048888,15,6,0
17.56097424,14.7181304,14.7226936,13.052488,13.08029624,19.4039788,16.44648208,16.45065592,14.70284368,14.72993024,21.1049364,18.11074312,18.1163628,16.3712116,16.37112976,21.13084496,18.12958864,18.13731136,16.3860668,16.3859056,16,6,1
17.16645088,14.50416592,14.51028656,12.99620688,12.99620936,18.96688624,16.1845544,16.19047664,14.6299912,14.63002344,20.65126008,17.82663928,17.83488528,16.29175736,16.29187888,20.6763552,17.84339912,17.85337368,16.30492616,16.30470048,17,6,2
16.09136344,14.1907212,14.2012364,12.9239248,12.92393472,17.6576372,15.78791808,15.797848,14.53206344,14.56560296,19.19212728,17.3905784,17.40469456,16.1944496,16.23542912,19.23520984,17.40681496,17.42290024,16.20358592,16.24955024,18,7,0
17.65091144,14.76117328,14.76550832,13.04976248,13.04976496,19.4325236,16.46191264,16.46618568,14.68787936,14.68785456,21.1154888,18.11842616,18.12435336,16.35948864,16.35962256,21.1292776,18.12934064,18.13665664,16.3711,16.37112232,19,7,1
17.2392488,14.5278648,14.53381184,12.98626952,13.01655776,18.99278736,16.1895268,16.1951936,14.60926832,14.63928872,20.6627276,17.82878944,17.8370652,16.27644832,16.313316,20.67356024,17.83989736,17.84937344,16.2866932,16.32844896,20,7,2
16.15719752,14.2558212,14.26635128,12.9970972,13.0305772,17.70838048,15.84140672,15.85226168,14.59726512,14.63108736,19.2412164,17.43737352,17.4519088,16.25063648,16.25073568,19.28005072,17.44728856,17.46385992,16.25450032,16.25466648,21,8,0
17.75546824,14.84370272,14.84797824,13.12713352,13.12713848,19.54032176,16.54529024,16.5492632,14.76119808,14.76116088,21.20788864,18.19016512,18.19617912,16.42292952,16.42290472,21.2150112,18.1965288,18.20455656,16.42977432,16.42983632,22,8,1
17.33406168,14.60254008,14.60847224,13.06146312,13.09182576,19.0898372,16.2618808,16.26771872,14.67862152,14.70882544,20.74568112,17.89149624,17.89992328,16.33624112,16.37321296,20.75252592,17.8975772,17.90803784,16.34181616,16.38355952,23,8,2
15.96980376,14.07880128,14.09039528,12.87527464,12.90959784,17.46695992,15.61666416,15.6284516,14.42661136,14.42654192,19.05359944,17.2681284,17.28340272,16.130788,16.13078304,19.04310408,17.2403896,17.26001632,16.10143968,16.10155624,24,9,0
17.67633392,14.75234944,14.7567564,13.02442432,13.02444664,19.39552448,16.40762048,16.41195056,14.6129288,14.61296104,21.09153944,18.09071464,18.09714528,16.32156448,16.35516104,21.06271192,18.066056,18.07482776,16.29794,16.33708184,25,9,1
17.2558276,14.4909252,14.49711032,12.95049056,12.98128224,18.95339504,16.11040984,16.11635936,14.521392,14.52132752,20.6384856,17.78360384,17.79228136,16.22794944,16.22790976,20.60915464,17.75903944,17.76976792,16.20173336,16.20173336,26,9,2
15.8573184,13.9761392,13.9879564,12.79081824,12.79080336,17.33569848,15.49997272,15.51183704,14.33150088,14.33153808,18.9385324,17.1701436,17.18764,16.055272,16.05517528,18.95051328,17.16413208,17.1830024,16.04288192,16.04268848,27,10,0
17.47438752,14.5666024,14.57162936,12.910508,12.9400944,19.18927032,16.2047912,16.20971152,14.4825304,14.51185888,20.89862768,17.90408472,17.91154704,16.20949824,16.24539128,20.86655384,17.88583936,17.89530056,16.19792904,16.23946656,28,10,1
