"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
11.902259,11.111313,11.13334,10.748075,10.785372,12.46433,11.66453,11.692885,11.414079,11.395537,12.965183,12.294954,12.318023,12.053229,12.085512,13.399394,12.7082,12.745837,12.473434,12.497346,0,1,0
12.241683,11.197671,11.1693,10.844037,10.800355,12.825336,11.805465,11.820618,11.42704,11.474104,13.448591,12.421748,12.428821,12.111435,12.126976,13.858694,12.816356,12.84801,12.539132,12.552421,1,1,1
12.134026,11.060367,11.176614,10.812751,10.801443,12.708961,11.762088,11.753555,11.434642,11.445458,13.333875,12.345881,12.405002,12.073383,12.093071,13.732716,12.794351,12.800076,12.513263,12.55165,2,1,2
11.95605,11.118725,11.109515,10.786027,10.817391,12.448868,11.67702,11.688224,11.397861,11.41227,13.027749,12.311676,12.327977,12.069898,12.064395,13.367945,12.704309,12.72655,12.475104,12.497979,3,2,0
12.204206,11.156913,11.220323,10.815771,10.818956,12.827291,11.789512,11.796849,11.464252,11.451812,13.430468,12.385702,12.455519,12.114202,12.127988,13.865093,12.827559,12.857932,12.535497,12.535935,4,2,1
12.066748,11.178576,11.153078,10.868224,10.840308,12.716221,11.733128,11.78559,11.439179,11.416015,13.327812,12.35962,12.378611,12.095547,12.084353,13.722165,12.747033,12.798831,12.502016,12.512748,5,2,2
11.823844,11.052446,11.097888,10.793234,10.780804,12.403362,11.618402,11.639556,11.373964,11.318233,12.970198,12.266147,12.296027,12.021201,12.015099,13.316674,12.658913,12.673873,12.445945,12.443852,6,3,0
12.137893,11.104027,11.156061,10.763976,10.821076,12.77805,11.781078,11.698586,11.4868,11.429172,13.413845,12.373405,12.394882,12.071197,12.104435,13.815278,12.785046,12.772259,12.485854,12.520919,7,3,1
12.051483,11.070271,11.147368,10.79726,10.800149,12.683876,11.685939,11.687028,11.374246,11.405774,13.261832,12.306886,12.331001,12.065598,12.057581,13.675992,12.729132,12.757104,12.474185,12.502422,8,3,2
11.971448,11.116898,11.17837,10.815611,10.822334,12.595087,11.75411,11.80023,11.455355,11.433123,13.025818,12.3652,12.382474,12.121044,12.110086,13.410405,12.731103,12.768345,12.484956,12.499727,9,4,0
12.361084,11.269168,11.306263,10.8982,10.933457,12.963975,11.806121,11.904087,11.544576,11.521898,13.551086,12.48549,12.4927,12.153098,12.196405,13.922962,12.878262,12.881619,12.563248,12.595648,10,4,1
12.194344,11.223922,11.203109,10.844031,10.879176,12.827672,11.832614,11.800006,11.481284,11.497561,13.388121,12.423054,12.436624,12.135252,12.128912,13.790306,12.819277,12.82154,12.537824,12.561582,11,4,2
11.792931,11.003158,11.087167,10.740912,10.725009,12.36766,11.639765,11.604086,11.354242,11.32358,12.923196,12.269339,12.289434,12.016178,12.038757,13.349082,12.646115,12.653365,12.420293,12.471702,12,5,0
12.169425,11.1731,11.147104,10.811296,10.791853,12.791783,11.742202,11.708078,11.442419,11.464068,13.425879,12.380271,12.371651,12.102379,12.088757,13.768721,12.772608,12.768339,12.499666,12.525455,13,5,1
12.072687,11.103572,11.039254,10.760604,10.774506,12.655348,11.675102,11.684,11.411409,11.355902,13.271388,12.30798,12.331918,12.052627,12.04982,13.646935,12.687494,12.739815,12.450955,12.455526,14,5,2
11.792833,10.974446,10.961475,10.643178,10.66934,12.330541,11.549044,11.574935,11.293675,11.323168,12.871065,12.218102,12.231709,11.971305,12.001793,13.257132,12.5876,12.594844,12.370749,12.401787,15,6,0
12.046088,10.999172,11.044852,10.73759,10.751647,12.689242,11.632253,11.701931,11.327385,11.374433,13.352577,12.294823,12.309368,12.035255,12.037862,13.731378,12.702303,12.693568,12.411362,12.419385,16,6,1
11.908693,11.013662,11.009394,10.652055,10.690045,12.591568,11.606723,11.58207,11.320552,11.28481,13.2022,12.269337,12.281073,11.991912,11.998613,13.598354,12.651047,12.667667,12.409738,12.409485,17,6,2
11.750206,10.980282,11.005309,10.642001,10.686912,12.278004,11.581143,11.568823,11.225129,11.282588,12.854387,12.206217,12.224751,12.005185,12.003173,13.223721,12.557822,12.602278,12.380979,12.387685,18,7,0
12.100167,11.028604,11.089889,10.71442,10.733312,12.695973,11.637636,11.679005,11.354343,11.343249,13.349618,12.308076,12.353827,12.042106,12.018856,13.719992,12.693356,12.72157,12.444549,12.416471,19,7,1
12.022693,10.979831,11.035919,10.712237,10.735264,12.571373,11.617703,11.636829,11.350616,11.324176,13.240755,12.26211,12.312344,12.0401,12.067217,13.596485,12.643123,12.641001,12.395216,12.414042,20,7,2
11.780193,10.925949,10.976285,10.6739,10.664764,12.259281,11.509608,11.564389,11.294283,11.297456,12.829011,12.212567,12.192395,11.993657,12.005236,13.18816,12.582556,12.60372,12.353137,12.362458,21,8,0
12.213859,11.131181,11.071531,10.72175,10.734346,12.782618,11.659844,11.682756,11.347229,11.342557,13.419393,12.350012,12.358933,12.067175,12.045492,13.823915,12.717722,12.730474,12.441612,12.437971,22,8,1
12.057158,11.063717,11.072229,10.731185,10.736983,12.626242,11.623303,11.641909,11.294152,11.346757,13.277709,12.269163,12.311623,12.007348,12.049402,13.626515,12.654218,12.687024,12.419533,12.435237,23,8,2
