"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
9.891654,10.134109,10.04896,10.345395,10.285677,10.394091,10.64242,10.645086,10.948657,10.833015,11.032722,11.324585,11.280131,11.512745,11.505292,11.307187,11.558114,11.558619,11.751828,11.758678,0,1,0
9.549213,9.94203,9.946083,10.304358,10.259474,10.137248,10.602911,10.570786,10.856335,10.882962,10.829898,11.213257,11.216337,11.51516,11.487975,11.114159,11.4769,11.505454,11.742164,11.717518,1,1,1
9.607051,9.891937,10.016956,10.291487,10.324651,10.262636,10.609965,10.572165,10.884622,10.880567,10.897343,11.223581,11.229847,11.507762,11.518693,11.170322,11.529775,11.512244,11.761216,11.735643,2,1,2
9.897838,10.075624,10.050264,10.29762,10.354235,10.348841,10.6066,10.619246,10.841867,10.877351,11.053783,11.254249,11.265182,11.533971,11.489663,11.290055,11.551613,11.516418,11.715382,11.748976,3,2,0
9.560235,9.940626,10.000224,10.298315,10.297644,10.171238,10.580433,10.548505,10.85366,10.872437,10.830468,11.175518,11.208697,11.467113,11.520944,11.078362,11.497128,11.456621,11.713452,11.759902,4,2,1
9.578417,10.018565,10.003904,10.377776,10.298502,10.208108,10.556847,10.595177,10.888402,10.872321,10.905968,11.247938,11.234761,11.48818,11.455423,11.15116,11.497787,11.492321,11.741503,11.738813,5,2,2
9.710008,9.947385,9.998889,10.26485,10.220557,10.249781,10.475153,10.504586,10.743664,10.735366,10.98554,11.189771,11.195731,11.359616,11.404907,11.191343,11.425172,11.412214,11.623909,11.614808,6,3,0
9.425004,9.815953,9.82941,10.140627,10.226732,10.010785,10.43356,10.35424,10.822933,10.738658,10.691233,11.093517,11.135552,11.392997,11.37043,10.936083,11.366943,11.339484,11.611809,11.595069,7,3,1
9.496239,9.853066,9.941546,10.218006,10.198695,10.103171,10.428456,10.409736,10.730881,10.714561,10.759499,11.124706,11.085413,11.417901,11.379513,11.026634,11.344769,11.368779,11.644873,11.628499,8,3,2
9.982306,10.155621,10.113441,10.416031,10.446987,10.514867,10.732509,10.792928,10.951315,10.947655,11.10375,11.372368,11.353169,11.624104,11.590086,11.351226,11.578176,11.62265,11.823667,11.801878,9,4,0
9.698433,10.06284,10.064972,10.387107,10.405454,10.263084,10.594354,10.66486,10.98611,10.932166,10.854307,11.282058,11.290894,11.55695,11.594941,11.15297,11.53477,11.52582,11.826768,11.826005,10,4,1
9.684607,10.077235,10.078391,10.345704,10.351956,10.330753,10.676617,10.648775,10.954235,10.952926,10.930466,11.304074,11.306273,11.607944,11.583615,11.220148,11.56555,11.545942,11.825239,11.79842,11,4,2
9.656812,9.887159,9.952468,10.177719,10.163002,10.218849,10.465053,10.439378,10.687547,10.659678,10.906131,11.135001,11.152357,11.368629,11.365326,11.187273,11.355538,11.318037,11.580586,11.528777,12,5,0
9.365563,9.828697,9.793325,10.136446,10.148333,9.95784,10.395468,10.33162,10.734046,10.702544,10.654458,11.080058,11.026564,11.31796,11.35737,10.852286,11.279469,11.275689,11.593471,11.540491,13,5,1
9.470637,9.82631,9.752548,10.163465,10.146035,10.014572,10.356816,10.405852,10.712234,10.681354,10.696338,11.074949,11.074172,11.349776,11.357807,10.925666,11.308574,11.33769,11.553339,11.54314,14,5,2
9.602579,9.835563,9.808873,9.990638,10.062072,10.098295,10.325826,10.315505,10.553761,10.57011,10.803509,11.0439,11.029084,11.241574,11.255704,11.049015,11.272743,11.201692,11.439092,11.437647,15,6,0
9.288271,9.627792,9.677335,10.030412,9.989757,9.82993,10.246138,10.273978,10.514366,10.549653,10.553398,10.972988,10.929685,11.245765,11.236613,10.767953,11.184956,11.128675,11.413616,11.430188,16,6,1
9.341866,9.720409,9.72457,9.997616,10.027369,9.943048,10.312736,10.23869,10.568196,10.504369,10.633834,11.040237,11.022169,11.23553,11.225304,10.843663,11.184173,11.163787,11.439574,11.418257,17,6,2
9.528101,9.805637,9.790373,9.965513,10.055906,10.062003,10.356353,10.300759,10.490581,10.523857,10.821804,11.048373,11.04165,11.193816,11.19803,11.041142,11.206647,11.197308,11.451041,11.41485,18,7,0
