maz,TAZ1454
10001,96
10002,96
10003,94
10004,95
10005,98
10006,98
10007,129
10009,129
10012,130
10017,142
10018,113
10021,142
10022,147
10023,121
10024,144
10025,144
10030,67
10038,8
10039,156
10044,168
10045,168
10047,165
10048,165
10049,139
10052,166
10053,141
10054,141
10055,17
10056,110
10060,111
10062,147
10063,151
10064,149
10065,149
10071,49
10072,49
10073,48
10074,72
10075,72
10076,72
10077,45
10078,74
10079,28
10084,43
10086,4
10087,22
10094,93
10098,177
10099,177
10101,173
10102,177
10104,104
10107,106
10109,105
10110,101
10111,101
10112,101
10114,95
10116,95
10117,189
10119,166
10122,139
10123,142
10124,139
10125,139
10127,17
10128,17
10130,151
10133,178
10137,9
10138,10
10140,105
10141,85
10142,85
10143,86
10144,11
10147,52
10150,50
10151,43
10153,44
10157,34
10159,15
10160,51
10161,51
10162,51
10163,50
10164,43
10165,43
10167,50
10168,104
10169,103
10170,104
10172,105
10173,105
10179,93
10180,93
10181,93
10184,95
10185,42
10186,42
10187,166
10190,136
10192,160
10193,126
10194,137
10195,136
10197,160
10198,159
10200,70
10201,92
10202,129
10203,132
10204,132
10206,183
10207,183
10208,183
10209,183
10210,59
10211,59
10212,59
10213,60
10214,60
10215,60
10218,38
10219,42
10222,13
10223,184
10224,186
10225,186
10226,177
10227,185
10228,185
10229,185
10230,185
10231,185
10232,173
10233,174
10234,185
10235,173
10236,172
10241,152
10242,150
10247,55
10248,55
10249,54
10250,54
10251,55
10252,54
10253,59
10254,180
10255,180
10256,180
10257,180
10258,179
10259,1
10260,15
10261,15
10262,15
10263,12
10265,16
10266,65
10268,11
10269,11
10270,11
10271,21
10272,20
10273,20
10274,107
10275,107
10276,107
10277,107
10278,101
10279,101
10280,116
10281,116
10282,116
10283,19
10284,122
10287,122
10288,124
10289,124
10290,138
10292,125
10295,121
10300,121
10302,39
10308,41
10309,38
10310,127
10312,105
10313,128
10315,123
10316,123
10317,123
10321,181
10322,182
10323,182
10324,181
10325,182
10326,179
10327,179
10328,179
10329,183
10330,183
10331,182
10333,183
10334,66
10335,64
10336,184
10337,184
10338,183
10340,184
10341,183
10344,174
10347,172
10349,170
10350,172
10351,172
10352,170
10353,130
10355,129
10358,127
10359,71
10368,40
10369,41
10370,41
10372,40
10373,34
10375,35
10376,39
10377,41
10378,38
10380,52
10384,177
10385,175
10386,175
10388,91
10390,93
10392,84
10394,104
10395,107
10398,105
10399,105
10400,177
10401,176
10402,186
10403,172
10405,189
10411,163
10413,65
10414,65
10416,128
10417,128
10418,128
10419,127
10420,127
10421,123
10424,126
10425,124
10427,169
10428,169
10429,168
10430,169
10431,169
10432,155
10433,154
10434,138
10435,151
10436,136
10437,135
10438,136
10440,137
10441,160
10443,160
10444,159
10445,157
10446,157
10447,9
10450,92
10452,163
10454,9
10455,106
10456,7
10457,20
10458,20
10460,5
10462,100
10463,139
10464,144
10466,60
10467,62
10468,63
10469,63
10470,63
10472,63
10473,63
10474,63
10476,53
10477,177
10482,143
10483,138
10484,44
10486,44
10487,44
10488,45
10489,40
10490,40
10493,47
10494,46
10496,47
10498,46
10499,73
10501,46
10503,33
10504,98
10507,98
10508,97
10509,97
10512,10
10514,20
10515,19
10517,16
10518,123
10519,126
10520,139
10523,63
10524,60
10525,63
10526,63
10527,65
10528,64
10529,64
10530,177
10532,74
10535,44
10536,44
10538,45
10539,95
10540,103
10541,98
10542,129
10543,130
10544,129
10546,131
10547,130
10549,133
10551,98
10552,111
10553,111
10554,111
10555,111
10564,104
10566,107
10567,102
10572,106
10573,104
10575,114
10576,115
10581,142
10582,111
10585,55
10586,55
10587,59
10590,145
10593,187
10594,70
10595,49
10596,45
10597,72
10598,73
10600,40
10601,44
10602,44
10604,129
10605,95
10606,95
10607,96
10608,96
10609,97
10610,129
10611,97
10612,129
10613,129
10614,130
10627,177
10628,174
10632,103
10635,103
10637,102
10642,139
10646,17
10649,109
10650,109
10654,148
10655,151
10658,151
10659,150
10660,147
10665,187
10666,50
10667,49
10668,178
10669,178
10670,178
10671,178
10675,10
10677,12
10680,17
10681,78
10683,169
10684,131
10685,91
10686,91
10693,48
10695,48
10696,48
10697,72
10698,72
10699,48
10700,49
10701,49
10702,16
10703,17
10704,16
10705,64
10706,65
10707,135
10708,135
10711,161
10713,162
10714,162
10716,161
10717,161
10718,160
10720,160
10721,159
10722,159
10724,34
10725,166
10726,126
10727,152
10728,152
10731,84
10734,113
10735,108
10736,186
10743,134
10744,134
10745,133
10750,169
10751,168
10753,169
10754,168
10756,153
10760,138
10761,64
10762,66
10763,66
10764,67
10765,68
10766,67
10767,67
10768,67
10769,53
10770,175
10771,175
10772,175
10773,175
10774,175
10775,90
10776,169
10780,170
10782,170
10783,170
10786,171
10787,107
10790,71
10791,71
10793,80
10795,137
10798,123
10801,124
10803,126
10805,169
10806,169
10809,155
10810,154
10811,154
10812,154
10813,138
10814,139
10817,138
10818,138
10819,139
10822,111
10823,112
10834,69
10835,68
10837,64
10838,64
10839,86
10840,74
10843,83
10847,83
10848,82
10849,104
10850,94
10851,103
10852,103
10853,77
10854,78
10856,81
10857,81
10858,122
10859,122
10860,151
10861,152
10863,150
10864,150
10865,150
10866,148
10867,148
10868,148
10871,170
10873,172
10874,173
10876,74
10877,105
10878,132
10879,169
10881,183
10882,183
10883,183
10884,59
10885,58
10886,59
10887,58
10889,178
10890,178
10891,178
10892,176
10893,176
10894,176
10895,176
10896,176
10897,184
10898,184
10899,69
10900,87
10901,87
10902,69
10904,90
10906,88
10907,89
10908,89
10909,89
10910,88
10911,88
10912,89
10913,89
10914,89
10915,89
10916,91
10917,91
10920,10
10922,10
10924,99
10925,100
10927,100
10929,128
10930,128
10933,137
10934,138
10936,138
10937,138
10938,138
10939,138
10940,151
10941,155
10944,121
10947,144
10948,144
10950,32
10951,75
10955,178
10956,178
10957,69
10958,87
10959,69
10961,69
10962,87
10964,88
10965,88
10966,89
10967,89
10970,91
10972,142
10975,141
10976,141
10977,143
10978,122
10982,50
10983,49
10984,49
10985,45
10986,40
10989,40
10990,40
10991,49
10992,47
10993,47
10994,73
10995,73
10996,46
10997,128
10999,97
11001,99
11002,59
11004,59
11005,63
11006,61
11008,64
11011,86
11013,70
11014,69
11015,72
11018,138
11021,171
11026,91
11027,103
11028,111
11031,111
11033,142
11038,142
11039,141
11041,143
11042,143
11044,143
11046,126
11051,122
11055,115
11056,120
11059,111
11060,55
11062,63
11063,64
11064,68
11065,67
11067,86
11068,74
11071,8
11073,156
11074,110
11075,110
11079,48
11080,70
11081,70
11082,48
11083,113
11085,45
11086,74
11087,47
11090,74
11092,44
11093,44
11094,45
11095,45
11096,96
11097,95
11098,103
11099,95
11100,98
11101,98
11102,96
11103,96
11104,96
11106,130
11107,131
11108,129
11109,129
11118,43
11120,51
11121,36
11122,35
11125,33
11127,39
11128,14
11129,14
11130,23
11132,131
11133,131
11134,130
11135,129
11136,130
11138,17
11139,109
11145,108
11146,115
11147,114
11148,114
11149,108
11150,114
11151,49
11152,49
11153,48
11154,48
11155,47
11156,47
11157,73
11159,45
11160,44
11162,95
11163,95
11164,98
11165,98
11166,95
11167,96
11168,95
11169,97
11171,130
11172,29
11173,7
11174,179
11175,179
11176,181
11177,182
11178,182
11179,182
11180,179
11181,179
11182,183
11183,183
11184,183
11186,182
11190,64
11191,67
11192,66
11195,175
11196,174
11198,178
11199,177
11200,62
11201,184
11203,184
11204,184
11205,184
11206,178
11207,177
11208,184
11210,183
11211,183
11213,129
11216,71
11221,138
11222,151
11223,140
11224,140
11225,140
11226,140
11228,148
11229,187
11230,187
11231,169
11232,169
11234,170
11236,131
11237,90
11238,90
11239,135
11240,160
11241,160
11242,136
11243,160
11245,137
11250,116
11251,115
11257,114
11259,20
11260,81
11261,81
11263,104
11264,125
11267,125
11268,120
11269,151
11270,151
11274,150
11280,65
11283,105
11284,118
11287,162
11293,122
11294,125
11297,138
11298,125
11299,125
11300,125
11301,125
11302,125
11303,125
11304,125
11306,125
11307,121
11309,121
11312,133
11315,169
11316,170
11319,171
11323,36
11324,36
11326,32
11328,159
11329,29
11330,30
11332,9
11333,9
11335,30
11337,106
11339,11
11341,12
11342,12
11343,109
11344,20
11345,20
11347,19
11349,107
11350,116
11351,101
11352,19
11353,149
11355,144
11358,169
11359,137
11360,170
11361,189
11367,40
11368,41
11369,41
11371,39
11374,41
11375,134
11376,134
11377,128
11378,123
11381,124
11382,124
11384,126
11385,124
11386,169
11388,169
11389,169
11390,132
11391,155
11392,154
11393,154
11394,174
11396,107
11397,107
11398,20
11399,139
