x,y,apn
-121.991626343,37.7555541193,Unincorporated Contra Costa-11875
-121.632874597,37.985729828,Oakley-251804
-121.61422507,37.9066004757,Unincorporated Contra Costa-86365
-122.381951412,37.3098250925,Unincorporated San Mateo-81270010
-121.866753075,37.7191550705,Dublin-985 001404100
-121.687833245,37.93982878,Brentwood-146143
-121.771597864,37.6826207613,Livermore-098 028901206
-122.246784075,37.7353064131,Alameda-074 106305706
-121.988076862,37.7619249474,Unincorporated Contra Costa-13116
-122.126540095,37.9814951137,Martinez-256899
-121.636301582,37.9873151218,Oakley-256776
-121.63158559,37.9902292405,Oakley-263326
-121.631676732,38.0136626023,Unincorporated Contra Costa-315762
-122.473119821,37.9697312673,Unincorporated Marin-914110
-122.241476829,37.7458862775,Alameda-074 133502700
-121.922317525,37.7390245771,San Ramon-5754
-122.46643641,37.7973615156,San Francisco-1300001-2
-122.277137949,37.3055877681,Unincorporated San Mateo-83271020-1
-122.036157007,37.7110993168,Unincorporated Alameda-085A640710406
-122.614866367,38.3129291259,Unincorporated Sonoma-137-050-004-1
-122.027597975,37.9664660905,Concord-217810
-121.636449161,37.9846014614,Oakley-249330
-121.629699789,38.0116217653,Unincorporated Contra Costa-312993
-121.858540558,37.7003862535,Pleasanton-946 112609000
-121.936160853,37.9401746365,Clayton-152995
-121.877419228,37.7988084099,Unincorporated Contra Costa-30124
-121.615696125,37.906857337,Unincorporated Contra Costa-86628
-122.994156003,38.7917180437,Unincorporated Sonoma-116-280-010
-121.626449707,38.0123630798,Unincorporated Contra Costa-312714
-123.091721962,38.4378066822,Unincorporated Sonoma-099-070-010-2
-122.237823333,37.7287430947,Alameda-074 133808300-1
-123.121689539,38.7586274337,Unincorporated Sonoma-114-160-029
-122.156018368,37.7556363192,Oakland-043A476000106
-121.885762004,37.619740106,Unincorporated Alameda-096 031500103
-121.616077995,37.907097263,Unincorporated Contra Costa-86808
-121.953606535,37.5313431241,Fremont-525 034200903
-121.614235753,37.9051614565,Unincorporated Contra Costa-85025
-122.26615279,38.023196858,Hercules-342293
-121.72312005,37.9188931057,Brentwood-108035-1
-121.720237641,37.9277585044,Brentwood-124655
-121.684978827,37.9423684908,Brentwood-151849
-121.626616238,37.9879422838,Oakley-257301
-121.885018843,37.7593154194,San Ramon-11111
-121.623700341,38.0159471133,Unincorporated Contra Costa-323701
-121.626645398,37.9873487632,Oakley-255667
-122.346926375,37.9183216854,Richmond-121149
-121.683484416,37.919048913,Brentwood-108295
-122.688553906,38.5702190386,Unincorporated Sonoma-028-040-004-2
-121.761083197,37.7019384692,Livermore-099 001505900
-121.890972926,37.4698036723,Fremont-519 171601003
-121.953549142,37.7366475651,San Ramon-518
-121.891040142,37.7558631862,San Ramon-9955
-122.447425574,37.753354306,San Francisco-2643021
-123.430520557,38.6817100792,Unincorporated Sonoma-122-200-009-1
-121.75225146,37.6932991629,Livermore-099 133609706-2
-121.917297256,37.7727168695,San Ramon-17809
-122.256170637,37.7404910539,Alameda-074 134711600
-121.727550723,37.9439879834,Brentwood-155823
-121.629015071,37.986701986,Oakley-243775
-121.629679633,38.0166360832,Unincorporated Contra Costa-329193
-122.431761432,38.5117399444,Unincorporated Napa-177
-123.152314196,38.4723195882,Unincorporated Sonoma-099-030-031-2
-121.973643195,37.5458067353,Fremont-525 166100601
-121.894478529,37.7723995481,San Ramon-21131
-122.345412451,37.9177455569,Richmond-119749
-122.296999785,37.8223808215,Oakland-000O050700800
-121.905900226,37.6417679123,Pleasanton-946 394501500-1
-122.294284206,37.2743884892,Unincorporated San Mateo-84080030
-123.310937339,38.5675122306,Unincorporated Sonoma-109-040-002-2
-121.96881831,38.0135424769,Pittsburg-325824
-121.634181439,38.0141648929,Unincorporated Contra Costa-321832
-122.246508539,37.7400071586,Alameda-074 131803100-1
-121.629416904,38.0142856013,Unincorporated Contra Costa-329193
-121.949180964,37.9928473318,Pittsburg-284803
-122.164583668,37.7904049347,Oakland-037A314100111
-121.770552557,37.6823610468,Livermore-098 028901208
-122.342086453,37.9126513463,Richmond-112840-1
-121.934058332,37.5160893023,Fremont-513 061101702
-122.030152788,37.5643442611,Fremont-543 039700100
-122.234127357,37.8818817251,Oakland-048H780000105
-121.892541188,38.0319075902,Pittsburg-346182
-121.909354648,37.7752859848,San Ramon-19474
-122.03779158,37.5864111224,Fremont-543 031812300
-122.525901733,38.124047386,Novato-14327102
-122.413850632,37.7429984342,San Francisco-5548002
-122.095564215,37.6664877745,Hayward-431 011000800
-122.345818353,37.9173048621,Richmond-119094
-122.201861902,37.337875565,Unincorporated San Mateo-80200080-2
-121.62790143,37.9875028369,Oakley-256029
-121.626551368,38.0121563113,Unincorporated Contra Costa-312714
-121.625914964,37.9875591009,Oakley-256049
-121.720871066,37.9461023223,Brentwood-160086
-121.731969778,37.751264053,Unincorporated Alameda-099B490100106
-121.628316677,37.9869424022,Oakley-254468
-122.1382498,37.7559634883,Oakland-048 641100100
-122.242692708,37.7459253104,Alameda-074 133604705
-122.394442852,37.3161803166,Unincorporated San Mateo-81230030
-122.51526656,38.3498745717,Unincorporated Sonoma-054-150-005-2
-122.344430937,37.9224268855,Richmond-129381
-122.204848348,37.8744097771,Unincorporated Contra Costa-72123
-122.417882142,37.7330123089,San Francisco-5843008-3
-122.970199119,38.4371376723,Unincorporated Sonoma-075-070-015
-123.056846679,38.4491116821,Unincorporated Sonoma-097-140-015
-121.89232461,37.74810699,San Ramon-6240
-121.627424047,38.0105192125,Unincorporated Contra Costa-310315
-121.721141573,37.6846264488,Livermore-099A292304100
-122.182610094,37.7811278685,Oakland-037A270102903-3
-122.2333808,37.8672406476,Oakland-048H769206101
-123.098320275,38.4067036124,Unincorporated Sonoma-101-150-001-1
-122.005615772,38.1823729815,Unincorporated Solano-46150020-1
-121.929363488,37.774885716,San Ramon-19249
-122.029792485,37.5986725886,Union City-475 008002100-1
