"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
11.138765,11.722807,11.723389,11.427399,11.427389,11.302739,11.796797,11.798724,11.486362,11.486981,11.404864,11.834325,11.830812,11.507223,11.507205,11.533278,11.862732,11.866753,11.523372,11.523979,0,1,0
11.136913,11.722825,11.723248,11.42732,11.427388,11.287989,11.798965,11.79863,11.48702,11.486352,11.408531,11.832733,11.832267,11.507901,11.506824,11.50166,11.863029,11.866834,11.524036,11.523795,1,1,1
11.13848,11.723392,11.723534,11.42745,11.427263,11.303652,11.79569,11.799084,11.486373,11.486878,11.39766,11.835553,11.833992,11.507647,11.507068,11.516617,11.866017,11.864922,11.524782,11.523048,2,1,2
11.213992,11.779165,11.779412,11.479548,11.479711,11.341346,11.851712,11.850885,11.535646,11.535642,11.46579,11.884715,11.880735,11.555622,11.555283,11.564131,11.915033,11.910432,11.57127,11.570922,3,2,0
11.210767,11.779632,11.778852,11.479757,11.479745,11.355916,11.849284,11.851019,11.535991,11.536231,11.448817,11.883783,11.881492,11.555192,11.554908,11.576449,11.912994,11.913878,11.570677,11.570361,4,2,1
11.211701,11.778785,11.77945,11.479589,11.479768,11.353339,11.851119,11.850343,11.535772,11.535482,11.466985,11.883908,11.88303,11.554592,11.553984,11.569161,11.91582,11.913626,11.569641,11.571058,5,2,2
11.206912,11.780109,11.780006,11.481223,11.481302,11.362087,11.852308,11.851637,11.536387,11.536699,11.457078,11.884081,11.878113,11.555977,11.556317,11.559076,11.915819,11.916387,11.570984,11.570132,6,3,0
11.210781,11.779558,11.780342,11.481318,11.481236,11.356467,11.85203,11.851273,11.536922,11.536565,11.43129,11.884408,11.881035,11.555417,11.555849,11.553932,11.915102,11.916181,11.570735,11.571685,7,3,1
11.207701,11.780913,11.780459,11.481229,11.481142,11.356931,11.84967,11.851892,11.53693,11.536521,11.465045,11.88405,11.887034,11.555843,11.555942,11.575107,11.913136,11.912526,11.571096,11.570619,8,3,2
11.267623,11.82531,11.824977,11.522371,11.522515,11.410234,11.893733,11.893945,11.57546,11.576321,11.523845,11.926908,11.922733,11.594173,11.595705,11.597336,11.952639,11.954621,11.609916,11.61015,9,4,0
11.267404,11.825632,11.825096,11.522445,11.522449,11.41111,11.890891,11.89284,11.576159,11.575868,11.493601,11.923643,11.925912,11.594453,11.594904,11.616998,11.956145,11.955709,11.610332,11.610941,10,4,1
11.263675,11.825181,11.825329,11.522376,11.522522,11.41396,11.894753,11.893234,11.575556,11.576898,11.501468,11.925216,11.923955,11.594504,11.594045,11.588239,11.956673,11.956251,11.610126,11.609988,11,4,2
11.247648,11.814858,11.814491,11.514368,11.514446,11.385975,11.885241,11.883626,11.568518,11.568772,11.505053,11.915803,11.913791,11.587337,11.58831,11.578425,11.946073,11.947627,11.603113,11.602914,12,5,0
11.248144,11.814429,11.814665,11.514356,11.514524,11.40416,11.882946,11.881079,11.568418,11.569272,11.501796,11.916203,11.918632,11.587728,11.587888,11.603101,11.947036,11.945165,11.602422,11.60387,13,5,1
11.244485,11.814721,11.814482,11.514279,11.51443,11.375794,11.884302,11.883041,11.568926,11.568435,11.502643,11.915004,11.917713,11.588082,11.587062,11.58994,11.948649,11.945429,11.602839,11.602793,14,5,2
11.110676,11.719883,11.720263,11.432405,11.432282,11.282816,11.7955,11.800374,11.492697,11.493382,11.393438,11.83267,11.835234,11.513945,11.515173,11.524036,11.867441,11.868237,11.530729,11.531556,15,6,0
11.108286,11.720066,11.71954,11.4322,11.432344,11.268361,11.798808,11.797607,11.493457,11.49342,11.417578,11.833208,11.833412,11.514832,11.514137,11.5137,11.864686,11.870553,11.532118,11.532032,16,6,1
