"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
18.143818,18.229256,18.233074,17.754784,17.764252,18.29623,18.304895,18.359919,17.983183,17.961489,18.322933,18.422689,18.410662,18.059999,18.059052,18.383404,18.475229,18.464518,18.159847,18.156359,0,1,0
18.163736,18.241728,18.228107,17.771013,17.744062,18.285496,18.375362,18.327724,17.972656,17.943207,18.372385,18.41567,18.426865,18.06464,18.051891,18.397392,18.455294,18.421139,18.158108,18.151072,1,1,1
18.155426,18.214987,18.211744,17.746647,17.749617,18.310633,18.302536,18.353992,17.978094,17.983868,18.375975,18.450064,18.410248,18.07497,18.050129,18.388683,18.4645,18.459558,18.168047,18.148113,2,1,2
18.218672,18.229776,18.283989,17.800579,17.790218,18.3414,18.37682,18.395525,18.002302,17.986341,18.353342,18.429377,18.435812,18.069038,18.110231,18.437998,18.495152,18.522348,18.179474,18.184755,3,2,0
18.241114,18.294939,18.267311,17.780088,17.775846,18.301008,18.389292,18.387573,17.973278,17.994818,18.396116,18.475708,18.424114,18.083473,18.115709,18.472357,18.513744,18.496353,18.178112,18.204742,4,2,1
18.229618,18.299955,18.245459,17.797827,17.79855,18.373398,18.404642,18.379663,17.990114,17.994381,18.409578,18.423643,18.454453,18.103842,18.093864,18.461424,18.510691,18.512598,18.182135,18.177736,5,2,2
18.291475,18.264711,18.286585,17.75852,17.791342,18.360071,18.37262,18.401588,18.010479,17.980307,18.400837,18.450665,18.445885,18.098597,18.084099,18.477215,18.515902,18.508478,18.171101,18.179224,6,3,0
18.251972,18.276663,18.293436,17.78681,17.823366,18.346418,18.398205,18.382729,18.030729,17.986002,18.389013,18.452759,18.438929,18.08066,18.067047,18.456802,18.519041,18.483839,18.192398,18.190701,7,3,1
18.228956,18.276941,18.2486,17.787386,17.808943,18.352579,18.353214,18.375057,17.992113,18.012741,18.381319,18.473772,18.430262,18.092159,18.104719,18.416895,18.52136,18.498772,18.195452,18.185793,8,3,2
18.315252,18.332279,18.368427,17.840408,17.823069,18.379532,18.432865,18.42823,18.030085,18.011587,18.458481,18.482567,18.484499,18.150894,18.125971,18.506048,18.544188,18.532766,18.195337,18.237673,9,4,0
