lowInc_0_autos_noAV,lowInc_autos_lt_workers_noAV,lowInc_autos_lt_workers_AV,lowInc_autos_ge_workers_noAV,lowInc_autos_ge_workers_AV,medInc_0_autos_noAV,medInc_autos_lt_workers_noAV,medInc_autos_lt_workers_AV,medInc_autos_ge_workers_noAV,medInc_autos_ge_workers_AV,highInc_0_autos_noAV,highInc_autos_lt_workers_noAV,highInc_autos_lt_workers_AV,highInc_autos_ge_workers_noAV,highInc_autos_ge_workers_AV,veryHighInc_0_autos_noAV,veryHighInc_autos_lt_workers_noAV,veryHighInc_autos_lt_workers_AV,veryHighInc_autos_ge_workers_noAV,veryHighInc_autos_ge_workers_AV,destChoiceAlt,taz,subzone
8.45770156,8.90389269,8.90437779,8.67259855,8.67253541,8.58473,8.96666232,8.96923951,8.72321758,8.72314135,8.66987891,8.9995675,8.99672081,8.74057646,8.74085289,8.77920505,9.02476883,9.02412742,8.75512253,8.75527114,0,1,0
8.45644107,8.90380645,8.90429078,8.67256082,8.67254157,8.58067749,8.96820309,8.9682439,8.72339545,8.72308745,8.6714089,8.99756011,8.99691947,8.74115165,8.74058185,8.76207024,9.02536635,9.02573749,8.75549675,8.75529347,1,1,1
8.45599447,8.90437163,8.90441552,8.67260625,8.6724946,8.58520817,8.96754705,8.96832706,8.7228372,8.72321219,8.67279875,8.99895997,8.99798592,8.74092219,8.74082979,8.76265929,9.02667381,9.02636119,8.75584017,8.75469518,2,1,2
8.51014241,8.94645136,8.94654145,8.71299506,8.71305435,8.62631077,9.00862578,9.0079451,8.76069502,8.76068578,8.72206412,9.03704032,9.03466718,8.7776458,8.77762655,8.80710446,9.06330348,9.06100349,8.79164979,8.79101685,3,2,0
8.5083152,8.94663693,8.946476,8.71312673,8.71311287,8.62885485,9.00750466,9.00742304,8.76086134,8.76114624,8.70881858,9.03701029,9.03522851,8.77723462,8.77730623,8.80179762,9.06236023,9.0642244,8.79088595,8.79102532,4,2,1
8.5089543,8.94641825,8.94663539,8.7129735,8.71309439,8.63076753,9.00800593,9.00780958,8.7608213,8.76065421,8.72364878,9.03687477,9.03660373,8.77704905,8.77688735,8.79662707,9.06412892,9.06281684,8.79053945,8.79131099,5,2,2
8.50247475,8.94484129,8.94494062,8.71292807,8.71299506,8.62989743,9.00750466,9.00664303,8.76068501,8.76073968,8.71697519,9.03371161,9.03227248,8.77736783,8.77746023,8.80225654,9.06177426,9.0622147,8.79031923,8.79036004,6,3,0
8.50462844,8.94489057,8.94519472,8.71300045,8.71292807,8.63012381,9.00712043,9.00698029,8.76070426,8.76063804,8.70065042,9.03547799,9.03404425,8.77682883,8.77714145,8.79847507,9.06261279,9.0651022,8.79041317,8.79057718,7,3,1
8.50267726,8.94548116,8.94517393,8.71292268,8.71287648,8.62411704,9.00553885,9.00735605,8.76092217,8.76055257,8.72111779,9.03524314,9.03639121,8.77716917,8.77741018,8.81298187,9.05929255,9.06114748,8.79077661,8.79041009,8,3,2
8.56218671,8.99120299,8.99090885,8.75546056,8.75556682,8.68469679,9.04953896,9.04935339,8.80059026,8.80122397,8.7726331,9.07768477,9.07578056,8.81648383,8.81721841,8.84265844,9.10269283,9.10225085,8.82990878,8.82971166,9,4,0
8.56274573,8.99131387,8.99114601,8.75551369,8.75552524,8.67881014,9.04830388,9.04920324,8.80086438,8.80082126,8.7576951,9.07628491,9.07764165,8.81668634,8.81686267,8.85081043,9.10212611,9.10373618,8.83004122,8.83059947,10,4,1
8.56064286,8.99106285,8.99103513,8.75550753,8.75553294,8.68086142,9.05030049,9.04926792,8.80075889,8.80129943,8.76267546,9.07677848,9.0758052,8.81644456,8.8166386,8.84223494,9.10439915,9.10228319,8.83000811,8.82985103,11,4,2
8.55154762,8.9870165,8.98688868,8.75336924,8.75340004,8.67312138,9.04735524,9.04653827,8.79948454,8.79936904,8.76524418,9.07425057,9.07285456,8.81523643,8.81584935,8.83717373,9.10043596,9.102632,8.82880537,8.82866677,12,5,0
8.55059667,8.98701034,8.98702574,8.75332997,8.75340697,8.6817192,9.045729,9.04566894,8.79928819,8.79958849,8.76254841,9.07345516,9.076683,8.81559371,8.81565685,8.8467533,9.10185507,9.1017003,8.82839573,8.82893858,13,5,1
8.55006614,8.9870473,8.98685249,8.75331457,8.75335615,8.66748729,9.04648899,9.04637426,8.79953536,8.79947145,8.76435791,9.07396644,9.07513684,8.81574463,8.81517945,8.84442713,9.10221004,9.10002324,8.82839958,8.82871605,14,5,2
8.48794177,8.94363855,8.94366935,8.71598651,8.71595879,8.62455979,9.00657835,9.00875129,8.764833,8.76526343,8.71567466,9.03576674,9.03761936,8.78222037,8.78280788,8.81378806,9.06585988,9.06694096,8.79584706,8.79616584,15,6,0
