"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
17.648211,18.367754,18.372198,18.050385,18.059486,17.73621,18.392208,18.431417,18.131981,18.124197,17.760141,18.448009,18.441813,18.140501,18.134117,17.849522,18.482191,18.473166,18.15922,18.137144,0,1,0
17.668856,18.384409,18.345276,18.050262,18.047358,17.690907,18.436193,18.401121,18.114656,18.093306,17.811203,18.435207,18.458567,18.131165,18.137098,17.837383,18.452349,18.436155,18.139479,18.143927,1,1,1
17.645735,18.330456,18.337297,18.037313,18.047709,17.754955,18.389643,18.428459,18.127472,18.115599,17.806896,18.474924,18.449205,18.113428,18.136555,17.855131,18.466684,18.467472,18.168242,18.172586,2,1,2
17.706738,18.363964,18.406269,18.090332,18.096745,17.807053,18.471889,18.475317,18.173635,18.153316,17.809834,18.461973,18.489202,18.161655,18.185307,17.870022,18.503754,18.51989,18.186125,18.192997,3,2,0
17.750254,18.421673,18.376183,18.080523,18.076529,17.782272,18.445414,18.465357,18.146498,18.161734,17.838848,18.508263,18.464245,18.171741,18.195259,17.905123,18.507824,18.503214,18.206509,18.186478,4,2,1
17.725761,18.422541,18.37776,18.106501,18.114683,17.816174,18.474255,18.469564,18.158672,18.169605,17.855755,18.474567,18.499302,18.172829,18.157984,17.931164,18.516932,18.51853,18.186638,18.191635,5,2,2
17.757813,18.39045,18.415154,18.084009,18.100666,17.817572,18.44486,18.452133,18.179642,18.137873,17.875759,18.484306,18.478767,18.188595,18.17535,17.921959,18.527431,18.506632,18.182735,18.190495,6,3,0
17.735201,18.412687,18.427111,18.095051,18.117701,17.802351,18.46627,18.464548,18.187222,18.160513,17.837669,18.50931,18.479046,18.160952,18.181549,17.900953,18.519783,18.505217,18.192362,18.180458,7,3,1
17.72691,18.410749,18.387487,18.085052,18.117634,17.823034,18.429256,18.461464,18.153545,18.183634,17.818907,18.51956,18.472425,18.16276,18.193909,17.876734,18.516132,18.503038,18.202784,18.184431,8,3,2
17.808376,18.439825,18.480284,18.171045,18.119427,17.866716,18.495314,18.504984,18.207151,18.192451,17.913914,18.543056,18.531017,18.227736,18.227776,17.976242,18.553001,18.53845,18.242558,18.247139,9,4,0
17.773849,18.491722,18.449562,18.160826,18.146053,17.875164,18.530968,18.510963,18.221401,18.208973,17.927813,18.56423,18.550364,18.232044,18.214945,17.980848,18.567993,18.59413,18.236675,18.233377,10,4,1
17.793602,18.467756,18.437449,18.130186,18.141119,17.879299,18.488613,18.502071,18.247307,18.202665,17.91238,18.537075,18.547058,18.229645,18.218546,17.956594,18.547396,18.544655,18.231628,18.242769,11,4,2
17.794538,18.439724,18.463161,18.140484,18.128254,17.872795,18.510275,18.514088,18.228739,18.215963,17.90362,18.556433,18.573294,18.234337,18.254974,17.945061,18.551043,18.566223,18.250622,18.241312,12,5,0
17.795679,18.472874,18.441057,18.148808,18.167185,17.852467,18.523232,18.51194,18.207161,18.198906,17.95583,18.564116,18.572575,18.228529,18.238865,17.968281,18.533789,18.550812,18.228453,18.222893,13,5,1
17.790638,18.472258,18.459595,18.142076,18.151205,17.834023,18.517263,18.511232,18.22093,18.210369,17.901503,18.543766,18.55337,18.239779,18.219316,17.977533,18.579338,18.577143,18.214706,18.257813,14,5,2
17.660137,18.370382,18.382957,18.064856,18.091728,17.719637,18.434227,18.433657,18.161486,18.140858,17.79884,18.47529,18.492514,18.176786,18.164225,17.898474,18.501411,18.489166,18.206955,18.165447,15,6,0
17.657187,18.377571,18.375755,18.063646,18.07254,17.725592,18.428596,18.428699,18.151842,18.13229,17.795511,18.487261,18.458355,18.162907,18.189425,17.848755,18.504137,18.496367,18.186874,18.171442,16,6,1
