pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo1,10098.0,34404.0,3481.0,2074.0,2114.0,2429.0,7555.0,3584.0,23992.0,26.0,6926.0,833.0,6653.0,1773.0,7781.0,0.668299139643,32355435.0,1348.59265589
fre2,5880.0,14949.0,865.0,948.0,1790.0,2277.0,1321.0,4110.0,15040.0,11.0,406.0,1447.0,4670.0,5016.0,3490.0,2.22558667676,6793834.0,451.71768617
liv1,580.0,1368.0,96.0,101.0,138.0,245.0,132.0,316.0,3965.0,3.0,114.0,512.0,1267.0,1535.0,534.0,2.19696969697,2518217.0,635.11147541
her2,630.0,1763.0,101.0,131.0,192.0,206.0,663.0,0.0,129.0,0.0,85.0,1.0,16.0,19.0,8.0,0.475113122172,56814.0,440.418604651
ple1,1292.0,4155.0,111.0,189.0,280.0,712.0,60.0,1268.0,13050.0,0.0,2836.0,2590.0,4061.0,1373.0,2190.0,10.7666666667,8149460.0,624.479693487
her1,86.0,258.0,7.0,10.0,31.0,38.0,2.0,88.0,1181.0,0.0,290.0,153.0,244.0,162.0,332.0,21.5,520149.0,440.430990686
vta1_m,3022.0,7789.0,675.0,494.0,729.0,1124.0,782.0,2357.0,1673.0,2.0,222.0,199.0,399.0,697.0,154.0,1.93222506394,1172528.0,700.853556485
pit1,3464.0,10787.0,1162.0,727.0,900.0,675.0,2296.0,1484.0,4284.0,2.0,574.0,384.0,432.0,1293.0,1599.0,0.754355400697,3718209.0,867.929271709
fre3,4320.0,12052.0,776.0,739.0,1134.0,1671.0,2123.0,2252.0,3097.0,8.0,512.0,369.0,690.0,975.0,543.0,1.01742816769,1757940.0,567.626735551
sfo9_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ric2,3148.0,8346.0,974.0,632.0,729.0,813.0,1682.0,1827.0,6538.0,0.0,2385.0,371.0,918.0,810.0,2054.0,0.935790725327,7227524.0,1105.46405629
sfo10,4202.0,11226.0,904.0,899.0,971.0,1428.0,2440.0,2139.0,3137.0,1.0,117.0,518.0,547.0,1160.0,794.0,0.86106557377,3304559.0,1053.41377112
ccc1,375.0,723.0,80.0,69.0,105.0,121.0,67.0,333.0,4503.0,17.0,250.0,512.0,1836.0,1049.0,839.0,2.79850746269,2591399.0,575.482789252
wcc1_d,1508.0,4215.0,634.0,366.0,282.0,226.0,119.0,1519.0,4547.0,0.0,277.0,428.0,466.0,2660.0,716.0,6.33613445378,3092131.0,680.037607214
wal1,1140.0,2090.0,244.0,238.0,376.0,282.0,257.0,1010.0,11143.0,20.0,1353.0,1183.0,4860.0,1680.0,2047.0,2.21789883268,4735834.0,425.005294804
pit2,1622.0,4870.0,380.0,359.0,465.0,418.0,1255.0,625.0,904.0,1.0,233.0,47.0,89.0,210.0,324.0,0.646215139442,1281526.0,1417.61725664
sfo9_b,1856.0,6653.0,450.0,309.0,495.0,602.0,1731.0,295.0,2228.0,0.0,134.0,45.0,790.0,382.0,877.0,0.536106296938,2134109.0,957.858617594
fre1,4392.0,12412.0,678.0,674.0,1239.0,1801.0,1889.0,1702.0,3184.0,1.0,709.0,355.0,751.0,884.0,484.0,1.16251985177,2423470.0,761.140075377
sjo7,7853.0,19392.0,2370.0,1949.0,1833.0,1701.0,3072.0,5438.0,9361.0,12.0,902.0,1695.0,2270.0,3095.0,1387.0,1.27815755208,7839090.0,837.42014742
ccc2,972.0,3431.0,477.0,253.0,161.0,81.0,797.0,332.0,1806.0,36.0,658.0,219.0,281.0,104.0,508.0,0.609786700125,2242129.0,1241.4889258
pal1,512.0,1124.0,99.0,72.0,95.0,246.0,52.0,516.0,3456.0,0.0,109.0,229.0,1090.0,1388.0,640.0,4.92307692308,2119672.0,613.331018519
sfo12,28637.0,74179.0,4989.0,5097.0,6796.0,11755.0,13889.0,16469.0,14655.0,7.0,855.0,1700.0,2457.0,4764.0,4872.0,1.03092375261,10273777.0,701.042442852
hay1,428.0,1406.0,102.0,94.0,144.0,88.0,278.0,61.0,797.0,0.0,63.0,94.0,96.0,221.0,323.0,0.769784172662,748969.0,939.735257215
sjo8,4762.0,17115.0,1513.0,1133.0,1214.0,902.0,2602.0,2424.0,3053.0,0.0,482.0,222.0,478.0,1020.0,851.0,0.915065334358,2236409.0,732.528332787
wcc1_g,58.0,150.0,14.0,13.0,17.0,14.0,68.0,0.0,80.0,0.0,45.0,2.0,7.0,15.0,11.0,0.426470588235,44923.0,561.5375
oak1,372.0,1096.0,58.0,58.0,113.0,143.0,125.0,256.0,913.0,15.0,73.0,255.0,193.0,193.0,184.0,1.488,860029.0,941.981380066
sar2,26.0,55.0,0.0,1.0,8.0,17.0,0.0,27.0,7236.0,0.0,565.0,418.0,2150.0,1036.0,3067.0,0.0,3509884.0,485.058595909
sro3,2343.0,7539.0,524.0,574.0,700.0,545.0,1640.0,846.0,2915.0,10.0,988.0,360.0,659.0,510.0,388.0,0.714329268293,2136199.0,732.829845626
sfo3,87027.0,150383.0,32253.0,16696.0,16749.0,21329.0,2703.0,96744.0,312459.0,381.0,22310.0,17813.0,137020.0,61752.0,73183.0,16.0982241953,197991273.0,633.655209163
clo1,812.0,2130.0,241.0,195.0,184.0,192.0,545.0,351.0,609.0,15.0,142.0,52.0,78.0,151.0,171.0,0.74495412844,451248.0,740.965517241
sfo8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aca1,411.0,1357.0,132.0,96.0,101.0,82.0,178.0,185.0,1454.0,34.0,240.0,491.0,164.0,331.0,194.0,1.15449438202,1262135.0,868.043328748
fai2,203.0,630.0,25.0,39.0,54.0,85.0,64.0,1.0,150.0,0.0,43.0,8.0,22.0,33.0,44.0,1.5859375,139691.0,931.273333333
okd1,63832.0,163055.0,21788.0,15677.0,13766.0,12601.0,31462.0,36341.0,38719.0,153.0,8530.0,3481.0,5850.0,13658.0,7047.0,1.01443010616,32913329.0,850.05627728
okd7,9105.0,24310.0,4736.0,2085.0,1418.0,866.0,3988.0,6281.0,8379.0,5.0,2169.0,642.0,1334.0,1651.0,2578.0,1.14154964895,12577772.0,1501.10657596
sjo4,16739.0,45201.0,5864.0,3911.0,3660.0,3304.0,6064.0,12208.0,20652.0,8.0,1577.0,1049.0,4531.0,3737.0,9750.0,1.38019459103,14300350.0,692.443831106
sfo4,32322.0,73618.0,8923.0,6163.0,6764.0,10472.0,4494.0,31046.0,70476.0,37.0,8173.0,5401.0,12995.0,21031.0,22839.0,3.59612817089,62364277.0,884.900916624
sjo1,2474.0,5503.0,1009.0,621.0,420.0,424.0,446.0,2579.0,24970.0,20.0,1224.0,687.0,11495.0,3729.0,7815.0,2.7735426009,19951379.0,799.013976772
oak3,205.0,661.0,36.0,33.0,61.0,75.0,219.0,0.0,38.0,0.0,1.0,5.0,11.0,9.0,12.0,0.46803652968,101851.0,2680.28947368
plh2,1205.0,2419.0,320.0,233.0,320.0,332.0,680.0,595.0,3252.0,10.0,177.0,478.0,1148.0,822.0,617.0,0.886029411765,2059321.0,633.247539975
ccg1_i,3217.0,8193.0,552.0,556.0,861.0,1248.0,1544.0,1854.0,2246.0,4.0,178.0,321.0,310.0,1014.0,419.0,1.0417746114,1895736.0,844.049866429
vta1_c,947.0,3240.0,226.0,164.0,248.0,309.0,325.0,661.0,2381.0,13.0,90.0,328.0,628.0,863.0,459.0,1.45692307692,1390792.0,584.120957581
sro2,4828.0,12435.0,1442.0,1256.0,1188.0,942.0,2533.0,2645.0,17978.0,26.0,1841.0,2244.0,2599.0,7194.0,4074.0,0.953020134228,12344529.0,686.646401157
sjo3,9328.0,22179.0,1779.0,1479.0,2258.0,3812.0,2552.0,7250.0,89875.0,108.0,47493.0,1961.0,19114.0,5798.0,15401.0,1.8275862069,57408023.0,638.754080668
sar1,195.0,506.0,14.0,17.0,36.0,128.0,203.0,0.0,15279.0,621.0,2328.0,1743.0,2833.0,1565.0,6189.0,0.480295566502,9545151.0,624.723542117
okd5,11623.0,37753.0,4589.0,3031.0,2346.0,1657.0,5914.0,6787.0,9004.0,3.0,1224.0,848.0,980.0,4115.0,1834.0,0.982668244843,9332408.0,1036.4735673
sjo6,4927.0,13678.0,1230.0,1176.0,1296.0,1225.0,1329.0,3823.0,3795.0,2.0,591.0,811.0,658.0,762.0,971.0,1.85364936042,2577879.0,679.283003953
vta1_i,12398.0,42680.0,2605.0,2226.0,3159.0,4408.0,7730.0,5247.0,21519.0,152.0,2850.0,3417.0,5264.0,5755.0,4081.0,0.801940491591,15809436.0,734.673358427
sun2,1115.0,2545.0,249.0,177.0,261.0,428.0,386.0,759.0,3470.0,0.0,902.0,465.0,798.0,747.0,558.0,1.44430051813,3585979.0,1033.42334294
fai3,764.0,2329.0,232.0,248.0,176.0,108.0,118.0,651.0,1214.0,0.0,59.0,229.0,284.0,443.0,199.0,3.23728813559,641513.0,528.429159802
seb1,678.0,1577.0,166.0,142.0,164.0,206.0,433.0,295.0,3442.0,24.0,381.0,596.0,516.0,1342.0,583.0,0.782909930716,1716582.0,498.716443928
sle3,3467.0,8259.0,929.0,955.0,860.0,723.0,1609.0,1813.0,5304.0,6.0,400.0,827.0,921.0,1851.0,1299.0,1.07737725295,3163980.0,596.527149321
ccg1_a,4772.0,16276.0,698.0,843.0,1336.0,1895.0,3428.0,1678.0,583.0,0.0,57.0,104.0,151.0,158.0,113.0,0.696032672112,454726.0,779.975986278
okd6,7870.0,16766.0,3136.0,1809.0,1600.0,1325.0,3184.0,5312.0,12264.0,95.0,462.0,796.0,1335.0,8280.0,1296.0,1.23586683417,14652548.0,1194.76092629
