juris,pda,hh_target,hh_mode,jobs_target,jobs_mode,name,city,county
,ACA1,1959,,2241,,Highway 29 Corridor,American Canyon,Napa
,ALA1,5116,,8960,,Naval Air Station,Alameda,Alameda
,ALA2,1790,,3651,,Northern Waterfront,Alameda,Alameda
,ALB1,2003,,2586,,San Pablo - Solano Mixed Use Neighborhood,Albany,Alameda
,ALC1,2121,,3164,,Castro Valley BART,Alameda County,Alameda
,ALC2,8932,,4522,,East 14th Street and Mission Boulevard,Alameda County,Alameda
,ALC3,3504,,2760,,Hesperian Boulevard,Alameda County,Alameda
,ALC4,1819,,1415,,Meekland Avenue Corridor,Alameda County,Alameda
,ANT1,2438,,2944,,Hillcrest eBART Station,Antioch,Contra Costa
,ANT2,3382,,5354,,Rivertown Waterfront,Antioch,Contra Costa
,BEL1,1812,,2677,,Villages of Belmont,Belmont,San Mateo
,BEN1,1497,,3346,,Downtown,Benicia,Solano
,BEN2,2,,11311,,Northern Gateway - Benicias Industrial Park,Benicia,Solano
,BER1,911,,1729,,Adeline Street,Berkeley,Alameda
,BER2,6768,,22994,,Downtown,Berkeley,Alameda
,BER3,2378,,3555,,San Pablo Avenue,Berkeley,Alameda
,BER4,443,,1535,,South Shattuck,Berkeley,Alameda
,BER5,1422,,2722,,Telegraph Avenue,Berkeley,Alameda
,BER6,1972,,2114,,University Avenue,Berkeley,Alameda
,BUR1,10686,,19682,,Burlingame El Camino Real,Burlingame,San Mateo
,CAM1,2791,,10880,,Central Redevelopment Area,Campbell,Santa Clara
,CCC1,2345,,5047,,Contra Costa Centre,Contra Costa County,Contra Costa
,CCC2,1427,,2104,,North Richmond,Richmond (with Contra Costa County),Contra Costa
,CCC3_a,1827,,1154,,Pittsburg/Bay Point BART Station,Contra Costa County,Contra Costa
,CCC3_b,1084,,1615,,Pittsburg/Bay Point BART Station,Contra Costa County,Contra Costa
,CCC4,2219,,1504,,Downtown El Sobrante,Contra Costa County,Contra Costa
,CCG1_b,797,,2564,,El Camino Real - Colma,C/CAG,San Mateo
,CCG1_c,9099,,7000,,El Camino Real - South San Francisco,C/CAG,San Mateo
,CCG1_k,256,,439,,El Camino Real - Uninc Daly City,C/CAG,San Mateo
,CCG1_l,6123,,6146,,El Camino Real - North Fair Oaks,C/CAG,San Mateo
,CLO1,1825,,1480,,Downtown/SMART Transit Area,Cloverdale,Sonoma
,CON1_a,3365,,15013,,Community Reuse Area/Los Medanos,Concord,Contra Costa
,CON1_b,9089,,3505,,Community Reuse Area/Los Medanos,Concord,Contra Costa
,CON2,7639,,10972,,Downtown,Concord,Contra Costa
,COT1,1265,,1271,,Downtown and Cotati Depot,Cotati,Sonoma
,DAL1,3257,,5573,,Mission Boulevard,Daly City,San Mateo
,DAL2,3558,,3476,,Bayshore,Daly City,San Mateo
,DAN1,2162,,7757,,Downtown,Danville,Contra Costa
,DIX1,969,,885,,Downtown,Dixon,Solano
,DUB1,1773,,8913,,Downtown Specific Plan Area,Dublin,Alameda
,DUB2,3776,,6854,,Transit Center/Dublin Crossings,Dublin,Alameda
,DUB3,5854,,1433,,Town Center,Dublin,Alameda
,ELC1_a,1163,,2384,,San Pablo Avenue Corridor,El Cerrito,Contra Costa
,ELC1_b,1153,,2244,,San Pablo Avenue Corridor,El Cerrito,Contra Costa
,EME1,9437,,19637,,Mixed-Use Core,Emeryville,Alameda
,EPA1,1858,,1318,,Ravenswood,East Palo Alto,San Mateo
,FAI1,1077,,4559,,Downtown South (Jefferson Street),Fairfield,Solano
,FAI2,6143,,2859,,Fairfield-Vacaville Train Station,Fairfield,Solano
,FAI3,3421,,2584,,North Texas Street Core,Fairfield,Solano
,FAI4,3504,,3091,,West Texas Street Gateway,Fairfield,Solano
,FRE1,13179,,4755,,Centerville,Fremont,Alameda
,FRE2,10059,,26238,,City Center,Fremont,Alameda
,FRE3,10141,,6549,,Irvington District,Fremont,Alameda
,FRE4,5227,,30239,,Warm Springs,Fremont,Alameda
,GIL1,2862,,3848,,Downtown,Gilroy,Santa Clara
,HAY1,1087,,2534,,The Cannery,Hayward,Alameda
,HAY2,5451,,11289,,Downtown,Hayward,Alameda
,HAY3_a,1350,,866,,South Hayward BART,Hayward,Alameda
,HAY3_b,4460,,1748,,South Hayward BART,Hayward,Alameda
,HAY4,3253,,3037,,Mission Boulevard Corridor,Hayward,Alameda
,HER1,2840,,1966,,Central Hercules,Hercules,Contra Costa
,HER2,1686,,1983,,Waterfront District,Hercules,Contra Costa
,LAF1,2921,,8012,,Downtown,Lafayette,Contra Costa
,LIV1,2663,,3582,,Downtown,Livermore,Alameda
,LIV2,4343,,26247,,East Side,Livermore,Alameda
,LIV3,3967,,7585,,Isabel Avenue/BART Station Planning Area,Livermore,Alameda
,MAR1,1478,,5441,,Martinez: Downtown,Martinez,Contra Costa
,MCO1,4878,,3153,,Urbanized 101 Corridor,Marin County,Marin
,MEN1,2006,,8177,,El Camino Real Corridor and Downtown,Menlo Park,San Mateo
,MIL1,2692,,3298,,Transit Station Area,Millbrae,San Mateo
,MOH1,1955,,3195,,Downtown,Morgan Hill,Santa Clara
,MOR1,770,,1390,,Moraga Center,Moraga,Contra Costa
,MPT1,7839,,10221,,Transit Area,Milpitas,Santa Clara
,MVW1,1663,,1290,,Whisman Station,Mountain View,Santa Clara
,MVW2,6123,,10918,,Downtown,Mountain View,Santa Clara
,MVW3,6275,,4631,,San Antonio Center,Mountain View,Santa Clara
,MVW4,10987,,7065,,El Camino Real,Mountain View,Santa Clara
,MVW6,1776,,16050,,North Bayshore,Mountain View,Santa Clara
,NEW1,2533,,2248,,Dumbarton Transit Oriented Development,Newark,Alameda
,NEW2,958,,414,,Old Town Mixed Use Area,Newark,Alameda
,OAK1,1472,,2543,,Employment Area,Oakley,Contra Costa
,OAK2,1715,,1482,,Downtown,Oakley,Contra Costa
,OAK3,2273,,945,,Potential Planning Area,Oakley,Contra Costa
,OKD1,75501,bottom,44516,bottom,Transit Oriented Development Corridors,Oakland,Alameda
,OKD1_a,7217,bottom,13228,bottom, TOD Corridors San Antonio/Central Estuary ,Oakland,Alameda
,OKD1_b,11013,bottom,7624,bottom, TOD Corridors International Boulevard ,Oakland,Alameda
,OKD2,10571,bottom,14323,bottom,Coliseum BART Station Area,Oakland,Alameda
,OKD3,25767,bottom,135887,bottom,Downtown - Jack London Square,Oakland,Alameda
,OKD4,6942,bottom,5656,bottom,Eastmont Town Center,Oakland,Alameda
,OKD5,18087,bottom,15641,bottom,Fruitvale and Dimond Areas,Oakland,Alameda
,OKD6,13611,bottom,14358,bottom,MacArthur Transit Village,Oakland,Alameda
,OKD7,17190,bottom,15256,bottom,West Oakland,Oakland,Alameda
,ORI1,541,,4233,,Downtown,Orinda,Contra Costa
,NAP1,1695,,14438,,Dowtown Napa,Napa,Napa
,PAL1,1627,,5363,,California Avenue,Palo Alto,Santa Clara
,PET1,2539,,8867,,Central Turning Basin/Lower Reach,Petaluma,Sonoma
,PIN1,1494,,3449,,Old Town San Pablo Avenue,Pinole,Contra Costa
,PIN2,1128,,3606,,Appian Way Corridor,Pinole,Contra Costa
,PIT1,7349,,7165,,Railroad Avenue eBART Station,Pittsburg,Contra Costa
,PIT2,3597,,3945,,Downtown,Pittsburg,Contra Costa
,PLE1,4874,,18714,,Hacienda,Pleasanton,Alameda
,PLH1,652,,4456,,Diablo Valley College,Pleasant Hill,Contra Costa
,PLH2,1777,,6584,,Buskirk Avenue Corridor,Pleasant Hill,Contra Costa
,RIC1_a,5560,,9223,,Central Richmond A,Richmond,Contra Costa
,RIC1_b,1482,,702,,Central Richmond B,Richmond,Contra Costa
,RIC2,4806,,9922,,South Richmond,Richmond,Contra Costa
,ROH1,2203,,1275,,Sonoma Mountain Village,Rohnert Park,Sonoma
,ROH2,2306,,5501,,Central Rohnert Park,Rohnert Park,Sonoma
,RWC1,6270,,14868,,Downtown,Redwood City,San Mateo
,RWC2,2286,,12579,,Broadway/Veterans Boulevard Corridor,Redwood City,San Mateo
,RWC3,1157,,11236,,El Camino Real,Redwood City,San Mateo
,SAR1,1407,,18783,,City Center,San Ramon,Contra Costa
,SAR2,1851,,15478,,North Camino Ramon,San Ramon,Contra Costa
,SBR1,7561,,11399,,Transit Corridors,San Bruno,San Mateo
,SCA1,1221,,3316,,RR Corridor,San Carlos,San Mateo
,SCL1,5300,,7446,,El Camino Real Focus Area,Santa Clara,Santa Clara
,SCL2,3861,,13595,,Santa Clara Station Focus Area,Santa Clara,Santa Clara
,SEB1,2792,,7461,,Core Area,Sebastopol,Sonoma
,SFO1,22090,bottom,31495,bottom,Bayview/Hunters Point Shipyard/Candlestick Point,San Francisco,San Francisco
,SFO10,11028,bottom,14636,bottom,19th Avenue,San Francisco,San Francisco
,SFO11,17795,bottom,37629,bottom,Market - Octavia,San Francisco,San Francisco
,SFO12,31338,bottom,19957,bottom,Mission-San Jose Corridor,San Francisco,San Francisco
,SFO2,3062,bottom,4068,bottom,Balboa Park,San Francisco,San Francisco
,SFO3,123426,bottom,387697,bottom,Downtown-Van Ness-Geary,San Francisco,San Francisco
,SFO4,44467,bottom,76320,bottom,Eastern Neighborhoods,San Francisco,San Francisco
,SFO5,6704,bottom,28930,bottom,Mission Bay,San Francisco,San Francisco
,SFO6,1938,bottom,26886,bottom,Port of San Francisco,San Francisco,San Francisco
,SFO7,5067,bottom,41166,bottom,Transbay Terminal,San Francisco,San Francisco
