year,totpop,empres,medianage,age0004,age0519,age2044,age4564,age65p,st_res_vac
2010,7155830,3376379,37.7,450827,1322661,2587217,1918269,876856,0.030
2011,7237059,3497494,37.8,455944,1337675,2616586,1940044,886810,0.024
2012,7319210,3622954,37.9,461120,1352859,2646288,1962066,896877,0.019
2013,7402293,3752914,38.1,466354,1368216,2676327,1984338,907058,0.016
2014,7486320,3887536,38.2,471648,1383747,2706707,2006863,917354,0.012
2015,7571300,4026987,38.3,477002,1399455,2737432,2029644,927767,0.010
2016,7623889,4048003,38.4,478426,1404194,2750491,2039417,951361,0.010
2017,7677208,4069129,38.6,479854,1408949,2763613,2049237,975555,0.011
2018,7731271,4090365,38.7,481286,1413720,2776797,2059104,1000364,0.011
2019,7786098,4111712,38.8,482723,1418508,2790044,2069019,1025804,0.011
2020,7841702,4133170,38.9,484164,1423312,2803354,2078981,1051891,0.012
2021,7898102,4154740,39.1,485609,1428132,2816728,2088991,1078642,0.012
2022,7955315,4176423,39.2,487058,1432968,2830166,2099050,1106073,0.012
2023,8013360,4198219,39.3,488512,1437821,2843668,2109157,1134202,0.013
2024,8072253,4220129,39.4,489970,1442690,2857234,2119313,1163046,0.013
2025,8132014,4242153,39.6,491432,1447576,2870865,2129518,1192623,0.014
2026,8192663,4264292,39.7,492899,1452478,2884561,2139772,1222953,0.014
2027,8254218,4286547,39.8,494370,1457397,2898322,2150075,1254054,0.015
2028,8316701,4308918,40.0,495846,1462332,2912149,2160428,1285946,0.015
2029,8380132,4331405,40.1,497326,1467284,2926042,2170831,1318649,0.016
2030,8444532,4354010,40.2,498810,1472253,2940001,2181284,1352184,0.016
2031,8509923,4376733,40.3,500299,1477239,2954027,2191787,1386571,0.017
2032,8576328,4399574,40.5,501792,1482242,2968120,2202341,1421833,0.017
2033,8643769,4422535,40.6,503290,1487262,2982280,2212945,1457992,0.018
2034,8712268,4445615,40.7,504792,1492299,2996507,2223600,1495070,0.018
2035,8781852,4468816,40.9,506299,1497353,3010802,2234307,1533091,0.019
2036,8852543,4492138,41.0,507810,1502424,3025165,2245065,1572079,0.019
2037,8924369,4515582,41.1,509326,1507512,3039597,2255875,1612059,0.020
2038,8997353,4539148,41.3,510846,1512617,3054098,2266737,1653055,0.021
2039,9071523,4562837,41.4,512371,1517739,3068668,2277651,1695094,0.021
2040,9146907,4586650,41.5,513900,1522879,3083308,2288618,1738202,0.022
2041,9223531,4610587,41.7,515434,1528036,3098017,2299638,1782406,0.023
2042,9301425,4634649,41.8,516972,1533211,3112797,2310711,1827734,0.023
2043,9380617,4658836,41.9,518515,1538403,3127647,2321837,1874215,0.024
2044,9461139,4683150,42.1,520063,1543613,3142568,2333017,1921878,0.025
2045,9543019,4707590,42.2,521615,1548840,3157560,2344251,1970753,0.026
2046,9626291,4732158,42.3,523172,1554085,3172624,2355539,2020871,0.026
2047,9710986,4756854,42.5,524734,1559348,3187759,2366881,2072264,0.027
2048,9797138,4781679,42.6,526300,1564629,3202967,2378278,2124964,0.028
2049,9884780,4806634,42.8,527871,1569928,3218247,2389730,2179004,0.029
2050,9973945,4831717,42.9,529448,1575243,3233599,2401233,2234422,0.030
