juris,rhna14to22
Alameda,1723
Alameda County,1769
Albany,335
American Canyon,392
Antioch,1448
Atherton,93
Belmont,468
Belvedere,16
Benicia,327
Berkeley,2959
Brentwood,760
Brisbane,83
Burlingame,863
Calistoga,27
Campbell,933
Clayton,141
Cloverdale,211
Colma,59
Concord,3478
Contra Costa County,1367
Corte Madera,72
Cotati,137
Cupertino,1064
Daly City,1350
Danville,557
Dixon,197
Dublin,2285
East Palo Alto,467
El Cerrito,398
Emeryville,1498
Fairfax,61
Fairfield,3100
Foster City,430
Fremont,5455
Gilroy,1088
Half Moon Bay,240
Hayward,3920
Healdsburg,157
Hercules,682
Hillsborough,91
Lafayette,400
Larkspur,132
Livermore,2729
Los Altos,477
Los Altos Hills,121
Los Gatos,619
Marin County,185
Martinez,469
Menlo Park,655
Mill Valley,129
Millbrae,663
Milpitas,3290
Monte Sereno,61
Moraga,229
Morgan Hill,928
Mountain View,2926
Napa,835
Napa County,180
Newark,1078
Novato,415
Oakland,14765
Oakley,1168
Orinda,227
Pacifica,413
Palo Alto,1988
Petaluma,745
Piedmont,60
Pinole,297
Pittsburg,2025
Pleasant Hill,448
Pleasanton,2067
Portola Valley,64
Redwood City,2789
Richmond,2435
Rio Vista,299
Rohnert Park,899
Ross,18
San Anselmo,106
San Bruno,1155
San Carlos,596
San Francisco,28869
San Jose,35080
San Leandro,2287
San Mateo,3100
San Mateo County,913
San Pablo,449
San Rafael,1007
San Ramon,1417
Santa Clara,4093
Santa Clara County,277
Santa Rosa,4662
Saratoga,439
Sausalito,79
Sebastopol,120
Solano County,103
Sonoma,137
Sonoma County,936
South San Francisco,1864
St. Helena,31
Suisun City,505
Sunnyvale,5452
Tiburon,78
Union City,1106
Vacaville,1084
Vallejo,1362
Walnut Creek,2235
Windsor,440
Woodside,62
Yountville,17
