juris,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
Livermore,28395.0,75670.0,5929.0,5746.0,7923.0,8797.0,23939.0,5346.0,39765.0,414.0,6450.0,4470.0,11602.0,8307.0,8522.0,0.59306988596,30050001.0,755.689701999
Hayward,45811.0,138409.0,15537.0,12778.0,10332.0,7164.0,28157.0,17380.0,63240.0,174.0,17806.0,6267.0,9697.0,15986.0,13310.0,0.813492204425,64880934.0,1025.94772296
Sonoma County,56396.0,137500.0,18360.0,14088.0,11892.0,12056.0,55319.0,10521.0,37785.0,3350.0,7707.0,3961.0,6351.0,9167.0,7249.0,0.509734449285,29599557.0,783.367923779
Fremont,69865.0,201301.0,14366.0,14074.0,17782.0,23643.0,48132.0,20736.0,86371.0,304.0,25908.0,7565.0,20081.0,19995.0,12518.0,0.725764564115,73654600.0,852.770026977
Pleasanton,24705.0,69412.0,3678.0,4146.0,5883.0,10998.0,18208.0,6435.0,58628.0,334.0,7952.0,11953.0,16724.0,9877.0,11788.0,0.678410588752,31733370.0,541.266459712
Dublin,14931.0,39404.0,2126.0,2704.0,4092.0,6009.0,11810.0,2190.0,18055.0,167.0,2168.0,3265.0,3950.0,4072.0,4433.0,0.632133784928,12869058.0,712.76975907
San Ramon,24436.0,64967.0,2400.0,3277.0,5377.0,13382.0,20759.0,4823.0,42693.0,769.0,3665.0,3901.0,9357.0,8509.0,16492.0,0.588563996339,16841028.0,394.468132949
Brentwood,16360.0,49534.0,3511.0,4081.0,4582.0,4186.0,16787.0,1230.0,10983.0,267.0,565.0,1723.0,2603.0,3086.0,2739.0,0.487281825222,6451216.0,587.381953929
Oakley,10359.0,32170.0,2123.0,2812.0,3339.0,2085.0,10980.0,487.0,2429.0,46.0,150.0,663.0,504.0,607.0,459.0,0.471721311475,1911400.0,786.908192672
Antioch,31849.0,96473.0,8261.0,7801.0,8595.0,7192.0,28545.0,6193.0,20939.0,93.0,1388.0,4631.0,3696.0,7229.0,3902.0,0.557873533018,16014855.0,764.833802951
Contra Costa County,55997.0,150794.0,14528.0,11434.0,11960.0,18075.0,48760.0,10746.0,42045.0,448.0,5557.0,5109.0,10119.0,11480.0,9332.0,0.574210418376,31874082.0,758.09447021
Napa County,9703.0,24212.0,2461.0,2112.0,1862.0,3268.0,10884.0,938.0,14947.0,1912.0,4257.0,1265.0,1690.0,3688.0,2135.0,0.445746049247,11924386.0,797.777881849
San Francisco,354202.0,795485.0,122566.0,77127.0,63672.0,90837.0,113170.0,263181.0,629152.0,1126.0,41154.0,38509.0,195583.0,190098.0,162682.0,1.56491119555,398091216.0,632.742510554
San Mateo County,25570.0,68718.0,4342.0,4214.0,5253.0,11761.0,20963.0,5943.0,25152.0,384.0,4365.0,1849.0,5774.0,6891.0,5889.0,0.609884081477,16562985.0,658.515625
Petaluma,21454.0,54687.0,5354.0,5131.0,5553.0,5416.0,18431.0,4571.0,29271.0,387.0,5607.0,4322.0,6830.0,7294.0,4831.0,0.582008572514,17339766.0,592.387209183
Santa Rosa,63481.0,162225.0,20876.0,17850.0,13470.0,11285.0,48168.0,20987.0,74371.0,590.0,9312.0,9616.0,14265.0,26077.0,14511.0,0.658954077396,45549969.0,612.469497519
Rohnert Park,14340.0,36006.0,4290.0,3824.0,3637.0,2589.0,9582.0,5851.0,14044.0,191.0,1430.0,1971.0,3022.0,5225.0,2205.0,0.74827802129,11387832.0,810.868128738
Mill Valley,6114.0,13955.0,1291.0,1031.0,925.0,2867.0,4874.0,1510.0,6303.0,28.0,374.0,679.0,1934.0,2256.0,1032.0,0.627205580632,3094035.0,490.882912899
Richmond,37657.0,105443.0,15934.0,10462.0,6818.0,4443.0,24946.0,15057.0,35788.0,405.0,8307.0,4107.0,5432.0,8231.0,9306.0,0.754770303856,31152035.0,870.460349838
Pittsburg,19517.0,59777.0,6835.0,5245.0,4536.0,2901.0,15555.0,5756.0,12580.0,55.0,1687.0,1885.0,1479.0,4170.0,3304.0,0.627354548377,10816999.0,859.856836248
Orinda,6512.0,16685.0,740.0,705.0,971.0,4096.0,6416.0,307.0,9958.0,286.0,236.0,412.0,3213.0,4943.0,868.0,0.507481296758,9384784.0,942.436633862
Alameda,30221.0,72224.0,10229.0,7582.0,6075.0,6335.0,15116.0,15324.0,28109.0,47.0,3665.0,1935.0,5305.0,7923.0,9234.0,0.999636147129,19808919.0,704.718026255
Napa,28144.0,74992.0,8918.0,7580.0,6148.0,5498.0,22910.0,7820.0,32415.0,371.0,3360.0,4661.0,5643.0,13366.0,5014.0,0.614229594064,22557191.0,695.88742866
Hercules,8249.0,23025.0,1650.0,1838.0,2410.0,2351.0,7299.0,1539.0,4975.0,7.0,1967.0,387.0,764.0,993.0,857.0,0.565077407864,2726887.0,548.11798995
Newark,12810.0,40239.0,2840.0,3019.0,3508.0,3443.0,9751.0,2731.0,17692.0,48.0,4489.0,3564.0,3597.0,3812.0,2182.0,0.656855707107,18977400.0,1072.65430703
Alameda County,49566.0,136132.0,15111.0,12954.0,11014.0,10487.0,38361.0,12590.0,66327.0,199.0,4789.0,2653.0,23471.0,27551.0,7664.0,0.646046766247,42427252.0,639.667887889
Martinez,14192.0,34068.0,3675.0,3361.0,3535.0,3621.0,11610.0,3486.0,23115.0,45.0,3406.0,1264.0,2387.0,3365.0,12648.0,0.611197243755,11478125.0,496.56608263
Danville,15422.0,40550.0,1604.0,1775.0,2901.0,9142.0,15179.0,848.0,12432.0,71.0,957.0,1540.0,4034.0,3591.0,2239.0,0.508004479874,5631224.0,452.962033462
Marin County,27424.0,64237.0,6247.0,4812.0,4835.0,11530.0,23457.0,6417.0,13530.0,313.0,706.0,1125.0,3182.0,4872.0,3332.0,0.584558980262,7872287.0,581.839393939
Healdsburg,4358.0,11087.0,1467.0,1262.0,871.0,758.0,3870.0,1116.0,7535.0,199.0,1575.0,1029.0,1020.0,1857.0,1855.0,0.563049095607,4853058.0,644.068745853
Concord,44417.0,117841.0,14253.0,11359.0,10032.0,8773.0,30663.0,16770.0,55343.0,251.0,6560.0,7083.0,12180.0,17418.0,11851.0,0.724276815706,34301701.0,619.801980377
Sunnyvale,51590.0,131029.0,14711.0,11038.0,11602.0,14239.0,26284.0,28404.0,64714.0,199.0,21515.0,5581.0,14986.0,13013.0,9420.0,0.981395525795,51945789.0,802.697855178
Ross,859.0,2457.0,142.0,101.0,165.0,451.0,870.0,33.0,457.0,1.0,18.0,8.0,68.0,286.0,76.0,0.49367816092,291637.0,638.15536105
Clayton,3851.0,10064.0,560.0,596.0,961.0,1734.0,4008.0,17.0,1895.0,12.0,86.0,135.0,387.0,897.0,378.0,0.480414171657,806620.0,425.656992084
Cloverdale,3232.0,8393.0,1320.0,869.0,602.0,441.0,2792.0,804.0,1803.0,72.0,378.0,187.0,224.0,493.0,449.0,0.578796561605,1366813.0,758.077093733
Daly City,29616.0,93608.0,6618.0,6535.0,8159.0,8304.0,21122.0,10148.0,16808.0,26.0,1040.0,3210.0,3081.0,6805.0,2646.0,0.701069974434,9170679.0,545.613933841
Rio Vista,3631.0,7969.0,1414.0,1135.0,585.0,497.0,3199.0,94.0,1826.0,317.0,309.0,206.0,229.0,280.0,485.0,0.567521100344,892452.0,488.746987952
Oakland,159849.0,399539.0,76234.0,38134.0,22643.0,22838.0,84463.0,77243.0,178571.0,504.0,21621.0,10815.0,32496.0,64350.0,48785.0,0.946266412512,130601268.0,731.368856085
Lafayette,9134.0,22752.0,1381.0,1407.0,1787.0,4559.0,7972.0,1582.0,9511.0,37.0,1167.0,770.0,2746.0,3167.0,1624.0,0.572880080281,4451047.0,467.989380717
San Pablo,8853.0,28289.0,4307.0,2368.0,1450.0,728.0,4745.0,4601.0,6084.0,31.0,550.0,682.0,735.0,2974.0,1112.0,0.932876712329,4052754.0,666.133136095
Walnut Creek,30820.0,64243.0,8631.0,6947.0,6500.0,8742.0,17388.0,15694.0,53611.0,82.0,3567.0,6056.0,17194.0,19150.0,7562.0,0.886243386243,24972547.0,465.810132249
Pleasant Hill,13984.0,32672.0,3495.0,3027.0,3527.0,3935.0,10265.0,4476.0,16197.0,42.0,597.0,1677.0,3901.0,6863.0,3117.0,0.681149537263,8745040.0,539.91726863
Union City,19855.0,65333.0,4399.0,3957.0,5554.0,5945.0,14937.0,4566.0,20710.0,72.0,8347.0,2559.0,2531.0,4989.0,2212.0,0.664624757314,22490086.0,1085.95296958
Brisbane,1801.0,4339.0,518.0,423.0,349.0,511.0,1396.0,518.0,5088.0,12.0,2163.0,224.0,627.0,576.0,1486.0,0.64505730659,5531665.0,1087.19830975
San Leandro,30975.0,82833.0,11353.0,8653.0,6559.0,4410.0,21336.0,10153.0,47444.0,68.0,19216.0,6351.0,5641.0,8930.0,7238.0,0.725885826772,44562979.0,939.275335132
Pinole,6562.0,17945.0,1556.0,1716.0,1779.0,1511.0,5855.0,1136.0,7295.0,14.0,1539.0,1357.0,1221.0,2184.0,980.0,0.560375747225,3862020.0,529.406442769
St. Helena,2389.0,5823.0,654.0,550.0,546.0,639.0,2073.0,706.0,4722.0,631.0,988.0,681.0,817.0,1209.0,396.0,0.576218041486,2405172.0,509.354510801
Fairfield,33597.0,97383.0,9461.0,8656.0,8595.0,6885.0,26620.0,7714.0,44522.0,379.0,6563.0,5753.0,6911.0,10852.0,14064.0,0.631048084147,29578626.0,664.359777189
San Jose,293469.0,893183.0,86160.0,65738.0,64502.0,77069.0,207303.0,104783.0,357152.0,1530.0,78581.0,33684.0,82318.0,82959.0,78080.0,0.70782622538,233839629.0,654.734200004
South San Francisco,20334.0,59631.0,4449.0,4356.0,5699.0,5830.0,15828.0,5701.0,39992.0,269.0,13387.0,3417.0,6791.0,8821.0,7307.0,0.642342683851,31350777.0,783.926210242
Palo Alto,25967.0,62052.0,7168.0,4354.0,4232.0,10213.0,16959.0,10200.0,89418.0,192.0,9282.0,3984.0,22818.0,46012.0,7130.0,0.765581697034,49013385.0,548.137791049
Novato,20242.0,50799.0,5090.0,4811.0,4526.0,5815.0,15039.0,6383.0,27321.0,158.0,1698.0,2595.0,10930.0,6386.0,5554.0,0.672983576036,14790782.0,541.370447641
Hillsborough,3776.0,10686.0,85.0,46.0,199.0,3446.0,3861.0,0.0,1934.0,10.0,141.0,31.0,726.0,633.0,393.0,0.488992488992,1041130.0,538.329886246
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Half Moon Bay,4203.0,11515.0,693.0,604.0,968.0,1938.0,3253.0,1180.0,3551.0,221.0,228.0,365.0,841.0,1208.0,688.0,0.64601905933,2033356.0,572.615038017
Windsor,8829.0,25014.0,2207.0,2208.0,2282.0,2132.0,8339.0,1437.0,7517.0,339.0,1328.0,953.0,1483.0,1739.0,1675.0,0.529380021585,6039277.0,803.41585739
Berkeley,46779.0,101732.0,20518.0,10171.0,6603.0,9487.0,23372.0,24342.0,58616.0,55.0,5140.0,5307.0,9504.0,25514.0,13096.0,1.0007487592,35596946.0,607.290603248
Solano County,6259.0,17322.0,1630.0,1498.0,1572.0,1559.0,5598.0,356.0,3592.0,551.0,851.0,273.0,625.0,503.0,789.0,0.559038942479,1833596.0,510.466592428
Milpitas,18461.0,60212.0,4171.0,3828.0,4617.0,5845.0,14012.0,5370.0,40282.0,124.0,14035.0,4394.0,6503.0,8983.0,6243.0,0.658756779903,34710267.0,861.681818182
American Canyon,5294.0,16824.0,1787.0,1404.0,1401.0,702.0,4011.0,1685.0,5592.0,132.0,1673.0,896.0,836.0,996.0,1059.0,0.65993517826,6234331.0,1114.86605866
Redwood City,27909.0,73646.0,5834.0,5751.0,6244.0,10080.0,18564.0,10665.0,62749.0,179.0,12036.0,4210.0,11244.0,14372.0,20708.0,0.751696832579,33665058.0,536.503498064
Mountain View,30941.0,71141.0,9814.0,6884.0,6115.0,8128.0,13739.0,19103.0,44895.0,42.0,7872.0,4793.0,13302.0,10042.0,8844.0,1.1260280952,29145750.0,649.198128968
Sonoma,4980.0,10533.0,1865.0,1259.0,880.0,976.0,3787.0,1842.0,6464.0,134.0,499.0,993.0,1209.0,2678.0,951.0,0.65751254291,3670792.0,567.882425743
Fairfax,3410.0,7522.0,866.0,862.0,763.0,919.0,2720.0,905.0,1380.0,5.0,58.0,175.0,364.0,470.0,308.0,0.626838235294,796576.0,577.228985507
Santa Clara,41092.0,106893.0,12489.0,9004.0,9714.0,9885.0,22239.0,21807.0,102255.0,533.0,34928.0,6109.0,25796.0,19335.0,15554.0,0.92387247628,71674353.0,700.937391815
Vallejo,41040.0,113658.0,13263.0,10354.0,9525.0,7898.0,28887.0,13194.0,30846.0,142.0,1410.0,4399.0,7353.0,9570.0,7972.0,0.71035413854,16717911.0,541.97986773
Woodside,2089.0,5590.0,53.0,54.0,127.0,1855.0,2122.0,2.0,1837.0,58.0,85.0,129.0,499.0,656.0,410.0,0.492224316682,951768.0,518.109961894
Santa Clara County,27579.0,79374.0,7741.0,6041.0,5274.0,8523.0,24039.0,5284.0,31438.0,533.0,4274.0,2064.0,6207.0,12535.0,5825.0,0.57363035068,17498154.0,556.592467714
Moraga,5548.0,14048.0,829.0,893.0,1077.0,2749.0,4954.0,829.0,4712.0,10.0,312.0,602.0,1156.0,2106.0,526.0,0.5599515543,2533494.0,537.668505942
Dixon,5682.0,17109.0,1510.0,1686.0,1524.0,962.0,5197.0,865.0,4929.0,155.0,1190.0,593.0,690.0,1408.0,893.0,0.546661535501,4062510.0,824.205721242
Vacaville,30219.0,80233.0,8243.0,7859.0,7995.0,6122.0,23486.0,6150.0,30128.0,521.0,3385.0,5347.0,5287.0,8753.0,6835.0,0.643340713617,19748891.0,655.499568508
Gilroy,13689.0,44606.0,4168.0,3490.0,3169.0,2862.0,10553.0,4416.0,17141.0,692.0,2115.0,4278.0,2372.0,4666.0,3018.0,0.64858334123,14847826.0,866.217023511
Morgan Hill,12624.0,38006.0,3332.0,2367.0,2666.0,4259.0,10317.0,3170.0,17593.0,666.0,5431.0,1890.0,2905.0,3704.0,2997.0,0.611805757488,12084425.0,686.888251009
Cupertino,20732.0,56909.0,4471.0,3482.0,3984.0,8795.0,14752.0,6940.0,27455.0,153.0,8611.0,2510.0,5330.0,8416.0,2435.0,0.702684381779,18811996.0,685.19380805
Benicia,10639.0,26853.0,2332.0,2315.0,2641.0,3351.0,6925.0,3605.0,13418.0,64.0,4340.0,807.0,2718.0,1968.0,3521.0,0.768158844765,10898761.0,812.249291996
Larkspur,5873.0,20241.0,412.0,892.0,694.0,3875.0,3169.0,2918.0,8617.0,28.0,368.0,1197.0,1605.0,4339.0,1080.0,0.926633007258,4210276.0,488.601137287
Piedmont,3701.0,10119.0,334.0,307.0,518.0,2542.0,3762.0,44.0,1663.0,12.0,36.0,28.0,441.0,713.0,433.0,0.491892610314,862058.0,518.375225496
San Mateo,37811.0,93322.0,8502.0,8125.0,8486.0,12698.0,22527.0,16962.0,44914.0,38.0,3009.0,6417.0,15448.0,11510.0,8492.0,0.839237359613,21263313.0,473.422830298
San Rafael,22656.0,54565.0,6598.0,5125.0,4329.0,6604.0,13038.0,10831.0,45066.0,144.0,3595.0,4660.0,11550.0,12976.0,12141.0,0.868844914864,24127481.0,535.38101895
Calistoga,2012.0,5032.0,838.0,544.0,341.0,289.0,1587.0,762.0,2129.0,50.0,187.0,183.0,241.0,1175.0,293.0,0.633900441084,2188102.0,1027.76045092
Cotati,2942.0,7145.0,883.0,823.0,742.0,494.0,2107.0,1066.0,2440.0,22.0,348.0,451.0,470.0,639.0,510.0,0.698149027053,1929162.0,790.640163934
San Anselmo,5226.0,12193.0,1207.0,974.0,1108.0,1937.0,4184.0,1295.0,3430.0,3.0,378.0,544.0,919.0,994.0,592.0,0.624521988528,1741968.0,507.862390671
Los Altos,10391.0,27145.0,1779.0,1534.0,1489.0,5589.0,9821.0,965.0,13024.0,54.0,498.0,962.0,4546.0,4487.0,2477.0,0.529019448121,6516107.0,500.315340909
El Cerrito,10002.0,23008.0,3080.0,2592.0,2063.0,2267.0,7771.0,2791.0,5409.0,9.0,170.0,1151.0,1025.0,2013.0,1041.0,0.64354651911,3884536.0,718.161582548
Saratoga,10716.0,29080.0,1738.0,1140.0,1321.0,6517.0,10491.0,582.0,7020.0,55.0,452.0,430.0,2102.0,2919.0,1062.0,0.510723477266,3839616.0,546.953846154
Suisun City,8838.0,26396.0,2110.0,2457.0,2759.0,1512.0,8159.0,998.0,2557.0,12.0,163.0,245.0,641.0,835.0,661.0,0.541610491482,1346229.0,526.487680876
Sebastopol,3375.0,7744.0,1177.0,930.0,664.0,604.0,2504.0,1174.0,4864.0,44.0,472.0,848.0,769.0,1878.0,853.0,0.67392172524,2417274.0,496.972450658
Campbell,15964.0,38420.0,5029.0,3752.0,3475.0,3708.0,8970.0,8051.0,22494.0,25.0,2669.0,2892.0,6819.0,5436.0,4653.0,0.889855072464,11813865.0,525.200720192
Los Gatos,12002.0,28855.0,2622.0,2113.0,2164.0,5103.0,9284.0,3420.0,17060.0,50.0,1536.0,1878.0,4414.0,6556.0,2626.0,0.646380870315,8289664.0,485.912309496
Albany,7339.0,17870.0,2844.0,1805.0,1442.0,1248.0,4038.0,3069.0,3217.0,5.0,185.0,462.0,560.0,1344.0,661.0,0.908741951461,1802088.0,560.176562014
Menlo Park,12541.0,32538.0,2161.0,1973.0,2191.0,6216.0,8169.0,4898.0,34416.0,102.0,4411.0,1296.0,11307.0,5979.0,11321.0,0.767597013098,16825867.0,488.896646908
San Carlos,11386.0,27486.0,1851.0,1862.0,2286.0,5387.0,9061.0,2704.0,15105.0,40.0,3469.0,1715.0,3720.0,2749.0,3412.0,0.628297097451,10217929.0,676.460046342
Los Altos Hills,2970.0,7918.0,226.0,217.0,360.0,2167.0,3084.0,0.0,906.0,19.0,28.0,6.0,381.0,329.0,143.0,0.481517509728,549021.0,605.983443709
Sausalito,4331.0,7926.0,889.0,717.0,809.0,1916.0,1985.0,2557.0,5813.0,21.0,437.0,403.0,2197.0,1474.0,1281.0,1.09093198992,2786615.0,479.376397729
Pacifica,13742.0,36742.0,2224.0,2796.0,4102.0,4620.0,11314.0,3202.0,5384.0,4.0,332.0,843.0,1213.0,1600.0,1392.0,0.607300689411,2904107.0,539.395802377
Belmont,8714.0,21179.0,1326.0,1596.0,1979.0,3813.0,7153.0,1940.0,6919.0,3.0,572.0,643.0,1645.0,2544.0,1512.0,0.60911505662,3971550.0,574.0063593
Tiburon,3831.0,8902.0,549.0,570.0,624.0,2088.0,2774.0,1225.0,2735.0,25.0,124.0,108.0,1201.0,937.0,340.0,0.690519105984,1364518.0,498.909689214
East Palo Alto,6640.0,25185.0,2505.0,1619.0,1253.0,1263.0,4415.0,2737.0,4909.0,15.0,337.0,704.0,1503.0,1758.0,592.0,0.751981879955,2892607.0,589.245671216
San Bruno,14222.0,38706.0,3168.0,3180.0,3936.0,3938.0,9671.0,5374.0,10797.0,24.0,802.0,2280.0,2119.0,3217.0,2355.0,0.735291076414,5858393.0,542.594516995
Emeryville,5605.0,10360.0,2593.0,1396.0,833.0,783.0,1395.0,3127.0,16276.0,17.0,2578.0,1706.0,4859.0,4922.0,2194.0,2.00896057348,12430678.0,763.742811502
Corte Madera,3797.0,8971.0,761.0,804.0,801.0,1431.0,2964.0,1001.0,6629.0,10.0,601.0,1460.0,1367.0,1863.0,1328.0,0.640519568151,3384745.0,510.596620908
Foster City,11672.0,28837.0,1541.0,1801.0,2718.0,5612.0,7570.0,4552.0,15338.0,91.0,1156.0,955.0,7458.0,2574.0,3104.0,0.770937912814,7439853.0,485.060177337
Millbrae,7835.0,20462.0,1787.0,1620.0,1803.0,2625.0,5692.0,2554.0,4989.0,8.0,196.0,679.0,886.0,2192.0,1028.0,0.688246661982,2899704.0,581.219482862
Burlingame,12289.0,28584.0,2279.0,2550.0,2490.0,4970.0,7032.0,5944.0,26897.0,90.0,5488.0,2768.0,7104.0,6907.0,4540.0,0.873791240046,16670839.0,619.802914823
Atherton,2466.0,6846.0,130.0,92.0,210.0,2034.0,2517.0,2.0,1537.0,5.0,51.0,19.0,393.0,835.0,234.0,0.489868891538,963985.0,627.186076773
Portola Valley,1749.0,4473.0,26.0,19.0,94.0,1610.0,1778.0,0.0,2475.0,665.0,120.0,40.0,642.0,604.0,404.0,0.491844769404,1006458.0,406.64969697
Colma,812.0,2222.0,226.0,245.0,187.0,154.0,432.0,407.0,3366.0,1.0,120.0,1795.0,90.0,876.0,484.0,0.939814814815,1549515.0,460.343137255
Monte Sereno,1223.0,3046.0,245.0,215.0,175.0,588.0,1183.0,99.0,276.0,4.0,21.0,3.0,144.0,77.0,27.0,0.516906170752,103170.0,373.804347826
Belvedere,988.0,2241.0,69.0,54.0,127.0,738.0,918.0,125.0,272.0,4.0,2.0,7.0,135.0,77.0,47.0,0.538126361656,124643.0,458.246323529
Yountville,1086.0,2111.0,417.0,269.0,173.0,227.0,864.0,392.0,2381.0,92.0,137.0,59.0,127.0,783.0,1183.0,0.628472222222,1684365.0,707.419151617
Stanislaus County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sacramento County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Joaquin County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
