pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo1,10342.0,34140.0,4831.0,2333.0,1788.0,1390.0,7555.0,3584.0,29962.0,139.0,6069.0,894.0,7527.0,6903.0,8430.0,0.684447385837,29197203.0,974.474434283
fre2,5822.0,14783.0,1354.0,1436.0,1693.0,1339.0,1321.0,4110.0,15338.0,20.0,345.0,1454.0,4639.0,5401.0,3479.0,2.2036336109,6727034.0,438.586125962
liv1,577.0,1354.0,150.0,128.0,140.0,159.0,132.0,316.0,4159.0,13.0,115.0,527.0,1259.0,1692.0,553.0,2.18560606061,2502722.0,601.760519356
her2,624.0,1732.0,151.0,193.0,162.0,118.0,663.0,0.0,115.0,0.0,71.0,1.0,16.0,19.0,8.0,0.470588235294,47224.0,410.643478261
ple1,1265.0,4057.0,176.0,251.0,324.0,514.0,60.0,1268.0,13744.0,94.0,2462.0,2618.0,4153.0,2072.0,2345.0,10.5416666667,8149460.0,592.946740396
her1,86.0,246.0,12.0,20.0,31.0,23.0,2.0,88.0,1153.0,1.0,249.0,155.0,242.0,174.0,332.0,21.5,514782.0,446.471812663
vta1_m,2967.0,7615.0,922.0,680.0,607.0,758.0,782.0,2357.0,1694.0,4.0,196.0,201.0,395.0,741.0,157.0,1.89705882353,1172528.0,692.165289256
pit1,3479.0,10542.0,1628.0,896.0,616.0,339.0,2296.0,1484.0,4373.0,5.0,502.0,393.0,433.0,1424.0,1616.0,0.75762195122,3570479.0,816.482734965
fre3,4283.0,11863.0,1218.0,1004.0,1017.0,1044.0,2123.0,2252.0,3063.0,10.0,453.0,371.0,685.0,1003.0,541.0,1.00871408384,1744528.0,569.548808358
sfo9_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ric2,3271.0,8556.0,1414.0,771.0,576.0,510.0,1682.0,1827.0,7249.0,22.0,2164.0,385.0,965.0,1516.0,2197.0,0.972354340071,6946529.0,958.274106773
sfo10,4227.0,11247.0,1446.0,994.0,757.0,1030.0,2440.0,2139.0,3923.0,6.0,108.0,535.0,578.0,1858.0,838.0,0.86618852459,3282458.0,836.721386694
ccc1,377.0,730.0,136.0,79.0,88.0,74.0,67.0,333.0,4720.0,21.0,218.0,513.0,1831.0,1257.0,880.0,2.81343283582,2591399.0,549.025211864
wcc1_d,1563.0,4210.0,856.0,396.0,207.0,104.0,119.0,1519.0,4614.0,2.0,234.0,429.0,462.0,2754.0,733.0,6.56722689076,2172775.0,470.909189423
wal1,1152.0,2176.0,378.0,360.0,285.0,129.0,257.0,1010.0,11043.0,21.0,1144.0,1189.0,4813.0,1838.0,2038.0,2.24124513619,4707887.0,426.323191162
pit2,1690.0,4920.0,623.0,455.0,378.0,234.0,1255.0,625.0,1026.0,8.0,198.0,60.0,92.0,317.0,351.0,0.673306772908,1015617.0,989.880116959
sfo9_b,1905.0,6622.0,679.0,429.0,461.0,336.0,1731.0,295.0,2435.0,6.0,128.0,51.0,794.0,535.0,921.0,0.550259965338,2061793.0,846.732238193
fre1,4416.0,12334.0,1092.0,1024.0,1075.0,1225.0,1889.0,1702.0,3215.0,5.0,603.0,362.0,738.0,1009.0,498.0,1.16887241927,2403555.0,747.606531882
sjo7,7830.0,19191.0,3337.0,2162.0,1246.0,1085.0,3072.0,5438.0,9963.0,25.0,807.0,1722.0,2285.0,3658.0,1466.0,1.2744140625,7786798.0,781.571614975
ccc2,1071.0,3580.0,696.0,256.0,70.0,49.0,797.0,332.0,1795.0,43.0,564.0,224.0,281.0,161.0,522.0,0.671894604768,2150447.0,1198.02061281
pal1,548.0,1222.0,158.0,93.0,93.0,204.0,52.0,516.0,3754.0,5.0,116.0,231.0,1122.0,1618.0,662.0,5.26923076923,2113496.0,562.998401705
sfo12,28696.0,73713.0,7736.0,6801.0,6364.0,7795.0,13889.0,16469.0,15240.0,13.0,720.0,1705.0,2452.0,5421.0,4929.0,1.03304773562,9904563.0,649.905708661
hay1,430.0,1370.0,163.0,117.0,103.0,47.0,278.0,61.0,792.0,0.0,52.0,96.0,94.0,228.0,322.0,0.773381294964,748969.0,945.667929293
sjo8,4738.0,16694.0,2098.0,1355.0,831.0,454.0,2602.0,2424.0,3057.0,3.0,413.0,229.0,475.0,1087.0,850.0,0.91045349731,2213641.0,724.122015047
wcc1_g,56.0,141.0,21.0,16.0,10.0,9.0,68.0,0.0,75.0,0.0,40.0,2.0,7.0,15.0,11.0,0.411764705882,30716.0,409.546666667
oak1,354.0,1022.0,75.0,99.0,112.0,68.0,125.0,256.0,917.0,22.0,65.0,255.0,191.0,197.0,187.0,1.416,661738.0,721.633587786
sar2,23.0,50.0,0.0,4.0,7.0,12.0,0.0,27.0,7131.0,5.0,475.0,418.0,2126.0,1071.0,3036.0,0.0,3222954.0,451.963819941
sro3,2301.0,7207.0,808.0,766.0,467.0,260.0,1640.0,846.0,2832.0,18.0,827.0,366.0,648.0,572.0,401.0,0.701524390244,2136199.0,754.307556497
sfo3,91823.0,163754.0,43938.0,19193.0,11947.0,16745.0,2703.0,96744.0,332717.0,516.0,18914.0,17908.0,139434.0,82111.0,73834.0,16.9853866075,191331011.0,575.056312121
clo1,811.0,2113.0,333.0,216.0,151.0,111.0,545.0,351.0,611.0,25.0,115.0,53.0,78.0,169.0,171.0,0.744036697248,451248.0,738.5400982
sfo8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aca1,404.0,1303.0,175.0,107.0,77.0,45.0,178.0,185.0,1449.0,39.0,200.0,495.0,163.0,358.0,194.0,1.13483146067,1037256.0,715.842650104
fai2,210.0,639.0,57.0,45.0,48.0,60.0,64.0,1.0,139.0,0.0,34.0,8.0,21.0,33.0,43.0,1.640625,139691.0,1004.97122302
okd1,66055.0,166025.0,31749.0,17184.0,9712.0,7410.0,31462.0,36341.0,39611.0,176.0,7309.0,3541.0,5871.0,15422.0,7292.0,1.04975843875,32256767.0,814.338618061
okd7,10191.0,26366.0,6876.0,2036.0,757.0,522.0,3988.0,6281.0,9352.0,12.0,1924.0,669.0,1369.0,2566.0,2812.0,1.27770812437,11847639.0,1266.8561805
sjo4,16890.0,45037.0,8154.0,4329.0,2365.0,2042.0,6064.0,12208.0,21582.0,29.0,1375.0,1095.0,4545.0,4741.0,9797.0,1.39264511873,13844771.0,641.496200537
sfo4,33018.0,75112.0,12273.0,7467.0,5771.0,7507.0,4494.0,31046.0,79150.0,119.0,7234.0,5495.0,13974.0,28486.0,23842.0,3.673564753,59490298.0,751.614630449
sjo1,2607.0,5824.0,1455.0,558.0,271.0,323.0,446.0,2579.0,28808.0,83.0,1172.0,770.0,11726.0,6895.0,8162.0,2.92264573991,18566735.0,644.499271036
oak3,204.0,646.0,58.0,51.0,57.0,38.0,219.0,0.0,41.0,0.0,1.0,5.0,11.0,12.0,12.0,0.465753424658,73851.0,1801.24390244
plh2,1216.0,2483.0,479.0,292.0,247.0,198.0,680.0,595.0,3343.0,14.0,155.0,486.0,1133.0,923.0,632.0,0.894117647059,2043194.0,611.185761292
ccg1_i,3200.0,8164.0,843.0,807.0,699.0,851.0,1544.0,1854.0,2369.0,7.0,146.0,323.0,316.0,1147.0,430.0,1.03626943005,1727641.0,729.270156184
vta1_c,914.0,3065.0,313.0,237.0,206.0,158.0,325.0,661.0,2424.0,24.0,84.0,330.0,623.0,901.0,462.0,1.40615384615,1390792.0,573.759075908
sro2,4786.0,12201.0,2049.0,1432.0,802.0,503.0,2533.0,2645.0,19093.0,114.0,1564.0,2275.0,2611.0,8364.0,4165.0,0.94472956968,12344529.0,646.547373383
sjo3,9282.0,22088.0,2594.0,1916.0,2211.0,2561.0,2552.0,7250.0,86025.0,317.0,40804.0,1989.0,19194.0,7962.0,15759.0,1.81857366771,56013979.0,651.136053473
sar1,200.0,514.0,23.0,29.0,48.0,100.0,203.0,0.0,15171.0,659.0,1946.0,1740.0,2854.0,1828.0,6144.0,0.492610837438,4784612.0,315.378814844
okd5,12117.0,38080.0,6651.0,3256.0,1310.0,900.0,5914.0,6787.0,9550.0,7.0,1108.0,871.0,994.0,4633.0,1937.0,1.02443354751,9237642.0,967.292356021
sjo6,4794.0,13190.0,1758.0,1402.0,987.0,647.0,1329.0,3823.0,3755.0,6.0,486.0,814.0,650.0,825.0,974.0,1.80361173815,2422980.0,645.267643142
vta1_i,12184.0,41297.0,3791.0,2922.0,2800.0,2671.0,7730.0,5247.0,21972.0,191.0,2478.0,3454.0,5217.0,6518.0,4114.0,0.788098318241,13454511.0,612.348033861
sun2,1090.0,2488.0,337.0,226.0,268.0,259.0,386.0,759.0,3946.0,14.0,760.0,484.0,817.0,1230.0,641.0,1.41191709845,3529770.0,894.518499747
fai3,752.0,2251.0,353.0,248.0,111.0,40.0,118.0,651.0,1206.0,1.0,50.0,230.0,280.0,447.0,198.0,3.18644067797,639575.0,530.327529022
seb1,663.0,1525.0,235.0,172.0,132.0,124.0,433.0,295.0,3401.0,28.0,318.0,596.0,510.0,1369.0,580.0,0.76558891455,1716582.0,504.728609233
sle3,3516.0,8332.0,1470.0,1073.0,597.0,376.0,1609.0,1813.0,5479.0,9.0,358.0,830.0,912.0,2041.0,1329.0,1.09260410193,3026786.0,552.434020807
ccg1_a,4788.0,15960.0,1168.0,1198.0,1213.0,1209.0,3428.0,1678.0,580.0,0.0,50.0,105.0,147.0,165.0,113.0,0.698366394399,410745.0,708.181034483
okd6,8180.0,17351.0,4425.0,1974.0,1111.0,670.0,3184.0,5312.0,16779.0,116.0,475.0,844.0,1618.0,11985.0,1741.0,1.28454773869,14206301.0,846.67149413
sun3,8804.0,21494.0,2571.0,1819.0,2094.0,2320.0,2459.0,6863.0,10149.0,26.0,734.0,2203.0,1500.0,2937.0,2749.0,1.79015860106,5363574.0,528.483003252
dal1,682.0,2370.0,186.0,161.0,181.0,154.0,438.0,299.0,2835.0,7.0,245.0,382.0,673.0,907.0,621.0,0.778538812785,1729785.0,610.153439153
vta1_a,894.0,1976.0,276.0,228.0,170.0,220.0,695.0,287.0,2872.0,2.0,545.0,243.0,762.0,580.0,740.0,0.643165467626,1576726.0,548.999303621
sjo5,1369.0,4976.0,216.0,230.0,360.0,563.0,1231.0,229.0,3532.0,5.0,982.0,145.0,619.0,468.0,1313.0,0.556051990252,2828574.0,800.842015855
dub3,2283.0,5966.0,248.0,368.0,635.0,1032.0,1163.0,717.0,283.0,2.0,46.0,64.0,55.0,56.0,60.0,0.981513327601,237477.0,839.141342756
gil1,429.0,1495.0,170.0,143.0,65.0,51.0,160.0,320.0,1932.0,17.0,239.0,372.0,204.0,612.0,488.0,1.340625,1690111.0,874.798654244
okd3,10595.0,18759.0,7020.0,2265.0,717.0,593.0,892.0,7812.0,62568.0,67.0,5487.0,1563.0,15193.0,14674.0,25584.0,5.93890134529,32878967.0,525.49173699
okd4,3785.0,10882.0,2040.0,994.0,491.0,260.0,2125.0,1881.0,4295.0,2.0,84.0,409.0,400.0,1429.0,1971.0,0.890588235294,2704418.0,629.666589057
dal2,1519.0,5127.0,410.0,352.0,409.0,348.0,1220.0,309.0,1137.0,0.0,167.0,55.0,121.0,394.0,400.0,0.622540983607,1254035.0,1102.93315743
sfo11,10975.0,20253.0,4305.0,2884.0,1930.0,1856.0,620.0,11045.0,21608.0,20.0,555.0,1140.0,2543.0,6563.0,10787.0,8.85080645161,11969213.0,553.925074047
sui1,1090.0,3181.0,303.0,229.0,310.0,248.0,676.0,393.0,1086.0,7.0,64.0,51.0,244.0,372.0,348.0,0.806213017751,540432.0,497.635359116
oak2,187.0,582.0,47.0,49.0,66.0,25.0,208.0,0.0,283.0,6.0,23.0,62.0,47.0,85.0,60.0,0.449519230769,313050.0,1106.18374558
wcc1_a,1278.0,3554.0,511.0,323.0,282.0,162.0,881.0,471.0,765.0,1.0,88.0,133.0,109.0,287.0,147.0,0.725312145289,557314.0,728.51503268
okd2,3092.0,10048.0,1950.0,742.0,263.0,137.0,2121.0,1155.0,6766.0,23.0,1604.0,355.0,926.0,2243.0,1615.0,0.728901461575,7299679.0,1078.87658883
sro1,2085.0,5361.0,955.0,626.0,304.0,200.0,1137.0,1141.0,9054.0,78.0,475.0,1648.0,2195.0,2615.0,2043.0,0.916886543536,6527950.0,721.001767175
hay2,2574.0,6248.0,1120.0,760.0,437.0,257.0,602.0,1885.0,4377.0,7.0,228.0,419.0,1079.0,1545.0,1099.0,2.13787375415,3618605.0,826.731779758
mco1,4095.0,9598.0,1263.0,792.0,668.0,1372.0,2404.0,1923.0,4047.0,24.0,133.0,430.0,1430.0,1318.0,712.0,0.851705490849,2153838.0,532.206078577
pet1,503.0,1117.0,163.0,144.0,111.0,85.0,222.0,329.0,3155.0,11.0,473.0,577.0,584.0,678.0,832.0,1.13288288288,1943611.0,616.041521395
ber1,359.0,767.0,187.0,87.0,45.0,40.0,36.0,328.0,1079.0,0.0,40.0,133.0,154.0,490.0,262.0,4.98611111111,644591.0,597.396663577
ric1,4553.0,14221.0,2448.0,1288.0,581.0,236.0,2220.0,2601.0,7026.0,20.0,720.0,396.0,591.0,2051.0,3248.0,1.02545045045,4743442.0,675.126957017
vac1,126.0,338.0,36.0,38.0,26.0,26.0,98.0,37.0,3072.0,8.0,58.0,153.0,816.0,1376.0,661.0,0.642857142857,1752601.0,570.508138021
sun1,898.0,2297.0,247.0,227.0,200.0,224.0,357.0,606.0,3086.0,15.0,1094.0,185.0,1088.0,409.0,295.0,1.25770308123,2841100.0,920.641607259
epa1,801.0,3425.0,275.0,170.0,189.0,167.0,657.0,191.0,1002.0,8.0,220.0,107.0,241.0,203.0,223.0,0.609589041096,720419.0,718.981037924
vta1_h,120.0,305.0,14.0,12.0,12.0,82.0,57.0,66.0,132.0,0.0,4.0,8.0,68.0,45.0,7.0,1.05263157895,47976.0,363.454545455
elc1_b,507.0,1160.0,187.0,163.0,97.0,60.0,82.0,444.0,2080.0,2.0,61.0,571.0,336.0,753.0,357.0,3.09146341463,1247541.0,599.779326923
sfo2,453.0,1355.0,117.0,102.0,95.0,139.0,187.0,288.0,5802.0,4.0,83.0,353.0,581.0,3709.0,1072.0,1.21122994652,3500783.0,603.375215443
ccg1_d,1504.0,3794.0,413.0,372.0,379.0,340.0,1114.0,473.0,1865.0,1.0,108.0,468.0,356.0,495.0,437.0,0.675044883303,905915.0,485.745308311
val1,322.0,650.0,229.0,60.0,22.0,11.0,2.0,295.0,1790.0,5.0,160.0,59.0,199.0,397.0,970.0,80.5,1069799.0,597.653072626
win1,1747.0,4959.0,521.0,451.0,427.0,348.0,1141.0,776.0,1083.0,21.0,132.0,200.0,207.0,208.0,315.0,0.76555652936,792450.0,731.717451524
ant2,1410.0,4022.0,777.0,415.0,154.0,64.0,868.0,648.0,1986.0,9.0,145.0,488.0,248.0,533.0,563.0,0.812211981567,2127931.0,1071.46576032
eme1,2509.0,4673.0,1165.0,635.0,362.0,347.0,104.0,1143.0,14191.0,10.0,2229.0,1494.0,4261.0,4240.0,1957.0,12.0625,11256964.0,793.246705659
mvw1,650.0,1504.0,149.0,117.0,173.0,211.0,360.0,304.0,1580.0,1.0,1012.0,136.0,233.0,28.0,170.0,0.902777777778,879649.0,556.739873418
sbr1,3684.0,11456.0,1132.0,944.0,1084.0,524.0,2248.0,1658.0,5283.0,19.0,391.0,966.0,897.0,1629.0,1381.0,0.819395017794,3119506.0,590.480030286
cam1,594.0,1198.0,193.0,171.0,122.0,108.0,208.0,465.0,5263.0,4.0,801.0,669.0,1641.0,928.0,1220.0,1.42788461538,2450518.0,465.612388372
sfo6,80.0,132.0,27.0,15.0,12.0,26.0,86.0,0.0,11219.0,21.0,1586.0,508.0,3757.0,3579.0,1768.0,0.46511627907,8159826.0,727.322042963
ber2,2475.0,4808.0,1677.0,474.0,199.0,125.0,121.0,2398.0,12917.0,7.0,204.0,563.0,2895.0,5905.0,3343.0,10.2272727273,6885672.0,533.070527212
ala1,1065.0,3025.0,461.0,336.0,163.0,105.0,751.0,505.0,1567.0,3.0,192.0,17.0,360.0,579.0,416.0,0.709054593875,1412643.0,901.495213784
sle2,835.0,1923.0,381.0,228.0,146.0,80.0,41.0,785.0,1709.0,2.0,133.0,371.0,280.0,538.0,385.0,10.1829268293,965643.0,565.033937975
hay3_b,1289.0,3735.0,296.0,320.0,298.0,375.0,125.0,1066.0,504.0,1.0,23.0,80.0,100.0,231.0,69.0,5.156,489053.0,970.343253968
pin1,62.0,174.0,21.0,20.0,11.0,10.0,41.0,25.0,2364.0,4.0,315.0,619.0,403.0,753.0,270.0,0.756097560976,1280579.0,541.700084602
ber6,464.0,978.0,188.0,127.0,74.0,75.0,34.0,461.0,2175.0,1.0,140.0,237.0,349.0,785.0,663.0,6.82352941176,1348901.0,620.184367816
vta1_b,2261.0,5983.0,568.0,396.0,482.0,815.0,422.0,1947.0,9947.0,30.0,3210.0,984.0,1817.0,3141.0,765.0,2.67890995261,5710196.0,574.062129285
ccc3_a,846.0,2743.0,342.0,240.0,148.0,116.0,366.0,541.0,733.0,1.0,218.0,71.0,127.0,156.0,160.0,1.15573770492,488637.0,666.626193724
ori1,228.0,591.0,25.0,20.0,27.0,156.0,0.0,231.0,2753.0,43.0,148.0,201.0,936.0,941.0,484.0,0.0,1398868.0,508.124954595
