superdistrict,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,42601,101175,11748,9128,8294,13431,31095,14501,55405,409,4337,5553,13784,16317,15005,0.685013667792,30096248,543.204548326
9,96144,243827,27848,20843,22168,25285,44556,57871,276907,1098,106785,13328,70012,40797,44887,1.07891193105,202489155,731.253290816
17,123306,349710,41280,33818,27243,20965,85468,39486,131272,311,38933,14344,18745,33981,24958,0.721357701128,125842821,958.641759096
16,102705,307285,21629,21067,26876,33133,72948,28146,125639,423,39058,13730,26286,29063,17079,0.703960355322,115737702,921.192480042
15,69772,189287,11955,12888,18349,26580,55658,13961,124159,989,18089,20051,35655,23004,26371,0.626792195192,78882597,635.335311979
18,180967,453964,81519,43160,27118,29170,96107,87199,199246,553,22166,12164,37372,69551,57440,0.941487092511,146177836,733.655059575
24,89112,270166,24509,22702,23103,18798,81149,16318,54653,701,4588,9779,9743,17436,12406,0.549064067333,39581351,724.230161199
34,39391,95845,6913,6408,6307,19763,27368,14180,39931,186,2319,4803,10627,14285,7711,0.719654340836,20085720,503.010693446
30,88246,225305,28480,24223,18905,16638,70259,26024,99837,1476,14484,13021,19035,32335,19486,0.628004953102,64087013,641.91645382
32,22764,56997,5462,5219,5106,6977,17535,6519,27409,147,1706,2605,11043,6335,5573,0.649101796407,14854699,541.964281805
27,34197,94456,10909,9161,7766,6361,27840,9380,42244,694,6468,5862,7115,15146,6959,0.614170258621,34019760,805.31578449
10,117928,306720,30390,23398,23386,40754,85007,39496,118956,368,18353,17039,25429,38485,19282,0.6936369946,69139182,581.216432967
1,78917,141575,39885,16178,9419,13435,1732,84962,358591,578,21258,19316,151963,81480,83996,22.7820438799,204572842,570.490731781
3,119482,314272,37321,28027,24410,29724,59590,66839,149966,347,15150,8406,25018,60451,40594,1.00253398221,120227041,801.695324274
6,82329,203333,14813,14990,17870,34656,54515,31571,91443,484,8168,10936,31728,22660,17467,0.755104099789,46383503,507.239515326
31,32433,80279,10877,8201,6638,6717,33692,5978,24567,2181,4341,2816,3436,6786,5007,0.481316039416,18378104,748.080921561
7,77981,213347,14805,13445,14784,34947,58442,23076,134897,1340,22604,8815,32633,29597,39908,0.66716573697,73673320,546.144984692
19,73998,161641,31765,16536,11291,14406,36807,36588,125014,144,12246,8662,32496,52901,18565,1.00521639905,76437844,611.434271362
29,62887,155143,18511,15867,15077,13432,50998,17542,61821,1693,9844,8502,13196,17967,10619,0.616563394643,41804636,676.220637
12,104568,373820,26361,21971,25144,31092,86382,24106,99674,288,23249,11957,17997,25193,20990,0.605264985761,68787095,690.120743624
23,51414,137268,5104,6059,10103,30148,47407,6114,63391,899,5156,6427,16003,14510,20396,0.542261691311,33099698,522.151377956
22,58968,133719,13235,11396,11994,22343,41954,20603,82584,424,5684,8159,25965,30745,11607,0.702769700148,43955118,532.247384481
2,105723,211133,31056,21936,19338,33393,16765,93855,89851,163,3504,6839,13286,36532,29527,3.15308678795,53873769,599.590088035
5,97248,278780,20798,21092,26152,29206,71682,31000,109120,435,22878,13888,19018,31467,21434,0.678329287687,75818457,694.817237903
14,33008,103345,9289,7368,7153,9198,27426,8244,42453,2203,9177,6466,7436,10039,7132,0.601764748779,31479071,741.504039762
8,71254,169873,19734,13095,11715,26710,44048,30720,141951,299,11279,9415,34962,70817,15179,0.80882219397,77058865,542.855386718
13,70921,207597,15240,14266,17537,23878,57877,17213,49980,238,7890,7901,12166,14492,7293,0.612687250549,29998656,600.213205282
11,101331,285343,39493,25579,18734,17525,58137,50656,128820,387,15247,9694,33212,34306,35974,0.871484596728,88630055,688.014710449
20,89768,247365,32649,23437,18671,15011,66451,28865,69370,538,14441,8812,10685,19503,15391,0.675445064785,52986832,763.829205709
28,14552,34898,4195,3337,2730,4290,14606,2946,19985,2503,4149,1888,2240,6080,3125,0.498151444612,12999128,650.444233175
21,84819,216763,23923,20170,20412,20314,63591,26747,108967,426,12620,12076,22002,31093,30750,0.666910411851,62941189,577.616975782
4,50243,129033,14349,11031,10547,14316,35192,17582,30825,38,1244,3951,5321,11690,8581,0.713841213912,19502366,632.680162206
26,87782,245379,24050,23114,23047,17571,72061,16006,87390,1942,12460,12397,14385,22560,23646,0.609081195099,57343356,656.177548919
25,52183,141744,15919,12861,12169,11234,36071,16970,44535,211,5754,5246,10095,11627,11602,0.723337306978,27778009,623.734343775
