parcel_id,inundation
1,12
2,12
3,12
44,36
45,12
47,36
49,12
51,12
63,12
174,12
176,12
179,24
181,36
182,12
183,24
184,36
185,36
187,12
188,12
189,12
190,12
197,36
198,36
199,36
200,36
201,36
202,36
203,36
204,24
205,24
206,12
207,36
208,36
217,36
218,12
219,12
224,12
225,12
226,36
227,12
230,12
231,12
232,36
233,12
270,12
274,12
277,36
50100,12
50103,12
50105,12
50106,12
50700,12
50710,36
50712,36
50713,12
50714,12
50715,12
50721,36
50722,36
50750,36
50751,36
50752,24
50755,12
50756,12
50757,12
50758,12
50759,12
50760,12
50764,12
50765,12
50766,12
50767,36
50768,36
50769,12
50770,12
50772,12
67170,36
67171,12
67172,36
67182,12
67183,12
67666,12
67667,36
67668,12
67672,24
67673,12
67678,12
67682,12
67684,12
67685,12
67686,12
67687,12
67689,12
67690,12
67692,12
67695,36
67697,12
67698,12
67699,12
67705,12
67706,24
67707,12
67708,12
67709,12
67710,12
67715,36
67716,36
67718,36
67732,36
67743,36
67744,36
67749,36
67750,36
67752,36
67753,24
67754,12
67757,12
67758,36
67761,36
67762,12
67763,24
67764,36
67765,36
67766,36
67767,36
67768,36
67769,36
67770,36
67771,36
67772,36
67773,36
67775,36
67776,36
67777,36
67871,36
67872,12
67877,12
67878,12
67879,12
67882,12
67885,36
67886,36
67897,24
67898,24
67903,12
67904,12
67914,12
67915,12
68290,24
68544,12
68546,24
68595,12
68605,12
68656,12
68657,12
68659,12
68661,12
69053,12
69054,12
69055,12
69058,12
69059,12
69064,12
69085,12
69086,12
69087,12
70096,12
70097,12
70153,12
70154,12
70157,12
70158,12
70159,12
70160,12
70161,12
70162,12
70163,12
70164,12
70165,12
70166,12
70167,12
70168,24
70169,36
70170,12
70171,36
70172,36
70173,36
70174,36
70175,36
70176,36
70177,36
70178,12
70179,36
70180,36
70183,12
70189,12
70191,36
70196,36
70203,36
70206,36
70207,36
70231,12
70237,36
70238,36
70239,36
70240,36
70241,36
70242,12
70246,36
70247,36
70250,12
70251,12
70252,12
70273,12
70279,36
70282,36
70288,36
70289,36
70290,36
70294,36
70296,36
70297,36
70299,36
70300,12
70302,12
74525,36
74527,12
74528,36
74535,12
74536,12
74539,36
74540,36
74543,36
74544,36
74564,36
74929,36
74930,36
74931,36
74932,36
74933,36
74934,36
74948,36
74949,36
74950,36
74958,36
77270,12
77271,12
77278,12
77279,12
99138,12
99139,36
99140,24
99141,12
122672,12
122682,12
122688,12
122689,12
122690,12
122691,24
122693,12
122694,12
122698,12
122699,12
122700,12
122701,12
122702,12
122703,12
122704,12
122705,12
122706,12
122709,12
122711,12
131546,12
131547,12
131548,12
