parcel_id,inundation
1,12
2,12
3,100
44,100
45,100
47,100
49,100
51,100
63,12
174,12
176,12
179,100
181,100
182,12
183,100
184,100
185,100
187,100
188,100
189,100
190,100
197,100
198,100
199,100
200,100
201,100
202,100
203,100
204,100
205,100
206,100
207,100
208,100
217,100
218,100
219,100
224,100
225,100
226,100
227,100
230,100
231,100
232,100
233,100
270,100
274,100
277,100
50100,12
50103,12
50105,12
50106,12
50700,100
50710,100
50712,100
50713,100
50714,100
50715,100
50721,100
50722,100
50750,100
50751,100
50752,100
50755,100
50756,100
50757,100
50758,100
50759,100
50760,100
50764,100
50765,100
50766,100
50767,100
50768,100
50769,100
50770,100
50772,100
67170,100
67171,100
67172,100
67182,100
67183,100
67666,100
67667,100
67668,100
67672,100
67673,100
67678,100
67682,100
67684,100
67685,100
67686,100
67687,100
67689,100
67690,100
67692,100
67695,100
67697,100
67698,100
67699,100
67705,100
67706,100
67707,100
67708,100
67709,100
67710,100
67715,100
67716,100
67718,100
67732,100
67743,100
67744,100
67749,100
67750,100
67752,100
67753,100
67754,100
67757,100
67758,100
67761,100
67762,100
67763,100
67764,100
67765,100
67766,100
67767,100
67768,100
67769,100
67770,100
67771,100
67772,100
67773,100
67775,100
67776,100
67777,100
67871,100
67872,100
67877,100
67878,100
67879,100
67882,100
67885,100
67886,100
67897,100
67898,100
67903,100
67904,100
67914,100
67915,100
68290,100
68544,100
68546,100
68595,100
68605,100
68656,100
68657,100
68659,100
68661,100
69053,100
69054,100
69055,100
69058,100
69059,100
69064,100
69085,100
69086,100
69087,100
70096,100
70097,100
70153,100
70154,100
70157,100
70158,100
70159,100
70160,100
70161,100
70162,100
70163,100
70164,100
70165,100
70166,100
70167,100
70168,100
70169,100
70170,100
70171,100
70172,100
70173,100
70174,100
70175,100
70176,100
70177,100
70178,100
70179,100
70180,100
70183,100
70189,100
70191,100
70196,100
70203,100
70206,100
70207,100
70231,100
70237,100
70238,100
70239,100
70240,100
70241,100
70242,100
70246,100
70247,100
70250,100
70251,100
70252,100
70273,100
70279,100
70282,100
70288,100
70289,100
70290,100
70294,100
70296,100
70297,100
70299,100
70300,100
70302,100
74525,100
74527,100
74528,100
74535,100
74536,100
74539,100
74540,100
74543,100
74544,100
74564,100
74929,100
74930,100
74931,100
74932,100
74933,100
74934,100
74948,100
74949,100
74950,100
74958,100
77270,100
77271,100
77278,100
77279,100
99138,12
99139,36
99140,24
99141,12
122672,12
122682,12
122688,100
122689,12
122690,100
122691,100
122693,100
122694,100
122698,100
122699,100
122700,100
122701,12
122702,100
122703,100
122704,100
122705,100
122706,100
122709,12
122711,100
131546,100
131547,100
131548,100
