number,name
1,SF NE
2,SF NW
3,SF S SE
4,SF SW
5,Daly City Millbrae
6,San Mateo
7,Redwood City
8,Santa Clara
9,Golden Triangle
10,West San Jose
11,San Jose CBD
12,East San Jose
13,South San Jose
14,SE Snta Clara Cnty
15,Tri Valley
16,Fremont
17,S Leandro Hayward
18,Oakland Alameda
19,Berkeley Eville
20,Richmond Pinole
21,Martinez Concord
22,Lamorinda WC
23,S Ramon Danville
24,East Contra Costa
25,Vallejo Benicia
26,Solano Remainder
27,Napa City and S
28,Napa Remainder
29,Southern Sonoma
30,Santa Rosa Area
31,Northern Sonoma
32,Northern Marin
33,Central Marin
34,Southern Marin
