superdistrict,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,42328,99933,7723,7760,8850,17995,31095,14501,53907,209,5059,5504,13808,14473,14854,0.680623894517,30096248,558.299441631
9,96592,245516,19410,15295,23416,38471,44556,57871,277227,182,122987,13029,68994,29013,43022,1.08393931233,206298113,744.148704852
17,123307,355897,25857,27311,32565,37574,85468,39486,130973,110,45080,14101,18292,29118,24272,0.721363551271,127871679,976.320913471
16,103404,312809,13666,14127,26024,49587,72948,28146,127327,162,44790,13536,26373,25937,16529,0.708751439381,119992389,942.395477786
15,70858,192353,8006,8968,16296,37588,55658,13961,123117,458,21060,19896,35757,19946,26000,0.63654820511,80893153,657.042918525
18,174874,444801,55607,39105,36016,44146,96107,87199,184516,360,25332,11842,36565,54693,55724,0.909788048737,151156091,819.203163953
24,90456,278911,16762,15850,24999,32845,81149,16318,53760,538,5248,9645,9850,16204,12275,0.557345130562,46097609,857.470405506
34,37898,91097,4183,5059,6071,22585,27368,14180,38840,101,2731,4761,10632,13035,7580,0.692377959661,20085720,517.140061792
30,90242,232105,19534,19843,23410,27455,70259,26024,97924,875,16973,12909,19134,28884,19149,0.642209538991,64087013,654.456650055
32,23045,57425,3587,4170,5554,9734,17535,6519,26409,45,1965,2574,11099,5278,5448,0.657114342743,14854699,562.486235753
27,34736,97398,7450,7358,8681,11247,27840,9380,42277,492,7439,5766,7206,14485,6889,0.623850574713,39005609,922.62007711
10,119081,309358,21724,17594,24777,54986,85007,39496,115632,113,21458,16881,25226,33129,18825,0.700418789041,70487578,609.585391587
1,74224,129170,29648,14351,13588,16637,1732,84962,336721,424,25007,19242,149135,59524,83389,21.4272517321,211946726,629.443147294
3,118510,314938,25512,21970,26954,44074,59590,66839,129194,94,17132,8189,22781,42720,38278,0.994378251384,128344991,993.428417728
6,82370,202614,9225,11034,17088,45023,54515,31571,90426,397,9629,10921,31876,20156,17447,0.75548014308,47623749,526.65990976
31,31795,79260,6993,6761,8165,9876,33692,5978,24139,1748,5086,2787,3467,6118,4933,0.471847916419,18378104,761.344877584
7,77085,211408,9531,9486,15326,42742,58442,23076,132369,1077,26542,8768,31620,24427,39935,0.659500017111,75997084,574.130529051
19,72147,157488,22796,13805,14702,20844,36807,36588,115619,54,14189,8517,31899,43198,17762,0.980071725487,78194892,676.315242304
29,63897,158879,12448,12783,16408,22258,50998,17542,60781,1263,11472,8420,13260,16021,10345,0.626465743755,41804636,687.791184745
12,106654,387160,17568,17400,24865,46821,86382,24106,100726,131,26909,11838,18076,23073,20699,0.617339260494,72399632,718.77799178
23,51690,137159,3270,3897,7336,37187,47407,6114,63997,800,6098,6429,16147,13966,20557,0.545172653827,39658316,619.69023548
22,59170,132604,8511,8455,12941,29263,41954,20603,76559,119,6623,8095,24786,25644,11292,0.705177098727,45567903,595.199819747
2,101712,198039,19854,17068,21809,42981,16765,93855,83491,121,4138,6764,13070,30269,29129,3.03346257083,55842582,668.845528261
5,98219,284957,12754,15647,25962,43856,71682,31000,107973,134,26768,13817,18579,27574,21101,0.685102257191,78953800,731.236512832
14,33812,107113,7038,5120,7796,13858,27426,8244,42670,1766,10630,6358,7480,9390,7046,0.616422372931,39503493,925.790789782
8,70535,166770,13928,10644,12445,33518,44048,30720,134894,88,12804,9342,34224,63816,14620,0.800660642935,78816479,584.284541937
13,72730,213545,10551,10121,16731,35327,57877,17213,50007,161,9172,7847,12277,13345,7205,0.628315220208,31058743,621.087907693
11,102254,291037,27850,22112,23910,28382,58137,50656,123159,165,17425,9419,33024,27879,35247,0.879422742832,91582439,743.611421009
20,88611,248439,21268,19055,22128,26160,66451,28865,68040,451,16636,8687,10692,16640,14934,0.666739401965,55839398,820.684861846
28,14184,33851,2746,2681,3163,5594,14606,2946,20652,2437,4942,1881,2273,5979,3140,0.485553881966,14617543,707.802779392
21,85598,220631,15091,15372,22718,32417,63591,26747,107052,240,14888,11912,21986,27611,30415,0.673035492444,65538440,612.211261817
4,49753,128395,9461,8685,11181,20426,35192,17582,27518,12,1458,3921,5180,8509,8438,0.70687940441,19978826,726.027545607
26,89972,254588,14784,18841,24889,31458,72061,16006,87754,1474,14436,12273,14547,21373,23651,0.624276654501,60240644,686.471773366
25,51867,142800,10187,9866,13465,18349,36071,16970,44821,125,6646,5199,10207,11050,11594,0.718957056916,29222205,651.975747975
