TAZ,shrq1_2010,shrq2_2010,shrq3_2010,shrq4_2010,shrw0_2010,shrw1_2010,shrw2_2010,shrw3_2010,shra1_2010,shra2_2010,shra3_2010,shra4_2010,shrn_2010,shry_2010,qmn,qsd,wmn,wsd,amn,asd
1,0.194395425,0.364722222,0.102205882,0.338676471,0.271115541,0.478553571,0.198565336,0.051765552,0.083760684,0.438461538,0.427350427,0.05042735,0.886928105,0.113071895," 69,839 "," 9,269,097 ", 1.04651 , 115 , 37 ," 7,564 "
2,0.51925138,0.170184498,0.157766539,0.152797584,0.35380868,0.339007972,0.228352524,0.078830824,0.092009685,0.278934625,0.505084746,0.123970944,0.882967228,0.117032772," 47,168 "," 5,271,507 ", 1.05585 , 189 , 42 ," 14,369 "
3,0.292525651,0.255169692,0.157395422,0.294909234,0.271120758,0.478539858,0.198571429,0.051767956,0.162592161,0.298797051,0.41443539,0.124175398,0.886929755,0.113070245," 65,326 "," 15,539,710 ", 1.04652 , 239 , 42 ," 13,824 "
4,0.279141994,0.297537585,0.268408389,0.154912032,0.197133106,0.349761092,0.297303754,0.155802048,0.244916821,0.431608133,0.311460259,0.012014787,0.611279863,0.388720137," 58,413 "," 3,929,144 ", 1.45852 , 134 , 36 ," 11,425 "
5,0.089121887,0.132372215,0.319790301,0.458715596,0.118047182,0.472188729,0.381336828,0.028427261,0.053973013,0.389055472,0.470014993,0.086956522,0.933171691,0.066828309," 90,216 "," 16,824,283 ", 1.32867 , 233 , 38 ," 8,872 "
6,0.181034483,0.034482759,0.103448276,0.681034483,0.118052726,0.472179555,0.381336008,0.028431711,0.063694268,0.402866242,0.464968153,0.068471338,0.933166144,0.066833856," 97,672 "," 11,210,815 ", 1.32868 , 97 , 38 ," 4,230 "
7,0.145492228,0.135457686,0.212366149,0.506683938,0.118048359,0.472193437,0.381329879,0.028428325,0.055970149,0.324626866,0.553171642,0.066231343,0.933177893,0.066822107," 88,603 "," 14,121,332 ", 1.32867 , 177 , 39 ," 8,656 "
8,0.189453462,0.129504199,0.309351986,0.371690352,0.260665025,0.373152709,0.344458128,0.021724138,0.054719562,0.30369357,0.567715458,0.073871409,0.904162562,0.095837438," 79,879 "," 7,084,844 ", 1.13376 , 111 , 39 ," 6,036 "
9,0.225248869,0.160882353,0.141085973,0.472782805,0.260656109,0.373167421,0.344457014,0.021719457,0.070815451,0.243562232,0.563304721,0.122317597,0.904140271,0.095859729," 81,003 "," 9,990,081 ", 1.13376 , 121 , 42 ," 7,468 "
10,0.156250655,0.111323089,0.205077675,0.527348582,0.26067086,0.373165618,0.344444444,0.021719078,0.12173913,0.17173913,0.615217391,0.091304348,0.904150943,0.095849057," 89,678 "," 12,241,256 ", 1.13373 , 130 , 42 ," 8,349 "
11,0.139868709,0.041750547,0.070984683,0.747396061,0.230525164,0.448380744,0.273763676,0.047330416,0.11160221,0.226519337,0.570165746,0.091712707,0.898993435,0.101006565," 103,080 "," 17,863,882 ", 1.15210 , 100 , 41 ," 7,397 "
12,0.155440181,0.250428894,0.138171558,0.455959368,0.230513984,0.44838717,0.273763572,0.047335275,0.124050633,0.215189873,0.553164557,0.107594937,0.899006772,0.100993228," 81,650 "," 9,491,933 ", 1.15212 , 97 , 42 ," 6,185 "
13,0.217391773,0.162245547,0.178157262,0.442205418,0.230517799,0.448392665,0.273764833,0.047324703,0.068746022,0.302991725,0.527052833,0.101209421,0.898996764,0.101003236," 80,090 "," 19,216,135 ", 1.15209 , 204 , 40 ," 11,607 "
14,0.094825226,0.260055542,0.150862462,0.49425677,0.230521512,0.448383312,0.273767927,0.047327249,0.069896194,0.288581315,0.568858131,0.07266436,0.898996089,0.101003911," 86,976 "," 18,030,200 ", 1.15210 , 169 , 39 ," 11,942 "
15,0.050459519,0.133019694,0.188074398,0.628446389,0.123479212,0.492888403,0.321356674,0.062275711,0.088939567,0.378563284,0.454960091,0.077537058,0.89,0.11," 100,345 "," 14,300,051 ", 1.34111 , 114 , 38 ," 5,603 "
16,0.150975143,0.211367113,0.136768642,0.500889101,0.123489484,0.492887189,0.321347992,0.062275335,0.095047524,0.362181091,0.474237119,0.068534267,0.88999044,0.11000956," 85,329 "," 25,165,042 ", 1.34109 , 261 , 38 ," 13,441 "
17,0.179293657,0.265565972,0.219804278,0.335336093,0.123489712,0.492880658,0.321349794,0.062279835,0.095860566,0.369063181,0.438344227,0.096732026,0.88999177,0.11000823," 74,141 "," 17,628,466 ", 1.34110 , 303 , 39 ," 13,721 "
18,0.389046358,0.168490066,0.219178808,0.223284768,0.21589404,0.294145695,0.374437086,0.115523179,0.151576806,0.345371312,0.367243133,0.135808749,0.818331126,0.181668874," 58,863 "," 6,665,769 ", 1.42425 , 202 , 42 ," 9,436 "
19,0.362533137,0.237172312,0.1410162,0.259278351,0.215894196,0.294142771,0.374438504,0.115524529,0.117996045,0.330916282,0.48121292,0.069874753,0.81832106,0.18167894," 59,802 "," 7,016,052 ", 1.42425 , 181 , 39 ," 10,222 "
20,0.294534095,0.201057321,0.252204292,0.252204292,0.215896488,0.294140481,0.374436229,0.115526802,0.146428571,0.400714286,0.397142857,0.055714286,0.81831793,0.18168207," 65,167 "," 5,677,960 ", 1.42425 , 145 , 38 ," 7,962 "
21,0.26431338,0.122887324,0.151514085,0.461285211,0.215897887,0.294137324,0.37443662,0.115528169,0.135182999,0.43270366,0.355371901,0.07674144,0.818327465,0.181672535," 79,276 "," 12,530,755 ", 1.42425 , 152 , 38 ," 8,598 "
22,0.093464567,0.546732283,0.205590551,0.154212598,0.14023622,0.438503937,0.260433071,0.160826772,0.121008403,0.431932773,0.388235294,0.058823529,0.829488189,0.170511811," 61,729 "," 2,187,793 ", 1.49010 , 55 , 37 ," 3,400 "
23,0.419345238,0.334107143,0.053005952,0.193541667,0.140233922,0.438498854,0.260438677,0.160828547,0.141039236,0.340402969,0.393425239,0.125132556,0.829494048,0.170505952," 49,758 "," 2,655,844 ", 1.49011 , 73 , 41 ," 4,838 "
24,0.267823409,0.366960986,0.205215606,0.16,0.140228752,0.438510031,0.260436559,0.160824658,0.11047619,0.378095238,0.425714286,0.085714286,0.829507187,0.170492813," 56,948 "," 2,958,181 ", 1.49010 , 106 , 39 ," 6,126 "
25,0.353308271,0.299533835,0.078345865,0.26881203,0.140238493,0.438504684,0.260432174,0.160824649,0.1367713,0.367152466,0.408071749,0.088004484,0.829503759,0.170496241," 58,648 "," 7,569,201 ", 1.49009 , 145 , 39 ," 9,757 "
