County,Taz,Local Govt Jobs per TAZ pop,ed_k12 Jobs per TAZ pop,County Govt Jobs per County Pop,State Govt Jobs per Reg Pop,Federal Govt Jobs per Reg Pop,ed_high Jobs per Reg Pop
San Francisco,1,0.0000713,0.0084413,0,0.0000148,0.0000116,0
San Francisco,2,0.0000713,0.0084413,0,0,0.0000082,0
San Francisco,3,0.0000713,0.0084413,0,0,0.0000003,0
San Francisco,4,0.0000713,0.0084413,0.0000038,0,0.0000185,0
San Francisco,5,0.0000713,0.0084413,0,0.0000001,0.0000099,0
San Francisco,6,0.0000713,0.0084413,0,0,0,0
San Francisco,7,0.0000713,0.0084413,0,0,0,0
San Francisco,8,0.0000713,0.0084413,0.0002313,0.0000049,0.0000395,0
San Francisco,9,0.0000713,0.0084413,0.0022929,0.0003414,0.0000932,0.0000049
San Francisco,10,0.0000713,0.0084413,0.002948,0,0.0000853,0
San Francisco,11,0.0000713,0.0084413,0.0000313,0,0.000099,0
San Francisco,12,0.0000713,0.0084413,0,0,0.0000039,0
San Francisco,13,0.0000713,0.0084413,0,0.0000333,0.0000228,0
San Francisco,14,0.0000713,0.0084413,0,0.0003342,0.0000228,0
San Francisco,15,0.0000713,0.0084413,0,0,0.0000097,0
San Francisco,16,0.0000713,0.0084413,0.0001238,0.0000168,0.0001921,0
San Francisco,17,0.0000713,0.0084413,0.0025629,0,0.0000056,0
San Francisco,18,0.0000713,0.0084413,0,0,0,0.0000018
San Francisco,19,0.0000713,0.0084413,0.0010152,0,0,0
San Francisco,20,0.0000713,0.0084413,0,0,0,0.0000042
San Francisco,21,0.0000713,0.0084413,0.000005,0,0.0000052,0.000002
San Francisco,22,0.0000713,0.0084413,0,0,0.0000014,0
San Francisco,23,0.0000713,0.0084413,0.000005,0,0,0
San Francisco,24,0.0000713,0.0084413,0,0.0000018,0.0001364,0.0000017
San Francisco,25,0.0000713,0.0084413,0,0,0,0
San Francisco,26,0.0000713,0.0084413,0,0,0,0
San Francisco,27,0.0000713,0.0084413,0,0,0,0.0000113
San Francisco,28,0.0000713,0.0084413,0,0,0,0
San Francisco,29,0.0000713,0.0084413,0,0,0,0
San Francisco,30,0.0000713,0.0084413,0,0,0,0
San Francisco,31,0.0000713,0.0084413,0,0,0,0
San Francisco,32,0.0000713,0.0084413,0,0,0,0.0000039
San Francisco,33,0.0000713,0.0084413,0,0,0,0.0000055
San Francisco,34,0.0000713,0.0084413,0,0,0,0
San Francisco,35,0.0000713,0.0084413,0,0,0,0
San Francisco,36,0.0000713,0.0084413,0.000125,0,0,0.0000071
San Francisco,37,0.0000713,0.0084413,0,0,0,0.0000017
San Francisco,38,0.0000713,0.0084413,0,0,0,0.0000042
San Francisco,39,0.0000713,0.0084413,0.0000188,0,0,0.0000031
San Francisco,40,0.0000713,0.0084413,0,0,0,0.0000564
San Francisco,41,0.0000713,0.0084413,0.0000625,0,0.0000021,0.0000092
San Francisco,42,0.0000713,0.0084413,0.000025,0.000029,0.0000011,0.0000058
San Francisco,43,0.0000713,0.0084413,0,0,0.0001151,0
San Francisco,44,0.0000713,0.0084413,0,0,0,0.0000181
San Francisco,45,0.0000713,0.0084413,0,0,0,0.0000042
San Francisco,46,0.0000713,0.0084413,0,0,0,0
San Francisco,47,0.0000713,0.0084413,0,0,0,0
San Francisco,48,0.0000713,0.0084413,0,0,0,0
San Francisco,49,0.0000713,0.0084413,0,0,0,0.0000048
San Francisco,50,0.0000713,0.0084413,0,0,0.0000003,0
San Francisco,51,0.0000713,0.0084413,0,0,0,0.0000078
San Francisco,52,0.0000713,0.0084413,0,0,0.000055,0
San Francisco,53,0.0000713,0.0084413,0,0,0,0
San Francisco,54,0.0000713,0.0084413,0,0,0,0
San Francisco,55,0.0000713,0.0084413,0,0,0,0
San Francisco,56,0.0000713,0.0084413,0,0,0.000012,0
San Francisco,57,0.0000713,0.0084413,0,0,0,0
San Francisco,58,0.0000713,0.0084413,0,0,0,0
San Francisco,59,0.0000713,0.0084413,0,0,0,0.0000233
San Francisco,60,0.0000713,0.0084413,0,0,0,0.0000042
San Francisco,61,0.0000713,0.0084413,0,0,0,0
San Francisco,62,0.0000713,0.0084413,0,0,0,0.0000056
San Francisco,63,0.0000713,0.0084413,0,0,0,0.0000048
San Francisco,64,0.0000713,0.0084413,0.0001,0.0000141,0,0.0000042
San Francisco,65,0.0000713,0.0084413,0,0,0,0.0000042
San Francisco,66,0.0000713,0.0084413,0,0,0,0
San Francisco,67,0.0000713,0.0084413,0,0,0,0
San Francisco,68,0.0000713,0.0084413,0,0,0.0000035,0
San Francisco,69,0.0000713,0.0084413,0,0,0,0.0000071
San Francisco,70,0.0000713,0.0084413,0,0,0.0000021,0.0000113
San Francisco,71,0.0000713,0.0084413,0,0,0.0000039,0
San Francisco,72,0.0000713,0.0084413,0,0,0,0.0000031
San Francisco,73,0.0000713,0.0084413,0,0,0,0
San Francisco,74,0.0000713,0.0084413,0.0000088,0,0,0
San Francisco,75,0.0000713,0.0084413,0,0,0,0
San Francisco,76,0.0000713,0.0084413,0,0.0004556,0,0.0000042
San Francisco,77,0.0000713,0.0084413,0,0,0.000003,0.0000056
San Francisco,78,0.0000713,0.0084413,0.0003125,0,0,0
San Francisco,79,0.0000713,0.0084413,0.0004301,0,0,0.00008
San Francisco,80,0.0000713,0.0084413,0,0,0,0
San Francisco,81,0.0000713,0.0084413,0.0000188,0,0,0.0000056
San Francisco,82,0.0000713,0.0084413,0,0,0,0
San Francisco,83,0.0000713,0.0084413,0,0,0,0.0000056
San Francisco,84,0.0000713,0.0084413,0,0,0,0
San Francisco,85,0.0000713,0.0084413,0,0,0,0.0000042
San Francisco,86,0.0000713,0.0084413,0,0,0,0.0000063
San Francisco,87,0.0000713,0.0084413,0,0,0,0.0000035
San Francisco,88,0.0000713,0.0084413,0,0,0,0.0000076
San Francisco,89,0.0000713,0.0084413,0.0001125,0,0,0.0000039
San Francisco,90,0.0000713,0.0084413,0,0,0,0
San Francisco,91,0.0000713,0.0084413,0,0,0,0.0000138
San Francisco,92,0.0000713,0.0084413,0.0003588,0.0000317,0,0.000003
San Francisco,93,0.0000713,0.0084413,0,0,0,0.0000037
San Francisco,94,0.0000713,0.0084413,0,0,0,0.0000034
San Francisco,95,0.0000713,0.0084413,0,0,0,0.0000052
San Francisco,96,0.0000713,0.0084413,0,0,0,0
San Francisco,97,0.0000713,0.0084413,0,0,0,0.0000113
San Francisco,98,0.0000713,0.0084413,0,0,0,0
San Francisco,99,0.0000713,0.0084413,0,0,0,0
San Francisco,100,0.0000713,0.0084413,0,0,0,0.0000279
San Francisco,101,0.0000713,0.0084413,0,0,0,0
San Francisco,102,0.0000713,0.0084413,0.0002813,0,0,0
San Francisco,103,0.0000713,0.0084413,0,0,0,0.0000196
San Francisco,104,0.0000713,0.0084413,0,0,0,0.0000109
San Francisco,105,0.0000713,0.0084413,0,0,0,0
San Francisco,106,0.0000713,0.0084413,0.0038331,0,0,0.0000024
San Francisco,107,0.0000713,0.0084413,0.0001238,0.0000037,0,0
San Francisco,108,0.0000713,0.0084413,0,0,0,0
San Francisco,109,0.0000713,0.0084413,0,0.0000155,0.0000003,0
San Francisco,110,0.0000713,0.0084413,0,0,0,0
San Francisco,111,0.0000713,0.0084413,0,0,0.0000001,0
San Francisco,112,0.0000713,0.0084413,0,0,0,0.0000063
San Francisco,113,0.0000713,0.0084413,0,0,0,0.0000056
San Francisco,114,0.0000713,0.0084413,0,0,0,0.0000171
San Francisco,115,0.0000713,0.0084413,0,0,0.0000003,0
San Francisco,116,0.0000713,0.0084413,0,0,0,0.000009
San Francisco,117,0.0000713,0.0084413,0,0,0,0.0000183
San Francisco,118,0.0000713,0.0084413,0,0,0,0
San Francisco,119,0.0000713,0.0084413,0,0,0,0.0000014
San Francisco,120,0.0000713,0.0084413,0,0,0,0.0000034
San Francisco,121,0.0000713,0.0084413,0,0,0,0
San Francisco,122,0.0000713,0.0084413,0,0,0,0.0000056
San Francisco,123,0.0000713,0.0084413,0,0,0,0
San Francisco,124,0.0000713,0.0084413,0,0,0,0.0000031
San Francisco,125,0.0000713,0.0084413,0,0,0,0.0000068
San Francisco,126,0.0000713,0.0084413,0,0,0,0
San Francisco,127,0.0000713,0.0084413,0.0000038,0,0,0.0000042
San Francisco,128,0.0000713,0.0084413,0,0,0,0.0000134
San Francisco,129,0.0000713,0.0084413,0,0,0,0.0000035
