tract_ba,census_tract,prop_eq,prop_fire,shaking
125000,06041125000,0.009845752,0.003692211,6.8
017902,06075017902,0.049555309,4.61231E-05,6.3
060700,06075060700,0.047666666,7.36992E-12,6.6
607900,06081607900,0.08214137,0.005726935,7
512700,06085512700,0.009128811,1.12951E-12,7.8
504601,06085504601,0.03341013,0.000510176,8.3
420300,06001420300,0.130931337,0.019977812,8.5
420200,06001420200,0.13952643,0.018850219,8.8
420600,06001420600,0.111199896,0.030196191,8.6
420100,06001420100,0.154355984,0.019519464,8.8
421300,06001421300,0.210810594,0.038109709,8.8
421400,06001421400,0.126788609,0.040657932,9.1
420500,06001420500,0.128056462,0.019435216,8.5
420400,06001420400,0.17742417,0.018940454,8.3
421900,06001421900,0.061389633,0.019706893,8.4
421800,06001421800,0.087150089,0.039792749,8.6
421600,06001421600,0.140307493,0.073605175,9.4
421700,06001421700,0.162267579,0.03626181,8.8
400100,06001400100,0.085946899,0.074764166,9.58
404300,06001404300,0.087139178,0.067841703,8.8
423300,06001423300,0.066841532,0.016115353,8.5
422000,06001422000,0.253133125,0.014562237,8.3
423100,06001423100,0.114436629,0.01655355,8.4
423000,06001423000,0.092197041,0.035425184,8.6
423700,06001423700,0.116553171,0.070268782,9.2
423601,06001423601,0.095147811,0.056474478,9.1
423500,06001423500,0.143634465,0.036353702,8.9
422900,06001422900,0.152944162,0.035466321,8.8
422800,06001422800,0.145829122,0.053472276,9.1
400800,06001400800,0.121675783,0.019422835,8.3
404200,06001404200,0.109236091,0.053310342,8.7
400300,06001400300,0.064812685,0.055192727,8.5
425100,06001425100,0.136316081,0.019116385,8.1
400700,06001400700,0.083413571,0.038548673,8.4
423400,06001423400,0.096009938,0.036776898,8.6
424001,06001424001,0.109453888,0.031212057,8.7
423901,06001423901,0.139955367,0.036612534,8.8
400500,06001400500,0.088666189,0.044913635,8.8
400200,06001400200,0.072579475,0.069817967,8.9
423800,06001423800,0.07012883,0.072872914,9.2
424002,06001424002,0.07893836,0.019989565,8.5
400600,06001400600,0.070347203,0.042997871,8.3
400400,06001400400,0.059272518,0.066827321,8.7
422100,06001422100,0.077780167,0.016273813,8.5
423200,06001423200,0.121792531,0.015826731,8.5
423902,06001423902,0.102800035,0.065808582,9
422700,06001422700,0.160377272,0.090932987,9.3
422600,06001422600,0.297281158,0.08028747,9.2
422400,06001422400,0.138574687,0.035585998,8.8
422200,06001422200,0.114425837,0.016708324,8.4
422300,06001422300,0.09609025,0.036998696,8.5
401500,06001401500,0.083804564,0.031141752,8.1
401000,06001401000,0.063381496,0.035415555,8
426200,06001426200,0.063593009,0.050644554,8.4
404501,06001404501,0.113819924,0.059606002,9
404400,06001404400,0.109959173,0.027042465,9.58
404000,06001404000,0.054754709,0.038344123,8.3
401400,06001401400,0.099914074,0.028616577,8.2
401100,06001401100,0.061669018,0.040056965,8
427500,06001427500,0.226237883,0.00034575,8.2
402000,06001402000,0.294389728,0.00510315,8.3
402100,06001402100,0.063371214,7.24087E-13,8.4
402200,06001402200,0.133404564,1.22383E-11,8.3
401900,06001401900,0.274115757,2.43075E-05,7.8
401700,06001401700,0.30580087,0.005008767,7.9
402300,06001402300,0.112535996,1.71455E-11,8.3
401600,06001401600,0.155247825,0.01839923,8.2
401800,06001401800,0.141840381,1.25713E-11,8.2
444300,06001444300,0.080754476,0.008512388,8.08
428500,06001428500,0.242428601,0.017736689,8.3
428301,06001428301,0.199651105,0.015007729,9.1
409100,06001409100,0.150616648,0.023877633,8.8
409200,06001409200,0.172008862,0.021817344,8.8
432400,06001432400,0.445779199,0.001908191,9
433300,06001433300,0.202366368,0.02917774,9.3
427900,06001427900,0.134593677,0.01828272,8.5
428000,06001428000,0.166769049,0.019847657,8.6
409300,06001409300,0.266232215,0.027871299,8.8
409400,06001409400,0.311964985,0.028285891,8.7
410300,06001410300,0.199868553,0.028620608,8.7
410400,06001410400,0.232746054,0.029794944,8.8
428600,06001428600,0.223595906,0.013192879,8.2
427700,06001427700,0.176031352,0.011446698,8
432300,06001432300,0.20200185,0.031505168,8.8
432200,06001432200,0.293374773,0.029225252,8.9
435900,06001435900,0.196031624,0.034482888,9.5
433600,06001433600,0.312779498,0.029589846,9.4
436100,06001436100,0.156860189,0.059014647,8.9
435700,06001435700,0.154755141,0.083285349,8.9
435200,06001435200,0.172715699,0.028626445,9.6
436402,06001436402,0.104012308,0.07783362,9.5
451602,06001451602,0.093254068,0.000514718,9.4
451300,06001451300,0.092904154,0.014592635,9
451701,06001451701,0.051431019,0.001576878,9.5
433700,06001433700,0.307164902,0.057271263,9.033333333
435500,06001435500,0.290836386,0.088188493,9.3
435400,06001435400,0.59169623,0.045101896,9.4
436401,06001436401,0.181517995,0.107435738,9.4
450603,06001450603,0.255220152,0.050059981,9.85
450604,06001450604,0.085698833,0.01126183,9.85
435300,06001435300,0.215224168,0.098526712,9.6
431200,06001431200,0.218228574,0.026104981,9.58
430500,06001430500,0.196849761,0.050679488,9.1
431000,06001431000,0.35794428,-5.57643E-12,9.6
433200,06001433200,0.288581918,0.026136474,9.1
433800,06001433800,0.173058677,0.069812572,8.8
434000,06001434000,0.23257043,0.076129393,8.8
430800,06001430800,0.327937661,3.62735E-11,9.6
430700,06001430700,0.264167116,-5.25492E-11,9.6
430900,06001430900,0.340529546,1.56151E-11,9.6
430600,06001430600,0.148380793,0.003207768,9.36
433102,06001433102,0.306084393,0.030359691,8.8
433000,06001433000,0.177531941,0.027314665,8.8
432600,06001432600,0.395225783,0.027462742,8.866666667
430400,06001430400,0.082242821,0.000904039,9.2
432800,06001432800,0.089876824,0.030575467,9.1
432100,06001432100,0.214244804,0.033795168,8.866666667
432700,06001432700,0.218960625,0.033462389,8.9
410200,06001410200,0.197115765,0.027663369,8.7
441521,06001441521,0.136398522,0.043238859,9.3
441522,06001441522,0.086412643,0.075466617,9.4
441402,06001441402,0.249146003,0.082275139,9.7
440306,06001440306,0.066703462,0.040143459,9.1
437100,06001437100,0.118943316,0.015205494,9.005882353
436200,06001436200,0.192975187,0.127436417,8.6
440307,06001440307,0.459452239,0.063202702,9.4
440308,06001440308,0.244494165,0.078095272,9.6
440304,06001440304,0.081002664,0.039452244,8.9
440302,06001440302,0.264617546,0.049711397,9.28
435101,06001435101,0.157950536,0.058584866,9.528571429
438100,06001438100,0.146931998,0.071538752,9.4
