year,income_quartile,total_number_of_households
2010,1,679409
2010,2,571947
2010,3,588323
2010,4,773376
2011,1,690425
2011,2,603172
2011,3,617082
2011,4,715351
2012,1,701620
2012,2,636102
2012,3,647247
2012,4,661680
2013,1,712997
2013,2,670830
2013,3,678887
2013,4,612035
2014,1,724558
2014,2,707454
2014,3,712073
2014,4,566115
2015,1,736309
2015,2,746081
2015,3,746884
2015,4,523643
2016,1,742368
2016,2,750294
2016,3,759742
2016,4,534993
2017,1,748477
2017,2,754531
2017,3,772822
2017,4,546589
2018,1,754636
2018,2,758792
2018,3,786127
2018,4,558437
2019,1,760846
2019,2,763077
2019,3,799661
2019,4,570541
2020,1,767111
2020,2,767389
2020,3,813431
2020,4,582911
2021,1,771915
2021,2,771351
2021,3,827452
2021,4,594454
2022,1,776749
2022,2,775333
2022,3,841714
2022,4,606225
2023,1,781614
2023,2,779336
2023,3,856222
2023,4,618229
2024,1,786509
2024,2,783359
2024,3,870980
2024,4,630471
2025,1,791438
2025,2,787406
2025,3,885995
2025,4,642959
2026,1,793600
2026,2,790346
2026,3,899477
2026,4,653683
2027,1,795768
2027,2,793297
2027,3,913164
2027,4,664586
2028,1,797942
2028,2,796259
2028,3,927059
2028,4,675671
2029,1,800122
2029,2,799232
2029,3,941166
2029,4,686941
2030,1,802311
2030,2,802219
2030,3,955489
2030,4,698400
2031,1,808404
2031,2,805739
2031,3,966375
2031,4,706766
2032,1,814544
2032,2,809275
2032,3,977385
2032,4,715232
2033,1,820730
2033,2,812826
2033,3,988521
2033,4,723799
2034,1,826963
2034,2,816393
2034,3,999784
2034,4,732469
2035,1,833247
2035,2,819979
2035,3,1011178
2035,4,741245
2036,1,835589
2036,2,822819
2036,3,1021692
2036,4,751307
2037,1,837937
2037,2,825669
2037,3,1032315
2037,4,761506
2038,1,840292
2038,2,828529
2038,3,1043049
2038,4,771843
2039,1,842654
2039,2,831399
2039,3,1053894
2039,4,782321
2040,1,845025
2040,2,834282
2040,3,1064854
2040,4,792944
