taz,res_cat,nonres_cat
1,S,S
2,S,S
3,S,S
4,S,S
5,S,S
6,S,S
7,S,S
8,S,S
9,S,S
10,S,S
11,S,S
12,S,S
13,S,S
14,S,S
15,S,S
16,S,S
17,S,S
18,S,S
19,S,S
20,S,S
21,S,S
22,S,S
23,S,S
24,S,S
25,S,S
26,S,S
27,S,S
28,S,S
29,S,S
30,S,S
31,S,S
32,S,S
33,S,S
34,S,S
35,S,S
36,S,S
37,S,S
38,S,S
39,S,S
40,S,S
41,S,S
42,S,M
43,S,S
44,S,S
45,S,S
46,S,S
47,S,S
48,S,S
49,S,S
50,S,S
51,S,S
52,S,S
53,S,S
54,S,S
55,S,S
56,S,S
57,S,S
58,S,S
59,S,S
60,S,S
61,S,S
62,S,S
63,S,S
64,S,S
65,S,S
66,S,S
67,S,S
68,S,S
69,S,S
70,S,S
71,S,S
72,S,S
73,S,S
74,S,S
75,S,S
76,S,S
77,S,S
78,S,S
79,S,S
80,S,S
81,S,S
82,S,S
83,S,S
84,S,S
85,S,S
86,S,S
87,S,S
88,S,S
89,S,S
90,S,S
91,S,S
92,S,S
93,S,S
94,S,S
95,S,S
96,S,S
97,S,S
98,S,S
99,S,S
100,S,S
101,S,S
102,S,S
103,S,S
104,S,S
105,S,S
106,S,S
107,S,S
108,S,S
109,S,S
110,S,S
111,S,S
112,S,S
113,S,S
114,S,S
115,S,S
116,S,S
117,S,S
118,S,S
119,S,S
120,S,S
121,S,S
122,S,S
123,S,S
124,S,S
125,S,S
126,S,S
127,S,S
128,S,S
129,S,S
130,S,S
131,S,S
132,S,S
133,S,S
134,S,S
135,S,S
136,S,S
137,S,S
138,S,S
139,S,S
140,S,S
141,S,S
142,S,S
143,S,S
144,S,S
145,S,M
146,S,M
147,S,S
148,S,S
149,S,S
150,S,S
151,S,S
152,S,S
153,S,S
154,S,S
155,S,S
156,S,MH
157,S,S
158,S,S
159,S,S
160,S,S
161,S,S
162,S,S
163,S,M
164,S,S
165,S,S
166,S,S
167,S,S
168,S,S
169,S,S
170,S,S
171,S,S
172,S,S
173,S,S
174,S,S
175,S,S
176,S,S
177,S,S
178,S,S
179,S,S
180,S,S
181,S,S
182,S,S
183,S,S
184,S,S
185,S,S
186,S,S
187,S,S
188,S,S
189,S,S
190,S,S
191,S,M
192,S,M
193,S,M
194,S,M
195,S,M
196,S,M
197,S,MH
198,S,M
199,M,M
200,S,M
201,S,M
202,S,M
203,S,M
204,S,M
205,S,M
206,M,M
207,S,M
208,M,MH
209,M,MH
210,S,M
211,S,M
212,S,MH
213,S,M
214,S,M
215,S,MH
216,S,M
217,S,M
218,M,M
219,M,MH
220,M,M
221,M,MH
222,M,MH
223,MH,MH
224,MH,H
225,MH,H
226,MH,H
227,H,H
228,M,M
229,M,MH
230,M,M
231,M,MH
232,M,MH
233,M,MH
234,S,M
235,M,MH
236,M,MH
237,S,M
238,S,MH
239,S,MH
240,S,M
241,M,MH
242,M,MH
243,M,MH
244,S,MH
245,M,H
246,M,MH
247,S,MH
248,S,MH
249,S,MH
250,M,MH
251,S,MH
252,M,H
253,M,H
254,M,H
255,M,MH
256,S,M
