zone_id,gqpop10,gqpop15,gqpop20,gqpop25,gqpop30,gqpop35,gqpop40,zonal_emp_sh_resid10,sh_age0004,sh_age0519,sh_age2044,sh_age4564,sh_age65up,sh_62plus
1,8,8,9,9,10,10,11,-0.0924,0.039,0.078,0.364,0.325,0.195,0.238
2,25,26,28,30,31,33,35,-0.0941,0.032,0.077,0.363,0.327,0.202,0.238
3,46,49,51,54,57,61,64,-0.0935,0.033,0.077,0.361,0.327,0.201,0.238
4,13,14,14,15,16,17,18,-0.0888,0.031,0.078,0.364,0.326,0.202,0.238
5,90,95,101,106,113,119,126,-0.0942,0.033,0.078,0.360,0.327,0.201,0.238
6,616,651,689,729,771,815,862,-0.0417,0.019,0.056,0.574,0.234,0.116,0.142
7,445,471,498,526,556,588,622,-0.0016,0.028,0.069,0.437,0.310,0.157,0.191
8,2214,2341,2476,2619,2769,2929,3097,-0.2324,0.038,0.086,0.310,0.355,0.211,0.250
9,640,677,716,757,800,846,895,-0.0840,0.040,0.100,0.469,0.257,0.135,0.163
10,97,103,109,115,122,129,136,-0.0062,0.028,0.087,0.428,0.347,0.110,0.148
11,156,165,174,184,195,206,218,-0.0061,0.028,0.087,0.428,0.347,0.110,0.148
12,9,10,10,11,12,12,13,0.1474,0.008,0.012,0.587,0.340,0.054,0.090
13,9,10,10,11,12,12,13,0.1469,0.008,0.012,0.586,0.340,0.055,0.090
14,6,6,7,7,7,8,8,0.1498,0.011,0.011,0.585,0.340,0.053,0.090
15,45,48,50,53,56,60,63,0.1467,0.008,0.013,0.585,0.340,0.054,0.090
16,122,129,137,144,153,162,171,0.1955,0.021,0.027,0.645,0.261,0.047,0.076
17,394,417,441,466,493,521,551,0.1953,0.021,0.027,0.645,0.261,0.047,0.076
18,344,364,385,407,430,455,481,0.0734,0.017,0.066,0.670,0.216,0.032,0.056
19,1429,1511,1598,1690,1787,1890,1999,0.0731,0.017,0.066,0.669,0.216,0.032,0.056
20,326,345,365,386,408,431,456,-0.0893,0.021,0.054,0.322,0.235,0.368,0.394
21,388,410,434,459,485,513,543,-0.0894,0.021,0.054,0.322,0.235,0.368,0.394
22,18,19,20,21,22,24,25,0.0479,0.015,0.020,0.264,0.431,0.270,0.317
23,6,6,7,7,7,8,8,0.0484,0.015,0.020,0.264,0.431,0.270,0.317
24,7,7,8,8,9,9,10,-0.1877,0.031,0.046,0.209,0.387,0.326,0.369
25,6,6,7,7,7,8,8,-0.2090,0.033,0.121,0.187,0.281,0.379,0.410
26,13,14,14,15,16,17,18,-0.1209,0.031,0.107,0.252,0.293,0.316,0.349
27,0,0,0,0,0,0,0,-0.0749,0.031,0.108,0.242,0.283,0.337,0.369
28,2,2,2,2,3,3,3,0.1218,0.032,0.047,0.385,0.302,0.235,0.269
29,329,348,368,389,411,435,460,0.0536,0.020,0.042,0.503,0.283,0.152,0.184
30,529,559,592,626,662,700,740,-0.0046,0.044,0.090,0.497,0.259,0.110,0.139
31,81,86,91,96,101,107,113,0.0358,0.032,0.061,0.508,0.257,0.143,0.171
32,23,24,26,27,29,30,32,0.1302,0.023,0.070,0.460,0.265,0.183,0.212
33,10,11,11,12,13,13,14,0.0777,0.029,0.078,0.455,0.261,0.177,0.206
34,1,1,1,1,1,1,1,0.1457,0.022,0.037,0.507,0.241,0.193,0.220
35,0,0,0,0,0,0,0,0.0772,0.034,0.090,0.401,0.270,0.206,0.236
36,0,0,0,0,0,0,0,-0.1379,0.033,0.090,0.247,0.280,0.349,0.380
37,1,1,1,1,1,1,1,0.0403,0.033,0.095,0.376,0.307,0.189,0.223
38,14,15,16,17,18,19,20,0.1253,0.037,0.063,0.425,0.309,0.166,0.201
39,0,0,0,0,0,0,0,0.0436,0.038,0.068,0.408,0.279,0.207,0.238
40,5,5,6,6,6,7,7,0.1312,0.027,0.030,0.477,0.281,0.185,0.217
41,14,15,16,17,18,19,20,0.0160,0.025,0.067,0.444,0.254,0.209,0.237
42,699,739,782,827,874,925,978,-0.0055,0.037,0.141,0.709,0.105,0.007,0.019
43,16,17,18,19,20,21,22,0.1534,0.036,0.029,0.557,0.218,0.160,0.184
44,81,86,91,96,101,107,113,0.1670,0.022,0.029,0.592,0.203,0.154,0.176
45,0,0,0,0,0,0,0,0.2088,0.032,0.034,0.550,0.249,0.134,0.162
46,109,115,122,129,136,144,152,0.1587,0.025,0.037,0.522,0.265,0.151,0.181
47,30,32,34,35,38,40,42,0.1385,0.037,0.036,0.489,0.286,0.152,0.184
48,44,47,49,52,55,59,62,0.1619,0.042,0.051,0.522,0.268,0.117,0.147
49,28,30,31,33,35,37,39,0.1778,0.052,0.079,0.397,0.322,0.150,0.186
50,3,3,3,3,4,4,4,0.2163,0.045,0.055,0.479,0.258,0.163,0.192
51,10,11,11,12,13,13,14,0.1558,0.048,0.034,0.543,0.223,0.153,0.178
52,9,10,10,11,12,12,13,0.1137,0.083,0.119,0.675,0.113,0.010,0.022
53,125,132,140,148,156,165,175,-0.1912,0.012,0.024,0.694,0.259,0.012,0.043
54,78,82,87,92,97,103,109,0.0481,0.039,0.113,0.363,0.293,0.193,0.225
55,0,0,0,0,0,0,0,0.0051,0.048,0.114,0.351,0.306,0.182,0.215
56,190,201,213,225,238,251,266,0.1318,0.016,0.060,0.210,0.295,0.420,0.452
57,0,0,0,0,0,0,0,0.1165,0.079,0.149,0.237,0.336,0.198,0.235
58,30,32,34,35,38,40,42,0.0381,0.038,0.121,0.389,0.278,0.175,0.206
59,76,80,85,90,95,100,106,0.0382,0.041,0.118,0.357,0.291,0.193,0.225
60,1,1,1,1,1,1,1,0.0504,0.046,0.114,0.378,0.269,0.192,0.222
61,3,3,3,3,4,4,4,0.0230,0.043,0.117,0.380,0.261,0.199,0.228
62,7,7,8,8,9,9,10,0.0523,0.049,0.111,0.392,0.284,0.163,0.195
63,7,7,8,8,9,9,10,0.0477,0.049,0.112,0.377,0.285,0.177,0.209
64,10,11,11,12,13,13,14,0.0375,0.043,0.121,0.402,0.264,0.170,0.199
65,26,27,29,31,32,34,36,0.0659,0.055,0.102,0.427,0.267,0.149,0.179
66,82,87,92,97,103,109,115,0.0526,0.043,0.108,0.425,0.262,0.163,0.192
67,9,10,10,11,12,12,13,0.0612,0.044,0.113,0.437,0.262,0.145,0.174
68,11,12,12,13,14,14,15,0.1074,0.036,0.079,0.506,0.241,0.137,0.164
69,2412,2551,2698,2853,3017,3190,3374,0.0296,0.029,0.182,0.500,0.175,0.114,0.134
70,9,10,10,11,12,12,13,0.1271,0.048,0.079,0.468,0.247,0.159,0.186
71,255,270,285,302,319,338,357,0.1375,0.056,0.111,0.358,0.301,0.174,0.208
72,146,154,163,173,182,193,204,0.1555,0.026,0.050,0.481,0.238,0.205,0.232
73,90,95,101,106,113,119,126,0.0966,0.021,0.035,0.465,0.251,0.227,0.255
74,149,158,167,176,186,197,208,-0.1003,0.029,0.064,0.349,0.182,0.377,0.397
75,138,146,154,163,173,183,193,0.0268,0.016,0.024,0.405,0.223,0.332,0.357
76,12,13,13,14,15,16,17,0.0009,0.019,0.032,0.440,0.289,0.220,0.252
77,85,90,95,101,106,113,119,-0.0221,0.041,0.095,0.409,0.238,0.217,0.243
78,11,12,12,13,14,14,15,-0.1538,0.050,0.139,0.309,0.218,0.284,0.309
79,39,41,44,46,49,52,55,0.1274,0.025,0.079,0.566,0.257,0.074,0.102
80,80,85,89,95,100,106,112,0.0663,0.043,0.107,0.570,0.207,0.072,0.096
81,233,246,261,276,291,308,326,0.1523,0.029,0.068,0.607,0.231,0.064,0.090
82,17,18,19,20,21,23,24,0.1495,0.021,0.031,0.602,0.251,0.095,0.123
83,0,0,0,0,0,0,0,0.1608,0.024,0.029,0.465,0.359,0.123,0.163
84,87,92,97,103,109,115,122,0.1736,0.026,0.059,0.636,0.226,0.053,0.078
85,218,231,244,258,273,288,305,0.0975,0.021,0.049,0.626,0.178,0.126,0.146
86,164,173,183,194,205,217,229,0.0613,0.041,0.117,0.512,0.241,0.088,0.115
87,346,366,387,409,433,458,484,0.1003,0.033,0.050,0.562,0.212,0.142,0.166
88,71,75,79,84,89,94,99,0.2358,0.030,0.040,0.677,0.213,0.040,0.064
89,108,114,121,128,135,143,151,0.1946,0.042,0.067,0.559,0.261,0.071,0.100
90,121,128,135,143,151,160,169,0.1311,0.037,0.072,0.590,0.233,0.069,0.095
91,358,379,400,424,448,474,501,0.0415,0.063,0.089,0.443,0.260,0.145,0.174
92,891,942,996,1054,1114,1178,1246,-0.1556,0.031,0.089,0.191,0.263,0.426,0.456
93,1,1,1,1,1,1,1,0.1720,0.020,0.031,0.526,0.327,0.096,0.133
94,100,106,112,118,125,132,140,0.1513,0.022,0.031,0.515,0.336,0.096,0.134
95,15,16,17,18,19,20,21,0.1313,0.048,0.074,0.460,0.322,0.096,0.132
96,1,1,1,1,1,1,1,0.1573,0.054,0.080,0.481,0.295,0.091,0.123
97,1,1,1,1,1,1,1,0.1495,0.053,0.069,0.503,0.284,0.091,0.122
98,1,1,1,1,1,1,1,0.0978,0.047,0.071,0.501,0.292,0.090,0.122
99,171,181,191,202,214,226,239,0.1197,0.046,0.077,0.553,0.235,0.088,0.114
100,66,70,74,78,82,87,92,0.0954,0.059,0.135,0.488,0.212,0.105,0.129
101,132,140,148,156,165,175,185,0.0810,0.064,0.153,0.488,0.193,0.101,0.122
102,45,48,50,53,56,60,63,0.1604,0.031,0.067,0.567,0.238,0.097,0.123
103,7,7,8,8,9,9,10,0.1913,0.026,0.033,0.552,0.290,0.099,0.131
104,24,25,27,29,30,32,34,0.1877,0.018,0.041,0.586,0.275,0.080,0.111
105,89,94,99,105,111,117,124,0.0675,0.038,0.093,0.516,0.237,0.116,0.142
106,284,300,318,336,355,375,397,0.0119,0.064,0.147,0.440,0.240,0.109,0.135
107,277,293,310,327,346,366,387,0.0073,0.046,0.128,0.516,0.231,0.079,0.105
108,110,116,123,130,138,146,154,0.2298,0.030,0.095,0.479,0.257,0.139,0.167
109,805,851,900,952,1007,1065,1126,0.2300,0.031,0.095,0.479,0.257,0.139,0.167
110,160,169,179,189,200,212,224,0.2310,0.030,0.094,0.480,0.257,0.139,0.167
111,40,42,45,47,50,53,56,0.3231,0.041,0.042,0.588,0.267,0.062,0.092
112,47,50,53,56,59,62,66,0.1411,0.041,0.051,0.514,0.283,0.111,0.143
113,5,5,6,6,6,7,7,0.0394,0.088,0.165,0.432,0.244,0.070,0.097
114,7,7,8,8,9,9,10,0.1681,0.038,0.059,0.476,0.312,0.115,0.150
115,476,503,532,563,595,630,666,-0.1270,0.050,0.138,0.424,0.283,0.105,0.136
116,67,71,75,79,84,89,94,0.1221,0.080,0.159,0.485,0.211,0.065,0.089
117,55,58,62,65,69,73,77,0.0041,0.081,0.180,0.457,0.202,0.080,0.103
118,32,34,36,38,40,43,45,0.0727,0.084,0.175,0.483,0.191,0.067,0.089
119,68,72,76,80,85,90,95,-0.0117,0.079,0.182,0.436,0.214,0.089,0.113
120,42,44,47,50,53,56,59,0.0574,0.077,0.188,0.450,0.201,0.084,0.106
121,65,69,73,77,81,86,91,0.0743,0.049,0.112,0.402,0.306,0.130,0.164
122,210,222,235,248,263,278,294,0.0771,0.062,0.125,0.422,0.281,0.109,0.141
123,133,141,149,157,166,176,186,0.0565,0.064,0.117,0.445,0.267,0.108,0.138
124,16,17,18,19,20,21,22,0.0459,0.066,0.164,0.420,0.251,0.100,0.127
125,7,7,8,8,9,9,10,0.0594,0.065,0.157,0.355,0.284,0.140,0.171
126,16,17,18,19,20,21,22,-0.0665,0.077,0.175,0.366,0.256,0.126,0.154
127,26,27,29,31,32,34,36,0.1167,0.055,0.097,0.427,0.314,0.107,0.142
128,46,49,51,54,57,61,64,0.1135,0.051,0.089,0.488,0.265,0.106,0.136
129,0,0,0,0,0,0,0,0.1146,0.041,0.075,0.392,0.340,0.152,0.190
130,1,1,1,1,1,1,1,0.0424,0.048,0.115,0.315,0.364,0.158,0.198
131,0,0,0,0,0,0,0,0.0455,0.052,0.113,0.280,0.360,0.196,0.236
132,3,3,3,3,4,4,4,0.0408,0.059,0.145,0.303,0.326,0.167,0.204
133,2,2,2,2,3,3,3,0.0363,0.053,0.127,0.362,0.320,0.137,0.173
134,64,68,72,76,80,85,90,-0.0709,0.063,0.155,0.337,0.286,0.159,0.191
135,6,6,7,7,7,8,8,-0.0845,0.065,0.193,0.350,0.252,0.140,0.168
136,415,439,464,491,519,549,580,-0.0972,0.062,0.140,0.293,0.240,0.265,0.291
137,7,7,8,8,9,9,10,-0.0552,0.062,0.166,0.328,0.279,0.164,0.195
138,75,79,84,89,94,99,105,-0.1018,0.071,0.174,0.331,0.262,0.162,0.191
139,35,37,39,41,44,46,49,-0.1445,0.059,0.197,0.309,0.275,0.161,0.191
140,1,1,1,1,1,1,1,-0.1053,0.071,0.211,0.305,0.259,0.155,0.184
141,68,72,76,80,85,90,95,-0.2241,0.076,0.252,0.325,0.222,0.124,0.149
142,63,67,70,74,79,83,88,-0.1598,0.020,0.074,0.494,0.369,0.043,0.086
143,105,111,117,124,131,139,147,-0.1828,0.078,0.228,0.310,0.250,0.133,0.162
144,6,6,7,7,7,8,8,-0.1794,0.086,0.277,0.294,0.242,0.100,0.127
145,18,19,20,21,22,24,25,-0.2803,0.127,0.356,0.298,0.169,0.050,0.069
146,0,0,0,0,0,0,0,-0.0173,0.069,0.287,0.325,0.278,0.041,0.073
147,113,119,126,134,141,149,158,-0.1899,0.086,0.238,0.314,0.232,0.130,0.156
148,0,0,0,0,0,0,0,-0.1878,0.097,0.274,0.315,0.191,0.123,0.144
149,7,7,8,8,9,9,10,0.0023,0.050,0.192,0.340,0.279,0.139,0.170
150,0,0,0,0,0,0,0,-0.1412,0.086,0.200,0.362,0.237,0.114,0.141
151,20,21,22,24,25,26,28,-0.0628,0.049,0.185,0.333,0.285,0.148,0.180
152,56,59,63,66,70,74,78,-0.0635,0.064,0.168,0.303,0.277,0.188,0.219
153,10,11,11,12,13,13,14,-0.0283,0.066,0.185,0.331,0.280,0.138,0.169
154,52,55,58,62,65,69,73,-0.0855,0.064,0.177,0.330,0.281,0.149,0.180
155,17,18,19,20,21,23,24,-0.1028,0.059,0.194,0.316,0.269,0.162,0.192
156,6,6,7,7,7,8,8,-0.0602,0.086,0.220,0.353,0.232,0.109,0.135
157,0,0,0,0,0,0,0,-0.2423,0.146,0.293,0.313,0.165,0.082,0.100
