zone_id,totacre_abag,resacre10_abag,ciacre10_abag,meanhhsize,gqpop10,gqpop15,gqpop20,gqpop25,gqpop30,gqpop35,gqpop40,zonal_emp_sh_resid10,sh_age0004,sh_age0519,sh_age2044,sh_age4564,sh_age65p,sh_62plus,perf1re1gt1,perfareagt10,perfareagt50
1,20.3,1,15,1.6047,8,8,9,9,10,10,11,-0.0924,0.039,0.078,0.364,0.325,0.195,0.238,1,1,1
2,31.1,1,24,1.5816,25,26,28,30,31,33,35,-0.0941,0.032,0.077,0.363,0.327,0.202,0.238,1,1,1
3,14.7,1,2,1.5859,46,49,51,54,57,61,64,-0.0935,0.033,0.077,0.361,0.327,0.201,0.238,1,1,1
4,19.3,1,18,1.5676,13,14,14,15,16,17,18,-0.0888,0.031,0.078,0.364,0.326,0.202,0.238,1,1,1
5,52.7,1,15,1.5806,90,95,101,106,113,119,126,-0.0942,0.033,0.078,0.360,0.327,0.201,0.238,1,1,1
6,29.0,7,8,1.4663,616,652,689,729,771,816,863,-0.0417,0.019,0.056,0.574,0.234,0.116,0.142,1,1,1
7,45.0,13,14,1.4662,445,471,498,527,557,589,623,-0.0016,0.028,0.069,0.437,0.310,0.157,0.191,1,1,1
8,51.0,8,15,1.6376,2214,2342,2477,2621,2772,2932,3102,-0.2324,0.038,0.086,0.310,0.355,0.211,0.250,1,1,1
9,112.0,9,47,1.6983,640,677,716,758,802,848,897,-0.0840,0.040,0.100,0.469,0.257,0.135,0.163,1,1,1
10,73.5,7,35,1.7085,97,103,109,115,122,129,136,-0.0062,0.028,0.087,0.428,0.347,0.110,0.148,1,1,1
11,81.0,12,38,1.7082,156,165,175,185,196,207,219,-0.0061,0.028,0.087,0.428,0.347,0.110,0.148,1,1,1
12,53.3,1,16,1.4970,9,10,10,11,12,12,13,0.1474,0.008,0.012,0.587,0.340,0.054,0.090,1,1,1
13,26.5,1,19,1.5153,9,10,10,11,12,12,13,0.1469,0.008,0.012,0.586,0.340,0.055,0.090,1,1,1
14,30.6,1,26,1.5041,6,6,7,7,7,8,8,0.1498,0.011,0.011,0.585,0.340,0.053,0.090,1,1,1
15,28.5,3,14,1.5007,45,48,50,53,56,60,63,0.1467,0.008,0.013,0.585,0.340,0.054,0.090,1,1,1
16,123.4,6,72,1.6323,122,129,137,144,153,162,171,0.1955,0.021,0.027,0.645,0.261,0.047,0.076,1,1,1
17,152.3,21,36,1.6314,394,417,441,466,493,522,552,0.1953,0.021,0.027,0.645,0.261,0.047,0.076,1,1,1
18,107.3,2,50,1.6357,344,364,385,407,431,456,482,0.0734,0.017,0.066,0.670,0.216,0.032,0.056,1,1,1
19,125.4,9,74,1.6325,209,221,234,247,262,277,293,0.0731,0.017,0.066,0.669,0.216,0.032,0.056,1,1,1
20,98.3,12,35,1.6544,326,345,365,386,408,432,457,-0.0893,0.021,0.054,0.322,0.235,0.368,0.394,1,1,1
21,78.9,14,44,1.6551,388,410,434,459,486,514,544,-0.0894,0.021,0.054,0.322,0.235,0.368,0.394,1,1,1
22,87.7,9,46,1.5825,18,19,20,21,22,24,25,0.0479,0.015,0.020,0.264,0.431,0.270,0.317,1,1,1
23,90.8,4,20,1.5809,6,6,7,7,7,8,8,0.0484,0.015,0.020,0.264,0.431,0.270,0.317,1,1,1
24,39.0,2,20,1.5971,7,7,8,8,9,9,10,-0.1877,0.031,0.046,0.209,0.387,0.326,0.369,1,1,1
25,21.0,4,4,2.1806,6,6,7,7,7,8,8,-0.2090,0.033,0.121,0.187,0.281,0.379,0.410,1,1,1
26,13.0,2,5,2.1396,13,14,14,15,16,17,18,-0.1209,0.031,0.107,0.252,0.293,0.316,0.349,1,1,1
27,26.0,8,6,2.0576,0,0,0,0,0,0,0,-0.0749,0.031,0.108,0.242,0.283,0.337,0.369,1,1,1
28,44.0,20,5,1.7675,2,2,2,2,3,3,3,0.1218,0.032,0.047,0.385,0.302,0.235,0.269,1,1,1
29,37.0,15,4,1.5111,329,348,368,389,412,436,461,0.0536,0.020,0.042,0.503,0.283,0.152,0.184,1,1,1
30,46.0,14,10,1.6800,529,560,592,626,662,701,741,-0.0046,0.044,0.090,0.497,0.259,0.110,0.139,1,1,1
31,32.0,8,9,1.4741,81,86,91,96,101,107,113,0.0358,0.032,0.061,0.508,0.257,0.143,0.171,1,1,1
32,58.0,21,13,1.6733,23,24,26,27,29,30,32,0.1302,0.023,0.070,0.460,0.265,0.183,0.212,1,1,1
33,59.0,23,9,1.9463,10,11,11,12,13,13,14,0.0777,0.029,0.078,0.455,0.261,0.177,0.206,1,1,1
34,60.0,29,4,1.6438,1,1,1,1,1,1,1,0.1457,0.022,0.037,0.507,0.241,0.193,0.220,1,1,1
35,58.0,30,2,1.9581,0,0,0,0,0,0,0,0.0772,0.034,0.090,0.401,0.270,0.206,0.236,1,1,1
36,47.0,14,7,2.0130,0,0,0,0,0,0,0,-0.1379,0.033,0.090,0.247,0.280,0.349,0.380,1,1,1
37,43.0,12,8,1.9315,1,1,1,1,1,1,1,0.0403,0.033,0.095,0.376,0.307,0.189,0.223,1,1,1
38,83.0,37,6,1.8278,14,15,16,17,18,19,20,0.1253,0.037,0.063,0.425,0.309,0.166,0.201,1,1,1
39,67.0,31,6,1.9013,0,0,0,0,0,0,0,0.0436,0.038,0.068,0.408,0.279,0.207,0.238,1,1,1
40,128.0,43,28,1.6266,5,5,6,6,6,7,7,0.1312,0.027,0.030,0.477,0.281,0.185,0.217,1,1,1
41,183.0,20,90,1.7823,14,15,16,17,18,19,20,0.0160,0.025,0.067,0.444,0.254,0.209,0.237,1,1,1
42,628.0,100,484,3.3262,699,0,0,0,0,0,-21,-0.0055,0.037,0.141,0.709,0.105,0.007,0.019,1,1,1
43,199.0,57,5,1.6217,16,17,18,19,20,21,22,0.1534,0.036,0.029,0.557,0.218,0.160,0.184,1,1,1
44,136.0,56,14,1.6324,81,86,91,96,101,107,113,0.1670,0.022,0.029,0.592,0.203,0.154,0.176,1,1,1
45,93.0,40,15,1.6787,0,0,0,0,0,0,0,0.2088,0.032,0.034,0.550,0.249,0.134,0.162,1,1,1
46,102.0,42,8,1.5933,109,115,122,129,137,145,153,0.1587,0.025,0.037,0.522,0.265,0.151,0.181,1,1,1
47,56.0,24,11,1.5567,30,32,34,35,38,40,42,0.1385,0.037,0.036,0.489,0.286,0.152,0.184,1,1,1
48,88.0,40,4,1.7964,44,47,49,52,55,59,62,0.1619,0.042,0.051,0.522,0.268,0.117,0.147,1,1,1
49,135.0,76,6,1.8292,28,30,31,33,35,37,39,0.1778,0.052,0.079,0.397,0.322,0.150,0.186,1,1,1
50,121.0,59,12,1.7368,3,3,3,3,4,4,4,0.2163,0.045,0.055,0.479,0.258,0.163,0.192,1,1,1
51,107.0,46,15,1.6602,10,11,11,12,13,13,14,0.1558,0.048,0.034,0.543,0.223,0.153,0.178,1,1,1
52,1491.0,57,280,2.9072,9,10,10,11,12,12,13,0.1137,0.083,0.119,0.675,0.113,0.010,0.022,1,1,1
53,1097.0,5,13,1.2857,125,132,140,148,156,165,175,-0.1912,0.012,0.024,0.694,0.259,0.012,0.043,1,1,1
54,257.0,105,4,2.3678,78,82,87,92,97,103,109,0.0481,0.039,0.113,0.363,0.293,0.193,0.225,1,1,1
55,97.0,58,1,2.3448,0,0,0,0,0,0,0,0.0051,0.048,0.114,0.351,0.306,0.182,0.215,1,1,1
56,250.0,2,157,2.0806,190,201,213,225,238,251,266,0.1318,0.016,0.060,0.210,0.295,0.420,0.452,1,1,1
57,137.0,80,3,2.5439,0,0,0,0,0,0,0,0.1165,0.079,0.149,0.237,0.336,0.198,0.235,1,1,1
58,104.0,54,11,2.2513,30,32,34,35,38,40,42,0.0381,0.038,0.121,0.389,0.278,0.175,0.206,1,1,1
59,200.0,110,21,2.4225,76,80,85,90,95,100,106,0.0382,0.041,0.118,0.357,0.291,0.193,0.225,1,1,1
60,87.0,55,2,2.4595,1,1,1,1,1,1,1,0.0504,0.046,0.114,0.378,0.269,0.192,0.222,1,1,1
61,90.0,54,4,2.3173,3,3,3,3,4,4,4,0.0230,0.043,0.117,0.380,0.261,0.199,0.228,1,1,1
62,158.0,80,11,2.2405,7,7,8,8,9,9,10,0.0523,0.049,0.111,0.392,0.284,0.163,0.195,1,1,1
63,129.0,71,5,2.3613,7,7,8,8,9,9,10,0.0477,0.049,0.112,0.377,0.285,0.177,0.209,1,1,1
64,146.0,80,6,2.3631,10,11,11,12,13,13,14,0.0375,0.043,0.121,0.402,0.264,0.170,0.199,1,1,1
65,136.0,56,14,2.1960,26,27,29,31,32,34,36,0.0659,0.055,0.102,0.427,0.267,0.149,0.179,1,1,1
66,105.0,49,15,2.1503,82,87,92,97,103,109,115,0.0526,0.043,0.108,0.425,0.262,0.163,0.192,1,1,1
67,96.0,53,7,2.3195,9,10,10,11,12,12,13,0.0612,0.044,0.113,0.437,0.262,0.145,0.174,1,1,1
68,72.0,34,4,2.1368,11,12,12,13,14,14,15,0.1074,0.036,0.079,0.506,0.241,0.137,0.164,1,1,1
69,208.0,97,46,2.1049,2412,2551,2699,2855,3020,3194,3379,0.0296,0.029,0.182,0.500,0.175,0.114,0.134,1,1,1
70,182.0,82,29,1.9768,9,10,10,11,12,12,13,0.1271,0.048,0.079,0.468,0.247,0.159,0.186,1,1,1
71,145.0,72,11,2.1076,255,270,285,302,319,338,357,0.1375,0.056,0.111,0.358,0.301,0.174,0.208,1,1,1
72,59.0,21,13,1.9791,146,154,163,173,183,194,205,0.1555,0.026,0.050,0.481,0.238,0.205,0.232,1,1,1
73,69.0,32,9,1.5823,90,95,101,106,113,119,126,0.0966,0.021,0.035,0.465,0.251,0.227,0.255,1,1,1
74,84.0,17,24,1.5960,149,158,167,176,187,198,209,-0.1003,0.029,0.064,0.349,0.182,0.377,0.397,1,1,1
75,44.0,10,13,1.4230,138,146,154,163,173,183,193,0.0268,0.016,0.024,0.405,0.223,0.332,0.357,1,1,1
76,41.0,7,13,1.5015,12,13,13,14,15,16,17,0.0009,0.019,0.032,0.440,0.289,0.220,0.252,1,1,1
77,69.0,15,25,1.8670,85,90,95,101,106,113,119,-0.0221,0.041,0.095,0.409,0.238,0.217,0.243,1,1,1
78,91.0,22,9,1.9430,11,12,12,13,14,14,15,-0.1538,0.050,0.139,0.309,0.218,0.284,0.309,1,1,1
79,68.0,9,25,1.5696,39,41,44,46,49,52,55,0.1274,0.025,0.079,0.566,0.257,0.074,0.102,1,1,1
80,59.0,31,6,2.0576,80,85,89,95,100,106,112,0.0663,0.043,0.107,0.570,0.207,0.072,0.096,1,1,1
81,110.0,38,21,1.8176,233,246,261,276,291,308,326,0.1523,0.029,0.068,0.607,0.231,0.064,0.090,1,1,1
82,76.0,29,15,1.8295,17,18,19,20,21,23,24,0.1495,0.021,0.031,0.602,0.251,0.095,0.123,1,1,1
83,119.0,60,2,1.7360,0,0,0,0,0,0,0,0.1608,0.024,0.029,0.465,0.359,0.123,0.163,1,1,1
84,117.0,42,4,2.0048,87,92,97,103,109,115,122,0.1736,0.026,0.059,0.636,0.226,0.053,0.078,1,1,1
85,77.0,26,11,1.9658,218,231,244,258,273,288,305,0.0975,0.021,0.049,0.626,0.178,0.126,0.146,1,1,1
86,125.0,51,16,2.0457,164,174,184,194,205,217,230,0.0613,0.041,0.117,0.512,0.241,0.088,0.115,1,1,1
87,93.0,43,14,2.0209,346,366,387,410,433,458,485,0.1003,0.033,0.050,0.562,0.212,0.142,0.166,1,1,1
88,85.0,40,11,2.0157,71,75,79,84,89,94,99,0.2358,0.030,0.040,0.677,0.213,0.040,0.064,1,1,1
89,150.0,89,5,2.0167,108,114,121,128,135,143,151,0.1946,0.042,0.067,0.559,0.261,0.071,0.100,1,1,1
90,86.0,42,9,2.0596,121,128,136,143,152,161,170,0.1311,0.037,0.072,0.590,0.233,0.069,0.095,1,1,1
91,320.0,91,100,2.0336,358,379,401,424,449,474,502,0.0415,0.063,0.089,0.443,0.260,0.145,0.174,1,1,1
92,283.0,83,75,2.1421,891,942,997,1054,1115,1180,1248,-0.1556,0.031,0.089,0.191,0.263,0.426,0.456,1,1,1
93,227.0,109,1,1.7105,1,1,1,1,1,1,1,0.1720,0.020,0.031,0.526,0.327,0.096,0.133,1,1,1
94,68.0,36,5,1.8740,100,106,112,118,125,132,140,0.1513,0.022,0.031,0.515,0.336,0.096,0.134,1,1,1
95,86.0,51,3,1.9799,15,16,17,18,19,20,21,0.1313,0.048,0.074,0.460,0.322,0.096,0.132,1,1,1
96,75.0,44,1,2.1127,1,1,1,1,1,1,1,0.1573,0.054,0.080,0.481,0.295,0.091,0.123,1,1,1
97,84.0,47,5,2.0148,1,1,1,1,1,1,1,0.1495,0.053,0.069,0.503,0.284,0.091,0.122,1,1,1
98,106.0,60,5,2.0676,1,1,1,1,1,1,1,0.0978,0.047,0.071,0.501,0.292,0.090,0.122,1,1,1
99,72.0,38,4,2.0070,171,181,191,203,214,227,240,0.1197,0.046,0.077,0.553,0.235,0.088,0.114,1,1,1
100,80.0,27,19,2.4719,66,70,74,78,82,87,92,0.0954,0.059,0.135,0.488,0.212,0.105,0.129,1,1,1
101,87.0,33,19,2.5344,132,140,148,156,165,175,185,0.0810,0.064,0.153,0.488,0.193,0.101,0.122,1,1,1
102,81.0,45,3,1.8859,45,48,50,53,56,60,63,0.1604,0.031,0.067,0.567,0.238,0.097,0.123,1,1,1
103,137.0,67,8,1.8134,7,7,8,8,9,9,10,0.1913,0.026,0.033,0.552,0.290,0.099,0.131,1,1,1
104,68.0,24,13,1.8116,24,25,27,29,30,32,34,0.1877,0.018,0.041,0.586,0.275,0.080,0.111,1,1,1
105,80.0,34,10,1.9148,89,94,100,105,112,118,125,0.0675,0.038,0.093,0.516,0.237,0.116,0.142,1,1,1
106,110.0,21,38,1.9973,284,300,318,336,356,376,398,0.0119,0.064,0.147,0.440,0.240,0.109,0.135,1,1,1
107,223.0,10,106,2.4879,277,293,310,328,347,367,388,0.0073,0.046,0.128,0.516,0.231,0.079,0.105,1,1,1
108,113.7,7,103,1.8277,110,116,123,130,138,146,154,0.2298,0.030,0.095,0.479,0.257,0.139,0.167,1,1,1
109,142.8,21,135,1.8280,805,852,901,953,1008,1066,1128,0.2300,0.031,0.095,0.479,0.257,0.139,0.167,1,1,1
110,263.9,7,33,1.8287,160,169,179,189,200,212,224,0.2310,0.030,0.094,0.480,0.257,0.139,0.167,1,1,1
111,327.0,10,211,1.8331,40,42,45,47,50,53,56,0.3231,0.041,0.042,0.588,0.267,0.062,0.092,1,1,1
112,67.0,28,10,2.0520,47,50,53,56,59,62,66,0.1411,0.041,0.051,0.514,0.283,0.111,0.143,1,1,1
113,186.0,82,27,2.2900,5,5,6,6,6,7,7,0.0394,0.088,0.165,0.432,0.244,0.070,0.097,1,1,1
114,146.0,48,20,1.9361,7,7,8,8,9,9,10,0.1681,0.038,0.059,0.476,0.312,0.115,0.150,1,1,1
115,74.0,17,26,2.7369,476,504,533,563,596,631,667,-0.1270,0.050,0.138,0.424,0.283,0.105,0.136,1,1,1
116,143.0,36,49,2.7081,67,71,75,79,84,89,94,0.1221,0.080,0.159,0.485,0.211,0.065,0.089,1,1,1
117,70.0,35,9,2.9654,55,58,62,65,69,73,77,0.0041,0.081,0.180,0.457,0.202,0.080,0.103,1,1,1
118,62.0,27,8,3.2681,32,34,36,38,40,43,45,0.0727,0.084,0.175,0.483,0.191,0.067,0.089,1,1,1
119,39.0,20,4,3.1771,68,72,76,80,85,90,95,-0.0117,0.079,0.182,0.436,0.214,0.089,0.113,1,1,1
120,78.0,30,10,2.9893,42,44,47,50,53,56,59,0.0574,0.077,0.188,0.450,0.201,0.084,0.106,1,1,1
121,140.0,52,11,2.3735,65,69,73,77,81,86,91,0.0743,0.049,0.112,0.402,0.306,0.130,0.164,1,1,1
122,160.0,72,5,2.4278,210,222,235,248,263,278,294,0.0771,0.062,0.125,0.422,0.281,0.109,0.141,1,1,1
123,89.0,37,16,2.3933,133,141,149,157,166,176,186,0.0565,0.064,0.117,0.445,0.267,0.108,0.138,1,1,1
124,94.0,39,3,2.6552,16,17,18,19,20,21,22,0.0459,0.066,0.164,0.420,0.251,0.100,0.127,1,1,1
125,82.0,38,3,2.7415,7,7,8,8,9,9,10,0.0594,0.065,0.157,0.355,0.284,0.140,0.171,1,1,1
126,122.0,63,1,2.9610,16,17,18,19,20,21,22,-0.0665,0.077,0.175,0.366,0.256,0.126,0.154,1,1,1
127,128.0,71,6,2.1572,26,27,29,31,32,34,36,0.1167,0.055,0.097,0.427,0.314,0.107,0.142,1,1,1
128,119.0,69,4,2.0617,46,49,51,54,57,61,64,0.1135,0.051,0.089,0.488,0.265,0.106,0.136,1,1,1
129,148.0,76,1,1.8934,0,0,0,0,0,0,0,0.1146,0.041,0.075,0.392,0.340,0.152,0.190,1,1,1
130,307.0,103,43,2.1958,1,1,1,1,1,1,1,0.0424,0.048,0.115,0.315,0.364,0.158,0.198,1,1,1
131,348.0,199,1,2.3927,0,0,0,0,0,0,0,0.0455,0.052,0.113,0.280,0.360,0.196,0.236,1,1,1
