id,juris,city,name,min_far,max_far,max_height,min_front_setback,max_front_setback,side_setback,rear_setback,min_dua,max_dua,coverage,max_du_per_parcel,min_lot_size,HS,HT,HM,OF_,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
2101,1,Albany,RHD,,0.5,35,15,,5,20,,9,40,,5000,x,,x,,,,,,,,,,,
2102,1,Albany,R-1,,0.55,28,15,,7.5,20,,12,50,,3750,x,,,,,x,,,,,,,,
2103,1,Albany,R-2,,0.55,35,15,,7.5,15,,35,50,,3750,x,x,x,,,x,,,,,,,,
2104,1,Albany,R-3,,1.5,35,15,,7.5,15,,63,50,,3750,x,x,x,,,x,,,,,,,,
2105,1,Albany,R.4,,,,15,,7.5,15,,87,,,,,,x,,,,,,,,,,,
2106,1,Albany,SPC,,2.25,38,,,,,,63,100,,,x,,x,x,,x,,,,x,,,x,
2107,1,Albany,SC,,1.25,35,,,,,,63,100,,,x,,x,x,,x,,,,x,,,x,
2108,1,Albany,CMX,,0.5,45,,,,,,,80,,5000,,,,x,,x,x,,,x,,,x,
2109,1,Albany,PF,,,40,,,,,,,,,,,,,,,x,x,,,,,,,
2110,1,Albany,WF,,0.5,,,,,,,,,,,,,,,,,,,,x,,,,
2111,1,Albany,U,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,2,Berkeley,R-1,,1.2,35,20,,4,20,,8.712,,,5000,x,,,,,x,,,,,,,,
2202,2,Berkeley,R-1H,,1.2,35,20,,4,20,,8.712,,,5000,x,,,,,x,,,,,,,,
2203,2,Berkeley,R-1A,,1.2,35,20,,4,20,,17.424,,,5000,x,x,,,,x,,,,,,,,
2204,2,Berkeley,ES-R,,0.3,35,20,,15,20,,1.7424,,,25000,x,,,,,,,,,,,,,
2205,2,Berkeley,R-2,,1.5,35,20,,4,20,,18.66857143,,,5000,x,x,x,,,x,,,,,,,,
2206,2,Berkeley,R-2H,,1.5,35,20,,4,20,,8.712,,,5000,x,x,x,,,x,,,,,,,,
2207,2,Berkeley,R-2A,,1.5,35,20,,4,20,,26.4,,,,x,x,x,,,x,,,,,,,,
2208,2,Berkeley,R-2AH,,1.5,35,20,,4,20,,8.712,,,,x,x,x,,,x,,,,,,,,
2209,2,Berkeley,R-3,,1.2,35,15,,4,15,,26.4,,,,x,x,x,,,x,,,,,,,,
2210,2,Berkeley,R-3H,,1.2,35,15,,4,15,,26.4,,,,x,x,x,,,x,,,,,,,,
2211,2,Berkeley,R-4,,2.1,65,15,,4,15,,40,,,,x,x,x,x,x,x,,,,,,,,
2212,2,Berkeley,R-4H,,1.05,35,15,,4,15,,20,,,,x,x,x,x,x,x,,,,,,x,,
2214,2,Berkeley,R-5H,,1.2,35,10,,4,15,,100,,,,x,x,x,x,x,x,,,,,,x,,
2215,2,Berkeley,C-1,,3,50,0,,0,0,,26.4,,,,x,x,x,x,x,x,,,,x,x,x,,
2216,2,Berkeley,C-N,,3,35,0,,0,0,,26.4,,,,x,x,x,x,x,x,,,,x,,x,,
2217,2,Berkeley,C-N(H),,3,35,0,,0,0,,26.4,,,,x,x,x,x,x,x,,,,x,,x,,
2218,2,Berkeley,C-E,,1,28,0,,0,0,,26.4,,,,x,x,x,,x,x,,,,x,,x,,
2219,2,Berkeley,C-NS,,1,35,0,,0,0,,26.4,,,,x,x,x,x,x,x,,,,x,,x,,
2220,2,Berkeley,C-NS(H),,1,35,0,,0,0,,26.4,,,,x,x,x,x,x,x,,,,x,,x,,
2221,2,Berkeley,C-SA,,4,60,0,,0,0,,40,,,,x,x,x,x,x,x,,,,x,,x,,
2222,2,Berkeley,C-T,,3.5,50,0,,0,0,,26.4,,,,,,,x,x,x,,,,x,x,x,x,x
2223,2,Berkeley,C-SO,,2,28,0,,0,0,,26.4,,,,x,x,x,x,x,x,,,,x,,x,,
2224,2,Berkeley,C-W,,3,50,0,,0,0,,,,,,,,,x,x,x,x,,,x,x,x,x,x
2226,2,Berkeley,M,,2,45,0,,0,0,,,,,,,,,,,,x,x,x,,,,,
2227,2,Berkeley,MM,,2,45,0,,0,0,,,,,,,,,,,,x,x,,,,,,
2228,2,Berkeley,MULI,,2,45,0,,0,0,,,,,,,,,x,,,x,x,,,,,,
2229,2,Berkeley,MUR,,,35,5,,0,0,,34.848,,,,x,x,x,,,,x,x,,x,,x,x,x
2230,2,Berkeley,SP,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,2,Berkeley,U,,,,,,,,,,,,,,,,,,,,,,,,,,
2232,2,Berkeley,X,,,,,,,,,,,,,,,,,,,,,,,,,,
2301,3,Dublin,RRA,,,35,50,,50,30,,0.01,,1,4356000,x,,,,,x,,,,,,,,
2302,3,Dublin,ER,,0.7,35,20,,10,20,,0.8,0.4,1,4000,x,,,,,x,,,,,,,,
2303,3,Dublin,LDSF,,0.7,35,20,,10,20,,3.8,0.4,1,4000,x,,,,,x,,,,,,,,
2304,3,Dublin,LDR,,0.7,35,20,,10,20,,6,0.4,1,4000,x,,,,,x,,,,,,,,
2305,3,Dublin,SFR,,0.7,35,20,,10,20,,6,0.4,1,4000,x,,,,,x,,,,,,,,
