id,juris,city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME,plandate
2101,1,Albany,RHD,0.5,35,9,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
2102,1,Albany,R-1,0.55,28,12,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2103,1,Albany,R-2,0.55,35,35,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2104,1,Albany,R-3,1.5,35,63,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2105,1,Albany,R.4,,,87,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2106,1,Albany,SPC,2.25,38,63,,1,0,1,1,0,1,0,0,0,1,0,0,1,0,
2107,1,Albany,SC,1.25,35,63,,1,0,1,1,0,1,0,0,0,1,0,0,1,0,
2108,1,Albany,CMX,0.5,45,,,0,0,0,1,0,1,1,0,0,1,0,0,1,0,
2109,1,Albany,PF,,40,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
2110,1,Albany,WF,0.5,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2111,1,Albany,U,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2201,2,Berkeley,R-1,1.2,35,8.712,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2202,2,Berkeley,R-1H,1.2,35,8.712,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2203,2,Berkeley,R-1A,1.2,35,17.424,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
2204,2,Berkeley,ES-R,0.3,35,1.7424,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2205,2,Berkeley,R-2,1.5,35,18.66857143,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2206,2,Berkeley,R-2H,1.5,35,8.712,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2207,2,Berkeley,R-2A,1.5,35,26.4,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2208,2,Berkeley,R-2AH,1.5,35,8.712,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2209,2,Berkeley,R-3,1.2,35,26.4,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2210,2,Berkeley,R-3H,1.2,35,26.4,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2211,2,Berkeley,R-4,2.1,65,40,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,
2212,2,Berkeley,R-4H,1.05,35,20,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,
2214,2,Berkeley,R-5H,1.2,35,100,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,
2215,2,Berkeley,C-1,3,50,26.4,,1,1,1,1,1,1,0,0,0,1,1,1,0,0,
2216,2,Berkeley,C-N,3,35,26.4,,1,1,1,1,1,1,0,0,0,1,0,1,0,0,
2217,2,Berkeley,C-N(H),3,35,26.4,,1,1,1,1,1,1,0,0,0,1,0,1,0,0,
2218,2,Berkeley,C-E,1,28,26.4,,1,1,1,0,1,1,0,0,0,1,0,1,0,0,
