OBJECTID,ID,ORIGGPLU,Shape_Leng,Shape_Area,FID_,OBJECTID_1,JURIS,COUNTY,LPSCODE,PLANDATE,ORIGGPLU_1,GENGPLU,max_far,max_height,max_dua,max_du_per,HS,HT,HM,OF_,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME,ABAGGPLU,Acres,Shape_Le_1,Shape_Ar_1
1,60001,101 - Ballena Isle,1915.975297,54584.12781,30525,30424,Alameda,Alameda,101,Pre2002,101 - Ballena Isle,Other/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,13.48803352,1915.98,54584.13
2,60002,101 - Business Park,14367.26047,1670391.771,30549,30448,Alameda,Alameda,101,Pre2002,101 - Business Park,Commercial,2,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,301.0866225,7288.2,1218454.28
3,60003,101 - Commercial Recreation,11809.28846,539904.9794,30553,30452,Alameda,Alameda,101,Pre2002,101 - Commercial Recreation,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,6.7268278,774.6711805,27222.51
4,60004,101 - Community Commercial,14765.15876,877040.2499,30564,30463,Alameda,Alameda,101,Pre2002,101 - Community Commercial,Commercial,3,0,0,0,0,0,0,1,1,1,0,0,,1,0,0,1,1,,5.825863609,687.5634158,23576.42
5,60005,101 - Federal Facilities,25216.66449,6673827.895,30569,30468,Alameda,Alameda,101,Pre2002,101 - Federal Facilities,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,8.670043934,862.1832824,35086.42
6,60006,101 - General Industry,9961.941166,601737.7779,30575,30474,Alameda,Alameda,101,Pre2002,101 - General Industry,Industrial,0.5,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,3.31136383,467.0805967,13400.61
7,60007,101 - Island Auto Movie,1336.455955,65388.72712,30526,30425,Alameda,Alameda,101,Pre2002,101 - Island Auto Movie,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,16.15790483,1336.46,65388.73
8,60008,101 - Low Density Residential,49637.50592,5394916.541,30580,30479,Alameda,Alameda,101,Pre2002,101 - Low Density Residential,Residential,0,0,8.7,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,1.903514148,554.5015394,7703.25
9,60009,101 - Mariner Square,942.8696242,50621.74762,30527,30426,Alameda,Alameda,101,Pre2002,101 - Mariner Square,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,12.50890531,942.8696242,50621.75
10,60010,101 - Medium Density Residential,68075.06204,7012051.336,30588,30487,Alameda,Alameda,101,Pre2002,101 - Medium Density Residential,Residential,0,0,21.8,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,0.643052368,210.844959,2602.34
11,60011,101 - Neighborhood Business,7214.740618,125236.0614,30609,30508,Alameda,Alameda,101,Pre2002,101 - Neighborhood Business,Commercial,2,0,0,0,0,0,0,1,1,1,0,0,,1,0,0,1,1,,0.9692745,265.6706444,3922.51
12,60012,101 - Northern Waterfront (Grand Street to Willow Street),3310.272782,137457.7991,30629,30528,Alameda,Alameda,101,Pre2002,101 - Northern Waterfront (Grand Street to Willow Street),Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,1.22739301,286.0614833,4967.08
13,60013,101 - Northern Waterfront (Willow Street to Oak Street),2089.984741,100353.8408,30636,30535,Alameda,Alameda,101,Pre2002,101 - Northern Waterfront (Willow Street to Oak Street),Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,4.481807239,544.6060878,18137.12
14,60014,101 - Office,3755.641512,98047.60113,30638,30537,Alameda,Alameda,101,Pre2002,101 - Office,Commercial,0.45,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,1,,3.860663091,523.568034,15623.54
15,60015,101 - Parks & Public Open Space,73203.46871,3260117.218,28046,30548,Alameda,Alameda,101,Pre2002,101 - Parks & Public Open Space,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.551813411,221.1614209,2233.11
16,60016,101 - Public/ Institutional,16868.41992,861138.145,30658,30577,Alameda,Alameda,101,Pre2002,101 - Public/ Institutional,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,0.891740496,248.2030806,3608.75
17,60017,102 - Churches,447.6127772,2559.732304,30980,30899,Albany,Alameda,102,Pre2002,102 - Churches,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,0.244930196,170.339353,991.1982493
18,60018,102 - City Property,734.7237741,11942.09709,30984,30903,Albany,Alameda,102,Pre2002,102 - City Property,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,1.695665233,364.2462695,6862.11
19,60019,102 - Commercial Recreation,4219.657843,466742.135,30987,30906,Albany,Alameda,102,Pre2002,102 - Commercial Recreation,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,100.8962405,2744.65,408312.58
20,60020,102 - Commercial/Service/Light Industrial,4649.428239,158590.9032,30989,30908,Albany,Alameda,102,Pre2002,102 - Commercial/Service/Light Industrial,Mixed Use: Commercial & Industrial,0,0,0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1,,20.17040149,1793.1,81626.72
21,60021,102 - Community Commercial,5728.073145,66324.34603,30994,30913,Albany,Alameda,102,Pre2002,102 - Community Commercial,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,0.472303145,190.9175203,1911.34
22,60022,102 - General Commercial,5968.632594,97690.74064,31022,30941,Albany,Alameda,102,Pre2002,102 - General Commercial,Commercial,0.5,45,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,0.246195581,148.7223259,996.3157757
23,60023,102 - High Density Residential,9177.397275,182488.23,31035,30954,Albany,Alameda,102,Pre2002,102 - High Density Residential,Residential,0,35,87,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,0.481527987,184.0529383,1948.68
24,60024,102 - Low Density Residential,62900.59636,1331788.299,31057,30976,Albany,Alameda,102,Pre2002,102 - Low Density Residential,Residential,0,35,12,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,1.365931018,312.6146084,5527.72
25,60025,102 - Medium Density Residential,8876.16781,128116.5519,31186,31105,Albany,Alameda,102,Pre2002,102 - Medium Density Residential,Residential,0,35,35,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,0.765954645,272.7867443,3099.71
26,60026,102 - Medium Density Residential/Recreational/Commercial,763.0037372,30973.08238,30528,30427,Albany,Alameda,102,Pre2002,102 - Medium Density Residential/Recreational/Commercial,Mixed Use: Other,0,0,12,0,0,1,1,1,1,0,0,0,,1,1,0,1,1,,7.653616801,763.0037372,30973.08
27,60027,102 - Park and Recreation,17206.31726,483068.7651,31207,31126,Albany,Alameda,102,Pre2002,102 - Park and Recreation,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.068430417,66.58104365,276.9285975
28,60028,102 - Planned Development (6 du/acre),1327.486758,37042.23418,31219,31138,Albany,Alameda,102,Pre2002,102 - Planned Development (6 du/acre),Other/Unknown,0,0,6,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,8.328507284,1047.96,33704.27
29,60029,102 - Planned Development (9 du/acre),2108.031592,44390.96728,31221,31140,Albany,Alameda,102,Pre2002,102 - Planned Development (9 du/acre),Other/Unknown,0,0,9,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,7.458227065,1217.63,30182.38
30,60030,102 - Planned Residential/Commercial,1095.116452,20857.8568,31224,31143,Albany,Alameda,102,Pre2002,102 - Planned Residential/Commercial,Mixed Use: Residential & Commercial,0,0,12,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,0.235200929,141.5522957,951.8259614
31,60031,102 - Public/Quasi Public,4472.727814,132411.6979,31227,31146,Albany,Alameda,102,Pre2002,102 - Public/Quasi Public,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,12.68490053,1012.23,51333.96
32,60032,102 - Research,1006.688874,62850.96293,30529,30428,Albany,Alameda,102,Pre2002,102 - Research,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,15.5308113,1006.69,62850.96
33,60033,102 - Residential/Commercial,1089.343848,67595.56328,30530,30429,Albany,Alameda,102,Pre2002,102 - Residential/Commercial,Mixed Use: Residential & Commercial,0,0,12,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,16.70322668,1089.34,67595.56
34,60034,102 - Residential/Recreational,1802.658211,172135.2888,30531,30430,Albany,Alameda,102,Pre2002,102 - Residential/Recreational,Mixed Use: Residential & Parks/Open Space or Agriculture/Resource Extraction,0,0,12,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,42.53555847,1802.66,172135.29
35,60035,103 - Avenue Commercial,58481.32633,911435.4911,31237,31156,Berkeley,Alameda,103,Pre2002,103 - Avenue Commercial,Commercial,2,0,25,0,0,1,1,1,1,1,0,0,,1,0,0,1,1,,0.315579673,143.9379991,1277.11
36,60036,103 - Downtown,8411.456717,186598.7405,31417,31336,Berkeley,Alameda,103,Pre2002,103 - Downtown,Commercial,3.5,0,40,0,0,1,1,1,1,1,0,0,,1,1,0,1,1,,3.664339505,529.3569188,14829.06
37,60037,103 - High Density Residential,54556.8583,1125600.368,31437,31356,Berkeley,Alameda,103,Pre2002,103 - High Density Residential,Residential,0,0,100,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,0.807094905,317.6409875,3266.2
38,60038,103 - Institutional,20399.71237,2131329.609,31582,31501,Berkeley,Alameda,103,Pre2002,103 - Institutional,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,0.304380147,239.8259663,1231.79
39,60039,103 - Low Density Residential,266323.0051,6686546.398,28066,32003,Berkeley,Alameda,103,Pre2002,103 - Low Density Residential,Residential,0,0,9,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,2.058401835,383.7559227,8330.06
40,60040,103 - Low Medium Density Residential,149259.012,3403998.405,28087,32176,Berkeley,Alameda,103,Pre2002,103 - Low Medium Density Residential,Residential,0,0,20,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,2.032814851,494.5941253,8226.51
41,60041,103 - Manufacturing,44037.88242,1255152.345,32404,32363,Berkeley,Alameda,103,Pre2002,103 - Manufacturing,Industrial,2,45,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,0.795135953,338.6807054,3217.8
42,60042,103 - Manufacturing Mixed Use,14960.07445,298858.6959,32488,32447,Berkeley,Alameda,103,Pre2002,103 - Manufacturing Mixed Use,Mixed Use: Other,2,45,0,0,0,0,0,0,0,0,1,1,,1,1,0,0,0,,3.874004387,545.5547907,15677.53
43,60043,103 - Medium Density Residential,110813.3871,2183695.207,32526,32485,Berkeley,Alameda,103,Pre2002,103 - Medium Density Residential,Residential,0,0,40,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,0.236417808,125.0705431,956.7504661
44,60044,103 - Neighborhood Commercial,26533.48751,324943.0594,32827,32786,Berkeley,Alameda,103,Pre2002,103 - Neighborhood Commercial,Commercial,3,0,25,0,0,1,1,1,1,1,0,0,,1,0,0,1,1,,0.039090676,70.59974895,158.1931977
45,60045,103 - Open Space,33150.55441,1989106.725,32946,32905,Berkeley,Alameda,103,Pre2002,103 - Open Space,Other/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.307435735,237.8381372,1244.15
46,60046,104 - Commercial,8063.770784,517157.1297,36563,36431,Emeryville,Alameda,104,Pre2002,104 - Commercial,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,75.69990976,4646.72,306346.67
