zoningmodcat,count,jurisdiction_id,pda_id,tpp_id,exp_id,opp_id,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,place_type,notes
00001ALA2brt2exp0NA,1,1,ALA2,brt2,exp0,NA,HM MR,,20,,,,,muc,
00001ALA2NAexp0NA,1,1,ALA2,NA,exp0,NA,HM MR,,20,,,,,muc,
00001ALA2brt2NANA,6,1,ALA2,brt2,NA,NA,HM MR,,20,,,,,muc,
00001ALA2NANANA,1,1,ALA2,NA,NA,NA,HM MR,,20,,,,,muc,
00001ALC1bart3NANA,868,1,ALC1,bart3,NA,NA,HM MR,,50,,,,,tn,
00001ALC2b1NANA,472,1,ALC2,b1,NA,NA,HM MR,,20,,,,,muc,
00001ALC2b2NANA,185,1,ALC2,b2,NA,NA,HM MR,,20,,,,,muc,
00001ALC2b3NANA,411,1,ALC2,b3,NA,NA,HM MR,,20,,,,,muc,
00001ALC2bart1NANA,467,1,ALC2,bart1,NA,NA,HM MR,,20,,,,,muc,
00001ALC2bart1NAopp1,5,1,ALC2,bart1,NA,opp1,HM MR,,20,,,,,muc,
00001ALC2NANANA,1346,1,ALC2,NA,NA,NA,HM MR,,20,,,,,muc,
00001ALC3b3NANA,1758,1,ALC3,b3,NA,NA,HM MR,,50,,,,,tn,
00001ALC3bart1NANA,1,1,ALC3,bart1,NA,NA,HM MR,,50,,,,,tn,
00001ALC3b3ubzNA,132,1,ALC3,b3,ubz,NA,HM MR,,50,,,,,tn,
00001ALC4b2NANA,60,1,ALC4,b2,NA,NA,HM MR,,50,,,,,tn,
00001ALC4b3NANA,244,1,ALC4,b3,NA,NA,HM MR,,50,,,,,tn,
00001ALC4bart2NANA,1,1,ALC4,bart2,NA,NA,HM MR,,50,,,,,tn,
00001ALC4NANANA,203,1,ALC4,NA,NA,NA,HM MR,,50,,,,,tn,
00001LIV2NAexp1NA,10,1,LIV2,NA,exp1,NA,HM MR,,125,,,0.55,,sc,
00001LIV2NANANA,9,1,LIV2,NA,NA,NA,HM MR,,125,,,0.55,,sc,
