fbpzoningmodcat,modcat_id,FREQUENCY, SUM_ACRES ,manual_county,zone,juris,gg_id,tra_id,sesit_id,ppa_id,exp2020_id,exsfd_id,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,notes,res_rent_cat,job_out_cat
alamedaGGNADISNAinNA,1,17,2.579486268,1,963,alameda,GG,NA,DIS,NA,in,NA,,,25,,,,,,,
alamedaGGNADISNAinsfd,2,234,27.30474532,1,963,alameda,GG,NA,DIS,NA,in,sfd,,,25,,,,,,,
alamedaGGNAHRADISNAinNA,3,77,35.7035548,1,958,alameda,GG,NA,HRADIS,NA,in,NA,HM,,35,,,,,,,
alamedaGGNAHRADISNAinsfd,4,381,47.79640031,1,958,alameda,GG,NA,HRADIS,NA,in,sfd,HM,,35,,,,,,,
alamedaGGNAHRANAinNA,5,114,148.3558407,1,954,alameda,GG,NA,HRA,NA,in,NA,HM,,35,,,,,,,
alamedaGGNAHRANAinsfd,6,409,50.88909364,1,957,alameda,GG,NA,HRA,NA,in,sfd,HM,,35,,,,,,,
alamedaGGNANANAinNA,7,335,403.6765045,1,960,alameda,GG,NA,NA,NA,in,NA,,,25,,,,,,,
alamedaGGNANANAinsfd,8,57,5.45819703,1,961,alameda,GG,NA,NA,NA,in,sfd,,,25,,,,,,,
alamedaGGtra2aNANAinNA,9,27,38.2168799,1,960,alameda,GG,tra2a,NA,NA,in,NA,HM,,75,,,,,,,
alamedaGGtra3DISNAinNA,10,201,41.31434565,1,963,alameda,GG,tra3,DIS,NA,in,NA,HM,,35,,,,,,,
alamedaGGtra3DISNAinsfd,11,319,31.19278397,1,963,alameda,GG,tra3,DIS,NA,in,sfd,HM,,35,,,,,,,
alamedaGGtra3HRADISNAinNA,12,2048,332.1786621,1,953,alameda,GG,tra3,HRADIS,NA,in,NA,HM,,50,,,,,,,
alamedaGGtra3HRADISNAinsfd,13,318,36.1624053,1,953,alameda,GG,tra3,HRADIS,NA,in,sfd,HM,,50,,,,,,,
alamedaGGtra3HRANAinNA,14,4345,703.3629318,1,952,alameda,GG,tra3,HRA,NA,in,NA,HM,,50,,,,,,,
alamedaGGtra3HRANAinsfd,15,4126,449.5881679,1,951,alameda,GG,tra3,HRA,NA,in,sfd,HM,,50,,,,,,,
alamedaGGtra3NANAinNA,16,1939,884.4838548,1,960,alameda,GG,tra3,NA,NA,in,NA,HM,,35,,,,,,,
alamedaGGtra3NANAinsfd,17,1771,179.3724002,1,960,alameda,GG,tra3,NA,NA,in,sfd,HM,,35,,,,,,,
alamedaNANADISNAinNA,18,38,41.23649302,1,963,alameda,NA,NA,DIS,NA,in,NA,,,,,,,,,,
alamedaNANADISNAinsfd,19,22,1.866766059,1,963,alameda,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
alamedaNANAHRADISNAinNA,20,2,37.46158175,1,958,alameda,NA,NA,HRADIS,NA,in,NA,,,,,,,,,,
alamedaNANAHRADISNAinsfd,21,1,0.478288612,1,958,alameda,NA,NA,HRADIS,NA,in,sfd,,,,,,,,,,
alamedaNANAHRANAinNA,22,51,225.0062636,1,957,alameda,NA,NA,HRA,NA,in,NA,,,,,,,,,,
alamedaNANAHRANAinsfd,23,2,0.44279002,1,951,alameda,NA,NA,HRA,NA,in,sfd,,,,,,,,,,
alamedaNANANANAinNA,24,100,2032.685244,1,963,alameda,NA,NA,NA,NA,in,NA,,,,,,,,,,
alamedaNANANANAinsfd,25,5,3.957051237,1,962,alameda,NA,NA,NA,NA,in,sfd,,,,,,,,,,
alamedaNANANANAoutsfd,26,1,0.234225895,1,963,alameda,NA,NA,NA,NA,out,sfd,,,,,0,0,,,,
alamedaNANANAppainNA,27,2,3.038067988,1,952,alameda,NA,NA,NA,ppa,in,NA,,,,,,,,,,
alamedaNAtra2aNANAinNA,28,1,0.932649836,1,960,alameda,NA,tra2a,NA,NA,in,NA,,,,,,,,,,
alamedaNAtra2aNANAoutNA,29,1,0.186219549,1,961,alameda,NA,tra2a,NA,NA,out,NA,,,,,0,0,,,,
alamedaNAtra3DISNAinNA,30,22,9.16452204,1,963,alameda,NA,tra3,DIS,NA,in,NA,,,,,,,,,,
alamedaNAtra3DISNAinsfd,31,17,10.89749999,1,963,alameda,NA,tra3,DIS,NA,in,sfd,,,,,,,,,,
alamedaNAtra3HRADISNAinNA,32,136,74.3425289,1,953,alameda,NA,tra3,HRADIS,NA,in,NA,,,,,,,,,,
alamedaNAtra3HRADISNAinsfd,33,45,5.114498073,1,953,alameda,NA,tra3,HRADIS,NA,in,sfd,,,,,,,,,,
alamedaNAtra3HRANAinNA,34,609,541.8699706,1,952,alameda,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
alamedaNAtra3HRANAinsfd,35,198,23.21693203,1,950,alameda,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
alamedaNAtra3NANAinNA,36,73,84.6471237,1,949,alameda,NA,tra3,NA,NA,in,NA,,,,,,,,,,
alamedaNAtra3NANAinsfd,37,286,33.77368833,1,949,alameda,NA,tra3,NA,NA,in,sfd,,,,,,,,,,
alamedaNAtra3NANAoutNA,38,11,28.6270844,1,949,alameda,NA,tra3,NA,NA,out,NA,,,,,0,0,,,,
albanyGGNAHRANAinNA,39,1,0.986530238,1,1039,albany,GG,NA,HRA,NA,in,NA,HM,,35,,,,,,,
albanyGGNAHRANAinsfd,40,2,0.097554945,1,1035,albany,GG,NA,HRA,NA,in,sfd,HM,,35,,,,,,,
albanyGGtra2aHRANAinNA,41,122,27.85115906,1,1039,albany,GG,tra2a,HRA,NA,in,NA,HM,,100,,,,,,,
albanyGGtra2aHRANAinsfd,42,253,23.94304915,1,1036,albany,GG,tra2a,HRA,NA,in,sfd,HM,,50,,,,,,,
albanyGGtra2aNANAinNA,43,1,0.005182529,1,1042,albany,GG,tra2a,NA,NA,in,NA,HM,,75,,,,,,,
albanyGGtra2aNANAinsfd,44,1,0.127050058,1,1035,albany,GG,tra2a,NA,NA,in,sfd,HM,,35,,,,,,,
albanyGGtra3HRANAinNA,45,840,183.9973856,1,1036,albany,GG,tra3,HRA,NA,in,NA,HM,,50,,,,,,,
albanyGGtra3HRANAinsfd,46,2995,277.5062224,1,1034,albany,GG,tra3,HRA,NA,in,sfd,HM,,50,,,,,,,
albanyGGtra3NANAinNA,47,8,100.8861464,1,1038,albany,GG,tra3,NA,NA,in,NA,HM,,35,,,,,,,
albanyNANAHRANAinNA,48,4,40.59512524,1,1039,albany,NA,NA,HRA,NA,in,NA,,,,,,,,,,
albanyNANAHRANAoutNA,49,1,20.0904586,1,1038,albany,NA,NA,HRA,NA,out,NA,,,,,0,0,,,,
albanyNANANANAoutNA,50,13,1919.47289,1,1059,albany,NA,NA,NA,NA,out,NA,,,,,0,0,,,,
albanyNAtra2aHRANAinNA,51,2,4.685903963,1,1036,albany,NA,tra2a,HRA,NA,in,NA,,,,,,,,,,
albanyNAtra3HRANAinNA,52,52,31.25838711,1,1037,albany,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
albanyNAtra3HRANAinsfd,53,264,23.85798273,1,1034,albany,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
albanyNAtra3HRANAoutNA,54,2,1.02749658,1,1039,albany,NA,tra3,HRA,NA,out,NA,,,,,0,0,,,,
albanyNAtra3NANAinNA,55,17,150.6743364,1,1038,albany,NA,tra3,NA,NA,in,NA,,,,,,,,,,
american_canyonGGNADISNAinNA,56,114,130.9880148,55,1292,american_canyon,GG,NA,DIS,NA,in,NA,,,25,,,,,,,
american_canyonGGNADISNAinsfd,57,23,21.39812967,55,1292,american_canyon,GG,NA,DIS,NA,in,sfd,,,25,,,,,,,
american_canyonGGNADISppainNA,58,1,5.41592892,55,1292,american_canyon,GG,NA,DIS,ppa,in,NA,IW,HM,,2,,,,,,
american_canyonGGNANANAinNA,59,56,137.4630093,55,1291,american_canyon,GG,NA,NA,NA,in,NA,,,25,,,,,,,
american_canyonGGNANANAinsfd,60,2,0.57365309,55,1291,american_canyon,GG,NA,NA,NA,in,sfd,,,25,,,,,,,
american_canyonGGNANAppainNA,61,3,2.82246348,55,1291,american_canyon,GG,NA,NA,ppa,in,NA,IW,HM,,2,,,,,,
american_canyonNANADISNAinNA,62,701,907.4566006,55,1292,american_canyon,NA,NA,DIS,NA,in,NA,,,,,,,,,,
american_canyonNANADISNAinsfd,63,3328,640.607983,55,1291,american_canyon,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
american_canyonNANADISppaexp1NA,64,1,2.854592635,55,1292,american_canyon,NA,NA,DIS,ppa,exp1,NA,,,,,0,0,,,,
american_canyonNANADISppainNA,65,104,1017.721599,55,1292,american_canyon,NA,NA,DIS,ppa,in,NA,,,,,,,,,,
american_canyonNANADISppainsfd,66,8,18.45735684,55,1292,american_canyon,NA,NA,DIS,ppa,in,sfd,,,,,,,,,,
american_canyonNANANANAinNA,67,380,472.8486239,55,1291,american_canyon,NA,NA,NA,NA,in,NA,,,,,,,,,,
american_canyonNANANANAinsfd,68,478,82.28883059,55,1291,american_canyon,NA,NA,NA,NA,in,sfd,,,,,,,,,,
american_canyonNANANANAoutNA,69,1,14.73793226,55,1291,american_canyon,NA,NA,NA,NA,out,NA,,,,,0,0,,,,
american_canyonNANANAppainNA,70,11,7.26552027,55,1291,american_canyon,NA,NA,NA,ppa,in,NA,,,,,,,,,,
antiochGGNADISNAinNA,71,58,196.909396,13,1184,antioch,GG,NA,DIS,NA,in,NA,,,25,,,,,,,
antiochGGNADISNAinsfd,72,292,64.72433015,13,1187,antioch,GG,NA,DIS,NA,in,sfd,,,25,,,,,,,
antiochGGNANANAinNA,73,648,333.191339,13,1188,antioch,GG,NA,NA,NA,in,NA,,,25,,,,,,,
antiochGGNANANAinsfd,74,517,68.39106409,13,1188,antioch,GG,NA,NA,NA,in,sfd,,,25,,,,,,,
antiochGGNANANAoutNA,75,2,0.529542434,13,1189,antioch,GG,NA,NA,NA,out,NA,,,,,0,0,,,,
antiochGGNANAppainNA,76,3,11.19359578,13,1189,antioch,GG,NA,NA,ppa,in,NA,IW,HM,,2,,,,,,
antiochGGtra2aDISNAinNA,77,73,280.608853,13,1184,antioch,GG,tra2a,DIS,NA,in,NA,HM,,75,,,,,,,antioch
antiochGGtra2aDISNAinsfd,78,376,63.70545566,13,1187,antioch,GG,tra2a,DIS,NA,in,sfd,HM,,35,,,,,,,antioch
antiochGGtra3DISNAinNA,79,2,1.87022996,13,1187,antioch,GG,tra3,DIS,NA,in,NA,HM,,35,,,,,,,
antiochGGtra3DISNAinsfd,80,47,6.52573752,13,1187,antioch,GG,tra3,DIS,NA,in,sfd,HM,,35,,,,,,,
antiochGGtra3NANAinNA,81,1,4.281783461,13,1188,antioch,GG,tra3,NA,NA,in,NA,HM,,35,,,,,,,
antiochNANADISNAinNA,82,3394,8909.125935,13,1183,antioch,NA,NA,DIS,NA,in,NA,,,,,,,,,,
antiochNANADISNAinsfd,83,21130,3685.48727,13,1185,antioch,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
antiochNANADISppainNA,84,65,309.371243,13,1183,antioch,NA,NA,DIS,ppa,in,NA,,,,,,,,,,
antiochNANADISppainsfd,85,5,5.4242299,13,1183,antioch,NA,NA,DIS,ppa,in,sfd,,,,,,,,,,
antiochNANANANAinNA,86,945,978.1777088,13,1188,antioch,NA,NA,NA,NA,in,NA,,,,,,,,,,
antiochNANANANAinsfd,87,3539,533.3623441,13,1191,antioch,NA,NA,NA,NA,in,sfd,,,,,,,,,,
antiochNANANAppainNA,88,30,104.3607349,13,1188,antioch,NA,NA,NA,ppa,in,NA,,,,,,,,,,
antiochNAtra2aDISNAinNA,89,23,36.96486037,13,1184,antioch,NA,tra2a,DIS,NA,in,NA,,,,,,,,,,antioch
antiochNAtra2aDISNAinsfd,90,233,42.27893023,13,1184,antioch,NA,tra2a,DIS,NA,in,sfd,,,,,,,,,,antioch
antiochNAtra3DISNAinNA,91,4,16.48544821,13,1178,antioch,NA,tra3,DIS,NA,in,NA,,,,,,,,,,
antiochNAtra3DISNAinsfd,92,7,1.526311972,13,1178,antioch,NA,tra3,DIS,NA,in,sfd,,,,,,,,,,
athertonGGNAHRANAinNA,93,11,53.29569767,81,339,atherton,GG,NA,HRA,NA,in,NA,HM,,35,,,,,,,
athertonGGNAHRANAinsfd,94,157,145.6082112,81,339,atherton,GG,NA,HRA,NA,in,sfd,HM,,35,,,,,,,
athertonGGtra2bHRANAinsfd,95,41,40.73933655,81,339,atherton,GG,tra2b,HRA,NA,in,sfd,HM,,50,,,,,,,
athertonGGtra2bNANAinsfd,96,28,15.62310156,81,342,atherton,GG,tra2b,NA,NA,in,sfd,HM,,35,,,,,,,
athertonGGtra3HRANAinNA,97,33,18.74044146,81,339,atherton,GG,tra3,HRA,NA,in,NA,HM,,50,,,,,,,
athertonGGtra3HRANAinsfd,98,369,232.6040545,81,339,atherton,GG,tra3,HRA,NA,in,sfd,HM,,50,,,,,,,
athertonGGtra3NANAinNA,99,4,17.28984004,81,342,atherton,GG,tra3,NA,NA,in,NA,HM,,35,,,,,,,
athertonGGtra3NANAinsfd,100,139,88.97620008,81,342,atherton,GG,tra3,NA,NA,in,sfd,HM,,35,,,,,,,
athertonNANAHRANAinNA,101,21,25.7305756,81,339,atherton,NA,NA,HRA,NA,in,NA,,,,,,,,,,
athertonNANAHRANAinsfd,102,371,352.765985,81,339,atherton,NA,NA,HRA,NA,in,sfd,,,,,,,,,,
athertonNANANANAinNA,103,77,276.243995,81,342,atherton,NA,NA,NA,NA,in,NA,,,,,,,,,,
athertonNANANANAinsfd,104,1048,1260.789238,81,342,atherton,NA,NA,NA,NA,in,sfd,,,,,,,,,,
athertonNAtra3HRANAinNA,105,1,21.7634198,81,339,atherton,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
athertonNAtra3HRANAinsfd,106,4,3.118893336,81,339,atherton,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
athertonNAtra3NANAinNA,107,7,48.83515774,81,342,atherton,NA,tra3,NA,NA,in,NA,,,,,,,,,,
athertonNAtra3NANAinsfd,108,277,284.905705,81,342,atherton,NA,tra3,NA,NA,in,sfd,,,,,,,,,,
belmontGGtra2bHRADISNAinNA,109,102,41.95898429,81,287,belmont,GG,tra2b,HRADIS,NA,in,NA,HM,,50,,,,,,,
belmontGGtra2bHRADISNAinsfd,110,201,31.96195482,81,287,belmont,GG,tra2b,HRADIS,NA,in,sfd,HM,,50,,,,,,,
