pba50zoningmodcat,FREQUENCY,SUM_ACRES,manual_county,ZONE_ID,juris,gg_id,tra_id,sesit_id,ppa_id,exp2020_id,exsfd_id,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,notes,res_rent_cat
alamedaGGNAHRANAinNA,1561,350.6782706,1,952,alameda,GG,NA,HRA,NA,in,NA,HM,,35,1,,,,,3
alamedaGGNAHRANAinsfd,1973,206.5660497,1,957,alameda,GG,NA,HRA,NA,in,sfd,HM,,35,1,,,,,3
alamedaGGNAHRADRNAinNA,1551,268.5217187,1,953,alameda,GG,NA,HRADR,NA,in,NA,HM,,35,1,,,,,3
alamedaGGNAHRADRNAinsfd,710,83.15452454,1,958,alameda,GG,NA,HRADR,NA,in,sfd,HM,,35,1,,,,,3
alamedaGGNANANAinNA,284,51.33810394,1,961,alameda,GG,NA,NA,NA,in,NA,HM,,35,1,,,,,3
alamedaGGNANANAinsfd,55,5.191538023,1,961,alameda,GG,NA,NA,NA,in,sfd,HM,,35,1,,,,,3
alamedaGGtra3HRANAinNA,2913,635.4930684,1,960,alameda,GG,tra3,HRA,NA,in,NA,HM,,50,2.5,,,,,3
alamedaGGtra3HRANAinsfd,2602,280.1917039,1,951,alameda,GG,tra3,HRA,NA,in,sfd,HM,,50,2,,,,,3
alamedaGGtra3HRADRNAinNA,699,133.4794691,1,953,alameda,GG,tra3,HRADR,NA,in,NA,HM,,50,2.5,,,,,3
alamedaGGtra3HRADRNAinsfd,514,56.7315011,1,963,alameda,GG,tra3,HRADR,NA,in,sfd,HM,,50,2,,,,,3
alamedaGGtra3NANAinNA,623,680.8839392,1,949,alameda,GG,tra3,NA,NA,in,NA,HM,,35,2,,,,,3
alamedaGGtra3NANAinsfd,298,29.84349246,1,948,alameda,GG,tra3,NA,NA,in,sfd,HM,,35,2,,,,,3
alamedaGGtra3c2HRANAinNA,16,22.06584912,1,960,alameda,GG,tra3c2,HRA,NA,in,NA,HM,,50,2.5,,,,,3
alamedaGGtra3c2NANAinNA,2,7.914514079,1,961,alameda,GG,tra3c2,NA,NA,in,NA,HM,,35,2,,,,,3
alamedaNANADRNAinNA,14,2.599145521,1,963,alameda,NA,NA,DR,NA,in,NA,,,,,,,,,
alamedaNANAHRANAinNA,801,741.1404564,1,952,alameda,NA,NA,HRA,NA,in,NA,,,,,,,,,
alamedaNANAHRANAinsfd,247,33.94774126,1,952,alameda,NA,NA,HRA,NA,in,sfd,,,,,,,,,
alamedaNANAHRADRNAinNA,241,144.0898393,1,953,alameda,NA,NA,HRADR,NA,in,NA,,,,,,,,,
alamedaNANAHRADRNAinsfd,96,10.029862,1,953,alameda,NA,NA,HRADR,NA,in,sfd,,,,,,,,,
alamedaNANANANAinNA,126,2194.636885,1,949,alameda,NA,NA,NA,NA,in,NA,,,,,,,,,
alamedaNANANANAinsfd,289,34.09627705,1,949,alameda,NA,NA,NA,NA,in,sfd,,,,,,,,,
alamedaNANANANAoutNA,9,3.087371037,1,949,alameda,NA,NA,NA,NA,out,NA,,,,,0,0,,,
alamedaNANANANAoutsfd,1,0.234225895,1,963,alameda,NA,NA,NA,NA,out,sfd,,,,,0,0,,,
alamedaNANANAppainNA,2,3.038067988,1,952,alameda,NA,NA,NA,ppa,in,NA,IW,,,2,,,,,
alamedaNAtra3HRANAinNA,259,55.42542319,1,953,alameda,NA,tra3,HRA,NA,in,NA,,,,,,,,,
alamedaNAtra3HRANAinsfd,264,38.20120986,1,956,alameda,NA,tra3,HRA,NA,in,sfd,,,,,,,,,
alamedaNAtra3HRANAoutNA,1,2.06771546,1,960,alameda,NA,tra3,HRA,NA,out,NA,,,,,0,0,,,
alamedaNAtra3HRADRNAinNA,36,25.29100191,1,963,alameda,NA,tra3,HRADR,NA,in,NA,,,,,,,,,
alamedaNAtra3HRADRNAinsfd,17,10.89749999,1,963,alameda,NA,tra3,HRADR,NA,in,sfd,,,,,,,,,
alamedaNAtra3NANAinNA,999,314.4915866,1,955,alameda,NA,tra3,NA,NA,in,NA,,,,,,,,,
alamedaNAtra3NANAinsfd,1126,118.6603081,1,962,alameda,NA,tra3,NA,NA,in,sfd,,,,,,,,,
alamedaNAtra3NANAoutNA,1,23.4719979,1,961,alameda,NA,tra3,NA,NA,out,NA,,,,,0,0,,,
alamedaNAtra3c2HRANAinNA,1,0.932649836,1,960,alameda,NA,tra3c2,HRA,NA,in,NA,,,,,,,,,
alamedaNAtra3c2NANAinNA,9,8.236516698,1,961,alameda,NA,tra3c2,NA,NA,in,NA,,,,,,,,,
alamedaNAtra3c2NANAoutNA,1,0.186219549,1,961,alameda,NA,tra3c2,NA,NA,out,NA,,,,,0,0,,,
albanyGGNAHRANAinNA,124,37.23129198,1,1034,albany,GG,NA,HRA,NA,in,NA,HM,,35,1,,,,,3
albanyGGNAHRANAinsfd,720,73.23156326,1,1034,albany,GG,NA,HRA,NA,in,sfd,HM,,35,1,,,,,3
albanyGGtra2HRANAinNA,123,27.85634159,1,1039,albany,GG,tra2,HRA,NA,in,NA,HM,,100,2.5,,,,,3
albanyGGtra2HRANAinsfd,254,24.07009921,1,1036,albany,GG,tra2,HRA,NA,in,sfd,HM,,50,2,,,,,3
albanyGGtra3HRANAinNA,695,138.6440349,1,1036,albany,GG,tra3,HRA,NA,in,NA,HM,,50,2.5,,,,,3
albanyGGtra3HRANAinsfd,1929,172.9294569,1,1034,albany,GG,tra3,HRA,NA,in,sfd,HM,,50,2,,,,,3
albanyGGtra3NANAinNA,1,1.391519897,1,1038,albany,GG,tra3,NA,NA,in,NA,HM,,35,2,,,,,3
albanyNANAHRANAinNA,28,14.13588778,1,1034,albany,NA,NA,HRA,NA,in,NA,,,,,,,,,
albanyNANAHRANAinsfd,405,36.07784641,1,1035,albany,NA,NA,HRA,NA,in,sfd,,,,,,,,,
albanyNANANANAinNA,23,188.4045807,1,1039,albany,NA,NA,NA,NA,in,NA,,,,,,,,,
albanyNANANANAoutNA,16,1940.590846,1,1059,albany,NA,NA,NA,NA,out,NA,,,,,0,0,,,
albanyNAtra2HRANAinNA,2,4.685903963,1,1036,albany,NA,tra2,HRA,NA,in,NA,,,,,,,,,
albanyNAtra3HRANAinNA,43,25.90439882,1,1037,albany,NA,tra3,HRA,NA,in,NA,,,,,,,,,
albanyNAtra3HRANAinsfd,207,19.22289352,1,1037,albany,NA,tra3,HRA,NA,in,sfd,,,,,,,,,
albanyNAtra3NANAinNA,8,102.686197,1,1038,albany,NA,tra3,NA,NA,in,NA,,,,,,,,,
american_canyonGGNADRNAinNA,114,130.9880148,55,1292,american_canyon,GG,NA,DR,NA,in,NA,HM,,25,1.5,,,,,
american_canyonGGNADRNAinsfd,23,21.39812967,55,1292,american_canyon,GG,NA,DR,NA,in,sfd,HM,,25,1.5,,,,,
american_canyonGGNADRppainNA,1,5.41592892,55,1292,american_canyon,GG,NA,DR,ppa,in,NA,IW,,,2,,,,,
american_canyonGGNANANAinNA,56,137.4630093,55,1291,american_canyon,GG,NA,NA,NA,in,NA,HM,,35,1,,,,,
american_canyonGGNANANAinsfd,2,0.57365309,55,1291,american_canyon,GG,NA,NA,NA,in,sfd,HM,,35,1,,,,,
american_canyonGGNANAppainNA,3,2.82246348,55,1291,american_canyon,GG,NA,NA,ppa,in,NA,IW,,,2,,,,,
american_canyonNANADRNAinNA,701,907.4566006,55,1292,american_canyon,NA,NA,DR,NA,in,NA,,,,,,,,,
american_canyonNANADRNAinsfd,3328,640.607983,55,1291,american_canyon,NA,NA,DR,NA,in,sfd,,,,,,,,,
american_canyonNANADRppaexp1NA,1,2.854592635,55,1292,american_canyon,NA,NA,DR,ppa,exp1,NA,IW,,,2,,,,,
american_canyonNANADRppainNA,104,1017.721599,55,1292,american_canyon,NA,NA,DR,ppa,in,NA,IW,,,2,,,,,
american_canyonNANADRppainsfd,8,18.45735684,55,1292,american_canyon,NA,NA,DR,ppa,in,sfd,IW,,,2,,,,,
american_canyonNANANANAinNA,380,472.8486239,55,1291,american_canyon,NA,NA,NA,NA,in,NA,,,,,,,,,
american_canyonNANANANAinsfd,478,82.28883059,55,1291,american_canyon,NA,NA,NA,NA,in,sfd,,,,,,,,,
american_canyonNANANANAoutNA,1,14.73793226,55,1291,american_canyon,NA,NA,NA,NA,out,NA,,,,,0,0,,,
american_canyonNANANAppainNA,11,7.26552027,55,1291,american_canyon,NA,NA,NA,ppa,in,NA,IW,,,2,,,,,
antiochGGNADRNAinNA,60,198.7796259,13,1187,antioch,GG,NA,DR,NA,in,NA,HM,,25,1.5,,,,,
antiochGGNADRNAinsfd,339,71.25006767,13,1187,antioch,GG,NA,DR,NA,in,sfd,HM,,25,1.5,,,,,
antiochGGNANANAinNA,649,337.4731224,13,1188,antioch,GG,NA,NA,NA,in,NA,HM,,35,1,,,,,
antiochGGNANANAinsfd,517,68.39106409,13,1188,antioch,GG,NA,NA,NA,in,sfd,HM,,35,1,,,,,
antiochGGNANANAoutNA,2,0.529542434,13,1189,antioch,GG,NA,NA,NA,out,NA,,,,,0,0,,,
antiochGGNANAppainNA,3,11.19359578,13,1189,antioch,GG,NA,NA,ppa,in,NA,HM,,35,1,,,,,
antiochGGtra2DRNAinNA,73,280.608853,13,1184,antioch,GG,tra2,DR,NA,in,NA,HM,,75,2,,,,,
antiochGGtra2DRNAinsfd,376,63.70545566,13,1187,antioch,GG,tra2,DR,NA,in,sfd,HM,,35,1.5,,,,,
antiochNANADRNAinNA,3398,8925.611384,13,1183,antioch,NA,NA,DR,NA,in,NA,,,,,,,,,
antiochNANADRNAinsfd,21137,3687.013582,13,1185,antioch,NA,NA,DR,NA,in,sfd,,,,,,,,,
antiochNANADRppainNA,65,309.371243,13,1183,antioch,NA,NA,DR,ppa,in,NA,IW,,,2,,,,,
antiochNANADRppainsfd,5,5.4242299,13,1183,antioch,NA,NA,DR,ppa,in,sfd,IW,,,2,,,,,
antiochNANANANAinNA,945,978.1777088,13,1188,antioch,NA,NA,NA,NA,in,NA,,,,,,,,,
antiochNANANANAinsfd,3539,533.3623441,13,1191,antioch,NA,NA,NA,NA,in,sfd,,,,,,,,,
antiochNANANAppainNA,30,104.3607349,13,1188,antioch,NA,NA,NA,ppa,in,NA,IW,,,2,,,,,
antiochNAtra2DRNAinNA,23,36.96486037,13,1184,antioch,NA,tra2,DR,NA,in,NA,,,,,,,,,
antiochNAtra2DRNAinsfd,233,42.27893023,13,1184,antioch,NA,tra2,DR,NA,in,sfd,,,,,,,,,
athertonGGNAHRANAinNA,11,43.76749296,81,339,atherton,GG,NA,HRA,NA,in,NA,HM,,35,1,,,,,1
athertonGGNAHRANAinsfd,156,145.1066001,81,339,atherton,GG,NA,HRA,NA,in,sfd,HM,,35,1,,,,,1
athertonGGtra3HRANAinNA,31,17.20914235,81,339,atherton,GG,tra3,HRA,NA,in,NA,HM,,50,2.5,,,,,1
athertonGGtra3HRANAinsfd,392,254.1324315,81,339,atherton,GG,tra3,HRA,NA,in,sfd,HM,,50,2,,,,,1
athertonNANAHRANAinNA,19,34.77763934,81,339,atherton,NA,NA,HRA,NA,in,NA,,,,,,,,,
athertonNANAHRANAinsfd,386,370.9323841,81,339,atherton,NA,NA,HRA,NA,in,sfd,,,,,,,,,
athertonNANANANAinNA,87,326.5602903,81,342,atherton,NA,NA,NA,NA,in,NA,,,,,,,,,
athertonNANANANAinsfd,1333,1550.360008,81,342,atherton,NA,NA,NA,NA,in,sfd,,,,,,,,,
athertonNAtra3HRANAinNA,2,22.29472235,81,327,atherton,NA,tra3,HRA,NA,in,NA,,,,,,,,,
athertonNAtra3NANAinNA,4,17.28984004,81,342,atherton,NA,tra3,NA,NA,in,NA,,,,,,,,,
athertonNAtra3NANAinsfd,167,104.5993016,81,342,atherton,NA,tra3,NA,NA,in,sfd,,,,,,,,,
belmontGGNAHRANAinNA,118,43.57543996,81,286,belmont,GG,NA,HRA,NA,in,NA,HM,,35,1,,,,,2
belmontGGNAHRANAinsfd,440,68.17912182,81,275,belmont,GG,NA,HRA,NA,in,sfd,HM,,35,1,,,,,2
belmontGGNAHRADRNAinNA,32,8.842244689,81,287,belmont,GG,NA,HRADR,NA,in,NA,HM,,35,1,,,,,2
belmontGGNAHRADRNAinsfd,118,20.69349386,81,287,belmont,GG,NA,HRADR,NA,in,sfd,HM,,35,1,,,,,2
belmontGGtra3HRANAinNA,267,108.3904523,81,286,belmont,GG,tra3,HRA,NA,in,NA,HM,,50,2.5,,,,,2
belmontGGtra3HRANAinsfd,355,69.69779782,81,275,belmont,GG,tra3,HRA,NA,in,sfd,HM,,50,2,,,,,2
belmontGGtra3HRADRNAinNA,102,41.95898429,81,287,belmont,GG,tra3,HRADR,NA,in,NA,HM,,50,2.5,,,,,2
belmontGGtra3HRADRNAinsfd,201,31.96195482,81,287,belmont,GG,tra3,HRADR,NA,in,sfd,HM,,50,2,,,,,2
belmontNANADRNAinNA,26,329.1864821,81,288,belmont,NA,NA,DR,NA,in,NA,,,,,,,,,
belmontNANADRNAinsfd,34,17.0969368,81,288,belmont,NA,NA,DR,NA,in,sfd,,,,,,,,,
belmontNANAHRANAinNA,333,235.2249414,81,286,belmont,NA,NA,HRA,NA,in,NA,,,,,,,,,
belmontNANAHRANAinsfd,3610,612.7732868,81,289,belmont,NA,NA,HRA,NA,in,sfd,,,,,,,,,
belmontNANAHRADRNAinNA,142,239.7504054,81,287,belmont,NA,NA,HRADR,NA,in,NA,,,,,,,,,
belmontNANAHRADRNAinsfd,1425,350.4205243,81,288,belmont,NA,NA,HRADR,NA,in,sfd,,,,,,,,,
belmontNANANANAinNA,269,132.9121254,81,289,belmont,NA,NA,NA,NA,in,NA,,,,,,,,,
belmontNANANANAinsfd,81,40.56084959,81,275,belmont,NA,NA,NA,NA,in,sfd,,,,,,,,,
belmontNAtra3HRANAinNA,89,18.95248651,81,275,belmont,NA,tra3,HRA,NA,in,NA,,,,,,,,,
belmontNAtra3HRANAinsfd,167,25.68312859,81,275,belmont,NA,tra3,HRA,NA,in,sfd,,,,,,,,,
belmontNAtra3HRADRNAinNA,3,17.6053965,81,287,belmont,NA,tra3,HRADR,NA,in,NA,,,,,,,,,
belmontNAtra3HRADRNAinsfd,16,4.595973967,81,287,belmont,NA,tra3,HRADR,NA,in,sfd,,,,,,,,,
belvedereGGNAHRANAinNA,5,1.605039937,41,1447,belvedere,GG,NA,HRA,NA,in,NA,HM,,35,1,,,,,2
belvedereGGNAHRANAinsfd,33,5.786457436,41,1447,belvedere,GG,NA,HRA,NA,in,sfd,HM,,35,1,,,,,2
belvedereGGtra3HRANAinNA,35,20.01737721,41,1447,belvedere,GG,tra3,HRA,NA,in,NA,HM,,50,2.5,,,,,2
belvedereGGtra3HRANAinsfd,130,20.07823409,41,1447,belvedere,GG,tra3,HRA,NA,in,sfd,HM,,50,2,,,,,2
belvedereGGtra3HRANAoutsfd,1,0.406929244,41,1447,belvedere,GG,tra3,HRA,NA,out,sfd,,,,,0,0,,,2
belvedereNANAHRANAinNA,53,22.81036419,41,1447,belvedere,NA,NA,HRA,NA,in,NA,,,,,,,,,
belvedereNANAHRANAinsfd,665,200.8918192,41,1447,belvedere,NA,NA,HRA,NA,in,sfd,,,,,,,,,
belvedereNANANANAinNA,1,1.203467216,41,1447,belvedere,NA,NA,NA,NA,in,NA,,,,,,,,,
belvedereNANANANAinsfd,16,49.71059515,41,1447,belvedere,NA,NA,NA,NA,in,sfd,,,,,,,,,
belvedereNAtra3HRANAinNA,1,0.20318782,41,1447,belvedere,NA,tra3,HRA,NA,in,NA,,,,,,,,,
belvedereNAtra3NANAinNA,7,0.072939508,41,1447,belvedere,NA,tra3,NA,NA,in,NA,,,,,,,,,
