eirzoningmodcat,modcat_id,FREQUENCY,SUM_ACRES,manual_county,juris,gg_id,tra_id,sesit_id,coc_id,ppa_id,exp2020_id,ex_res_bldg,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,res_rent_cat,job_out_cat
livermoreNANAHRADISNANAinNA,1,128,394.4046458225645,1,livermore,NA,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
livermoreNAtra3DISNANAinNA,2,1309,1676.6702193046362,1,livermore,NA,tra3,DIS,NA,NA,in,NA,,,,,,,,,
haywardNANANANANAinres,3,3607,680.3630094588975,1,hayward,NA,NA,NA,NA,NA,in,res,,,,,,,,,
unincorporated_sonomaNANAHRADISNANAoutNA,4,2004,137054.54767648282,97,unincorporated_sonoma,NA,NA,HRADIS,NA,NA,out,NA,,,,,0.0,0.0,,,
fremontNANAHRADISNANAinNA,5,3425,2109.1140800399667,1,fremont,NA,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
pleasantonNAtra3HRADISNANAinNA,6,1622,3055.0816848862464,1,pleasanton,NA,tra3,HRADIS,NA,NA,in,NA,,,,,,,,,
dublinNAtra3HRADISNANAinNA,7,782,1742.5106812104596,1,dublin,NA,tra3,HRADIS,NA,NA,in,NA,,,,,,,,,
unincorporated_contra_costaNANAHRADISNANAoutNA,8,1348,90426.18491041397,13,unincorporated_contra_costa,NA,NA,HRADIS,NA,NA,out,NA,,,,,0.0,0.0,,,
brentwoodNANADISNANAinres,9,12563,2535.6989735546676,13,brentwood,NA,NA,DIS,NA,NA,in,res,,,,,,,,,
brentwoodNANANANANAinNA,10,921,611.5419608439787,13,brentwood,NA,NA,NA,NA,NA,in,NA,,,,,,,,,
san_ramonGGNAHRADISNANAinres,11,2363,388.38007973572854,13,san_ramon,GG,NA,HRADIS,NA,NA,in,res,,,,,,,,,
oakleyNANADISNANAinNA,12,1343,5599.97172387185,13,oakley,NA,NA,DIS,NA,NA,in,NA,,,,,,,,,
antiochNANADISCoCNAinNA,13,540,718.8416897095184,13,antioch,NA,NA,DIS,CoC,NA,in,NA,,,,,,,,,
unincorporated_contra_costaNANAHRADISNANAinunNA,14,1288,9390.45136954248,13,unincorporated_contra_costa,NA,NA,HRADIS,NA,NA,inun,NA,,,,,0.0,0.0,,,
unincorporated_contra_costaNANADISNANAinunNA,15,2449,11585.461232115606,13,unincorporated_contra_costa,NA,NA,DIS,NA,NA,inun,NA,,,,,0.0,0.0,,,
san_ramonNANAHRADISNANAinres,16,10551,2104.4237127491515,13,san_ramon,NA,NA,HRADIS,NA,NA,in,res,,,,,,,,,
san_ramonNANAHRANANAinNA,17,446,910.3243694713715,13,san_ramon,NA,NA,HRA,NA,NA,in,NA,,,,,,,,,
unincorporated_contra_costaNANADISNANAinunres,18,11897,3017.6425726603,13,unincorporated_contra_costa,NA,NA,DIS,NA,NA,inun,res,,,,,0.0,0.0,,,
unincorporated_napaNANAHRANANAoutNA,19,1087,50595.82199471052,55,unincorporated_napa,NA,NA,HRA,NA,NA,out,NA,,,,,0.0,0.0,,,
unincorporated_napaNANANANANAoutNA,20,696,24772.50836155273,55,unincorporated_napa,NA,NA,NA,NA,NA,out,NA,,,,,0.0,0.0,,,
san_franciscoGGtra2cNANANAinNA,21,338,158.7533232568992,75,san_francisco,GG,tra2c,NA,NA,NA,in,NA,HM,,150.0,,,,,,
unincorporated_san_mateoNANADISNANAoutNA,22,1890,117097.6748998857,81,unincorporated_san_mateo,NA,NA,DIS,NA,NA,out,NA,,,,,0.0,0.0,,,
petalumaNAtra3HRANANAinNA,23,27,21.869947806106996,97,petaluma,NA,tra3,HRA,NA,NA,in,NA,,,,,,,,,
brentwoodNANADISNANAinNA,24,1792,3305.901037117484,13,brentwood,NA,NA,DIS,NA,NA,in,NA,,,,,,,,,
brentwoodNANANANANAinres,25,2180,307.48729990162593,13,brentwood,NA,NA,NA,NA,NA,in,res,,,,,,,,,
unincorporated_sonomaNANADISNANAoutNA,26,6419,355185.37673729996,97,unincorporated_sonoma,NA,NA,DIS,NA,NA,out,NA,,,,,0.0,0.0,,,
santa_rosaNANADISNANAinNA,27,2379,5358.654533004332,97,santa_rosa,NA,NA,DIS,NA,NA,in,NA,,,,,,,,,
rohnert_parkNANADISNANAinNA,28,341,1046.6652899342707,97,rohnert_park,NA,NA,DIS,NA,NA,in,NA,,,,,,,,,
unincorporated_marinNANAHRANANAoutNA,29,122,7626.403205066893,41,unincorporated_marin,NA,NA,HRA,NA,NA,out,NA,,,,,0.0,0.0,,,
richmondNANADISNANAinNA,30,803,9645.884705655933,13,richmond,NA,NA,DIS,NA,NA,in,NA,,,,,,,,,
antiochNANADISNANAinres,31,18972,3419.457478021883,13,antioch,NA,NA,DIS,NA,NA,in,res,,,,,,,,,
unincorporated_sonomaNANAHRANANAoutNA,32,1212,74156.3831103392,97,unincorporated_sonoma,NA,NA,HRA,NA,NA,out,NA,,,,,0.0,0.0,,,
pleasantonNANAHRADISNANAinNA,33,213,1275.325892922346,1,pleasanton,NA,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
pittsburgNANANANANAinNA,34,854,1645.2688223710568,13,pittsburg,NA,NA,NA,NA,NA,in,NA,,,,,,,,,
unincorporated_contra_costaNANAHRADISNANAinunres,35,11880,5090.433797557745,13,unincorporated_contra_costa,NA,NA,HRADIS,NA,NA,inun,res,,,,,0.0,0.0,,,
pittsburgNANANANANAinres,36,2196,390.76265645072186,13,pittsburg,NA,NA,NA,NA,NA,in,res,,,,,,,,,
orindaNANAHRANANAinNA,37,580,2643.7538238743273,13,orinda,NA,NA,HRA,NA,NA,in,NA,,,,,,,,,
fremontGGtra2aHRANANAinNA,38,993,573.8658692290375,1,fremont,GG,tra2a,HRA,NA,NA,in,NA,HM,,250.0,,,,,,fre
livermoreGGtra3HRANANAinNA,39,200,58.1369882281072,1,livermore,GG,tra3,HRA,NA,NA,in,NA,HM,,100.0,,,,,,
alamedaGGtra3HRANANAinNA,40,974,310.2161322236637,1,alameda,GG,tra3,HRA,NA,NA,in,NA,HM,,100.0,,,,,,
napaNANADISNANAinNA,41,709,963.0901893410602,55,napa,NA,NA,DIS,NA,NA,in,NA,,,,,,,,,
herculesGGNADISNANAinres,42,504,44.15564244685571,13,hercules,GG,NA,DIS,NA,NA,in,res,,,,,,,,,
newarkNANADISNANAinNA,43,382,3219.3710291905672,1,newark,NA,NA,DIS,NA,NA,in,NA,,,,,,,,,
unincorporated_alamedaNANADISNANAoutNA,44,774,80232.29602934266,1,unincorporated_alameda,NA,NA,DIS,NA,NA,out,NA,,,,,0.0,0.0,,,
unincorporated_contra_costaNANAHRANANAinunNA,45,558,2009.336589631449,13,unincorporated_contra_costa,NA,NA,HRA,NA,NA,inun,NA,,,,,0.0,0.0,,,
martinezNANADISNANAinNA,46,422,1557.9804701462845,13,martinez,NA,NA,DIS,NA,NA,in,NA,,,,,,,,,
richmondNANADISNANAinres,47,4341,848.0438953638345,13,richmond,NA,NA,DIS,NA,NA,in,res,,,,,,,,,
antiochNANADISNANAinNA,48,2082,7912.5769775832505,13,antioch,NA,NA,DIS,NA,NA,in,NA,,,,,,,,,
fremontGGNAHRADISNANAinNA,49,351,219.82172826122542,1,fremont,GG,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
oakleyNANADISNANAinres,50,8031,2062.5535826876435,13,oakley,NA,NA,DIS,NA,NA,in,res,,,,,,,,,
danvilleNANAHRADISNANAinres,51,11125,4098.044672281865,13,danville,NA,NA,HRADIS,NA,NA,in,res,,,,,,,,,
unincorporated_marinNANANANANAoutNA,52,262,61678.02358730131,41,unincorporated_marin,NA,NA,NA,NA,NA,out,NA,,,,,0.0,0.0,,,
fremontGGtra3DISNANAinNA,53,171,21.748431069530696,1,fremont,GG,tra3,DIS,NA,NA,in,NA,HM,,100.0,,,,,,
alamedaGGtra3HRADISNANAinNA,54,1277,245.99984426752437,1,alameda,GG,tra3,HRADIS,NA,NA,in,NA,HM,,100.0,,,,,,
alamedaNAtra3HRANANAinNA,55,277,521.0051623021516,1,alameda,NA,tra3,HRA,NA,NA,in,NA,,,,,,,,,
fremontNANAHRADISNANAoutNA,56,109,6628.256301871333,1,fremont,NA,NA,HRADIS,NA,NA,out,NA,,,,,0.0,0.0,,,
pleasantonGGtra3HRANANAinNA,57,434,562.0985090625708,1,pleasanton,GG,tra3,HRA,NA,NA,in,NA,HM,,100.0,,,,,,
santa_rosaNANANANANAinres,58,4446,1013.3672571217016,97,santa_rosa,NA,NA,NA,NA,NA,in,res,,,,,,,,,
brentwoodGGNANANANAinNA,59,38,83.5679553383752,13,brentwood,GG,NA,NA,NA,NA,in,NA,,,,,,,,,
martinezNANANANANAinNA,60,442,969.9864025968586,13,martinez,NA,NA,NA,NA,NA,in,NA,,,,,,,,,
herculesGGtra3DISNANAinres,61,255,23.176013494414214,13,hercules,GG,tra3,DIS,NA,NA,in,res,HM,,100.0,,,,,,
danvilleNANAHRADISNANAinNA,62,909,4790.144658348796,13,danville,NA,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
san_ramonNANAHRADISNANAinNA,63,1057,4420.425683996403,13,san_ramon,NA,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
san_franciscoNANAHRANANAinres,64,1,1505.60177254,75,san_francisco,NA,NA,HRA,NA,NA,in,res,,,,,,,,,
healdsburgNANADISNANAexp1_npNA,65,1,1.84318490193,97,healdsburg,NA,NA,DIS,NA,NA,exp1_np,NA,,,,,0.0,0.0,,,
unincorporated_alamedaNANAHRADISNANAinunNA,66,1343,1485.3885940425128,1,unincorporated_alameda,NA,NA,HRADIS,NA,NA,inun,NA,,,,,0.0,0.0,,,
antiochNANADISCoCNAinres,67,2930,543.7370597318985,13,antioch,NA,NA,DIS,CoC,NA,in,res,,,,,,,,,
pittsburgNANADISNANAinNA,68,131,407.8870785544648,13,pittsburg,NA,NA,DIS,NA,NA,in,NA,,,,,,,,,
concordGGNADISNANAinNA,69,42,216.48453931386965,13,concord,GG,NA,DIS,NA,NA,in,NA,,,,,,,,,
newarkGGNAHRADISNANAinNA,70,352,282.55196157861354,1,newark,GG,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
sunnyvaleGGtra3HRANANAinres,71,4016,718.4599428272542,85,sunnyvale,GG,tra3,HRA,NA,NA,in,res,HM,,100.0,,,,,,
pittsburgGGNANACoCNAinNA,72,520,415.2040647082121,13,pittsburg,GG,NA,NA,CoC,NA,in,NA,,,,,,,,,
pittsburgNANADISNANAinres,73,2425,543.7474060858735,13,pittsburg,NA,NA,DIS,NA,NA,in,res,,,,,,,,,
pleasantonNAtra3HRANANAinres,74,5689,1176.8220829035051,1,pleasanton,NA,tra3,HRA,NA,NA,in,res,,,,,,,,,
brentwoodNAtra3DISNANAinNA,75,230,154.7394845682602,13,brentwood,NA,tra3,DIS,NA,NA,in,NA,,,,,,,,,
unincorporated_marinNANAHRANANAinunres,76,4747,2908.290959475323,41,unincorporated_marin,NA,NA,HRA,NA,NA,inun,res,,,,,0.0,0.0,,,
claytonGGNAHRADISNANAinNA,77,118,172.7380462250122,13,clayton,GG,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
unincorporated_marinNANADISNANAoutNA,78,1193,197344.97208785117,41,unincorporated_marin,NA,NA,DIS,NA,NA,out,NA,,,,,0.0,0.0,,,
unincorporated_sonomaNANANANANAoutres,79,5384,17727.81525917684,97,unincorporated_sonoma,NA,NA,NA,NA,NA,out,res,,,,,0.0,0.0,,,
daly_cityGGtra3HRANANAinNA,80,42,58.23804899626899,81,daly_city,GG,tra3,HRA,NA,NA,in,NA,HM,,100.0,,,,,,
rio_vistaNANAHRADISNANAinNA,81,441,1308.3295835904835,95,rio_vista,NA,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
oaklandNANAHRADISNANAinNA,82,523,1288.8307896913186,1,oakland,NA,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
pittsburgNANANACoCNAinres,83,3506,583.6013400650274,13,pittsburg,NA,NA,NA,CoC,NA,in,res,,,,,,,,,
lafayetteNANAHRANANAinNA,84,589,2937.031933893107,13,lafayette,NA,NA,HRA,NA,NA,in,NA,,,,,,,,,
