jurisdiction,pda,tpp,expansion,count,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,place_type,notes
00085,sjo6,b1,ubz,3,HS RS,,5.5,0.5,,,,,
00674,alb1,b1,,210,,,,,,,,,
06000,alb1,b1,,1,,,,,,,,,
00001,alc2,b1,,471,,,,,,,,,
06000,ber3,b1,,302,,,,,,,,,
06000,ber6,b1,,58,,,,,,,,,
17918,ccg1_a,b1,,380,,,,,,,,,
14736,ccg1_b,b1,,31,,,,,,,,,
21796,elc1_a,b1,,7,,,,,,,,,
60620,elc1_a,b1,,6,,,,,,,,,
22594,eme1,b1,,563,,,,,,,,,
53000,eme1,b1,,16,,,,,,,,,
26000,fre2,b1,,48,,,,,,,,,
26000,fre3,b1,,10,,,,,,,,,
33000,hay2,b1,,153,,,,,,,,,
33000,hay4,b1,,28,,,,,,,,,
33308,her1,b1,,15,,,,,,,,,
33308,her2,b1,,364,,,,,,,,,
49670,mvw3,b1,,181,,,,,,,,,
49670,mvw4,b1,,108,,,,,,,,,
53000,okd1,b1,,2622,,,,,,,,,
53000,okd2,b1,,27,,,,,,,,,
00001,okd3,b1,,1,,,,,,,,,
53000,okd3,b1,,66,,,,,,,,,
53000,okd4,b1,,224,,,,,,,,,
53000,okd5,b1,,989,,,,,,,,,
22594,okd6,b1,,15,,,,,,,,,
53000,okd6,b1,,397,,,,,,,,,
53000,okd7,b1,,804,,,,,,,,,
60620,ric1_a,b1,,194,,,,,,,,,
69084,scl1,b1,,56,,,,,,,,,
69084,scl2,b1,,7,,,,,,,,,
67000,sfo1,b1,,1247,,,,,,,,,
00081,sfo12,b1,,2,,,,,,,,,
67000,sfo12,b1,,684,,,,,,,,,
67000,sfo3,b1,,56,,,,,,,,,
67000,sfo4,b1,,2795,,,,,,,,,
68000,sjo11,b1,,89,,,,,,,,,
68000,sjo4,b1,,779,,,,,,,,,
68000,sjo6,b1,,392,,,,,,,,,
68000,sjo8,b1,,27,,,,,,,,,
68084,sle1,b1,,28,,,,,,,,,
68084,sle2,b1,,61,,,,,,,,,
68364,sra1,b1,,1093,,,,,,,,,
70098,sro1,b1,,1168,,,,,,,,,
70098,sro2,b1,,1825,,,,,,,,,
70098,sro3,b1,,9,,,,,,,,,
70098,sro4,b1,,55,,,,,,,,,
77000,sun3,b1,,789,,,,,,,,,
81204,uni1,b1,,19,,,,,,,,,
81666,val1,b1,,529,,,,,,,,,
55282,vta1_h,b1,,195,,,,,,,,,
68000,vta1_i,b1,,1725,,,,,,,,,
77000,vta1_m,b1,,85,,,,,,,,,
83346,wal1,b1,,30,,,,,,,,,
21796,wcc1_c,b1,,1,,,,,,,,,
60620,wcc1_c,b1,,41,,,,,,,,,
33308,wcc1_g,b1,,10,,,,,,,,,
00001,,b1,,291,,,,,,,,,
00081,,b1,,190,,,,,,,,,
00085,,b1,,48,,,,,,,,,
00095,,b1,,7,,,,,,,,,
00562,,b1,,69,,,,,,,,,
00674,,b1,,2634,,,,,,,,,
02252,,b1,,460,,,,,,,,,
06000,,b1,,5122,,,,,,,,,
14736,,b1,,41,,,,,,,,,
17918,,b1,,4110,,,,,,,,,
21796,,b1,,550,,,,,,,,,
22594,,b1,,497,,,,,,,,,
26000,,b1,,270,,,,,,,,,
33000,,b1,,199,,,,,,,,,
33308,,b1,,461,,,,,,,,,
43280,,b1,,126,,,,,,,,,
46870,,b1,,184,,,,,,,,,
47766,,b1,,694,,,,,,,,,
49670,,b1,,13,,,,,,,,,
53000,,b1,,3041,,,,,,,,,
55282,,b1,,400,,,,,,,,,
60620,,b1,,1188,,,,,,,,,
67000,,b1,,25921,,,,,,,,,
68000,,b1,,9554,,,,,,,,,
68084,,b1,,1278,,,,,,,,,
68252,,b1,,12,,,,,,,,,
68364,,b1,,188,,,,,,,,,
69084,,b1,,545,,,,,,,,,
70098,,b1,,1611,,,,,,,,,
73262,,b1,,84,,,,,,,,,
77000,,b1,,332,,,,,,,,,
81204,,b1,,1933,,,,,,,,,
81666,,b1,,1169,,,,,,,,,
83346,,b1,,96,,,,,,,,,
00097,sro2,b2,exp1,1,HS RS,,5.5,0.5,,,,,
70098,sro2,b2,exp1,1,HS RS,,5.5,0.5,,,,,
00041,,b2,exp1_low,36,HS RS,,2.75,0.25,,,,,
52582,,b2,exp1_low,2,HS RS,,2.75,0.25,,,,,
00081,ccg1_m,b2,ubz,8,HS RS,,5.5,0.5,,,,,
00085,sjo6,b2,ubz,6,HS RS,,5.5,0.5,,,,,
00097,sro1,b2,ubz,78,HS RS,,5.5,0.5,,,,,
00097,sro2,b2,ubz,3,HS RS,,5.5,0.5,,,,,
00097,sro3,b2,ubz,11,HS RS,,5.5,0.5,,,,,
00085,sun3,b2,ubz,9,HS RS,,5.5,0.5,,,,,
00085,vta1_i,b2,ubz,1,HS RS,,5.5,0.5,,,,,
00001,,b2,ubz,11,HS RS,,5.5,0.5,,,,,
00013,,b2,ubz,15,HS RS,,5.5,0.5,,,,,
00081,,b2,ubz,138,HS RS,,5.5,0.5,,,,,
00085,,b2,ubz,11,HS RS,,5.5,0.5,,,,,
00095,,b2,ubz,387,HS RS,,5.5,0.5,,,,,
00097,,b2,ubz,1,HS RS,,5.5,0.5,,,,,
00041,,b2,ubz_low,3,HS RS,,2.75,0.25,,,,,
00562,ala1,b2,,2,,,,,,,,,
00562,ala2,b2,,2,,,,,,,,,
00674,alb1,b2,,47,,,,,,,,,
00001,alc2,b2,,185,,,,,,,,,
33000,alc2,b2,,1,,,,,,,,,
00001,alc4,b2,,60,,,,,,,,,
06000,ber3,b2,,32,,,,,,,,,
00013,ccc3_a,b2,,395,,,,,,,,,
14736,ccg1_b,b2,,44,,,,,,,,,
14736,ccg1_c,b2,,4,,,,,,,,,
73262,ccg1_c,b2,,276,,,,,,,,,
68252,ccg1_f,b2,,516,,,,,,,,,
65070,ccg1_h,b2,,912,,,,,,,,,
60102,ccg1_i,b2,,428,,,,,,,,,
46870,ccg1_j,b2,,39,,,,,,,,,
16000,con2,b2,,421,,,,,,,,,
17918,dal1,b2,,1,,,,,,,,,
20018,dub3,b2,,1056,,,,,,,,,
21796,elc1_a,b2,,10,,,,,,,,,
21796,elc1_b,b2,,76,,,,,,,,,
60620,elc1_b,b2,,23,,,,,,,,,
22594,eme1,b2,,14,,,,,,,,,
23182,fai1,b2,,6,,,,,,,,,
23182,fai3,b2,,252,,,,,,,,,
26000,fre1,b2,,1036,,,,,,,,,
26000,fre2,b2,,128,,,,,,,,,
26000,fre3,b2,,223,,,,,,,,,
29504,gil1,b2,,527,,,,,,,,,
33000,hay1,b2,,136,,,,,,,,,
33000,hay2,b2,,13,,,,,,,,,
33000,hay3_a,b2,,10,,,,,,,,,
33000,hay3_b,b2,,16,,,,,,,,,
33000,hay4,b2,,87,,,,,,,,,
33308,her1,b2,,1,,,,,,,,,
33308,her2,b2,,1,,,,,,,,,
41992,liv1,b2,,487,,,,,,,,,
46114,mar1,b2,,9,,,,,,,,,
00041,mco1,b2,,1650,,,,,,,,,
46870,men1,b2,,1,,,,,,,,,
49278,moh1,b2,,280,,,,,,,,,
49670,mvw3,b2,,925,,,,,,,,,
49670,mvw4,b2,,561,,,,,,,,,
53070,oak1,b2,,28,,,,,,,,,
06000,okd1,b2,,5,,,,,,,,,
53000,okd1,b2,,4773,,,,,,,,,
53000,okd2,b2,,70,,,,,,,,,
00001,okd3,b2,,1,,,,,,,,,
53000,okd3,b2,,7,,,,,,,,,
53000,okd4,b2,,778,,,,,,,,,
53000,okd5,b2,,106,,,,,,,,,
53000,okd6,b2,,256,,,,,,,,,
53000,okd7,b2,,99,,,,,,,,,
57288,pin1,b2,,327,,,,,,,,,
57288,pin2,b2,,7,,,,,,,,,
57456,pit1,b2,,660,,,,,,,,,
57792,ple1,b2,,731,,,,,,,,,
57764,plh1,b2,,17,,,,,,,,,
