jurisdiction,pda_id,tpp_id,exp_id,count,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,place_type,notes
00001,liv2,,exp1,10,HS RS,,5.5,0.5,,,,,
41992,liv2,,exp1,3,HS RS,,5.5,0.5,,,,,
53070,oak1,,exp1,1,HS RS,,5.5,0.5,,,,,
00097,sco1,,exp1,3,HS RS,,5.5,0.5,,,,,
00097,sco2,,exp1,21,HS RS,,5.5,0.5,,,,,
00097,sco4,,exp1,5,HS RS,,5.5,0.5,,,,,
00097,sco5,,exp1,10,HS RS,,5.5,0.5,,,,,
00097,sco7,,exp1,31,HS RS,,5.5,0.5,,,,,
00097,seb1,,exp1,4,HS RS,,5.5,0.5,,,,,
70770,seb1,,exp1,11,HS RS,,5.5,0.5,,,,,
00097,sro2,b2,exp1,1,HS RS,,5.5,0.5,,,,,
70098,sro2,b2,exp1,1,HS RS,,5.5,0.5,,,,,
00097,sro2,,exp1,4,HS RS,,5.5,0.5,,,,,
70098,sro2,,exp1,3,HS RS,,5.5,0.5,,,,,
70098,sro3,,exp1,1,HS RS,,5.5,0.5,,,,,
70098,sro5,,exp1,2,HS RS,,5.5,0.5,,,,,
00085,vta1_k,b3,exp1,81,HS RS,,5.5,0.5,,,,,
00085,,b3,exp1,548,HS RS,,5.5,0.5,,,,,
00095,,b3,exp1,8,HS RS,,5.5,0.5,,,,,
29504,,b3,exp1,6,HS RS,,5.5,0.5,,,,,
49278,,b3,exp1,1,HS RS,,5.5,0.5,,,,,
69084,,b3,exp1,1,HS RS,,5.5,0.5,,,,,
00097,,cr4,exp1,14,HS RS,,5.5,0.5,,,,,
00085,,lrt3,exp1,2,HS RS,,5.5,0.5,,,,,
10345,,lrt3,exp1,6,HS RS,,5.5,0.5,,,,,
44112,,lrt3,exp1,6,HS RS,,5.5,0.5,,,,,
68000,,lrt3,exp1,9,HS RS,,5.5,0.5,,,,,
00001,,,exp1,333,HS RS,,5.5,0.5,,,,,
00013,,,exp1,1060,HS RS,,5.5,0.5,,,,,
00085,,,exp1,1982,HS RS,,5.5,0.5,,,,,
00095,,,exp1,2292,HS RS,,5.5,0.5,,,,,
00097,,,exp1,12277,HS RS,,5.5,0.5,,,,,
08142,,,exp1,33,HS RS,,5.5,0.5,,,,,
19402,,,exp1,1,HS RS,,5.5,0.5,,,,,
20018,,,exp1,4,HS RS,,5.5,0.5,,,,,
23182,,,exp1,28,HS RS,,5.5,0.5,,,,,
26000,,,exp1,1,HS RS,,5.5,0.5,,,,,
29504,,,exp1,32,HS RS,,5.5,0.5,,,,,
33056,,,exp1,30,HS RS,,5.5,0.5,,,,,
41992,,,exp1,87,HS RS,,5.5,0.5,,,,,
49278,,,exp1,11,HS RS,,5.5,0.5,,,,,
53070,,,exp1,1,HS RS,,5.5,0.5,,,,,
56784,,,exp1,16,HS RS,,5.5,0.5,,,,,
57792,,,exp1,1,HS RS,,5.5,0.5,,,,,
60984,,,exp1,3,HS RS,,5.5,0.5,,,,,
62546,,,exp1,51,HS RS,,5.5,0.5,,,,,
68000,,,exp1,22,HS RS,,5.5,0.5,,,,,
68378,,,exp1,4,HS RS,,5.5,0.5,,,,,
70098,,,exp1,198,HS RS,,5.5,0.5,,,,,
70280,,,exp1,5,HS RS,,5.5,0.5,,,,,
70770,,,exp1,30,HS RS,,5.5,0.5,,,,,
72646,,,exp1,36,HS RS,,5.5,0.5,,,,,
75630,,,exp1,4,HS RS,,5.5,0.5,,,,,
81554,,,exp1,2,HS RS,,5.5,0.5,,,,,
85922,,,exp1,73,HS RS,,5.5,0.5,,,,,
50258,nap2,,exp1_low,1,HS RS,,2.75,0.25,,,,,
00041,,b2,exp1_low,36,HS RS,,2.75,0.25,,,,,
52582,,b2,exp1_low,2,HS RS,,2.75,0.25,,,,,
00041,,cr4,exp1_low,11,HS RS,,2.75,0.25,,,,,
00041,,,exp1_low,828,HS RS,,2.75,0.25,,,,,
00055,,,exp1_low,1362,HS RS,,2.75,0.25,,,,,
50258,,,exp1_low,81,HS RS,,2.75,0.25,,,,,
52582,,,exp1_low,22,HS RS,,2.75,0.25,,,,,
68000,vta1_i,b3,exp2,2,HS RS,,5.5,0.5,,,,,
68000,vta1_i,,exp2,2,HS RS,,5.5,0.5,,,,,
68000,,b3,exp2,2,HS RS,,5.5,0.5,,,,,
00001,,,exp2,79,HS RS,,5.5,0.5,,,,,
00085,,,exp2,231,HS RS,,5.5,0.5,,,,,
00095,,,exp2,69,HS RS,,5.5,0.5,,,,,
00097,,,exp2,1245,HS RS,,5.5,0.5,,,,,
14190,,,exp2,6,HS RS,,5.5,0.5,,,,,
23182,,,exp2,3,HS RS,,5.5,0.5,,,,,
29504,,,exp2,4,HS RS,,5.5,0.5,,,,,
68000,,,exp2,23,HS RS,,5.5,0.5,,,,,
00001,alc3,b3,ubz,132,HS RS,,5.5,0.5,,,,,
00013,ant2,,ubz,1,HS RS,,5.5,0.5,,,,,
00081,ccg1_a,bart2,ubz,23,HS RS,,5.5,0.5,,,,,
00081,ccg1_b,bart2,ubz,1,HS RS,,5.5,0.5,,,,,
00081,ccg1_h,brt2,ubz,4,HS RS,,5.5,0.5,,,,,
00081,ccg1_k,bart2,ubz,51,HS RS,,5.5,0.5,,,,,
00081,ccg1_m,b2,ubz,8,HS RS,,5.5,0.5,,,,,
00081,ccg1_m,brt2,ubz,50,HS RS,,5.5,0.5,,,,,
00097,clo1,,ubz,9,HS RS,,5.5,0.5,,,,,
00081,dal1,,ubz,1,HS RS,,5.5,0.5,,,,,
00095,fai1,b3,ubz,3,HS RS,,5.5,0.5,,,,,
00095,fai1,,ubz,14,HS RS,,5.5,0.5,,,,,
00095,fai2,,ubz,115,HS RS,,5.5,0.5,,,,,
00095,fai4,b3,ubz,2,HS RS,,5.5,0.5,,,,,
00001,liv2,,ubz,11,HS RS,,5.5,0.5,,,,,
00001,liv3,,ubz,3,HS RS,,5.5,0.5,,,,,
00085,mvw2,cr3,ubz,2,HS RS,,5.5,0.5,,,,,
00001,okd2,,ubz,1,HS RS,,5.5,0.5,,,,,
00013,pit2,,ubz,16,HS RS,,5.5,0.5,,,,,
00081,sbr1,,ubz,1,HS RS,,5.5,0.5,,,,,
00097,sco3,,ubz,4,HS RS,,5.5,0.5,,,,,
00097,sco5,,ubz,366,HS RS,,5.5,0.5,,,,,
00097,seb1,,ubz,12,HS RS,,5.5,0.5,,,,,
00085,sjo15,lrt3,ubz,10,HS RS,,5.5,0.5,,,,,
00085,sjo18,lrt3,ubz,3,HS RS,,5.5,0.5,,,,,
00085,sjo6,b1,ubz,3,HS RS,,5.5,0.5,,,,,
00085,sjo6,b2,ubz,6,HS RS,,5.5,0.5,,,,,
00085,sjo6,lrt3,ubz,14,HS RS,,5.5,0.5,,,,,
00097,sro1,b2,ubz,78,HS RS,,5.5,0.5,,,,,
00097,sro2,b2,ubz,3,HS RS,,5.5,0.5,,,,,
00097,sro2,b3,ubz,2,HS RS,,5.5,0.5,,,,,
00097,sro2,,ubz,36,HS RS,,5.5,0.5,,,,,
00097,sro3,b2,ubz,11,HS RS,,5.5,0.5,,,,,
00097,sro3,b3,ubz,22,HS RS,,5.5,0.5,,,,,
00097,sro3,,ubz,25,HS RS,,5.5,0.5,,,,,
00097,sro4,b3,ubz,25,HS RS,,5.5,0.5,,,,,
00097,sro4,cr4,ubz,2,HS RS,,5.5,0.5,,,,,
00097,sro5,,ubz,49,HS RS,,5.5,0.5,,,,,
00085,sun3,b2,ubz,9,HS RS,,5.5,0.5,,,,,
00085,vta1_i,b2,ubz,1,HS RS,,5.5,0.5,,,,,
00085,vta1_i,lrt3,ubz,1,HS RS,,5.5,0.5,,,,,
00085,vta1_i,,ubz,2,HS RS,,5.5,0.5,,,,,
00001,,b2,ubz,11,HS RS,,5.5,0.5,,,,,
00013,,b2,ubz,15,HS RS,,5.5,0.5,,,,,
00081,,b2,ubz,138,HS RS,,5.5,0.5,,,,,
00085,,b2,ubz,11,HS RS,,5.5,0.5,,,,,
00095,,b2,ubz,387,HS RS,,5.5,0.5,,,,,
00097,,b2,ubz,1,HS RS,,5.5,0.5,,,,,
00001,,b3,ubz,210,HS RS,,5.5,0.5,,,,,
00013,,b3,ubz,123,HS RS,,5.5,0.5,,,,,
00081,,b3,ubz,103,HS RS,,5.5,0.5,,,,,
00085,,b3,ubz,130,HS RS,,5.5,0.5,,,,,
00095,,b3,ubz,3,HS RS,,5.5,0.5,,,,,
00097,,b3,ubz,218,HS RS,,5.5,0.5,,,,,
00081,,bart2,ubz,115,HS RS,,5.5,0.5,,,,,
00081,,bart3,ubz,2,HS RS,,5.5,0.5,,,,,
00001,,brt2,ubz,6,HS RS,,5.5,0.5,,,,,
00081,,brt2,ubz,33,HS RS,,5.5,0.5,,,,,
00085,,brt2,ubz,1,HS RS,,5.5,0.5,,,,,
00081,,brt3,ubz,64,HS RS,,5.5,0.5,,,,,
00081,,cr3,ubz,1,HS RS,,5.5,0.5,,,,,
00081,,cr4,ubz,1,HS RS,,5.5,0.5,,,,,
00097,,cr4,ubz,8,HS RS,,5.5,0.5,,,,,
00085,,lrt3,ubz,391,HS RS,,5.5,0.5,,,,,
00001,,,ubz,987,HS RS,,5.5,0.5,,,,,
00013,,,ubz,2035,HS RS,,5.5,0.5,,,,,
00081,,,ubz,3637,HS RS,,5.5,0.5,,,,,
00085,,,ubz,3173,HS RS,,5.5,0.5,,,,,
00095,,,ubz,1480,HS RS,,5.5,0.5,,,,,
00097,,,ubz,5714,HS RS,,5.5,0.5,,,,,
00041,,b2,ubz_low,3,HS RS,,2.75,0.25,,,,,
00041,,b3,ubz_low,1,HS RS,,2.75,0.25,,,,,
00041,,,ubz_low,851,HS RS,,2.75,0.25,,,,,
00055,,,ubz_low,1416,HS RS,,2.75,0.25,,,,,
01640,aca1,,,202,,,,,,,,,
00562,ala1,b2,,2,,,,,,,,,
00562,ala1,b3,,1,,,,,,,,,
00562,ala1,brt2,,619,,,,,,,,,
00562,ala1,,,10,,,,,,,,,
00562,ala2,b2,,2,,,,,,,,,
00001,ala2,brt2,,1,,,,,,,,,
00562,ala2,brt2,,745,,,,,,,,,
00562,ala2,,,1,,,,,,,,,
00674,alb1,b1,,210,,,,,,,,,
06000,alb1,b1,,1,,,,,,,,,
00674,alb1,b2,,47,,,,,,,,,
00674,alb1,bart2,,36,,,,,,,,,
00001,alc1,bart3a,,897,,,,,,,,,
00001,alc2,b1,,471,,,,,,,,,
00001,alc2,b2,,185,,,,,,,,,
33000,alc2,b2,,1,,,,,,,,,
00001,alc2,b3,,412,,,,,,,,,
00001,alc2,bart1,,474,,,,,,,,,
68084,alc2,bart1,,2,,,,,,,,,
00001,alc2,,,1356,,,,,,,,,
33000,alc2,,,6,,,,,,,,,
00001,alc3,b3,,1761,,,,,,,,,
68084,alc3,b3,,1,,,,,,,,,
00001,alc3,bart1,,1,,,,,,,,,
00001,alc4,b2,,60,,,,,,,,,
00001,alc4,b3,,244,,,,,,,,,
33000,alc4,b3,,2,,,,,,,,,
00001,alc4,bart2,,1,,,,,,,,,
00001,alc4,,,204,,,,,,,,,
02252,ant1,bart3a,,14,,,,,,,,,
02252,ant1,,,31,,,,,,,,,
02252,ant2,b3,,172,,,,,,,,,
00013,ant2,,,4,,,,,,,,,
02252,ant2,,,947,,,,,,,,,
05108,bel1,brt2,,225,,,,,,,,,
00095,ben1,,,5,,,,,,,,,
05290,ben1,,,664,,,,,,,,,
00095,ben2,,,1,,,,,,,,,
05290,ben2,,,659,,,,,,,,,
06000,ber1,bart2,,162,,,,,,,,,
53000,ber1,bart2,,1,,,,,,,,,
06000,ber2,bart2,,406,,,,,,,,,
06000,ber3,b1,,302,,,,,,,,,
06000,ber3,b2,,32,,,,,,,,,
06000,ber4,bart2,,26,,,,,,,,,
06000,ber4,brt1,,16,,,,,,,,,
06000,ber5,brt1,,96,,,,,,,,,
06000,ber6,b1,,58,,,,,,,,,
06000,ber6,bart2,,138,,,,,,,,,
09066,bur1,b3,,741,,,,,,,,,
09066,bur1,bart3,,74,,,,,,,,,
47486,bur1,bart3,,1,,,,,,,,,
09066,bur1,brt2,,3419,,,,,,,,,
